G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.7055369	0.1236995	0.0346582	0.1208356	0.1914428	0.7874691	0.3221180	0.2641195	0.6188436	0.1562183	0.1653297	0.8071823	0.4849110	0.1062361	0.5435563	0.6647867	0.1153849	0.3943856	0.6596167	0.6810315	0.1441702	0.2846764	0.1144590	0.3474288	0.1064030	0.1160522	0.5911440	0.3641506	0.4480908	0.5326473	0.2911340	0.6720548	0.2155928	0.6193582	0.8555408	0.4078667	0.7060995	0.6016761	0.2882294	0.5042918	0.2717955	0.6022022	0.5451545	0.7282399	0.1336518	0.0706942	0.5269522	0.0585051	0.7841792	0.3050276	0.7122107	0.2697358	0.1551622	0.2999442	0.3218750	0.1539713	0.3134602	0.0088524	0.3728849	0.1507376	0.1925173	0.5255816	0.7404463	0.4714202	0.0169630	0.6564488	0.3556934	0.4032614	0.2892488	0.5590456	0.2752795	0.2678243	0.3733241	0.0850435	0.3680999	0.6277138	0.0605247	0.4884412	0.1848367	0.6196843	0.1366651	0.4512119	0.0019015	0.0544067	0.6873348	0.6508502	0.2217233	0.3252769	0.6468564	0.5517202	0.6357317	0.8511474	0.6672600	0.8121672	0.6788425	0.5466043	0.6176419	0.1712951	0.8049920	0.7252620
0.6052557	0.0537750	0.0068735	0.0051634	0.1628295	0.3227679	0.2155477	0.3367812	0.3603265	0.1230967	0.3925528	0.4955671	0.3098992	0.0862959	0.7194674	0.6663519	0.1324726	0.7656938	0.4396983	0.6775671	0.2085247	0.3488724	0.1100015	0.4262257	0.2624427	0.1153025	0.3254405	0.3042322	0.6680647	0.5729575	0.3137705	0.5585736	0.4297717	0.6415090	0.8431891	0.2020320	0.6279432	0.5739592	0.2684939	0.3618833	0.2957364	0.4378990	0.3399955	0.6759893	0.4433146	0.1667473	0.6095020	0.0732868	0.6969375	0.4466147	0.7310945	0.2865007	0.2019433	0.3738423	0.3744928	0.3180408	0.3906688	0.0096422	0.1900063	0.0900501	0.2846949	0.5491529	0.7099058	0.6339817	0.0093709	0.5647096	0.4052737	0.4138255	0.4273673	0.6915432	0.2506272	0.2594670	0.4424920	0.0784529	0.1603016	0.7279757	0.0823794	0.3504558	0.3124245	0.8524276	0.1290564	0.4261201	0.0046271	0.0766327	0.5784487	0.5045032	0.2469085	0.4829892	0.3291693	0.1054998	0.6876106	0.6567804	0.6422012	0.5738956	0.3015343	0.5148791	0.6973013	0.0810239	0.4816604	0.3868738
0.4401698	0.0154834	0.1229597	0.0153024	0.4650193	0.4275784	0.3580668	0.0059333	0.3109244	0.1962891	0.3648232	0.5576613	0.3402229	0.2220902	0.5120556	0.8752537	0.1585118	0.6500187	0.2081019	0.7493891	0.0356987	0.4679810	0.0214220	0.5801244	0.1681147	0.1122533	0.5684217	0.3118231	0.4425725	0.6384336	0.2992053	0.6497689	0.2632366	0.4832292	0.5887859	0.2542023	0.4053184	0.5829048	0.2487482	0.4860846	0.4101315	0.4978909	0.5142877	0.6740423	0.6370631	0.3519526	0.6191145	0.0452687	0.7723874	0.1820227	0.6917101	0.3637396	0.0478530	0.2988807	0.2199018	0.2574134	0.2132922	0.0043686	0.2642620	0.4614348	0.2453850	0.2109787	0.4729054	0.3038369	0.1915985	0.6665294	0.5280715	0.3890251	0.2918420	0.0762904	0.2200755	0.2363268	0.6668988	0.0076796	0.3267387	0.6906144	0.0564008	0.2386295	0.2542198	0.7321203	0.1405095	0.2074197	0.0019286	0.3702859	0.5214949	0.6835300	0.2376082	0.1618210	0.2314757	0.0558411	0.7254039	0.5144540	0.5561471	0.5247604	0.3782174	0.6819806	0.8119003	0.0797691	0.8085956	0.5266678
0.2953696	0.0674518	0.1213318	0.0572695	0.1895112	0.7231607	0.2944937	0.1220147	0.4490106	0.0609907	0.3885554	0.7971342	0.1592695	0.0444841	0.3369174	0.7039250	0.0488974	0.7277357	0.2973983	0.6975356	0.0201424	0.2990666	0.3592728	0.5233439	0.4025062	0.1025125	0.1925821	0.2711039	0.2364372	0.6173269	0.3673608	0.6331090	0.4501589	0.4790944	0.6720868	0.3987377	0.6762852	0.6309347	0.4745735	0.3515590	0.2831566	0.5383935	0.5428781	0.7817493	0.3528805	0.4679376	0.2709199	0.0162417	0.7735252	0.3413219	0.6790789	0.2484983	0.2477731	0.3412597	0.2460451	0.4222212	0.2889661	0.1571607	0.2458691	0.0057005	0.1373755	0.4543237	0.3613038	0.6665405	0.1866872	0.6184972	0.2574094	0.2376814	0.4494211	0.3820282	0.4208777	0.3640246	0.6374504	0.0031163	0.2259296	0.5589826	0.0680497	0.2352356	0.2972414	0.6900027	0.0412045	0.2889587	0.3003098	0.2877810	0.6368241	0.7890843	0.5098892	0.2962453	0.6805733	0.4162757	0.7804567	0.5567756	0.6038177	0.7063574	0.2002372	0.5564574	0.5361735	0.1520335	0.6727211	0.9533306
0.5611823	0.0347027	0.1167116	0.2118627	0.0576591	0.4323317	0.3667625	0.2293213	0.3068168	0.1912382	0.5421667	0.4678638	0.2340768	0.0706793	0.5925767	0.5645794	0.1867138	0.4516979	0.2930900	0.5423355	0.3940493	0.6018807	0.1089274	0.4111356	0.3536906	0.2032844	0.5166538	0.3338705	0.3975295	0.4178089	0.4519117	0.8599404	0.4759327	0.6331615	0.7130501	0.5258396	0.3928116	0.7444638	0.5395490	0.4248588	0.2604634	0.4974615	0.4848696	0.5705819	0.3422121	0.1973831	0.3733705	0.0149760	0.5823757	0.5566851	0.5474799	0.2426560	0.2656848	0.6099940	0.4684908	0.4401176	0.2978359	0.0023230	0.1321484	0.1771302	0.4635701	0.5660165	0.4962444	0.6096649	0.1623244	0.5513188	0.2066894	0.2889896	0.6803860	0.4264829	0.3145744	0.3286390	0.4737794	0.1464247	0.2067597	0.6238629	0.0800935	0.3598930	0.2728901	0.7079214	0.4890966	0.4185866	0.0010597	0.3330514	0.6949705	0.6294647	0.3466957	0.2326893	0.2635047	0.1820384	0.7073830	0.7591589	0.8011969	0.5295849	0.2806947	0.5710030	0.8357927	0.0888362	0.7757758	0.7341948
0.4688611	0.1337124	0.0803073	0.2037440	0.1632373	0.5043310	0.2603057	0.0174622	0.2653736	0.0239933	0.6420379	0.5412380	0.1001776	0.0191290	0.2787394	0.6950777	0.2608522	0.7606147	0.0353533	0.7018769	0.0149532	0.3786055	0.5578449	0.3699002	0.1742553	0.1896995	0.3970268	0.1316243	0.4517086	0.5427697	0.2446553	0.8032692	0.6093748	0.7534226	0.5127443	0.2698857	0.4688704	0.6806390	0.3853912	0.4852894	0.1786426	0.5159716	0.5282222	0.6875704	0.5555390	0.1798108	0.5235397	0.0960759	0.8013780	0.2641432	0.7415342	0.2090558	0.0228891	0.3383911	0.2990904	0.3180046	0.3385524	0.4675553	0.2338120	0.1617502	0.1586831	0.5651935	0.5164449	0.4744208	0.1831434	0.4190231	0.5581267	0.6264605	0.2702830	0.3371137	0.1548186	0.4054841	0.6935413	0.0295103	0.2101679	0.5944240	0.0557738	0.2729733	0.2510991	0.6522023	0.3052087	0.1392994	0.0005180	0.2347067	0.5157718	0.7165361	0.2838939	0.4034139	0.1199172	0.0525357	0.6682456	0.7370604	0.6349929	0.8762420	0.1510893	0.5377245	0.6375341	0.1200738	0.5859151	0.6597422
0.0581814	0.3682470	0.3835323	0.7502680	0.3351449	0.6513465	0.5542461	0.5288391	0.5046530	0.0000306	0.3764461	0.8293831	0.1485923	0.1898377	0.6340604	0.6235056	0.1247460	0.8219893	0.0998237	0.7092876	0.0197605	0.4628879	0.3191046	0.4325299	0.1073465	0.0922579	0.3697997	0.2007180	0.3337649	0.6912348	0.7168051	0.7524561	0.2732039	0.6619095	0.6142918	0.1095948	0.5183948	0.7099955	0.4688941	0.4907991	0.6216983	0.5368045	0.3428038	0.5942587	0.6948757	0.1635348	0.4617443	0.0112177	0.7248080	0.3119081	0.7488845	0.2629815	0.0501921	0.4829398	0.1609438	0.1500168	0.2146355	0.0031130	0.2705609	0.0544731	0.2238832	0.5536757	0.6418080	0.7340408	0.2087852	0.6755770	0.5247372	0.6010821	0.5239098	0.3149446	0.3693449	0.4472947	0.5757205	0.0369718	0.1872054	0.5678214	0.0581659	0.4247176	0.2862080	0.7021675	0.2656483	0.2911732	0.8343354	0.6847444	0.6406576	0.4641936	0.1918935	0.3621190	0.3778362	0.0787715	0.8258943	0.7438530	0.5830326	0.6888975	0.2816348	0.6290932	0.6355920	0.0864478	0.7443929	0.2064691
0.4683100	0.1796866	0.0650462	0.0015321	0.3424952	0.4739800	0.3818431	0.0131424	0.3673215	0.2010602	0.5549291	0.5568413	0.3566617	0.1186351	0.3966225	0.5967335	0.1001211	0.5047350	0.3463113	0.6094575	0.0013744	0.1488666	0.3035880	0.4170547	0.5349643	0.0833825	0.1985959	0.3324016	0.5772716	0.5079507	0.2948021	0.7250103	0.4419554	0.4112192	0.6703558	0.1629698	0.6776088	0.5469503	0.3964882	0.3144345	0.2024872	0.5134816	0.3574041	0.6510878	0.6061204	0.3541754	0.5393026	0.0450981	0.5621530	0.4143056	0.6236669	0.2436416	0.1625793	0.4966282	0.2358838	0.2760271	0.2286052	0.0411222	0.2259155	0.0219933	0.3766073	0.2521172	0.4655090	0.3863108	0.1137327	0.7083063	0.6676989	0.2838690	0.5472211	0.5223746	0.4620416	0.2799255	0.4100864	0.0111212	0.2029820	0.6653359	0.0875952	0.3064041	0.3511552	0.7356415	0.3619942	0.3151031	0.0162646	0.1312461	0.4857630	0.6467324	0.1223218	0.3937266	0.5504881	0.0504102	0.5979054	0.6311368	0.5623784	0.4310447	0.0945427	0.6484730	0.3843952	0.1392609	0.6969504	0.7813884
0.4675943	0.0914958	0.0664079	0.0142530	0.2572173	0.2162609	0.3304729	0.0155665	0.6542210	0.1019378	0.2109080	0.6949091	0.4825124	0.3243006	0.4187190	0.7475373	0.0519199	0.6011226	0.4636391	0.5784099	0.0002891	0.3186568	0.3554249	0.4231205	0.3569356	0.1498681	0.4005957	0.3806381	0.4689321	0.6382095	0.3136717	0.7895753	0.3217167	0.6678476	0.8069615	0.4388025	0.6515165	0.5637801	0.4899416	0.5581113	0.1987088	0.6487513	0.6180413	0.6443935	0.5431600	0.5452028	0.5538360	0.0410550	0.7129949	0.3386750	0.6588048	0.2408856	0.1913509	0.3300351	0.1877352	0.2240841	0.1982708	0.0056922	0.2380038	0.0434739	0.3603621	0.4284964	0.3010204	0.4107408	0.2187102	0.6293632	0.4551303	0.2993649	0.2120471	0.4002548	0.2158082	0.3674477	0.5614987	0.0027736	0.2435106	0.5716966	0.0318222	0.1651863	0.1814082	0.5045196	0.0033938	0.0920210	0.0000397	0.0522657	0.8152877	0.6446296	0.2733282	0.2608554	0.2212853	0.0895661	0.7433409	0.7640583	0.7497406	0.7609972	0.0267878	0.4071672	0.7338525	0.0952747	0.5951458	0.6803906
0.0862882	0.1297118	0.2012220	0.4105984	0.3990734	0.6051505	0.6066505	0.2531765	0.5362799	0.2156000	0.5628668	0.6205600	0.3761426	0.1766271	0.4185887	0.6458510	0.0176121	0.5895218	0.4761363	0.7090527	0.0731712	0.3883762	0.3298343	0.6047949	0.1959770	0.1980399	0.2267653	0.1298423	0.5194238	0.4728657	0.1991944	0.6373106	0.5488107	0.1683862	0.6538958	0.4677187	0.4798577	0.5368763	0.5153110	0.3131541	0.1905619	0.4198866	0.5493363	0.4120084	0.6554987	0.1340998	0.5772678	0.0530102	0.6765868	0.4015090	0.6564365	0.2855871	0.3102342	0.3213605	0.4238606	0.1870331	0.3932529	0.0078238	0.1747484	0.0883030	0.3497120	0.5179267	0.6099296	0.4099498	0.2851407	0.6309842	0.2352735	0.5175251	0.6010114	0.3208283	0.1745669	0.2271317	0.4176375	0.0667514	0.2036078	0.5767709	0.0222028	0.3097319	0.2636980	0.6135908	0.1651325	0.3966449	0.3270045	0.6656156	0.6934318	0.4660814	0.3881135	0.3131451	0.1702892	0.0404199	0.6809109	0.4647790	0.8367354	0.7827407	0.4875444	0.7188795	0.6197962	0.1870757	0.7108820	0.4546498
