G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.0607765	0.2456320	0.4497558	0.3490656	0.6014945	0.0756119	0.6071453	0.4794561	0.0261521	0.4513277	0.0304690	0.3368506	0.0301685	0.0277888	0.0123157	0.1587187	0.3750505	0.4806573	0.1027146	0.0035007	0.0317519	0.0856942	0.1075824	0.1819022	0.1128001	0.7206876	0.4964663	0.2877446	0.1708294	0.4499427	0.1989968	0.0135848	0.1964747	0.0794563	0.6037732	0.6092770	0.5284964	0.0855148	0.0646468	0.7008601	0.0415792	0.5655632	0.5664400	0.4675847	0.7496088	0.6866289	0.6031812	0.5853941	0.5130775	0.2229601	0.6083959	0.7345193	0.4285752	0.2609787	0.4782126	0.2633864	0.3161292	0.2596340	0.0821342	0.2639682	0.0240615	0.2570866	0.7115400	0.3819162	0.5194189	0.4102842	0.3302044	0.4739636	0.4974665	0.0167748	0.1313148	0.0132515	0.0494004	0.0636873	0.3697165	0.7294282	0.0211957	0.1067714	0.1105750	0.0197173	0.3137410	0.0831319	0.6046026	0.1954243	0.5193745	0.1842652	0.1699588	0.1199588	0.0496637	0.5905107	0.6667621	0.4380959	0.6280996	0.4283852	0.4257527	0.6075159	0.2490430	0.6399498	0.5319042	0.6670229
0.1281747	0.1220148	0.5507468	0.3407417	0.6223072	0.0481044	0.6020874	0.3660403	0.0354482	0.4062555	0.0103989	0.3628835	0.0273248	0.0122476	0.0087333	0.1569346	0.4012653	0.5459752	0.0524313	0.0028160	0.0437409	0.1178280	0.1355687	0.1801150	0.1438722	0.6920761	0.4760852	0.3756830	0.2349185	0.5397522	0.2562711	0.0211613	0.2179259	0.1461551	0.7142797	0.6435886	0.8169301	0.1388507	0.0674372	0.6233671	0.0507814	0.6690395	0.7848311	0.6171627	0.6409239	0.6901203	0.7500122	0.6275093	0.4157926	0.1429939	0.5169436	0.6360361	0.4451047	0.2510010	0.4443389	0.3270500	0.3036392	0.1869533	0.0847537	0.3276668	0.0149801	0.2665611	0.6360041	0.4820936	0.5564782	0.3436823	0.3424752	0.3812726	0.4709234	0.0228864	0.1567189	0.0214075	0.0291840	0.0409936	0.3819903	0.6546150	0.0336295	0.1286368	0.1680721	0.0268591	0.4793687	0.0898633	0.7289366	0.0998251	0.6092572	0.1582373	0.1595830	0.0353200	0.0555681	0.7401707	0.6326807	0.4938673	0.6753885	0.4041900	0.4405578	0.7716184	0.2130492	0.6315598	0.5379653	0.5820677
0.0900047	0.2590882	0.2843289	0.3790319	0.6946298	0.0294195	0.6541345	0.4052403	0.0247180	0.4221468	0.0030033	0.4188566	0.0571823	0.0228270	0.0073765	0.1257969	0.3259809	0.4842374	0.0786665	0.0019721	0.0904740	0.1142582	0.1568743	0.2014589	0.1818845	0.6002614	0.5099857	0.3924819	0.2484278	0.6003089	0.1873858	0.0038264	0.2739749	0.1034417	0.7267555	0.5653104	0.7075970	0.0998961	0.0309534	0.6526783	0.0589029	0.6895413	0.6732338	0.5829855	0.6487086	0.6691395	0.5647979	0.5012819	0.4027600	0.1366600	0.6270745	0.6441771	0.3843152	0.2623381	0.5055043	0.3652994	0.2478492	0.2337372	0.1136529	0.2055602	0.0124447	0.2574174	0.6304509	0.4691095	0.6096855	0.2831621	0.2695519	0.4960460	0.5110869	0.0207654	0.1580405	0.0100660	0.0604436	0.0727296	0.4613288	0.7002085	0.0158487	0.0680277	0.1118884	0.0102618	0.3231328	0.1254795	0.6426720	0.1786073	0.6116546	0.2125604	0.1465903	0.0509587	0.0334830	0.6266682	0.6307002	0.4860121	0.7221638	0.5715485	0.4720907	0.6769772	0.2527535	0.7033015	0.5741529	0.8626152
0.1683306	0.2498441	0.4889432	0.2242848	0.6111925	0.0446758	0.6673819	0.3905839	0.0185623	0.4129089	0.0142741	0.3506387	0.0507660	0.0183544	0.0090468	0.0978016	0.3562817	0.5630400	0.0381306	0.0018187	0.0293126	0.1284512	0.1289067	0.1582788	0.1816724	0.6910394	0.4419751	0.2798486	0.1928174	0.4753803	0.2118567	0.0235660	0.1888511	0.1100994	0.6780038	0.6566791	0.5909724	0.1246769	0.0734120	0.6480827	0.0246598	0.6522541	0.7493917	0.5746171	0.7360560	0.6740427	0.6062798	0.6757839	0.4057828	0.1167922	0.7329255	0.5856595	0.4649635	0.2618668	0.4416640	0.2341998	0.3490396	0.2254832	0.0644250	0.1934305	0.0392417	0.2659765	0.6280826	0.4109074	0.5177952	0.3560070	0.3301039	0.5082849	0.4273107	0.0170035	0.1962680	0.0479663	0.0416106	0.0501979	0.3795665	0.5172550	0.0314496	0.0954287	0.1569937	0.0919029	0.4196295	0.1675673	0.5853462	0.2296233	0.5875629	0.2338166	0.1680498	0.0723655	0.0414526	0.6506957	0.5775369	0.3780215	0.6133008	0.5257230	0.4266607	0.6492079	0.2463710	0.5724696	0.7162062	0.7319312
0.1616112	0.0699592	0.4849241	0.3559887	0.2816975	0.1106590	0.6442056	0.3356649	0.0041097	0.4431023	0.1469830	0.5436748	0.0703939	0.0647886	0.2170609	0.3147765	0.5579162	0.5092978	0.0712437	0.0133385	0.0477475	0.1060432	0.1228605	0.1104951	0.1532143	0.8186386	0.4935925	0.3957934	0.1743134	0.4624334	0.1973894	0.0298557	0.2036006	0.1329902	0.5830194	0.6673208	0.5869131	0.1179811	0.0819704	0.6386983	0.0703530	0.7104496	0.6021984	0.3993183	0.6661068	0.6365780	0.4984460	0.6167008	0.5147014	0.1483681	0.6071270	0.5965096	0.3791148	0.2190885	0.4317874	0.3682736	0.1822304	0.2279572	0.1191301	0.2813312	0.0122535	0.2478317	0.5883445	0.4776786	0.4575995	0.5051231	0.3299338	0.4103563	0.5201696	0.0078641	0.1925495	0.0142536	0.0434926	0.0737235	0.4383848	0.5762402	0.0134380	0.1491546	0.1510201	0.0120754	0.4695703	0.1322790	0.6077855	0.1854804	0.4389476	0.2279882	0.1566302	0.0772184	0.0369683	0.6686622	0.7355647	0.5339159	0.8218104	0.3964693	0.5525801	0.6950857	0.3588947	0.7227311	0.7164368	0.7899007
0.1168642	0.2458984	0.4858394	0.4479246	0.7099430	0.0484084	0.6303673	0.4458943	0.0085183	0.4752883	0.0164357	0.3832625	0.0292510	0.0141326	0.0030715	0.1166333	0.4115078	0.5291794	0.0747948	0.0047213	0.0293592	0.2016855	0.1204601	0.1068563	0.1041770	0.6435054	0.5343083	0.3243508	0.1357570	0.4202904	0.2232244	0.0273296	0.1848747	0.1465020	0.7195286	0.5438020	0.7811000	0.0687187	0.0599762	0.6442014	0.0466629	0.7847747	0.6102648	0.4435174	0.6897585	0.6439043	0.6300614	0.5840791	0.4565913	0.1750407	0.5564279	0.7365001	0.4433262	0.2318840	0.5732400	0.3337060	0.2441165	0.2944648	0.1021737	0.2381648	0.0036494	0.2605125	0.6930694	0.4196972	0.4959671	0.3895585	0.3612666	0.3771818	0.4663141	0.0181462	0.1737613	0.0273757	0.0189093	0.0719180	0.3748297	0.7040449	0.0258652	0.1411631	0.1389483	0.0349939	0.3997444	0.1173676	0.6207395	0.1636459	0.5839560	0.1615948	0.1655223	0.0859747	0.0296982	0.6714702	0.5604255	0.5865853	0.6190682	0.4383012	0.4287418	0.5482841	0.2843008	0.6539013	0.5949650	0.6660094
0.1208609	0.2582250	0.5003044	0.3847456	0.6658572	0.0356184	0.3683102	0.4731210	0.0112656	0.4586453	0.0341122	0.3976063	0.0305792	0.0479292	0.0035851	0.1132880	0.3186648	0.4386197	0.0340538	0.0021310	0.0284542	0.1780909	0.1021175	0.1338735	0.0939448	0.6688848	0.4419946	0.2852171	0.2183967	0.4311874	0.2432200	0.0259358	0.2283888	0.1044033	0.7028043	0.6831004	0.7189283	0.1339981	0.1004662	0.7843512	0.0188352	0.6500457	0.6439686	0.4472250	0.6051987	0.5960519	0.5958901	0.5789101	0.4484179	0.1378853	0.7699125	0.6918523	0.3973010	0.2855466	0.4758192	0.2969204	0.2483358	0.1572941	0.0683043	0.2481655	0.0200849	0.2324666	0.5926634	0.5127851	0.4498336	0.3650871	0.3909410	0.3305893	0.4388904	0.0243763	0.1779563	0.0281442	0.0459576	0.0563857	0.3313209	0.6309018	0.0089397	0.1177136	0.1463646	0.0247072	0.3756676	0.1100065	0.6251648	0.1869684	0.6143171	0.1898159	0.1441203	0.0826791	0.0200668	0.7091833	0.6939053	0.4986506	0.6807618	0.4930970	0.5052916	0.6294255	0.2966334	0.5947651	0.4963376	0.6417726
0.1413966	0.3232073	0.6178772	0.3629894	0.7234879	0.0441646	0.6638779	0.1743547	0.0210520	0.4182400	0.0253497	0.4129248	0.0319394	0.0336383	0.0176845	0.1501939	0.3848387	0.4315366	0.0493879	0.0041439	0.0325640	0.1499459	0.1747193	0.1850729	0.1843439	0.6437168	0.4919149	0.2729895	0.1976517	0.4902866	0.1946831	0.0337611	0.2880934	0.1048707	0.6522289	0.6687881	0.5528392	0.0957686	0.1014987	0.6394513	0.0577348	0.6031248	0.6328001	0.6238247	0.6531635	0.7051807	0.5749323	0.6265554	0.5618215	0.1602184	0.6045618	0.5656268	0.4789256	0.2184308	0.6087142	0.3325811	0.1907297	0.1851790	0.1015048	0.2302244	0.0252942	0.3223645	0.6823651	0.4015289	0.5105155	0.3851903	0.3717460	0.4835264	0.5022179	0.0287590	0.2149697	0.0209048	0.0474040	0.0650315	0.3606615	0.7663047	0.0049758	0.1958505	0.2268218	0.0096405	0.4205103	0.1603889	0.7237289	0.2389222	0.5217363	0.1550602	0.1134413	0.0886077	0.0310627	0.7932514	0.6831445	0.5033419	0.7515837	0.5103807	0.4720112	0.6361525	0.2396970	0.6320718	0.5775368	0.6069452
0.1469830	0.2533654	0.5089450	0.3508516	0.7387791	0.0632319	0.6715305	0.4346845	0.0061870	0.4042605	0.0243070	0.3746518	0.0414137	0.0109177	0.0045375	0.1280333	0.4261880	0.6267852	0.0690449	0.0011698	0.0312781	0.2182850	0.1514964	0.2074226	0.1334276	0.6404149	0.4379542	0.2866652	0.2279336	0.5619654	0.2215561	0.0140028	0.1820715	0.1015392	0.5751571	0.6517180	0.6187059	0.1581936	0.0920363	0.6424071	0.0436988	0.6246888	0.7568787	0.5241454	0.6295184	0.5249867	0.6600456	0.5576008	0.4640179	0.1585523	0.7711148	0.7087758	0.4185850	0.2429786	0.4973166	0.3517806	0.3217403	0.2745068	0.0788266	0.2271941	0.0239668	0.2714593	0.5308250	0.4034528	0.4942655	0.3897677	0.3218051	0.5714134	0.4614395	0.0238515	0.1442119	0.0333816	0.0344346	0.0610743	0.4194105	0.6299251	0.0318937	0.1449530	0.1612853	0.0418560	0.4523231	0.1112854	0.7699730	0.1331069	0.5977635	0.1848677	0.1053213	0.0695126	0.0357021	0.6870571	0.6376292	0.5081038	0.6868733	0.4201305	0.5666570	0.6303817	0.2624623	0.7190392	0.5258577	0.7629326
0.1606010	0.2431668	0.5258339	0.3329913	0.6441456	0.0429187	0.6039391	0.4221762	0.0065893	0.1174313	0.0580948	0.3279901	0.0185522	0.0289250	0.0233587	0.1134555	0.4260243	0.5583501	0.0725495	0.0020753	0.0342556	0.1500061	0.1461996	0.2468834	0.1471827	0.6140679	0.5137451	0.3706947	0.2112761	0.4605218	0.0863227	0.0242240	0.2194147	0.1213965	0.7509609	0.6508156	0.5599665	0.1073103	0.0490883	0.6294395	0.0727714	0.5608723	0.5446664	0.2983376	0.6458253	0.6614469	0.6586720	0.5419329	0.4043991	0.2083383	0.5217239	0.5851003	0.5262068	0.2534505	0.5398007	0.3198881	0.2455520	0.2156460	0.1130755	0.3229590	0.0111741	0.2229851	0.5681380	0.4485029	0.4623400	0.4218352	0.2931168	0.5169779	0.4945209	0.0078073	0.2278298	0.0552801	0.0414503	0.0765787	0.4519368	0.8559533	0.0154657	0.1047719	0.1549705	0.0209877	0.4666698	0.1299038	0.5894530	0.1834952	0.6050687	0.1808566	0.1588770	0.0688535	0.0229718	0.5638791	0.7140766	0.4472041	0.5764630	0.3754489	0.5156145	0.6547813	0.2898068	0.7367899	0.5892300	0.6448041
