"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100

0	0.6688252	0.0709442	0.3998792	0.2822547	0.2579131	0.4189211	0.3875483	0.0539931	0.6152502	0.3016303	0.5981306	0.6178617	0.6232524	0.3066941	0.6489658	0.1946323	0.1922668	0.3697494	0.2372072	0.7910752	0.2725908	0.0315929	0.9267934	0.3666446	0.0207303	0.0222286	0.1179155	0.7056967	0.7512506	0.6747331	0.6339335	0.7202813	0.0837394	0.6272296	0.5348085	0.3876878	0.4627154	0.4563831	0.5181127	0.3949819	0.0201403	0.1821902	0.2772414	0.6123856	0.7096852	0.0076315	0.0894388	0.4286552	0.4909260	0.6210253	0.1975853	0.7602003	0.0788266	0.4479077	0.7268692	0.1187336	0.4290691	0.5504008	0.5955194	0.5166403	0.7115650	0.6246694	0.4006638	0.1657579	0.3230124	0.5131007	0.2784441	0.1827706	0.6072171	0.2237768	0.1388721	0.1929298	0.1829294	0.5007541	0.3789192	0.1626177	0.0053490	0.3806251	0.4855437	0.2296656	0.3281996	0.3181755	0.4959056	0.2155327	0.3694515	0.7361663	0.2917289	0.6595794	0.4366486	0.5972322	0.5173469	0.3837543	0.4399161	0.7040501	0.6658428	0.7286883	0.2725001	0.7300308	0.6508286	0.7702014
50	0.8059944	0.0763127	0.0668436	0.4392860	0.1411287	0.4896207	0.4665136	0.3704931	0.6672024	0.2148684	0.6131069	0.2356683	0.1925664	0.3262091	0.1954735	0.1522515	0.3201499	0.4299331	0.0924263	0.8153175	0.2697636	0.0181783	0.6155151	0.4598158	0.0334647	0.0126788	0.0702481	0.7565160	0.5712826	0.7655563	0.4972469	0.7470058	0.1084369	0.5865312	0.5030324	0.3507000	0.5031602	0.5154723	0.4954895	0.3594187	0.0219707	0.2663681	0.2979928	0.6923128	0.6838268	0.0056641	0.1300893	0.1744871	0.4776058	0.5126030	0.2011246	0.4444854	0.0563686	0.4433890	0.6688997	0.1131606	0.3979269	0.5459158	0.6978281	0.4622167	0.5463700	0.6995937	0.3651885	0.2653331	0.2107229	0.5288643	0.3161256	0.1671902	0.6208287	0.2367014	0.1466310	0.2526514	0.1852625	0.3142818	0.2753136	0.1365828	0.0019671	0.5107725	0.5855166	0.1144555	0.3165948	0.4740868	0.4578060	0.1621503	0.0991343	0.6534961	0.2638518	0.5560887	0.4508596	0.5720008	0.4379197	0.3443821	0.6782777	0.7787131	0.6435863	0.6908991	0.2919691	0.6864244	0.2150503	0.5855985
100	0.7148109	0.0727298	0.1110246	0.1889164	0.1086068	0.5276026	0.4906718	0.5238501	0.7597215	0.1825085	0.5286969	0.2741723	0.1917799	0.3090502	0.0897045	0.1605064	0.1322899	0.4041066	0.1677473	0.6358961	0.1482147	0.0347909	0.6665326	0.3838679	0.0377958	0.0090190	0.0854551	0.5914581	0.5920486	0.7498590	0.4790956	0.7125976	0.1239168	0.6806883	0.4526511	0.4380492	0.5277304	0.5400372	0.4469182	0.3379512	0.0105933	0.2422532	0.2579868	0.6554234	0.7337809	0.0091733	0.1445472	0.0131548	0.6067747	0.6000909	0.1612250	0.4796561	0.0594266	0.2661401	0.5855248	0.1138618	0.3869992	0.2996936	0.5533341	0.7248269	0.6429193	0.7708753	0.4556578	0.2409820	0.2038522	0.5473114	0.3377062	0.2648504	0.6626538	0.2127638	0.1759191	0.1650145	0.1884156	0.2955767	0.1957326	0.2291372	0.0000000	0.4196766	0.6218970	0.0695418	0.4635414	0.5371129	0.5851833	0.0892084	0.0315782	0.7224325	0.2845353	0.5451467	0.4490678	0.5772233	0.3606334	0.3698547	0.6249019	0.6778643	0.6651426	0.7673068	0.3713277	0.6531780	0.1705320	0.4075122
150	0.6772273	0.1305184	0.0975824	0.0517197	0.1388598	0.5598370	0.3777110	0.5066938	0.5591294	0.3048092	0.5877174	0.2597550	0.1666255	0.4047547	0.0268648	0.1481060	0.0799254	0.4524572	0.1761373	0.6654533	0.1170049	0.0234407	0.5019154	0.3250106	0.0141312	0.0207585	0.0444902	0.6778788	0.6246371	0.5969520	0.4836752	0.6431859	0.1070807	0.7391066	0.3821876	0.3370320	0.4432385	0.5623769	0.4572298	0.5243511	0.0078716	0.2513249	0.2648518	0.6765484	0.7388558	0.0156578	0.1909612	0.0359600	0.4846677	0.5692232	0.2064193	0.5208991	0.0245750	0.2452440	0.5811935	0.1206409	0.3578204	0.1783694	0.4921124	0.5539631	0.6207722	0.6380905	0.3706620	0.2370603	0.2499104	0.5047525	0.2938997	0.2430291	0.5984119	0.2410113	0.1770232	0.1317088	0.1139361	0.2864489	0.2245792	0.1536035	0.0009197	0.5092503	0.6412560	0.0643409	0.3182668	0.6289598	0.5792187	0.0901733	0.0175103	0.8164458	0.2150881	0.5468359	0.4963361	0.6857789	0.4315479	0.3225609	0.6479424	0.8379932	0.7418151	0.6455110	0.2668895	0.6302823	0.1531255	0.5162378
200	0.6281205	0.0863442	0.1046986	0.0512886	0.0893809	0.5537745	0.3882194	0.6814169	0.5891439	0.2448998	0.4964579	0.2598894	0.1380847	0.4954158	0.0247890	0.2251031	0.1165934	0.4864728	0.2247025	0.7618063	0.0768134	0.0287226	0.6001876	0.3409989	0.0139378	0.0600685	0.0404649	0.6401103	0.6096980	0.5364574	0.5832901	0.7905051	0.1287046	0.7845044	0.4321976	0.3388625	0.4641081	0.5941672	0.4846759	0.3254524	0.0425467	0.1992342	0.2003052	0.6382712	0.7639049	0.0146383	0.2651347	0.0142451	0.5409556	0.6451361	0.1872943	0.4591946	0.0277039	0.3038246	0.5728464	0.1698657	0.3758341	0.1806053	0.4296225	0.6098173	0.5963745	0.6499239	0.3731904	0.2548688	0.3469716	0.5141640	0.2737602	0.2591414	0.6405888	0.2440381	0.1128623	0.1958186	0.1786985	0.1817043	0.2128837	0.1370005	0.0005100	0.4690289	0.8564988	0.0305027	0.3667374	0.5390214	0.4185794	0.0756587	0.0058342	0.7633952	0.2725838	0.5126911	0.6377003	0.6132374	0.3377656	0.3022214	0.5834177	0.6677065	0.6064576	0.7244010	0.2130454	0.8091947	0.1316002	0.5074601
250	0.5292326	0.0961238	0.0812236	0.0361317	0.1683779	0.5538826	0.4873470	0.5706447	0.3638629	0.2713462	0.6128110	0.3082333	0.1299645	0.5370582	0.0332125	0.1670710	0.1151657	0.3738330	0.1472019	0.6883422	0.1015049	0.0283475	0.4130134	0.3922027	0.0108761	0.0210926	0.0549966	0.7778514	0.5682203	0.7406534	0.4782291	0.6387517	0.1157947	0.6481833	0.3895997	0.3338403	0.4609456	0.5247239	0.4712335	0.3219751	0.0136850	0.2358961	0.2443277	0.7393721	0.6642089	0.0095558	0.3272458	0.0230192	0.4053406	0.6857053	0.1306683	0.4588590	0.0506775	0.4424650	0.4764522	0.1590555	0.2614644	0.1985756	0.3343799	0.5895066	0.6324195	0.7476681	0.3777590	0.2628570	0.2671012	0.4557700	0.2173501	0.1693297	0.6681517	0.2237989	0.1460043	0.1093265	0.1261599	0.2126764	0.2090966	0.1455721	0.0008776	0.4928436	0.6919815	0.0289580	0.4004315	0.6163643	0.5972670	0.0715026	0.0031843	0.8768645	0.2606438	0.5889960	0.4164296	0.7358798	0.3231670	0.4133933	0.6221640	0.7312466	0.7280770	0.6652553	0.3388995	0.7391069	0.1780588	0.5461384
300	0.5642398	0.0911648	0.0760530	0.1229769	0.1784773	0.5227534	0.5542136	0.5535499	0.3728629	0.3952074	0.6084295	0.1983483	0.1128057	0.4197036	0.0302695	0.2000812	0.1810832	0.4661837	0.0674333	0.7090430	0.0733150	0.0419035	0.5424302	0.3334599	0.0263373	0.0162000	0.0221648	0.6507109	0.4562081	0.7158491	0.5604360	0.8049414	0.1243358	0.5303650	0.4773514	0.3804209	0.5012628	0.4889227	0.4153583	0.3784458	0.0081390	0.2412057	0.2737889	0.6675333	0.8162514	0.0050373	0.3025940	0.0232754	0.4638122	0.7205319	0.1534927	0.4868517	0.0325496	0.3674568	0.6442608	0.1363604	0.3404539	0.2649097	0.4228816	0.6215773	0.7245623	0.7691137	0.3328291	0.2796322	0.2815623	0.5804482	0.2832310	0.3226285	0.6165917	0.2758641	0.1757045	0.1357755	0.1147732	0.2548250	0.1121993	0.1127962	0.0002759	0.4850828	0.7345878	0.0480903	0.3222978	0.6968494	0.5956869	0.0411758	0.0040582	0.6707521	0.2674935	0.5736984	0.3985799	0.8255151	0.3271311	0.2679404	0.6550654	0.6846391	0.8572762	0.7353962	0.3057121	0.7192985	0.1588902	0.4898865
350	0.6733972	0.1035459	0.0458352	0.1193994	0.1397313	0.5213654	0.4341261	0.7302166	0.3638137	0.2727479	0.6013650	0.3227312	0.0857725	0.5114867	0.0343004	0.1882652	0.1550986	0.4193645	0.1210856	0.7289181	0.1305616	0.0159531	0.4740389	0.3655106	0.0223681	0.0283689	0.0472592	0.7813965	0.4669759	0.7241555	0.5034906	0.6746572	0.0724000	0.5541100	0.4059070	0.3350659	0.3840561	0.4385358	0.4053496	0.3113137	0.0118502	0.2540222	0.2994190	0.7498612	0.6119121	0.0103696	0.3329922	0.0073611	0.5035096	0.7560053	0.1675402	0.4672751	0.0689394	0.2166063	0.6397715	0.1499951	0.3009527	0.2604492	0.4305386	0.6431129	0.6126827	0.6720125	0.3328020	0.2532308	0.2976673	0.5408587	0.4002007	0.2164242	0.6923178	0.1989046	0.1616438	0.1752230	0.1571113	0.2208801	0.1798922	0.1664604	0.0035914	0.4191093	0.6961686	0.0386955	0.3791461	0.6440470	0.5050358	0.0382248	0.0045104	0.6095186	0.2678671	0.4904317	0.2152983	0.7010907	0.3161683	0.2441810	0.7460596	0.7004205	0.7189074	0.7742032	0.2973446	0.6935215	0.1320761	0.4284289
400	0.7093143	0.1358228	0.1111265	0.0648613	0.1389682	0.5664277	0.5064616	0.5327372	0.3115826	0.2622871	0.5103998	0.2589235	0.1050978	0.3612862	0.0400530	0.1777199	0.1117295	0.4356436	0.1679798	0.7106951	0.1114596	0.0090976	0.4375515	0.3416352	0.0342898	0.0140426	0.0471614	0.6763935	0.5041353	0.6482718	0.4954632	0.7687960	0.1289424	0.7200571	0.3282537	0.3489332	0.3463193	0.6010456	0.4927601	0.3278262	0.0048960	0.2616584	0.2246442	0.7241620	0.6691403	0.0056781	0.3473263	0.0190720	0.5326033	0.5820191	0.2566970	0.4952296	0.0407731	0.3099083	0.6317635	0.1007054	0.3473826	0.2011071	0.4378301	0.7121457	0.5300252	0.6861406	0.3675846	0.2724214	0.2297773	0.6659697	0.3241781	0.2811678	0.5902492	0.2123370	0.1678083	0.2358287	0.1535250	0.2287243	0.2513722	0.1650067	0.0000000	0.3320814	0.6905956	0.0327832	0.4258126	0.5652703	0.4948327	0.0473863	0.0128633	0.5887460	0.2572780	0.4164334	0.1386589	0.6460724	0.2709864	0.1796129	0.7472027	0.6793170	0.8394499	0.8093860	0.2379601	0.8348394	0.1477093	0.4876090
