G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.0000000	0.0496009	0.0820176	0.0081372	0.3124399	0.7422243	0.6694440	0.4496800	0.3937772	0.5349531	0.6543167	0.5618887	0.4505297	0.4287653	0.4647943	0.0346489	0.3451209	0.5503198	0.6774242	0.2694506	0.6138080	0.6056857	0.6493108	0.4215240	0.3532929	0.3914538	0.2480678	0.7153083	0.6722588	0.3516115	0.2510139	0.0404107	0.0731328	0.0371993	0.0007005	0.5255141	0.0765631	0.0706017	0.6343663	0.4497745	0.7390622	0.6251303	0.2749487	0.0526646	0.4039359	0.5271357	0.5985140	0.0439825	0.2864507	0.2976027	0.6957562	0.4895153	0.7359321	0.7542563	0.0356745	0.6338316	0.6953780	0.6751601	0.3360829	0.1773271	0.0869546	0.2499056	0.7372560	0.1024915	0.5732396	0.4992646	0.7715745	0.6010391	0.6243222	0.5837260	0.0299900	0.1494162	0.6532164	0.6716874	0.1656289	0.7796947	0.5711827	0.0185099	0.5826684	0.1585782	0.7133714	0.0004882	0.7378321	0.7523231	0.0236362	0.1543923	0.2546066	0.3575204	0.5942084	0.0639891	0.5270783	0.7155280	0.0568779	0.0108747	0.0140708	0.5754339	0.7741686	0.0883298	0.5790925	0.1260804
0.4025201	0.0000000	0.6195325	0.2446894	0.1582610	0.3821013	0.1764950	0.2372300	0.3443451	0.4683950	0.5117177	0.3792086	0.5588417	0.4293778	0.4743803	0.0563916	0.4773085	0.4922635	0.6841392	0.2599739	0.5948199	0.5200125	0.7588177	0.3995124	0.3835293	0.4494180	0.2384214	0.6921447	0.6059666	0.3423466	0.2749563	0.0377150	0.1368291	0.0222878	0.0020376	0.5206080	0.0809969	0.0302065	0.5095537	0.4292372	0.6092212	0.6563171	0.2958779	0.0444747	0.4516855	0.4493103	0.7499875	0.0416840	0.2809618	0.3822438	0.5967277	0.5304361	0.7113062	0.7550991	0.0131131	0.6713149	0.7115186	0.6581023	0.4110177	0.1545227	0.0668891	0.3383962	0.6634399	0.0605362	0.5775863	0.4414729	0.6320631	0.6155663	0.6372341	0.7974825	0.0272853	0.1726567	0.6902504	0.6984752	0.0851731	0.7577431	0.7146549	0.0156194	0.6975032	0.2544647	0.8986171	0.0024011	0.4187583	0.6704999	0.0053838	0.1235387	0.3128119	0.2962195	0.5313586	0.0689337	0.6300374	0.5915770	0.0190468	0.0189825	0.0532787	0.7083732	0.7077636	0.0613246	0.7406073	0.1690085
0.4241611	0.0090220	0.0000000	0.3480629	0.3086250	0.3494022	0.1559834	0.1856621	0.3570831	0.5799824	0.6181882	0.5273962	0.3166017	0.3548141	0.4317158	0.0299797	0.5960205	0.3996936	0.6791142	0.2404977	0.5242631	0.6932866	0.6813507	0.3423733	0.3476503	0.4796436	0.3637277	0.6616426	0.7729261	0.3542254	0.2838390	0.0698109	0.1394827	0.0284044	0.0003904	0.4265116	0.0972210	0.0224561	0.6848249	0.4326660	0.6600530	0.5371415	0.3152844	0.0726187	0.3773728	0.5269450	0.7988115	0.0406547	0.3758419	0.3708606	0.5640318	0.4885773	0.6619887	0.5805807	0.0586941	0.6340935	0.6236390	0.5301358	0.5183190	0.1479159	0.0892256	0.2333909	0.6454950	0.1368344	0.6622971	0.4633607	0.5917295	0.6514369	0.7442976	0.6929705	0.0328463	0.1321194	0.6686190	0.7298856	0.1278303	0.6731469	0.6198389	0.0222326	0.6722684	0.2248459	0.6298463	0.0006373	0.3918086	0.6454898	0.0186517	0.1193695	0.3330785	0.4124625	0.3945073	0.0313337	0.6916413	0.7267390	0.0495241	0.0290753	0.0163190	0.5568061	0.5810704	0.0935859	0.6183825	0.2065759
0.4058637	0.0106919	0.6533809	0.0000000	0.1788616	0.4909619	0.1713981	0.2183218	0.3417781	0.5139649	0.4314059	0.5151970	0.5404176	0.3530183	0.4448132	0.0416573	0.4924845	0.4654092	0.5718095	0.3069579	0.5724277	0.6789432	0.6668504	0.4023663	0.3056214	0.3863517	0.3313929	0.7781595	0.8304201	0.3219871	0.2706448	0.0609842	0.0573159	0.0523354	0.0015354	0.5350804	0.0472915	0.0213072	0.6870308	0.4791443	0.6902290	0.5550178	0.2799468	0.0736419	0.3395510	0.6206614	0.8128288	0.0342278	0.3154911	0.3343167	0.5819997	0.4791401	0.6527289	0.6790207	0.0143752	0.6929081	0.6786297	0.5129872	0.3587885	0.1643690	0.0961298	0.2267967	0.6311599	0.1577236	0.6813686	0.4999744	0.7742607	0.5874747	0.6662621	0.6228895	0.0263587	0.1779033	0.6746551	0.6847364	0.1457681	0.7111258	0.5731580	0.0175707	0.5730702	0.2140591	0.7371516	0.0044303	0.6160029	0.6741610	0.0055833	0.1961092	0.2673916	0.3001014	0.6543882	0.0106858	0.5889533	0.6480242	0.0547273	0.0251714	0.0024981	0.6572028	0.7269948	0.0921555	0.6440624	0.2171231
0.3562261	0.0074087	0.5928953	0.3658479	0.0000000	0.3784552	0.1509992	0.1653675	0.3213078	0.5030205	0.4936217	0.3915081	0.5487088	0.4935537	0.3763077	0.0332038	0.4995446	0.3881643	0.6405315	0.2365420	0.5976918	0.7572204	0.7045861	0.5089595	0.4163172	0.4551948	0.1932337	0.6412090	0.7519640	0.3894392	0.3209991	0.0220180	0.1226002	0.0789087	0.0119216	0.4517368	0.0765564	0.0284212	0.6694656	0.4468582	0.9065074	0.6082920	0.3104516	0.0277758	0.4088573	0.5553593	0.6564157	0.0430361	0.3145374	0.2631743	0.6524366	0.3799010	0.6826613	0.6499903	0.0282205	0.7192750	0.6996007	0.5680309	0.3760804	0.1620041	0.0827527	0.3078724	0.6604778	0.1209532	0.7026945	0.5050079	0.6388635	0.5691724	0.7495588	0.5718479	0.0783680	0.2159094	0.6146182	0.6963933	0.1600532	0.7986211	0.6785744	0.0386801	0.6655729	0.1277344	0.6476170	0.0000881	0.3715937	0.7934930	0.0163851	0.1581360	0.2723308	0.2696194	0.4915809	0.0264231	0.6889810	0.7064560	0.0505837	0.0265020	0.0185367	0.6026295	0.6923944	0.0849022	0.8110950	0.2393359
0.6671202	0.0112910	0.6622452	0.4469157	0.1354910	0.0000000	0.1853129	0.1584526	0.3412855	0.6844790	0.5445641	0.3919993	0.3358093	0.2536089	0.2153666	0.0476919	0.5855743	0.1184508	0.1195919	0.0557588	0.6115153	0.7926432	0.7239579	0.6768286	0.4347998	0.1015737	0.1573164	0.0913133	0.0909633	0.6582736	0.2868626	0.6578874	0.5966928	0.0171867	0.1029499	0.0545948	0.4586647	0.0597620	0.6754089	0.6707337	0.6805750	0.5812059	0.2738208	0.0503286	0.3847617	0.5581342	0.6695920	0.0735307	0.2630472	0.4731022	0.4649864	0.3329724	0.1372368	0.5170163	0.0205537	0.7572145	0.7589153	0.5388439	0.3759578	0.1650958	0.0228997	0.0880444	0.6542844	0.1412152	0.6862551	0.5724338	0.6308911	0.0749518	0.7195861	0.7503520	0.0606835	0.1329040	0.8194862	0.6017941	0.1193582	0.8602014	0.7047319	0.2007564	0.6866485	0.2151658	0.8060069	0.0056427	0.5970232	0.6749335	0.0363827	0.0970776	0.1287467	0.6732610	0.0784908	0.0293876	0.6364501	0.6447566	0.1459898	0.0864290	0.0411159	0.6617933	0.6978557	0.0612294	0.6815616	0.2695591
0.4641390	0.0142354	0.7858848	0.3659169	0.1810094	0.4438290	0.0000000	0.2377900	0.3533934	0.6101522	0.5548849	0.5074987	0.4835235	0.3658802	0.4718269	0.0339357	0.4428264	0.5025948	0.6900441	0.2818214	0.6016090	0.6243315	0.9296316	0.4635726	0.4102647	0.3811689	0.2351459	0.8191208	0.6536776	0.3190824	0.3238307	0.0395497	0.1361721	0.0334609	0.0006804	0.4214116	0.1245591	0.0367051	0.6412875	0.4495975	0.6956023	0.6840035	0.3524235	0.0589880	0.3647176	0.6672499	0.7239349	0.0852662	0.2906072	0.3329919	0.5635303	0.5339935	0.6909863	0.6272283	0.0312556	0.6762606	0.6460414	0.5813652	0.3387152	0.1040098	0.0563985	0.2733424	0.7308502	0.1236819	0.6482236	0.4371589	0.5503233	0.7418826	0.6414991	0.7417199	0.0291566	0.1814006	0.7565247	0.6175704	0.1283293	0.6960396	0.6326281	0.0395002	0.8017986	0.2313034	0.7367788	0.0021411	0.5036580	0.6789098	0.0207261	0.1600885	0.3040664	0.3439103	0.4946149	0.0174142	0.6252380	0.7299745	0.0257586	0.0363895	0.0145828	0.7972103	0.6713406	0.0741807	0.6667614	0.2373532
0.3300865	0.0077867	0.6737141	0.3361712	0.1538274	0.4984011	0.1820919	0.0000000	0.3985122	0.4886351	0.5423927	0.4940210	0.5177673	0.4145410	0.4313372	0.0650968	0.4723693	0.4833105	0.7399737	0.2684873	0.6146699	0.6772359	0.6749704	0.5299603	0.3233090	0.3991756	0.2963339	0.6088288	0.7172741	0.2847911	0.3057378	0.0369292	0.1490958	0.0342126	0.0078359	0.4535716	0.1134617	0.0461303	0.5543681	0.4090339	0.7189387	0.5277095	0.2797141	0.0750119	0.3804490	0.5179885	0.7419537	0.0131439	0.3612710	0.3786503	0.5079452	0.5722134	0.5989502	0.6605901	0.0408171	0.6095852	0.6498737	0.5315553	0.3258604	0.1466214	0.1158672	0.3333356	0.7877636	0.0994047	0.6217527	0.4501804	0.7091067	0.5846717	0.6628612	0.5957721	0.0335706	0.1526752	0.6456273	0.7147481	0.1515393	0.7418209	0.5995719	0.0101248	0.6109626	0.2243283	0.6723954	0.0067370	0.4314867	0.6238617	0.0050319	0.1992027	0.3317202	0.3335629	0.5465141	0.0422230	0.6472480	0.6821095	0.0197917	0.0459958	0.0201952	0.7422384	0.6190495	0.0575131	0.6215374	0.1865982
0.4840424	0.0015158	0.7024359	0.6097784	0.1184947	0.2352422	0.1992195	0.0806113	0.0000000	0.5354867	0.1706811	0.3725496	0.6587323	0.6915046	0.5301442	0.0469080	0.4365804	0.1026052	0.7286813	0.0856383	0.6171573	0.6783409	0.6839669	0.6721281	0.3273282	0.2594981	0.2012927	0.7312558	0.7122181	0.2934590	0.2919770	0.0419741	0.2078499	0.0415793	0.0803762	0.4200286	0.0940168	0.3753190	0.5008258	0.8239696	0.5631245	0.6755037	0.2650793	0.0502656	0.3171097	0.6076126	0.5225212	0.3157702	0.2651818	0.3060025	0.6054942	0.4525916	0.8150051	0.6020092	0.0226173	0.6754581	0.7964113	0.5062706	0.3754683	0.2284235	0.0325716	0.1202533	0.6679677	0.1247685	0.6568489	0.6901318	0.7957498	0.7426938	0.7215420	0.7052949	0.0503725	0.1960085	0.6309608	0.6141259	0.2205354	0.7538952	0.7001527	0.0097381	0.7905388	0.1902206	0.7514867	0.0007988	0.4467755	0.6656370	0.0095425	0.1476537	0.3171148	0.4200230	0.2531955	0.2912307	0.1215013	0.6418357	0.0510741	0.0153010	0.0282208	0.6736258	0.8206758	0.1814625	0.7180465	0.1827280
0.4234898	0.0075213	0.6502580	0.3340917	0.1936764	0.5574151	0.1778176	0.2688585	0.3128185	0.0000000	0.5073503	0.3317654	0.4022795	0.3477927	0.3666690	0.0383918	0.5266408	0.3531351	0.6885536	0.2357136	0.6092320	0.7011143	0.6709248	0.4048095	0.3844607	0.3607230	0.2929548	0.7730852	0.8460031	0.2863528	0.3295832	0.0714468	0.1204843	0.0506401	0.0051354	0.5842173	0.0707933	0.0421847	0.6156326	0.3556063	0.6060339	0.6532465	0.2490205	0.0577144	0.3454145	0.6044631	0.6035211	0.0474607	0.2817552	0.2950233	0.6669149	0.4323291	0.7077985	0.6735161	0.0336785	0.7333099	0.4885654	0.6821694	0.2896098	0.1990284	0.0620370	0.3451006	0.6057799	0.0999802	0.6586718	0.5303870	0.6399022	0.5353372	0.7448843	0.6483925	0.0686629	0.2361958	0.6136946	0.7288728	0.1087889	0.6997295	0.7862947	0.0078885	0.7197908	0.2133187	0.6404832	0.0018411	0.3858105	0.6898738	0.0203995	0.1386097	0.3024198	0.3204364	0.4906561	0.0313582	0.6494535	0.6226626	0.0393725	0.0302715	0.0208829	0.7646316	0.6300867	0.0364197	0.5939336	0.2364043
