G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.1303599	0.2484596	0.1376497	0.4360247	0.0000000	0.4794189	0.0000000	0.1471750	0.0835703	0.2323691	0.8211056	0.2990042	0.5616672	0.5580204	0.6334228	0.1233516	0.5092123	0.4958010	0.2788683	0.1403452	0.0174688	0.0717309	0.3933690	0.2739666	0.4573534	0.6912059	0.4923510	0.5753726	0.0355557	0.6781180	0.1077182	0.0120157	0.2790205	0.1342400	0.7244547	0.4657986	0.6618967	0.5213448	0.5032611	0.6363941	0.0257347	0.7040607	0.6515006	0.4948259	0.6148826	0.4717834	0.5534683	0.5037297	0.4209053	0.1324630	0.6718617	0.5992746	0.1598207	0.4409335	0.6576977	0.4023220	0.4333128	0.2775743	0.0895025	0.5622432	0.3791603	0.3238725	0.7782814	0.1621647	0.2187738	0.7021892	0.3126766	0.4036168	0.6342276	0.0186645	0.3198815	0.0092905	0.0125127	0.0776201	0.2390832	0.7408133	0.1340663	0.1165656	0.1439733	0.0018902	0.5264665	0.0768179	0.5302596	0.6519440	0.0000000	0.0094649	0.7139836	0.3105846	0.2178426	0.6693316	0.6636961	0.5798969	0.5816953	0.1211489	0.2907025	0.7627039	0.1546952	0.7160631	0.6550053	0.6045000
0.4105451	0.5083408	0.5556293	0.6511887	0.6276138	0.0140965	0.7137794	0.4894563	0.0974857	0.8223303	0.0212582	0.1867897	0.0010364	0.1775234	0.0123287	0.1191936	0.4006767	0.0211036	0.1007940	0.0010794	0.1007452	0.4877303	0.8514975	0.5903921	0.4843556	0.7712906	0.3944630	0.5119870	0.4558478	0.7190188	0.2391490	0.0096477	0.2334874	0.1150648	0.7121078	0.5955536	0.0000000	0.0109539	0.0899612	0.6720322	0.0004812	0.8805448	0.6158588	0.6562922	0.6254134	0.0000000	0.1119617	0.0000000	0.2897042	0.2457623	0.6457162	0.0000000	0.0000000	0.5345575	0.4557056	0.7651393	0.5676080	0.6271619	0.0227136	0.4836223	0.2890611	0.6402259	0.7897505	0.3517948	0.2190831	0.5966008	0.1384125	0.3208018	0.1824266	0.8475011	0.7255967	0.5096054	0.4571396	0.6898907	0.4957026	0.0656825	0.5078983	0.0927111	0.1952664	0.0002417	0.8545205	0.0484804	0.5774577	0.0558527	0.6373338	0.0001003	0.1390916	0.1414772	0.7082678	0.7151149	0.6273589	0.4683523	0.6061522	0.4100079	0.3260139	0.6578995	0.2237672	0.6961535	0.7756209	0.6585501
0.3795858	0.3015336	0.3352658	0.5573297	0.0000000	0.5324345	0.0000000	0.3640485	0.1054431	0.6401119	0.2333186	0.4065132	0.6040728	0.6363168	0.7395216	0.1013913	0.4133938	0.5742080	0.3129778	0.1100649	0.0173236	0.0693996	0.7188365	0.5932770	0.5134989	0.6901177	0.5688452	0.4376293	0.3700309	0.6599936	0.2186621	0.0090688	0.2223939	0.1250950	0.6274344	0.5169387	0.0000000	0.0794451	0.0845313	0.7057978	0.0011496	0.6230246	0.7052978	0.5699915	0.7151731	0.0000000	0.0707450	0.0000000	0.2827417	0.1991499	0.6395474	0.0000000	0.0000000	0.4870315	0.3860702	0.8313331	0.7450002	0.6816556	0.0279487	0.5101695	0.3222881	0.6485705	0.7228069	0.4314016	0.1867508	0.6753736	0.1867320	0.3079768	0.1950290	0.7483099	0.7411153	0.5268308	0.3885707	0.6478626	0.4853348	0.1063546	0.5139643	0.1823061	0.1484426	0.0004568	0.5595348	0.0551727	0.5916216	0.0599071	0.5071976	0.0003991	0.0942057	0.1337201	0.6782769	0.7204939	0.5843221	0.4823950	0.5744845	0.3858757	0.3550133	0.5698159	0.2197524	0.6423143	0.6585977	0.7566972
0.4355021	0.4298986	0.6893186	0.5354553	0.7340704	0.0108912	0.7194425	0.4676537	0.6390622	0.5184197	0.2294711	0.3686833	0.6305481	0.2236241	0.0064667	0.1293809	0.1430787	0.0000000	0.0967476	0.0041899	0.0394171	0.4551974	0.7185109	0.5808164	0.6890661	0.9369965	0.4276022	0.4579845	0.2631528	0.6497677	0.2784214	0.0163793	0.1835417	0.1083268	0.7914846	0.4339228	0.0000000	0.4338311	0.5543062	0.6265939	0.0058440	0.6669749	0.5646254	0.5965221	0.7216282	0.0000000	0.0818628	0.0000000	0.2193734	0.1654255	0.8184929	0.0000000	0.0000000	0.4945081	0.4041875	0.7082548	0.7335705	0.4393531	0.0366242	0.3857588	0.2746438	0.6205821	0.6329221	0.3941153	0.3310795	0.6099517	0.1389087	0.3947500	0.1703273	0.6934743	0.6151119	0.5173314	0.5052000	0.7122851	0.5116181	0.0645824	0.5518086	0.1178883	0.1419951	0.0014015	0.5928983	0.0598194	0.5994228	0.5708727	0.0000000	0.0131240	0.6291921	0.3574347	0.5678562	0.7410696	0.5648185	0.6317222	0.5289963	0.3703406	0.3745735	0.7555931	0.2120211	0.7850201	0.6575015	0.7966210
0.3855432	0.4623546	0.5657387	0.5818686	0.7971743	0.0200292	0.7979570	0.4952729	0.0622117	0.4256008	0.0115631	0.2280207	0.0018686	0.1668143	0.0082430	0.2108837	0.5035455	0.5213360	0.1354924	0.1656587	0.0650017	0.2064988	0.6751459	0.6355313	0.4721113	0.6633858	0.4934693	0.4262946	0.2617976	0.7607514	0.1862555	0.0231041	0.1807543	0.1294298	0.6369331	0.5860155	0.0000000	0.0264712	0.1209059	0.6726525	0.0000000	0.7606307	0.7036542	0.5346785	0.6378913	0.5679802	0.5968908	0.2471536	0.4285638	0.1528763	0.7211985	0.6908052	0.1851580	0.4987006	0.7675702	0.4032316	0.4893826	0.5601307	0.4682836	0.7249403	0.7644987	0.6812432	0.0000000	0.3183568	0.2359715	0.6165702	0.1532451	0.3170954	0.1724256	0.6560616	0.6447287	0.4140632	0.4987318	0.6945804	0.2779356	0.1007364	0.5692818	0.6992848	0.8106829	0.5226230	0.5528832	0.1223932	0.5250617	0.0660360	0.6470168	0.0001471	0.1225439	0.0973608	0.6526502	0.8160333	0.6610812	0.5705286	0.4970956	0.4411415	0.3789291	0.7154491	0.1787444	0.6595214	0.6341419	0.5935338
0.4489555	0.4395139	0.6914782	0.4421233	0.7728338	0.0079562	0.7106320	0.4686638	0.1228927	0.6792826	0.0060758	0.1537022	0.0010520	0.1967776	0.0053836	0.1301298	0.4399784	0.0401008	0.1841103	0.1075067	0.0214831	0.4673513	0.6590267	0.5679416	0.4528694	0.7034660	0.4296204	0.4938300	0.3397998	0.6646628	0.2336915	0.0273039	0.2354029	0.0928426	0.6349360	0.5527632	0.0000000	0.0641643	0.0900577	0.6531596	0.0000000	0.7691887	0.7205806	0.5816859	0.7286428	0.0000000	0.1017182	0.0000000	0.1905122	0.2668648	0.6861709	0.0000000	0.0000000	0.4623803	0.4660692	0.5700133	0.6890627	0.6608223	0.4123551	0.7360920	0.6386855	0.5368847	0.0000000	0.3038411	0.1940280	0.5283242	0.1749986	0.3967598	0.2550278	0.8532734	0.6728323	0.4730356	0.4644981	0.7234850	0.1631372	0.1361630	0.4932127	0.6530637	0.7228443	0.5237158	0.5652786	0.0694274	0.6200255	0.0757735	0.5042895	0.0005712	0.1503751	0.1272624	0.6950538	0.7646955	0.7222158	0.5680688	0.5430748	0.2536501	0.3619606	0.6815736	0.1946525	0.5742728	0.6397835	0.7050204
0.0000000	0.1377049	0.0548757	0.2007959	0.0000000	0.7738949	0.0000000	0.2185642	0.0483205	0.3317197	0.2896717	0.3368497	0.6575148	0.7557740	0.6829903	0.3589824	0.6126483	0.6572989	0.3253194	0.0722554	0.0411347	0.0834533	0.3764389	0.3132155	0.1432537	0.6294313	0.4623270	0.5607737	0.0551357	0.5882781	0.1685073	0.0202231	0.2238110	0.0920426	0.8050720	0.4728030	0.6003232	0.0407683	0.0654019	0.6703124	0.0002151	0.8014214	0.5890238	0.5199429	0.5901664	0.6708574	0.6482149	0.4983885	0.3848397	0.1730550	0.5794549	0.6820328	0.1415299	0.4441288	0.7907494	0.5405723	0.5197970	0.6087419	0.0833679	0.6559831	0.3534689	0.2900202	0.7442881	0.1763010	0.2668524	0.7168070	0.3270369	0.4727700	0.5725202	0.0150038	0.1969479	0.0143838	0.0239836	0.1107068	0.2630176	0.7146580	0.1194140	0.1611128	0.1368280	0.0045648	0.5663679	0.1321749	0.6633406	0.0373117	0.5907955	0.0004840	0.1253707	0.1061144	0.1732935	0.7682492	0.5745231	0.5813789	0.5917547	0.1419149	0.2596790	0.7846816	0.1876196	0.7879303	0.6622215	0.7041765
0.3161154	0.4925786	0.6296035	0.5103511	0.6789340	0.0161729	0.7191474	0.6175266	0.1007224	0.5767084	0.0278564	0.1486914	0.0003177	0.1608493	0.0102092	0.2220540	0.4644533	0.5262517	0.1172320	0.0132028	0.0574777	0.2213624	0.6470532	0.6711860	0.4439016	0.6664519	0.4360050	0.6055131	0.3978097	0.6316544	0.0390925	0.0088117	0.1664044	0.0955554	0.6667310	0.5047753	0.0000000	0.0583985	0.0592412	0.6406686	0.0006540	0.7112762	0.5749669	0.0000000	0.6908692	0.4136090	0.5613047	0.2006168	0.3274808	0.0011119	0.7016056	0.6709267	0.1736701	0.4227400	0.5916217	0.4288437	0.5245442	0.4608005	0.2452716	0.5905791	0.5324095	0.4172689	0.2834138	0.0000000	0.2608889	0.6538417	0.1933090	0.4199718	0.2404651	0.6499313	0.6558595	0.4938326	0.4997532	0.6829856	0.2419948	0.0457111	0.6312604	0.2180062	0.4360678	0.0525589	0.5525238	0.0772287	0.5927602	0.0520461	0.5821932	0.0004881	0.1568293	0.0934378	0.7466843	0.7962119	0.6491253	0.6225732	0.7337983	0.0327142	0.2734995	0.8559892	0.1539622	0.8153770	0.6439523	0.5799061
0.2243996	0.3888408	0.7112071	0.3062742	0.7051034	0.0194282	0.6293349	0.4199691	0.0704774	0.3799902	0.0185864	0.2203958	0.0018719	0.2198629	0.0257103	0.2139394	0.4097966	0.5441972	0.0636655	0.0020391	0.0491321	0.2315580	0.3960604	0.2904696	0.1132088	0.6505406	0.4901393	0.7486056	0.0589684	0.7021063	0.1795699	0.0224943	0.2069288	0.1001565	0.6640552	0.5163271	0.6201482	0.0448647	0.0765371	0.6157837	0.0062797	0.7486671	0.5817639	0.5234461	0.7040058	0.4935126	0.5851270	0.5097692	0.4446062	0.1783495	0.6320889	0.5506396	0.2728807	0.4877083	0.7306080	0.4353053	0.5197858	0.4538924	0.0695132	0.5610295	0.2325737	0.2877398	0.6432267	0.0000000	0.2445306	0.6271471	0.2862872	0.5858471	0.5828219	0.0160576	0.1910678	0.0121059	0.0423856	0.1088973	0.2574367	0.8002629	0.0632442	0.1159806	0.1731896	0.0001905	0.5161757	0.1059430	0.6267905	0.0827621	0.5300915	0.0011764	0.1743503	0.1327590	0.1933565	0.6914983	0.5765324	0.6290058	0.0000000	0.0147140	0.0000000	0.8870880	0.1693654	0.6663898	0.6371637	0.7986920
0.4180110	0.3316116	0.3732261	0.4610038	0.0000000	0.5948108	0.0000000	0.3933695	0.1220260	0.4546350	0.2477277	0.3169751	0.6918096	0.5072913	0.7547822	0.3342831	0.6463527	0.7498238	0.3799752	0.1522770	0.0251851	0.0722095	0.7618974	0.6419076	0.4493293	0.6745768	0.4372553	0.5166293	0.3243502	0.6711093	0.2734549	0.0140228	0.2084517	0.1677569	0.7702441	0.5268102	0.0000000	0.0437194	0.1164581	0.7529504	0.0003253	0.7646756	0.7169713	0.6217492	0.7026199	0.4760210	0.5549306	0.1884340	0.4052636	0.1911419	0.7212741	0.5732669	0.1370481	0.4642807	0.6201084	0.4244038	0.6524852	0.4145293	0.1956149	0.5256405	0.4661179	0.5506462	0.6449697	0.3888291	0.2002694	0.7025360	0.1655102	0.3402158	0.2122422	0.7056245	0.7652715	0.6581320	0.4137488	0.7319349	0.4721002	0.0427659	0.5672815	0.1121346	0.1383963	0.0033431	0.5009710	0.0620611	0.6691706	0.0519131	0.3696002	0.0000085	0.1593267	0.1442304	0.7843120	0.7399513	0.6993109	0.5964789	0.4674836	0.3209567	0.4512611	0.6598692	0.1430315	0.8637810	0.6749814	0.6928762
