"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100

0	0.4069002	0.1831940	0.0716894	0.0096554	0.2018736	0.4553140	0.3405669	0.0401958	0.3178418	0.1814374	0.4077387	0.7231424	0.2459956	0.1409834	0.4522345	0.5468669	0.0799462	0.5024426	0.3627538	0.5995894	0.0837266	0.4443834	0.1351519	0.3704935	0.2826107	0.1529521	0.2839414	0.2459773	0.3116971	0.5724972	0.2687069	0.6759993	0.4136258	0.6073208	0.7655927	0.2387108	0.4536007	0.7271353	0.4702588	0.3232765	0.2237839	0.5207108	0.4539547	0.5207052	0.5576892	0.1333054	0.3470763	0.0400701	0.7279629	0.4170247	0.7166121	0.2987317	0.1159191	0.3405092	0.3722868	0.2911318	0.3508751	0.0055087	0.2654168	0.0760083	0.3692487	0.5121003	0.6684208	0.5219503	0.1924361	0.7148658	0.3122614	0.5249951	0.3886095	0.3138160	0.2969843	0.2379196	0.4633830	0.0789548	0.1827056	0.6868054	0.0868010	0.2385871	0.2891739	0.6368281	0.1571288	0.2975653	0.0096200	0.3017862	0.6075372	0.7349600	0.2820360	0.2351125	0.4368439	0.0671928	0.6028474	0.7072043	0.7414975	0.6285470	0.2896051	0.6579723	0.7377847	0.0926892	0.8515535	0.6443386
50	0.0770853	0.0538767	0.0100902	0.0437071	0.0649600	0.4752559	0.2516376	0.0275706	0.3320391	0.0703627	0.3873767	0.4759668	0.5310629	0.0889276	0.4713509	0.6033436	0.0825636	0.5852589	0.3859640	0.6773089	0.0615866	0.4694631	0.1692316	0.3542884	0.2431712	0.1017521	0.2467842	0.2080452	0.3388054	0.4411358	0.5400422	0.6468440	0.2263484	0.5297137	0.6815003	0.2841218	0.8169560	0.6575715	0.4693703	0.3949345	0.3923994	0.5999634	0.4782759	0.6079477	0.4428829	0.0401944	0.1576537	0.0095179	0.7101052	0.2839213	0.7050487	0.2183493	0.0700906	0.4867815	0.3348112	0.1571227	0.3434029	0.1448320	0.2175622	0.4887216	0.2860307	0.2518196	0.6578208	0.4984949	0.1674561	0.4708650	0.4643883	0.5698715	0.3354862	0.3227694	0.2981147	0.2594202	0.4353912	0.0541337	0.4158008	0.5036088	0.0526927	0.3786386	0.2501854	0.4203146	0.1879204	0.5344669	0.0155424	0.3606839	0.6594234	0.6111424	0.2259868	0.2505171	0.5072320	0.1133138	0.6439628	0.4716774	0.6772167	0.6177755	0.4708896	0.6861893	0.7145511	0.0553501	0.7396095	0.5302164
100	0.0355813	0.0254925	0.0055562	0.1973146	0.0967693	0.5265725	0.1513434	0.1060382	0.4186503	0.0251342	0.2502468	0.4009771	0.4070134	0.0768095	0.4802308	0.7404472	0.0480491	0.3899250	0.5994728	0.6785978	0.3782919	0.4323062	0.0456772	0.3058557	0.1802748	0.1520323	0.2980615	0.2231589	0.3898788	0.4776387	0.6657962	0.6219937	0.1341074	0.5671677	0.6472216	0.2032898	0.5482498	0.5793702	0.4400619	0.4319534	0.3903892	0.7424496	0.5897591	0.6815268	0.5649899	0.0306013	0.1575762	0.0154036	0.6611782	0.3154723	0.6670621	0.1942317	0.0587939	0.5309307	0.3225733	0.2340427	0.2785154	0.1861033	0.2056444	0.6350349	0.2407851	0.2976133	0.6634042	0.6645706	0.2120371	0.3899386	0.6085886	0.5150398	0.3502679	0.2906797	0.4535672	0.2929701	0.4630646	0.1355188	0.3684335	0.5519254	0.0506715	0.3480405	0.2392192	0.3457517	0.1907879	0.7061268	0.0177942	0.2858917	0.7727988	0.6819732	0.2030309	0.2751525	0.5114043	0.0793679	0.6276260	0.4557378	0.6180374	0.7275636	0.5268707	0.6611950	0.7010640	0.0992440	0.8250902	0.6177729
150	0.1202298	0.0331595	0.0121612	0.2557389	0.0506879	0.6747875	0.1155998	0.1613104	0.5062912	0.0025329	0.2357455	0.4462478	0.5114458	0.0989844	0.5571704	0.6503843	0.0483961	0.3748388	0.7831890	0.7822926	0.6435505	0.4339087	0.0290655	0.3387153	0.1582414	0.1632476	0.2324799	0.3082395	0.6303892	0.4774812	0.5424563	0.7319623	0.1265062	0.6074769	0.6950466	0.1877395	0.6081199	0.6376405	0.4148513	0.4055729	0.5317941	0.5975010	0.6142148	0.5388947	0.5451469	0.0229084	0.1536814	0.0370444	0.5931720	0.3533099	0.6263572	0.1679853	0.0667752	0.6205865	0.2548582	0.2680112	0.4227175	0.1194208	0.2262278	0.7257013	0.2537692	0.3919320	0.6406839	0.5397609	0.1747814	0.3305873	0.5390878	0.4361894	0.4098245	0.3451723	0.5205400	0.3729403	0.4178046	0.1629979	0.4223632	0.5131298	0.0686469	0.3257718	0.2783101	0.3832780	0.1554645	0.6923015	0.0138813	0.3277511	0.6128119	0.7907481	0.2469766	0.2087284	0.4441123	0.0934368	0.6095553	0.4372855	0.6124810	0.6386728	0.6781355	0.6899969	0.6198162	0.0595718	0.6586384	0.7145494
200	0.0763398	0.0389822	0.0345652	0.2712719	0.0644493	0.6103162	0.0768082	0.1037490	0.5344021	0.0029168	0.3208428	0.4350168	0.4923194	0.1041834	0.5588941	0.7338657	0.0738249	0.3810884	0.7292779	0.6686156	0.8028482	0.4160998	0.0441588	0.3070979	0.1271982	0.1011865	0.3316860	0.2599975	0.6258202	0.4281508	0.6259455	0.7916320	0.1001067	0.5900434	0.6920095	0.2198848	0.7212427	0.6896367	0.4979730	0.3945118	0.5639061	0.5161495	0.6613431	0.5214670	0.5683360	0.0114090	0.1773561	0.0179771	0.6778054	0.3100206	0.7885289	0.2568457	0.0654283	0.5778373	0.2141659	0.1622557	0.3320153	0.2062103	0.2243088	0.5885425	0.3108997	0.3332887	0.7593404	0.6071452	0.1764403	0.2787212	0.4360150	0.4177760	0.3577463	0.3814496	0.4043096	0.4558887	0.3938930	0.1581525	0.3960994	0.6033685	0.0569533	0.2970869	0.2195019	0.2497644	0.2328601	0.6728059	0.0104646	0.3439069	0.7111904	0.6973036	0.3409466	0.2052476	0.7061198	0.0629403	0.5601195	0.3041957	0.5882289	0.5983772	0.7450974	0.6233977	0.6237365	0.0906355	0.6412273	0.6352353
250	0.0786893	0.0761587	0.0202403	0.3155022	0.0743276	0.5934467	0.0864287	0.1463315	0.5391710	0.0002037	0.2682003	0.4432323	0.5696393	0.0837471	0.5252949	0.6872045	0.0774049	0.4392889	0.5890699	0.6053934	0.7330401	0.4030955	0.0138789	0.3372589	0.0852636	0.1082660	0.3308292	0.3114602	0.7549804	0.4214078	0.5134803	0.6838577	0.0909947	0.4356041	0.6949833	0.1932240	0.5956400	0.7166971	0.4028056	0.3350612	0.5166675	0.6748715	0.5819025	0.6267797	0.4737138	0.0358702	0.1721363	0.0332383	0.6343334	0.3699573	0.6541675	0.1729695	0.0769703	0.7172691	0.4008422	0.2432130	0.3070596	0.2187732	0.2142681	0.7594104	0.3130481	0.2739957	0.7527001	0.5477769	0.2295740	0.3108780	0.5839862	0.4121791	0.3606913	0.3795380	0.5097487	0.3881140	0.3239560	0.2077272	0.3199017	0.5675884	0.0555348	0.3714023	0.3433393	0.2671267	0.2220447	0.7145085	0.0227069	0.3294979	0.6386713	0.5837342	0.3918476	0.2418771	0.5672786	0.0409507	0.6755915	0.3624934	0.7007840	0.6712734	0.6553924	0.5305252	0.6100598	0.0718728	0.6329821	0.8594907
300	0.0662181	0.0632396	0.0617154	0.3339363	0.0570604	0.6304657	0.1247925	0.1257893	0.4700776	0.0003694	0.3424174	0.4784245	0.4156078	0.1270145	0.5754343	0.6346139	0.0545127	0.3465826	0.5488284	0.7375568	0.7257587	0.3551367	0.0236138	0.3493315	0.0958548	0.1222764	0.3628118	0.3458473	0.5761122	0.4900695	0.6803072	0.5606246	0.0834334	0.6513842	0.7095223	0.1544291	0.5836724	0.6507482	0.5055766	0.2973100	0.5031046	0.6608038	0.5923934	0.6289494	0.5160461	0.0058159	0.1777818	0.0102024	0.8013219	0.3912815	0.5725715	0.2365307	0.1066433	0.5198346	0.3468998	0.1732160	0.2500733	0.1247884	0.1800432	0.6451275	0.4271605	0.3407482	0.6574272	0.4535395	0.1908155	0.2248728	0.5736539	0.4152195	0.3173002	0.4177149	0.4513104	0.3788250	0.4416867	0.1920608	0.4019638	0.6668021	0.0920835	0.3558378	0.3630387	0.2595501	0.2038384	0.5277814	0.0154062	0.3897356	0.6506133	0.5554995	0.3218643	0.1873815	0.6049131	0.0475346	0.7126671	0.3529262	0.6247138	0.6676401	0.6537386	0.5611514	0.7981473	0.1157336	0.7444929	0.6903420
350	0.0798506	0.0471603	0.0709016	0.2555285	0.0643845	0.7057822	0.2006016	0.1320237	0.4290153	0.0003410	0.2865012	0.4868202	0.5419683	0.0934430	0.5862989	0.7267413	0.1057012	0.3699093	0.6310304	0.6626335	0.5863854	0.3951555	0.0590079	0.2814935	0.1350483	0.1626922	0.2660285	0.4087123	0.5069763	0.5535636	0.7150260	0.6488438	0.0832719	0.4581014	0.6338909	0.1886876	0.6266902	0.6641770	0.4946215	0.4473674	0.5123854	0.5908563	0.7420811	0.6211775	0.6327661	0.0035847	0.1884102	0.0274813	0.6884342	0.2914684	0.6256374	0.2446352	0.0709222	0.5848123	0.3803941	0.2985633	0.4242037	0.1549176	0.1488136	0.6098855	0.3562033	0.4207668	0.7516597	0.5629021	0.2236356	0.2425645	0.5387726	0.6272304	0.3786671	0.3418584	0.4290561	0.4588968	0.4054987	0.2193797	0.2717049	0.4795614	0.0971782	0.3670546	0.3000851	0.3197197	0.2161164	0.5183993	0.0122143	0.3781681	0.5999137	0.6197131	0.3991379	0.1320142	0.6036011	0.0365644	0.6555465	0.4045425	0.6141700	0.7493395	0.5672829	0.7007680	0.7399644	0.0562575	0.6302794	0.9391650
400	0.0575309	0.0601870	0.0673001	0.3208251	0.0357547	0.6185475	0.1668199	0.2342691	0.6323979	0.0010348	0.3403919	0.5128309	0.5247415	0.0921355	0.7097598	0.8051334	0.0471162	0.4549811	0.6262078	0.7201490	0.6788785	0.4077831	0.0342940	0.2172569	0.0546051	0.1410972	0.2654121	0.3551190	0.4864323	0.5159655	0.7127024	0.6159174	0.0554484	0.5999955	0.8181888	0.1883497	0.6219431	0.6672377	0.5232674	0.3904976	0.5508794	0.6802099	0.6415881	0.5645679	0.6785252	0.0068802	0.1372587	0.0133513	0.8295100	0.3700550	0.4927071	0.2572733	0.1262288	0.5272795	0.3200479	0.2509509	0.3617852	0.0976802	0.2339548	0.6673633	0.2947342	0.4130201	0.7200777	0.5204782	0.1928498	0.2996371	0.5173344	0.4822157	0.3496010	0.2468325	0.3874306	0.4610564	0.4738533	0.2287403	0.4569316	0.6330189	0.0417174	0.3366582	0.4170612	0.2663561	0.1896485	0.5637073	0.0271002	0.4313160	0.6050474	0.6701302	0.3725157	0.2117280	0.5628541	0.0482334	0.6822920	0.2942822	0.5533059	0.5700970	0.7519972	0.5949715	0.7013909	0.0749160	0.6188076	0.6637234
