G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.7572595	0.1401199	0.4737501	0.6449147	0.2731243	0.5538851	0.5165125	0.0101326	0.0761665	0.2132066	0.7697130	0.7305993	0.6748197	0.5282005	0.6653477	0.1764068	0.4433611	0.3885435	0.5334583	0.6642344	0.3447394	0.0401988	0.6649620	0.4241272	0.0251512	0.0597500	0.1982363	0.6069230	0.6823394	0.7497532	0.5610237	0.6006353	0.0931216	0.8888191	0.6660159	0.3724879	0.5155305	0.5091155	0.4257330	0.3486714	0.0266031	0.3087553	0.2372662	0.6807742	0.3454128	0.0045855	0.4698426	0.7241483	0.1737599	0.5024831	0.2912067	0.7087937	0.1189364	0.5234364	0.3340342	0.0930900	0.1569932	0.5434358	0.5986901	0.5300934	0.0285307	0.5345120	0.2854223	0.2303753	0.2850690	0.6773614	0.3227664	0.1443157	0.2845815	0.1759677	0.1146142	0.2043482	0.1143725	0.4393549	0.7505232	0.1359730	0.0011505	0.0262552	0.0000000	0.0000000	0.0838747	0.0318090	0.0053755	0.0126238	0.6224271	0.6049118	0.7502829	0.0379514	0.0087029	0.6552333	0.0038097	0.0779321	0.4526870	0.6966009	0.7299018	0.6982716	0.2619872	0.7268392	0.7868102	0.7136289
0.0163138	0.5474256	0.5528505	0.0302229	0.0000000	0.5424299	0.1352054	0.0120895	0.8196447	0.6676285	0.6177703	0.7534970	0.7069936	0.7070473	0.6197223	0.4400628	0.3761491	0.5019931	0.1764061	0.0021396	0.1189514	0.0243059	0.6462595	0.3560319	0.0223247	0.0603542	0.2314997	0.6431533	0.5069888	0.6637276	0.4716336	0.6909698	0.0754151	0.6207696	0.0326552	0.2875273	0.3659185	0.5325458	0.3453166	0.3612321	0.0083914	0.3032562	0.3328951	0.0495218	0.7256229	0.0105459	0.0470104	0.7466977	0.6753142	0.6921186	0.1361438	0.7183669	0.0044742	0.2721473	0.2665001	0.7888611	0.2909658	0.2414333	0.3782663	0.5234114	0.5589777	0.5929433	0.4734339	0.2064140	0.2445217	0.4430141	0.4663029	0.1745599	0.7088954	0.3115988	0.2116798	0.3363100	0.3751654	0.4773284	0.5701213	0.1977134	0.0005287	0.4061989	0.0000000	0.5850350	0.2553129	0.3737498	0.3319329	0.0232498	0.5286347	0.3681264	0.3820753	0.2240518	0.0297870	0.8015820	0.2669618	0.4156712	0.4391355	0.7413080	0.7527581	0.7709453	0.2528343	0.7349322	0.7753918	0.6382990
0.0109596	0.7077636	0.5241329	0.0321162	0.0000000	0.6016333	0.1211605	0.0101756	0.4288368	0.7089060	0.7249523	0.7754179	0.7103933	0.5985516	0.6676965	0.3453929	0.3419329	0.4914227	0.3347577	0.0096908	0.1245891	0.0140927	0.6796175	0.3102144	0.0180648	0.0220299	0.1053209	0.7815483	0.4426173	0.7495340	0.4991456	0.7540771	0.1526616	0.7923742	0.0244026	0.2844422	0.3737095	0.3880833	0.3398377	0.3298526	0.0258573	0.2963520	0.3005314	0.0816127	0.3815389	0.0090844	0.3910894	0.7608138	0.7563300	0.6861140	0.1055740	0.7564653	0.0054073	0.2359210	0.3448002	0.6008654	0.3181413	0.1923289	0.3506154	0.5143585	0.3477270	0.7121299	0.3952117	0.3207243	0.2745913	0.5365225	0.4080153	0.3508537	0.5041355	0.1685709	0.1804196	0.3018769	0.2803759	0.4631036	0.3044746	0.2276841	0.0013238	0.3455850	0.7058307	0.0000000	0.4654200	0.3116599	0.4665513	0.0403876	0.3419789	0.7199722	0.2227619	0.3874719	0.0170030	0.7420714	0.2779591	0.1164243	0.4679762	0.7325383	0.8589657	0.8202942	0.2573702	0.8457771	0.7463496	0.5931047
0.0059905	0.6686227	0.5932683	0.0336806	0.0000000	0.5552327	0.1245636	0.3726006	0.6762296	0.7371499	0.7180922	0.6349111	0.7479582	0.7252986	0.6910498	0.4798404	0.3395876	0.3794238	0.3583857	0.0756287	0.5755973	0.0338583	0.8153509	0.4150470	0.0327682	0.0540038	0.1751177	0.7032533	0.4088134	0.6154052	0.5524780	0.9207374	0.1017875	0.7499373	0.0230933	0.3236227	0.3406199	0.5234762	0.3705075	0.2735023	0.0202704	0.7417033	0.2902021	0.0559586	0.6988766	0.0046776	0.2023970	0.4502984	0.7207209	0.0000000	0.1242489	0.6950236	0.3707560	0.0005149	0.5773341	0.6281974	0.3944915	0.1464387	0.3814898	0.6413323	0.5305993	0.7764377	0.3341697	0.2640315	0.2905436	0.4650304	0.3462387	0.2850930	0.6317062	0.2040677	0.2101037	0.2327201	0.2706543	0.5413904	0.3733812	0.1937373	0.0032733	0.5516502	0.5721749	0.1473112	0.3535319	0.3361099	0.5115048	0.1447922	0.3647979	0.7352999	0.2835429	0.6144719	0.4216130	0.6651238	0.3468329	0.4569675	0.4915250	0.6771517	0.6639401	0.8464962	0.2843660	0.7140707	0.5819581	0.7108528
0.0000000	0.7320406	0.5619161	0.0477438	0.0000000	0.4672481	0.1965492	0.4726616	0.8604289	0.9196607	0.5958255	0.8082171	0.6774598	0.7603559	0.7328689	0.2869094	0.3722401	0.3708903	0.2802485	0.0035515	0.1116948	0.0269510	0.7434976	0.3738408	0.0110321	0.0348268	0.1461103	0.6437617	0.4336767	0.6450277	0.4823506	0.6265337	0.1055286	0.7139313	0.0244254	0.3675926	0.3802285	0.5944845	0.3827770	0.4053769	0.0137728	0.1432400	0.3289717	0.0952010	0.6370686	0.0244275	0.0614178	0.5367897	0.7104648	0.6385374	0.0631811	0.6696894	0.0017062	0.1956120	0.2800531	0.6950899	0.3548018	0.1210078	0.4377551	0.6436342	0.5934195	0.6991661	0.4804578	0.2394211	0.3590635	0.4760930	0.4291661	0.2342571	0.6144909	0.2551838	0.1626422	0.3189819	0.2789871	0.4701903	0.4388515	0.2031945	0.0113383	0.4925979	0.6030776	0.1763390	0.3099424	0.2912607	0.4952168	0.1501839	0.3839465	0.7270789	0.2181898	0.5558739	0.4268069	0.6784537	0.5932953	0.4698469	0.5566423	0.8265777	0.6931004	0.7041764	0.2745084	0.9215271	0.7878484	0.7505919
0.7044469	0.1205057	0.4483048	0.5100074	0.3224817	0.4223331	0.4883680	0.0104813	0.3569766	0.2137582	0.5951624	0.6499574	0.5255717	0.4256451	0.7057447	0.1612900	0.3944350	0.5534326	0.3947091	0.5799894	0.4731852	0.0831710	0.6302924	0.4953763	0.0181430	0.0801451	0.1578762	0.6532148	0.6560159	0.7522781	0.4911632	0.7072489	0.1026989	0.6641004	0.6690757	0.3334759	0.4120071	0.4848562	0.5583668	0.3850758	0.0242829	0.5954845	0.1802116	0.6248112	0.7386375	0.0088411	0.1591715	0.6997517	0.5237330	0.0000000	0.2716914	0.7601539	0.5199808	0.2709957	0.7268374	0.0689181	0.4283464	0.5280174	0.5347679	0.5832194	0.4358830	0.6112908	0.3685077	0.2083272	0.2084088	0.6286432	0.2430525	0.2577625	0.5519096	0.1807532	0.1423323	0.1260131	0.1671863	0.3904350	0.6679435	0.2009041	0.0025933	0.3215104	0.0000000	0.6742673	0.3406076	0.4242199	0.3331820	0.0208951	0.5636722	0.3316588	0.3712569	0.2726773	0.0182579	0.6182215	0.2561899	0.3973377	0.3780458	0.5722257	0.6217420	0.6539967	0.3615992	0.6306338	0.6868823	0.6790064
0.6232238	0.0367221	0.4075072	0.5679330	0.3470538	0.4737347	0.4682155	0.0099182	0.3989419	0.2199883	0.6249783	0.5205093	0.4558931	0.5111104	0.5068336	0.2123169	0.3142731	0.3858474	0.2196557	0.6868141	0.5077581	0.0338764	0.7315006	0.4269012	0.0402766	0.0182185	0.1374823	0.8208078	0.5519886	0.7311278	0.5842728	0.7355460	0.0469118	0.7175414	0.5365745	0.3651776	0.4882784	0.4740627	0.4881594	0.3176667	0.0291975	0.8269509	0.2820817	0.7222622	0.5394597	0.0064886	0.4165672	0.7267184	0.3624823	0.0000000	0.3212679	0.6918874	0.4522584	0.2726253	0.6793132	0.1637479	0.3429997	0.5848209	0.6472447	0.5645446	0.2331532	0.6581091	0.3419654	0.2533963	0.2642375	0.4564939	0.2647260	0.2233838	0.7009193	0.1747103	0.1426099	0.1219536	0.1316730	0.4117642	0.4402036	0.1511966	0.0067544	0.4078491	0.6866748	0.0000000	0.3438858	0.2503708	0.4042601	0.0344108	0.4259738	0.7425886	0.2036913	0.3369604	0.0039684	0.5847852	0.2896102	0.2316475	0.5100852	0.7591592	0.6285903	0.8708278	0.3341730	0.6106069	0.7511524	0.8200742
0.0000000	0.8101690	0.6940900	0.0148757	0.7485597	0.2496189	0.2526235	0.0033937	0.7096586	0.7177556	0.6249263	0.7307198	0.7519020	0.7210579	0.5682570	0.4411131	0.8499402	0.4427063	0.1077337	0.0034070	0.5171919	0.2334109	0.8179724	0.3387432	0.0310666	0.0750639	0.1915819	0.6270068	0.4115772	0.7336308	0.4135199	0.6341326	0.1395878	0.5921389	0.7292320	0.3574063	0.5284335	0.4222014	0.5383379	0.3713420	0.2542696	0.6475845	0.1867713	0.6400928	0.6309677	0.0039114	0.2884017	0.6878478	0.3944241	0.1934955	0.3027004	0.6891336	0.2615964	0.6920240	0.6762561	0.0986754	0.5415583	0.6183995	0.5862162	0.5319945	0.4500158	0.6857446	0.3558200	0.3147991	0.3158126	0.4438357	0.3728401	0.2629901	0.5731662	0.3047599	0.2022138	0.3378554	0.4446414	0.5904368	0.7224527	0.2070705	0.0048463	0.2741957	0.0000000	0.7587661	0.3822230	0.3987893	0.3226140	0.0428316	0.5232558	0.2883026	0.3631045	0.2608687	0.0076834	0.7885806	0.2050459	0.5188376	0.4528477	0.7323587	0.8062917	0.7005370	0.2604191	0.7126382	0.7828359	0.6149778
0.0000000	0.8782144	0.6267259	0.0086858	0.7744155	0.3466672	0.1572992	0.0079861	0.3375467	0.6720207	0.6688866	0.6507389	0.6802000	0.6007750	0.7973068	0.4155717	0.6530754	0.3136424	0.0004264	0.0054306	0.4427481	0.3517835	0.6509515	0.3000352	0.0177246	0.0215417	0.1997222	0.6970080	0.3654798	0.6975058	0.4000681	0.6662357	0.1519174	0.8344196	0.6724579	0.3079235	0.4497158	0.4247484	0.4933966	0.2983111	0.3452272	0.5771056	0.1262514	0.7704256	0.6216610	0.0064753	0.3508294	0.7981680	0.3297451	0.1835896	0.3870721	0.6098825	0.3170370	0.6113420	0.5181488	0.0568151	0.5701270	0.5623231	0.6643133	0.6002585	0.3498433	0.7383514	0.3377301	0.2978406	0.3166629	0.5901209	0.3292289	0.2607856	0.5095060	0.2199253	0.1499493	0.3119914	0.2886664	0.4027248	0.4640201	0.2760414	0.0029435	0.5107169	0.6486228	0.0000000	0.3063729	0.2764677	0.4275468	0.0403060	0.3439804	0.7503712	0.2852140	0.3300888	0.0056543	0.7308274	0.3109017	0.1398878	0.3699044	0.6269324	0.7268819	0.7299997	0.2627235	0.6265231	0.7806975	0.6544662
0.0080623	0.7242251	0.6186067	0.0453375	0.0000000	0.5847207	0.1573494	0.3800178	0.6329472	0.7555465	0.6780513	0.6708234	0.7405905	0.6469025	0.7173454	0.4564736	0.3343243	0.4490590	0.3020349	0.0025517	0.2587225	0.0166920	0.6351643	0.2933776	0.0337658	0.0470176	0.1149448	0.7116221	0.0000000	0.7818469	0.5206554	0.7431448	0.3153331	0.6004955	0.0324244	0.4100017	0.6194652	0.6148884	0.1456540	0.7944742	0.0017112	0.2095322	0.3311806	0.0539347	0.7149834	0.3578815	0.1084207	0.5330741	0.8402202	0.7199837	0.0907233	0.6737025	0.0006989	0.6411459	0.3703721	0.7672489	0.3139256	0.1426562	0.3682042	0.7061210	0.5584785	0.6127229	0.4933425	0.4060698	0.2676157	0.0528133	0.6349706	0.5086436	0.6850895	0.7989213	0.5783269	0.7407663	0.7380123	0.7838859	0.3664388	0.6141456	0.0050245	0.4734771	0.5911372	0.3360266	0.3201410	0.2476705	0.5901784	0.1095797	0.2869781	0.7094895	0.2621130	0.6878821	0.4315958	0.5771393	0.3954236	0.4849531	0.6068623	0.6947049	0.6291210	0.6453672	0.2883337	0.7160277	0.6654717	0.7262286
0.6011347	0.0732645	0.4784117	0.5517220	0.3292433	0.6100914	0.4641124	0.0568655	0.6238097	0.2578335	0.5554639	0.6798835	0.6076971	0.4615885	0.6511415	0.5791351	0.4994939	0.3701604	0.1740088	0.5881529	0.5792429	0.0821633	0.6791504	0.3639110	0.0168301	0.0207466	0.0732097	0.6657220	0.0000000	0.7058734	0.1607235	0.7450242	0.3624652	0.6718468	0.6750924	0.4782357	0.7382334	0.5716294	0.3021513	0.6738038	0.0378165	0.2466430	0.2511298	0.0519607	0.8369862	0.3067890	0.1439892	0.5666570	0.3753535	0.5089539	0.2555588	0.7567512	0.0687426	0.7526415	0.6842396	0.1110390	0.4420195	0.5889781	0.6847345	0.0488402	0.6017799	0.0000000	0.5890607	0.3919420	0.2931811	0.0499076	0.6719001	0.7007995	0.3744356	0.6532197	0.4448266	0.6739502	0.7241850	0.6899470	0.4375583	0.0128216	0.0091263	0.4070511	0.4537911	0.1670899	0.3528477	0.2633207	0.6489574	0.2270750	0.6374913	0.8252967	0.3280896	0.5217849	0.5645658	0.6888098	0.2954767	0.4675655	0.5458738	0.6152022	0.7439741	0.8068515	0.3321289	0.6583150	0.7807410	0.6522098
0.7618213	0.0766689	0.6840524	0.3813324	0.2798811	0.4924683	0.5531428	0.0895865	0.6507147	0.1524180	0.6700323	0.6567869	0.4941085	0.3318367	0.6467316	0.1831476	0.2409530	0.5223223	0.2365548	0.7085640	0.2391966	0.0472040	0.6642136	0.3669958	0.0304036	0.5357770	0.6114312	0.8294512	0.6131263	0.7797164	0.4448242	0.6065985	0.0914819	0.6884561	0.4656122	0.4301093	0.4544672	0.4691287	0.4300298	0.4034057	0.0143060	0.2125401	0.2344468	0.6466819	0.7129687	0.0065938	0.1299637	0.5398543	0.5236414	0.4775884	0.1937240	0.6775596	0.0572174	0.4369750	0.5713463	0.1412005	0.4089663	0.5193279	0.6713112	0.6478726	0.5419097	0.7661413	0.0000000	0.2290249	0.3339770	0.5134206	0.3225458	0.2678373	0.7039345	0.1349970	0.2017489	0.1264834	0.0958702	0.3946618	0.4836023	0.1026155	0.0063435	0.4936119	0.4314167	0.2113992	0.3136291	0.3190332	0.7957351	0.1211682	0.3460765	0.6748854	0.2801725	0.5033578	0.4642738	0.5161878	0.5196271	0.4101925	0.0332755	0.7411184	0.6929714	0.0000000	0.1127545	0.7435866	0.6015126	0.7409176
0.0000000	0.6879633	0.6712889	0.0354659	0.7522132	0.3262265	0.1477023	0.4383928	0.6699796	0.7172960	0.8234753	0.8655434	0.2536756	0.1449915	0.4963990	0.4339115	0.7578054	0.3497552	0.0006234	0.0052000	0.4443785	0.3475394	0.5817750	0.3971591	0.0445357	0.0379089	0.1148807	0.6200330	0.4168190	0.6664228	0.4554440	0.7724645	0.1545006	0.7231160	0.5176245	0.3470866	0.3350361	0.5316122	0.5215979	0.3039738	0.4354745	0.5822790	0.1621683	0.6692189	0.8377476	0.0126764	0.1345394	0.5620197	0.4014752	0.0000000	0.3616497	0.7433818	0.6225909	0.2863714	0.6363826	0.0786278	0.5694493	0.5970347	0.8264776	0.6060470	0.6309100	0.6913103	0.3914731	0.2414220	0.2283182	0.6163530	0.5145510	0.3299923	0.6561356	0.2072401	0.1801403	0.3472449	0.1746138	0.4936353	0.3737940	0.1933571	0.0016624	0.3988363	0.5638314	0.1455296	0.3786019	0.3442861	0.5277686	0.1758474	0.3452409	0.7265644	0.2310347	0.5760694	0.4994179	0.7224594	0.4629801	0.3601519	0.4833298	0.6622429	0.7034860	0.6448070	0.3630764	0.6336060	0.6858861	0.7162362
0.0088421	0.7313885	0.5535369	0.0211940	0.0000000	0.2393577	0.0847465	0.3825596	0.6957213	0.6473879	0.7098341	0.6045929	0.7148908	0.6936575	0.6955290	0.6496643	0.4436047	0.4620743	0.3113406	0.0064391	0.1204675	0.0284953	0.8302371	0.3350999	0.0151682	0.0247491	0.1127295	0.6509511	0.3699292	0.7468505	0.0730661	0.8054284	0.0994738	0.7153373	0.0122362	0.0000000	0.3202713	0.4825687	0.3289073	0.4175229	0.0153286	0.2182729	0.2306683	0.0877785	0.8275535	0.0012510	0.1138467	0.5933996	0.7684912	0.7962600	0.1453833	0.8213221	0.0036891	0.2430201	0.3223527	0.6201716	0.3420190	0.1276105	0.3512512	0.3848027	0.5485438	0.0094169	0.4385634	0.2280415	0.2191011	0.4173096	0.3894298	0.2563113	0.4957093	0.6584111	0.0192799	0.3759171	0.2306377	0.7675207	0.3672158	0.0186351	0.0067698	0.4783194	0.5959873	0.2362935	0.3602999	0.3225610	0.4947077	0.1119032	0.6146463	0.6609025	0.2536812	0.6007677	0.5752652	0.7420210	0.4290096	0.4474939	0.4591882	0.7032154	0.6306266	0.8925587	0.2848167	0.7325890	0.5905561	0.6748515
