"G_i"	"G_j"
5	85
37	46
5	46
46	85
37	63
46	63
1	5
37	44
64	93
5	37
5	63
5	83
5	96
10	46
10	62
37	67
37	69
37	72
37	96
38	85
44	46
44	62
44	96
46	62
46	82
46	99
63	83
82	99
1	46
1	85
5	15
5	25
5	38
5	44
5	62
5	91
5	100
10	36
10	43
10	44
10	45
23	37
23	46
23	72
23	75
26	37
26	44
26	64
26	90
26	92
26	93
36	46
37	42
37	62
37	75
37	85
37	90
37	93
37	100
38	46
40	63
43	45
43	62
44	93
44	100
45	62
46	54
46	55
46	57
46	72
46	75
46	83
46	96
46	100
54	82
54	99
55	82
55	99
62	96
62	100
64	90
64	92
67	69
72	75
83	85
85	87
85	100
90	92
90	93
91	96
92	93
96	100
