G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.2351173	0.0423090	0.6185704	0.1773797	0.2832775	0.4555044	0.1278528	0.3426963	0.2538551	0.5816386	0.5430494	0.5369993	0.4660587	0.2284069	0.2231558	0.0017870	0.4084478	0.4469272	0.5976293	0.4247182	0.5646940	0.7117036	0.6641089	0.5628569	0.3034463	0.3742335	0.0680340	0.7213803	0.8559822	0.2704871	0.2474927	0.0496752	0.1630285	0.0000740	0.0014989	0.1835879	0.4700408	0.0009243	0.8022712	0.2958452	0.5226238	0.6553374	0.2862183	0.0460650	0.1523121	0.6155061	0.8058453	0.0301707	0.2293428	0.4201548	0.5206272	0.3181709	0.4924874	0.2888076	0.0000185	0.3878785	0.5484572	0.5552001	0.3279132	0.0410481	0.0128575	0.2882145	0.6287122	0.0311272	0.4810010	0.5264152	0.7593477	0.5594509	0.7127538	0.6056122	0.0533915	0.0987430	0.6710413	0.6610496	0.3097680	0.7547511	0.6106624	0.0706711	0.7492244	0.1727946	0.6191058	0.2915043	0.4991541	0.7319307	0.0517387	0.4404602	0.3818744	0.4828549	0.4838554	0.0973354	0.3296373	0.7996007	0.0084153	0.0010821	0.0001053	0.7326039	0.6756668	0.3323271	0.3470707	0.4903019
0.5288576	0.2628535	0.6755847	0.3769887	0.2908495	0.4156608	0.0593510	0.1111813	0.4598799	0.6333075	0.5112172	0.5350305	0.2477884	0.3611081	0.3434462	0.3028322	0.4428742	0.1354156	0.6334483	0.1212153	0.6482819	0.3937467	0.6647204	0.4908374	0.4359031	0.4162926	0.4721509	0.6732750	0.8011808	0.5564719	0.3111098	0.0020185	0.3033949	0.1136558	0.0065503	0.1044531	0.3869895	0.1682195	0.3670341	0.5319919	0.4622866	0.6552483	0.1392445	0.0713323	0.3159991	0.1312564	0.6255308	0.0625131	0.2229719	0.3942971	0.3878237	0.4268032	0.6966382	0.6453149	0.0023565	0.5820025	0.4995132	0.4700916	0.3925139	0.3090888	0.0485213	0.1350259	0.6685494	0.0486587	0.5756045	0.4273289	0.6646325	0.7400989	0.5695484	0.5575998	0.0282860	0.0025211	0.4970969	0.6961434	0.0369008	0.6752668	0.4761110	0.0060623	0.6175757	0.2686184	0.7320106	0.0046623	0.3270043	0.5433801	0.0015106	0.1701115	0.3194850	0.1951322	0.5585926	0.3079315	0.0377071	0.6685240	0.1048976	0.0001546	0.0172709	0.5418936	0.5516854	0.2624260	0.6000793	0.2006686
0.2658752	0.0647177	0.6638791	0.1447597	0.1726702	0.5752111	0.0418777	0.3590088	0.1811693	0.5383382	0.4968199	0.4894843	0.3232392	0.3718500	0.4633004	0.2578468	0.5611438	0.5563946	0.5369234	0.3248813	0.6290959	0.6119803	0.6127651	0.2958494	0.2109014	0.6533371	0.1119164	0.5121490	0.6168509	0.1578736	0.2200707	0.0150715	0.0909459	0.0000085	0.0005875	0.5846695	0.0176733	0.0151556	0.5858850	0.2353564	0.6193994	0.2274362	0.0782774	0.0224149	0.2893554	0.5053273	0.5309508	0.0543946	0.6481399	0.4155486	0.5329085	0.5563849	0.7440454	0.5160373	0.0001086	0.7170287	0.5964436	0.4606794	0.5977007	0.2397307	0.0083170	0.2973457	0.6546509	0.0119730	0.7192924	0.4230362	0.6221940	0.6677198	0.7452483	0.7214033	0.0428977	0.4877924	0.7163606	0.5386649	0.1859419	0.6450951	0.6846341	0.0097640	0.6893156	0.1511053	0.6414257	0.0003019	0.5551676	0.7964582	0.0023146	0.2089541	0.3155742	0.0950325	0.7610725	0.0150959	0.6733911	0.5488250	0.0142023	0.0019622	0.1653024	0.6182788	0.6685061	0.2521448	0.5606662	0.2258272
0.3982057	0.1431479	0.8397414	0.5036366	0.0989955	0.4100505	0.0548948	0.3468126	0.6191360	0.5962394	0.4620563	0.5566792	0.1524165	0.2594122	0.4496081	0.0055995	0.5082350	0.1705689	0.5374994	0.1124001	0.4923980	0.7528253	0.6318131	0.4410497	0.4973600	0.3610574	0.0184395	0.6966422	0.7399167	0.4129293	0.2267098	0.0267966	0.1544943	0.0000116	0.0015969	0.3560350	0.1718967	0.2751443	0.2479219	0.5498826	0.4771075	0.6855812	0.2419473	0.1485289	0.3823113	0.2000384	0.7240130	0.1606241	0.0261929	0.4867262	0.3640218	0.3844595	0.4587896	0.7515721	0.0000304	0.7356915	0.6560480	0.4830141	0.1025611	0.0003417	0.0227853	0.0492814	0.7107063	0.0767078	0.5326890	0.6265173	0.6735543	0.6382941	0.6414670	0.5634267	0.0405494	0.3912688	0.5243843	0.8038426	0.1920986	0.8101127	0.6541316	0.0138883	0.7008385	0.1183728	0.5973335	0.0021128	0.1897640	0.6997319	0.1030981	0.3025696	0.4692446	0.2337363	0.5437055	0.1664307	0.1375753	0.4891564	0.0002878	0.1512036	0.1402007	0.5058048	0.3819680	0.0755406	0.5248790	0.2305115
0.4849789	0.0390180	0.7577957	0.4301504	0.1308248	0.2402549	0.0828284	0.0801242	0.2290989	0.6392507	0.4201373	0.3670499	0.4598501	0.4617237	0.3649119	0.4053213	0.5610835	0.1761620	0.7015658	0.2876717	0.7216368	0.6945387	0.6919717	0.2224770	0.3338593	0.2964522	0.4512214	0.5129084	0.5974580	0.3115914	0.1555018	0.0363962	0.4142234	0.3547984	0.0010897	0.0812073	0.2764027	0.0532534	0.7623976	0.5155881	0.6606919	0.5116740	0.1886838	0.0464919	0.2656001	0.5379256	0.5364187	0.0028668	0.7372381	0.2314290	0.5212177	0.6073743	0.8060334	0.4002658	0.5485359	0.3067562	0.7223972	0.5426551	0.4782361	0.0089407	0.0308498	0.0405006	0.6348268	0.0363729	0.7500140	0.5555720	0.7737686	0.7340915	0.6267375	0.5721080	0.0428093	0.3265757	0.6988921	0.6700473	0.0391897	0.6383386	0.7918183	0.0321648	0.7447524	0.2016499	0.6231404	0.2412455	0.4892448	0.5952117	0.2914551	0.1258175	0.5216620	0.3624506	0.0405457	0.0023812	0.6758880	0.7926268	0.0312457	0.0026238	0.0010046	0.7307835	0.6685055	0.0723795	0.4380694	0.2392946
0.4547532	0.1494927	0.6860704	0.4542689	0.3549699	0.2502789	0.1597993	0.0626358	0.6246751	0.6020470	0.3276913	0.7001690	0.1645957	0.1703535	0.1078816	0.2321127	0.3655508	0.0875992	0.6693881	0.0307685	0.6612149	0.3528800	0.4666397	0.2321461	0.2474074	0.6659050	0.1702373	0.6148313	0.4696591	0.4319145	0.2464274	0.0062765	0.4522260	0.3455874	0.0098143	0.0640561	0.4766153	0.5208093	0.4093986	0.6192674	0.6984615	0.7021397	0.1467039	0.0574646	0.2612522	0.4286543	0.5671496	0.3138484	0.0005104	0.6018335	0.2095467	0.3879882	0.7416746	0.5695809	0.3551890	0.3127973	0.1456296	0.6641951	0.3410626	0.2401127	0.0253918	0.0653332	0.7700709	0.0756756	0.4403439	0.7057944	0.7070757	0.5700657	0.5452559	0.6802366	0.0142001	0.2478007	0.6911421	0.5560133	0.2318257	0.7473031	0.6473329	0.0123808	0.7247632	0.1698937	0.5971561	0.0002239	0.4519508	0.5478611	0.0041436	0.1505526	0.3073670	0.2861346	0.0878323	0.3878640	0.0135180	0.6040494	0.0011910	0.0554834	0.2010375	0.6822733	0.5789472	0.1019354	0.5815063	0.2279218
0.4677241	0.1522674	0.5285446	0.4486124	0.1662711	0.3860466	0.0002862	0.1194916	0.3446785	0.6329840	0.6421304	0.5814570	0.5649768	0.3460573	0.5630570	0.1770465	0.5189936	0.0727821	0.5162641	0.0201087	0.7030919	0.5861799	0.5395175	0.2915031	0.2431171	0.6940157	0.5330295	0.7496104	0.6065497	0.2911286	0.2215170	0.0004543	0.3924777	0.7108553	0.0069607	0.0667534	0.3556765	0.1180589	0.3030500	0.6181465	0.6127578	0.6886163	0.4020574	0.1618176	0.2702824	0.2203722	0.6888328	0.0280085	0.2155916	0.3262692	0.4054626	0.6975428	0.5417995	0.4225584	0.6415768	0.1367402	0.6028945	0.6946093	0.2423238	0.0242432	0.0446753	0.0830827	0.7191060	0.0119386	0.6505366	0.4276083	0.7448786	0.6313736	0.6290611	0.6697511	0.0147062	0.2383276	0.7319013	0.6195465	0.1618620	0.6060693	0.6457319	0.0301073	0.5042108	0.2570712	0.6781786	0.3044987	0.2824458	0.7542958	0.2829212	0.3955856	0.2307081	0.3871813	0.2381744	0.0091170	0.7092475	0.6408719	0.0029741	0.1075304	0.0372522	0.3797197	0.3450245	0.2032429	0.5416699	0.3774410
0.4480443	0.1087516	0.6461134	0.4695174	0.1683928	0.2953527	0.1342993	0.2461440	0.3018942	0.5626691	0.5396610	0.4633737	0.4903191	0.1388374	0.4084306	0.1644244	0.5535469	0.1246890	0.6471722	0.0848575	0.5430680	0.7387779	0.6141057	0.1600720	0.1367570	0.6067567	0.5607848	0.7567310	0.6714686	0.5270268	0.0918564	0.0028741	0.1950500	0.0967152	0.0012819	0.1619403	0.1859970	0.4515897	0.2544384	0.6752659	0.6680442	0.7203919	0.2701849	0.0756961	0.4363755	0.1628843	0.4404937	0.0874252	0.3596287	0.3216920	0.6464855	0.4517925	0.3947067	0.6659942	0.1671823	0.1828930	0.5303607	0.6320782	0.4016141	0.3683604	0.0469036	0.0607498	0.7541600	0.0193460	0.7738922	0.5537505	0.7292530	0.5603398	0.2708197	0.7444766	0.0228966	0.3012836	0.6721913	0.7130891	0.3328476	0.6663489	0.5715207	0.0268871	0.3709449	0.2193381	0.6227352	0.0016692	0.4284466	0.6649122	0.0776131	0.1750283	0.1390912	0.3014962	0.1856258	0.4464892	0.1060595	0.3738361	0.1378918	0.0008864	0.0480221	0.7274317	0.3751227	0.3411812	0.6375819	0.1913727
0.5509977	0.0076162	0.6188969	0.5996047	0.1650189	0.1768627	0.0000282	0.0617236	0.3569184	0.6363947	0.4867758	0.4113233	0.4500767	0.3877365	0.4490860	0.2922859	0.4597828	0.1569597	0.6248194	0.0785513	0.6239801	0.6020941	0.4203799	0.4765580	0.5085945	0.1869191	0.0403771	0.6929106	0.3547258	0.6507211	0.3295223	0.0595343	0.0424782	0.0000155	0.0078409	0.3660943	0.1815319	0.2282524	0.6432518	0.7143283	0.5890275	0.7468709	0.2017435	0.0527112	0.2753942	0.6298061	0.7032765	0.1860343	0.3147757	0.4452608	0.5959420	0.6905483	0.7337690	0.5643585	0.0000006	0.5866175	0.6905619	0.5117956	0.4272316	0.1400230	0.0439281	0.0740710	0.7551278	0.0475444	0.6456945	0.6399664	0.6782012	0.5958072	0.5984262	0.7003143	0.0203254	0.1817035	0.6430650	0.6215726	0.3901495	0.6588206	0.5410098	0.0276352	0.7098040	0.3358088	0.6946510	0.0363750	0.3925721	0.6228540	0.1798845	0.0184017	0.4930981	0.4807905	0.1830678	0.1786215	0.1784952	0.6991957	0.0009227	0.1816766	0.0319189	0.4168040	0.6319116	0.0381236	0.6786887	0.1549722
0.5233880	0.0035762	0.6102682	0.3864495	0.1234492	0.2171818	0.0843340	0.2285747	0.2925272	0.6759162	0.1678860	0.4725393	0.4770533	0.3070367	0.2399483	0.0059490	0.4082747	0.1295101	0.7101505	0.0974776	0.6201513	0.5781542	0.2779157	0.3915440	0.4010854	0.3105517	0.2522055	0.6811334	0.4186845	0.0980812	0.0631022	0.0040874	0.3955816	0.0515803	0.0358174	0.0546559	0.3346369	0.6609227	0.6497079	0.6988103	0.5834757	0.6050656	0.2242934	0.0915497	0.5247675	0.5227333	0.6359549	0.3701953	0.3424827	0.2967988	0.5132875	0.6553398	0.6640405	0.7132317	0.0648332	0.5694754	0.3883343	0.4654630	0.3383557	0.1582005	0.0008953	0.1070847	0.5604428	0.0776827	0.4977856	0.6340094	0.5610771	0.6703100	0.7012412	0.6157790	0.0238438	0.2342569	0.7568961	0.6707693	0.1236838	0.6493247	0.6961950	0.0059356	0.6906814	0.3591529	0.5864109	0.1089536	0.5081210	0.7358831	0.1214057	0.3622422	0.4456682	0.2973819	0.0609355	0.5656554	0.0680264	0.6684696	0.0014876	0.0192770	0.1227257	0.7014642	0.5348715	0.0238920	0.7303862	0.1639224
0.4058760	0.0076908	0.5231605	0.2580807	0.2243645	0.3269253	0.1347663	0.1966539	0.4922922	0.4457527	0.6956986	0.6065385	0.1122936	0.3328479	0.4857682	0.0005034	0.7157072	0.3117119	0.7809805	0.3748157	0.6142638	0.7550386	0.7286705	0.4488661	0.5061214	0.3226438	0.4072379	0.6109181	0.4554950	0.1043199	0.3513655	0.0415727	0.1449440	0.0001399	0.0070190	0.2459745	0.0407554	0.0213913	0.3272586	0.2425454	0.5148688	0.5735271	0.0567560	0.0037349	0.5144634	0.2224524	0.6936861	0.0455340	0.1663076	0.1759690	0.3327407	0.6465816	0.5812552	0.7220150	0.0001486	0.7196650	0.7465792	0.5378000	0.4905256	0.0001354	0.0237539	0.3104746	0.6319648	0.0898661	0.6554649	0.5361640	0.6344155	0.6100070	0.6837706	0.6262631	0.0306250	0.2843577	0.6327737	0.5002718	0.1817731	0.5489997	0.5592410	0.0115457	0.7096431	0.2065308	0.6973078	0.1831065	0.5252719	0.6629559	0.0738538	0.3531627	0.2173094	0.3224567	0.1632695	0.0262606	0.4120734	0.5824687	0.2257871	0.0051832	0.3118857	0.6581478	0.6044397	0.2127952	0.7017265	0.2265509
0.5877898	0.0074949	0.5248383	0.4713393	0.2446258	0.2238387	0.1352722	0.0532840	0.4202982	0.6150053	0.3971781	0.6180478	0.4105020	0.3206436	0.2679092	0.0017091	0.5251953	0.1716596	0.7355660	0.1239782	0.5648969	0.4299906	0.5959829	0.2381914	0.3251624	0.5280634	0.0178288	0.8189591	0.6856710	0.5635191	0.4264547	0.0005442	0.0069485	0.0002950	0.0362845	0.6588284	0.0018565	0.3347789	0.6041248	0.7142223	0.6580405	0.7659345	0.0394694	0.0740511	0.1398926	0.6296505	0.7486291	0.0414461	0.1939772	0.5304379	0.5852706	0.3830087	0.6859736	0.5316722	0.0009254	0.7010284	0.5813455	0.5682765	0.3441644	0.1831170	0.0494301	0.0913465	0.7022685	0.1111939	0.7148230	0.3976078	0.6635521	0.6927202	0.4417248	0.5438636	0.0543264	0.6734009	0.5937566	0.6042254	0.1624122	0.6266363	0.6698477	0.0112221	0.5966361	0.2496772	0.5105252	0.1845142	0.4924548	0.6277297	0.0000855	0.2278240	0.3716019	0.2911309	0.0526633	0.4220423	0.1326772	0.4425241	0.0034645	0.0471553	0.0768259	0.5792888	0.7054183	0.1351410	0.5443208	0.3096129
0.4831849	0.0015962	0.5464059	0.4315953	0.2291390	0.2927876	0.1033168	0.0986175	0.1215107	0.4776556	0.2754379	0.5142047	0.6352539	0.6212858	0.5996479	0.1026396	0.4180588	0.1878869	0.3290227	0.3760093	0.6795450	0.5465004	0.6557472	0.3950274	0.3696766	0.4067619	0.5517948	0.7439812	0.6589205	0.1136282	0.0051505	0.0089026	0.1878202	0.1439595	0.0006362	0.3187519	0.1493870	0.2578320	0.3272538	0.5384098	0.6014983	0.7951394	0.2629202	0.0712819	0.4520168	0.3107440	0.4689240	0.1874221	0.2546363	0.3058389	0.5771299	0.4162365	0.6580168	0.5520169	0.2217762	0.5409228	0.1142665	0.6254195	0.2482625	0.1309498	0.0088088	0.1479860	0.5999433	0.0159221	0.4735102	0.7133872	0.6630748	0.7006053	0.5884763	0.7334844	0.0298548	0.2197087	0.6039326	0.2936167	0.0197907	0.6973713	0.6414597	0.0077186	0.7056733	0.2215159	0.7191202	0.0003771	0.3532301	0.6305529	0.1336790	0.0668198	0.3732363	0.4068700	0.2733869	0.2302559	0.1789757	0.6840095	0.0253545	0.0000896	0.1082680	0.5662342	0.6619034	0.1671827	0.5335161	0.2368080
0.4610749	0.1130050	0.7113474	0.4125944	0.1876952	0.2855229	0.0559466	0.5360656	0.1912191	0.4838272	0.5898386	0.4291178	0.5165875	0.3568425	0.5553679	0.0014956	0.5434853	0.3682221	0.7449680	0.1556418	0.6396704	0.5158674	0.7452836	0.2037991	0.1752513	0.6592726	0.6055892	0.6539564	0.6871083	0.3103195	0.2539051	0.0011297	0.3635519	0.0508631	0.0014946	0.0586705	0.3609799	0.1297861	0.2251921	0.5513966	0.5887417	0.5806370	0.4571362	0.1340919	0.5109932	0.1568767	0.7251826	0.0688460	0.3485393	0.2320981	0.7020914	0.4951494	0.5945040	0.6002773	0.0011770	0.4943512	0.7100423	0.5240330	0.6703123	0.4140694	0.0164680	0.2525882	0.6958571	0.0597322	0.6616636	0.5199899	0.6254438	0.6418055	0.5962366	0.5826049	0.0472404	0.0336260	0.4102519	0.5251686	0.1827523	0.5881572	0.7321744	0.0471141	0.6572726	0.0612621	0.6158189	0.1723535	0.3960358	0.6366780	0.0092901	0.2143130	0.5120063	0.4104144	0.0778876	0.1739987	0.1556902	0.6351404	0.0376563	0.0041486	0.0670719	0.4376636	0.4760404	0.1383625	0.5282756	0.2262270
