G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.2375249	0.1691078	0.0050959	0.0095129	0.2623726	0.5790380	0.1730726	0.0538741	0.4821595	0.2785410	0.4954902	0.6896548	0.3128066	0.0974505	0.6287349	0.6055945	0.1016912	0.6556665	0.3153670	0.7065380	0.1450420	0.4151117	0.1674096	0.3627422	0.4027373	0.1775970	0.2555541	0.3387650	0.5842491	0.5564469	0.2745472	0.6793787	0.5177712	0.5527078	0.6200031	0.1920421	0.5778345	0.8359596	0.4612379	0.4424856	0.2786108	0.5080457	0.5619261	0.5702760	0.4940548	0.0846814	0.3750343	0.0174103	0.6791595	0.3418227	0.6579237	0.2755528	0.1422507	0.2696435	0.4058550	0.2334373	0.4793914	0.0256226	0.1251313	0.1493086	0.3768014	0.5051748	0.6901058	0.6775095	0.1919728	0.5787287	0.3202123	0.5827525	0.3469820	0.3290809	0.2558926	0.2483447	0.4384042	0.1845521	0.1418577	0.5704334	0.0600415	0.3944143	0.3430099	0.7192024	0.2156545	0.3379734	0.0473860	0.0363310	0.6766453	0.7091005	0.2936365	0.2210947	0.5672260	0.0461727	0.6551226	0.8037202	0.5741598	0.6501140	0.3972419	0.6391031	0.6052071	0.1064919	0.7038398	0.6590834
0.4705869	0.0902314	0.0761278	0.0040487	0.2905053	0.5525387	0.2959076	0.0402358	0.3293636	0.2381838	0.4498613	0.6297038	0.2706034	0.1460382	0.5879216	0.8212398	0.0764303	0.6914084	0.4659148	0.6294774	0.0533079	0.4250687	0.2401700	0.3660812	0.3772778	0.2187354	0.3055736	0.2546281	0.4440573	0.5174775	0.2700947	0.8184108	0.4497990	0.6454445	0.6669246	0.1535697	0.4532430	0.7748860	0.4494345	0.5524028	0.2039229	0.5116625	0.4778726	0.6435797	0.5545512	0.1152355	0.3853283	0.0372041	0.7580556	0.2798980	0.6220812	0.3855617	0.0972898	0.4320972	0.3055628	0.2412143	0.3250784	0.0056060	0.2006870	0.1128508	0.3595528	0.4779413	0.5668019	0.6517587	0.2630660	0.7031175	0.4018630	0.5659315	0.3214114	0.2589941	0.3439093	0.2544142	0.6655742	0.0658457	0.1960476	0.5358153	0.0883955	0.4449798	0.4305962	0.6594702	0.2748876	0.3610629	0.0205387	0.2074809	0.5865943	0.7664551	0.1937352	0.2918468	0.3979234	0.0714357	0.6403680	0.6773313	0.5491216	0.7530295	0.3127223	0.7611534	0.6492356	0.1033384	0.6445829	0.6654571
0.4987565	0.1044467	0.0739023	0.0069880	0.1898396	0.4662981	0.2586718	0.0287473	0.3763061	0.2461429	0.5607470	0.6184951	0.2592581	0.1282975	0.4995730	0.6933515	0.1007304	0.7735549	0.3258409	0.5962269	0.1221427	0.4532661	0.2886047	0.4564717	0.3463879	0.1775257	0.2883727	0.3318502	0.4742701	0.5102694	0.2657135	0.6842708	0.4076450	0.6456232	0.7421176	0.4043872	0.4457158	0.8196112	0.4068357	0.4344836	0.3257860	0.5183055	0.5152864	0.5936695	0.6075477	0.0832426	0.2889992	0.0721688	0.6968186	0.2954409	0.8469203	0.2876492	0.1297482	0.3540583	0.3740632	0.3353626	0.2984460	0.0063889	0.1831628	0.0963729	0.3466371	0.5943439	0.7470148	0.5379391	0.2310628	0.7966045	0.2600788	0.4748509	0.4464601	0.2811610	0.2199585	0.2963684	0.5302518	0.0714656	0.1994475	0.7374991	0.0512990	0.4441700	0.3319844	0.7453530	0.1629671	0.3268432	0.0033730	0.0898360	0.7753168	0.8003570	0.4117996	0.1277244	0.4746782	0.1322524	0.6941409	0.6412567	0.5681965	0.8703150	0.2713265	0.8171085	0.6633494	0.0840639	0.7066454	0.7430810
0.4072982	0.1033404	0.1680034	0.0021099	0.2617545	0.5379090	0.3745640	0.0277281	0.2672828	0.1988619	0.4314899	0.6849191	0.3014064	0.1170270	0.5517688	0.7139375	0.1022328	0.6415487	0.3805889	0.7276368	0.1032859	0.3529620	0.2055207	0.4127295	0.4169702	0.2056645	0.3417719	0.3473800	0.3460230	0.5362712	0.2907587	0.6006133	0.5057321	0.6224962	0.6575581	0.2360120	0.3892009	0.6199155	0.5180449	0.5092865	0.2692875	0.5725446	0.4291770	0.4979875	0.5341264	0.1041041	0.4120306	0.0422739	0.8230354	0.3787419	0.6638153	0.3312715	0.0515510	0.2869718	0.3022930	0.3203156	0.2652495	0.0200612	0.1616161	0.1535714	0.3698417	0.5134760	0.5492430	0.5775577	0.2215519	0.6079403	0.3367459	0.5710639	0.3042879	0.2789044	0.3275645	0.2148651	0.5832308	0.0425249	0.1876246	0.5834894	0.1163149	0.4099087	0.3566270	0.8044829	0.2268246	0.4455824	0.0218989	0.2498820	0.6430718	0.6469795	0.3070631	0.2187661	0.4609805	0.0691668	0.6556278	0.8081565	0.6878586	0.7832683	0.3512622	0.7059088	0.7101899	0.1148112	0.7366991	0.7072842
0.3922910	0.1233960	0.0526971	0.0045526	0.1372238	0.5686951	0.3735455	0.0154031	0.4254673	0.1587933	0.5555932	0.8013062	0.2926414	0.1001743	0.5885920	0.7552631	0.1279649	0.6669686	0.4623730	0.6388364	0.1013916	0.3967396	0.1488230	0.4444129	0.3129268	0.1931472	0.3239808	0.3163048	0.3063484	0.4647115	0.2583263	0.6627605	0.5064301	0.4889256	0.7261423	0.2827420	0.5108848	0.6747538	0.3982839	0.4739587	0.2472638	0.4836038	0.4390586	0.7103438	0.6092222	0.1179242	0.4235610	0.0357694	0.8756338	0.2779331	0.6907106	0.2567412	0.0686049	0.3258480	0.3207011	0.3134601	0.2123658	0.0159280	0.2403201	0.1436529	0.3726589	0.5117274	0.7308456	0.5229949	0.1642927	0.7716108	0.3971976	0.5209897	0.3129711	0.3200963	0.2337819	0.2594348	0.4803154	0.0730148	0.1658843	0.5118104	0.0396004	0.3701386	0.2109108	0.7118525	0.2240607	0.2796494	0.0274676	0.1401310	0.6255073	0.6385751	0.3495381	0.2300867	0.3663318	0.0996890	0.7296754	0.7620717	0.6122022	0.6583536	0.3980979	0.6996784	0.6660568	0.0741112	0.8430286	0.7245399
0.4385996	0.1562910	0.0384445	0.0466523	0.2841587	0.2378922	0.2042135	0.0457783	0.3315776	0.1799098	0.5121770	0.6047080	0.2581284	0.2071874	0.5027808	0.6995011	0.1244957	0.5228904	0.4229350	0.7020619	0.0589881	0.3777958	0.1435144	0.4402549	0.3227527	0.1291462	0.3842013	0.2893447	0.2545620	0.4491655	0.2163318	0.7191644	0.3657805	0.6511851	0.6859822	0.1916933	0.4973953	0.6680094	0.3581417	0.4619587	0.2559563	0.5772578	0.4603492	0.6792167	0.5283916	0.0951488	0.3906771	0.0901134	0.6839870	0.2788556	0.6792327	0.2962656	0.1076884	0.2914813	0.3266520	0.2518123	0.4028977	0.0041992	0.2344225	0.2144613	0.2901285	0.4794917	0.7385245	0.5634280	0.2094909	0.6416039	0.4992032	0.7316737	0.3591762	0.3113318	0.3039595	0.2153032	0.5001182	0.0858881	0.1334087	0.5932079	0.0745848	0.3639821	0.2728828	0.6467505	0.2474677	0.4486743	0.0106166	0.2171584	0.5906352	0.6152889	0.1754040	0.3415135	0.3551647	0.0688573	0.5962399	0.7610427	0.6144843	0.8087135	0.3318153	0.8615647	0.7640615	0.1135487	0.7016712	0.6875072
0.4259996	0.0990223	0.0729621	0.0119569	0.3196275	0.5663234	0.1181868	0.0251661	0.4089061	0.1804958	0.5182801	0.6532101	0.2777798	0.0920319	0.4582490	0.8264409	0.0744156	0.6519564	0.2482991	0.5394651	0.0374981	0.4258228	0.1657743	0.3518422	0.3378326	0.1632987	0.3599576	0.3231107	0.3465486	0.5401487	0.2427362	0.7632766	0.4235500	0.5435210	0.7857969	0.2359495	0.4152696	0.6082981	0.3970389	0.5176729	0.2248582	0.5872682	0.4109260	0.6161276	0.4498974	0.2499459	0.3408857	0.0447902	0.6501948	0.3240613	0.6595537	0.3503731	0.0748870	0.2868921	0.3745540	0.2233127	0.2762920	0.0091868	0.1931548	0.1034132	0.3732463	0.6042449	0.6517886	0.4579792	0.1737880	0.7585024	0.4757025	0.5838521	0.4445632	0.2543797	0.3046293	0.2517766	0.6639758	0.0513207	0.1898191	0.5591006	0.0743008	0.3006754	0.3626170	0.7133487	0.2022238	0.2961163	0.0262614	0.1114818	0.8058914	0.6299466	0.2315759	0.3532892	0.6216604	0.0545218	0.7169041	0.6711061	0.5155094	0.7915629	0.1501816	0.7537359	0.7055273	0.0877361	0.6858037	0.7340360
0.4995725	0.1199739	0.0816068	0.0087304	0.2796212	0.4218019	0.2819059	0.0137278	0.4493675	0.1153954	0.4005134	0.6078176	0.4093559	0.1092576	0.5621367	0.5827155	0.0862039	0.6313041	0.4581299	0.6683631	0.0564451	0.3178967	0.1463679	0.3866094	0.2871968	0.1314388	0.3023879	0.2987637	0.3323273	0.5177513	0.3371291	0.7606484	0.5530689	0.6748141	0.7873281	0.2177289	0.4367062	0.8096576	0.3381947	0.6044084	0.2919002	0.5166668	0.4618684	0.6016362	0.5269123	0.1746890	0.3999982	0.0422857	0.6240583	0.2655940	0.6031676	0.3483210	0.0672669	0.3378826	0.3487836	0.2309133	0.2803474	0.0089974	0.1958653	0.1574568	0.3381898	0.5189330	0.7743933	0.4570860	0.2145072	0.6851616	0.4512277	0.4795460	0.2829440	0.2899212	0.2432319	0.1688447	0.5792344	0.0826353	0.2034933	0.4529392	0.1134913	0.2910718	0.2747284	0.7144873	0.1659254	0.4403455	0.0056844	0.2025746	0.6444925	0.6011613	0.1848799	0.3936919	0.4988451	0.0722064	0.5728029	0.6547950	0.6346612	0.7321393	0.3071640	0.7112517	0.5148922	0.1097225	0.6164846	0.8385689
0.4289683	0.1142234	0.0507127	0.0169055	0.3356904	0.6000374	0.2549776	0.0484896	0.2265492	0.2001303	0.4859969	0.6482263	0.3476611	0.1919210	0.5541088	0.6032181	0.0992400	0.5867449	0.3932866	0.6395808	0.0396388	0.3469314	0.1812225	0.3768273	0.2985332	0.1461257	0.3443417	0.2847023	0.3510422	0.5569944	0.3251173	0.7443852	0.4562814	0.5029739	0.7086524	0.1998397	0.5801388	0.6913621	0.4859077	0.4111548	0.2821640	0.7204805	0.3710427	0.5612594	0.5456771	0.1494031	0.4613251	0.0355566	0.6607314	0.4398035	0.7334932	0.2484755	0.0499217	0.4745370	0.3140652	0.2699051	0.2269836	0.0030680	0.2286401	0.0984277	0.2695898	0.5013820	0.5348302	0.5329804	0.1701513	0.6971153	0.4103451	0.6153008	0.3358575	0.2559123	0.3461938	0.1948557	0.4791283	0.0942176	0.2268776	0.5915888	0.0807633	0.3778621	0.2903556	0.6625360	0.2047837	0.3680513	0.0353734	0.2305671	0.5883421	0.8934079	0.1865756	0.4172708	0.4734084	0.0613313	0.6888638	0.6229717	0.5604653	0.6518115	0.2345614	0.6412255	0.6717153	0.1200969	0.6452634	0.6356088
0.4365753	0.1512398	0.0918502	0.0193541	0.2201382	0.5063713	0.2842458	0.0669264	0.3980359	0.0662572	0.4411542	0.6228459	0.2526215	0.0937518	0.4612518	0.6905320	0.1641370	0.7206543	0.2947298	0.6527012	0.0292472	0.3405962	0.1625834	0.4985063	0.3375354	0.1245804	0.2770749	0.2849456	0.3621557	0.4041857	0.2531144	0.7076710	0.5545683	0.6661656	0.6366006	0.3892830	0.3813046	0.6546521	0.3670128	0.4164106	0.2684499	0.5852707	0.4273411	0.6989459	0.4714863	0.1253472	0.3358984	0.0314094	0.6768136	0.3768847	0.7133743	0.2732167	0.1454072	0.2000235	0.3295607	0.2228490	0.3372896	0.0101160	0.2187158	0.0918236	0.3112551	0.5747133	0.6958789	0.5830485	0.2926325	0.6072495	0.3904564	0.5863545	0.3054245	0.3241812	0.2740444	0.2691862	0.5283051	0.0402160	0.1396480	0.6936319	0.0556348	0.3404017	0.2077907	0.7600567	0.1446081	0.3176402	0.0069106	0.2707699	0.6748660	0.7621174	0.3128317	0.2236562	0.4730071	0.0979755	0.6646875	0.8544598	0.7173993	0.6491302	0.3079964	0.7213585	0.6583127	0.1181984	0.8036274	0.7526794
