G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.0000000	0.5663616	0.6512818	0.0282524	0.7336073	0.3241589	0.1624514	0.5315645	0.8035486	0.6732682	0.6934564	0.6651220	0.2274194	0.2995147	0.5357027	0.3720948	0.6404125	0.3763178	0.0045280	0.0056085	0.5117634	0.4068135	0.5924508	0.4258516	0.0260350	0.0803889	0.1005738	0.6231556	0.4520431	0.7159097	0.4512662	0.5947654	0.1327093	0.7726375	0.5332536	0.2872268	0.3256658	0.4400873	0.5726958	0.3085768	0.3212151	0.4344699	0.2218623	0.6788997	0.6771992	0.0052838	0.1400560	0.5878585	0.3711511	0.3201099	0.3368527	0.5843480	0.3236774	0.5319975	0.5845017	0.1057459	0.7211420	0.7926538	0.7173316	0.5108784	0.5359221	0.6502912	0.3313944	0.2038431	0.2092271	0.5026125	0.2810089	0.2267578	0.5760308	0.1908754	0.1710236	0.2018563	0.1983785	0.4300962	0.4706256	0.1874316	0.0041613	0.5033618	0.4796501	0.2455608	0.3167138	0.2223170	0.5415667	0.1575823	0.3987093	0.7999135	0.2199028	0.6711949	0.5032941	0.5496215	0.4504343	0.4398660	0.5498491	0.7410446	0.7586803	0.7491452	0.2997509	0.6861856	0.7180088	0.7504333
0.7090832	0.0000000	0.5234465	0.2998974	0.2799533	0.5154026	0.4949687	0.0526440	0.6479356	0.2048072	0.7178050	0.7851584	0.4724065	0.3814508	0.6301508	0.1440601	0.3180008	0.4888952	0.2636413	0.6585636	0.1941118	0.0241709	0.6206069	0.4453592	0.0143982	0.0405187	0.1524248	0.6689916	0.4643841	0.6897548	0.4889354	0.6093699	0.1182824	0.7090077	0.5446003	0.3307601	0.6605985	0.4507215	0.4286500	0.2771372	0.0424091	0.2426882	0.3621233	0.5661940	0.7086126	0.0168397	0.0691021	0.5336546	0.5390895	0.5351208	0.2067885	0.7113681	0.0772980	0.4643988	0.7160438	0.1387677	0.4877745	0.4859275	0.6591123	0.6241745	0.6057576	0.7072533	0.2962772	0.2641257	0.3147744	0.6732920	0.2839335	0.2153892	0.7352301	0.1773680	0.1874615	0.1739508	0.1275087	0.4146629	0.3685971	0.1788004	0.0061330	0.4773683	0.6422378	0.1501144	0.3516707	0.2105905	0.5299103	0.1898433	0.3799582	0.6899419	0.2268095	0.6624233	0.5201661	0.5663132	0.4794230	0.4477884	0.5346569	0.7977990	0.6903431	0.6682184	0.2406424	0.6950245	0.6731133	0.6693585
0.6189062	0.0956207	0.0000000	0.4437973	0.3919835	0.4009897	0.4824511	0.1081484	0.5943294	0.2743737	0.5474801	0.5704476	0.5198457	0.4081332	0.8037421	0.1766261	0.4692144	0.4939495	0.2014978	0.6359866	0.2870491	0.0480200	0.7976038	0.3505537	0.0082199	0.0389744	0.1370725	0.6772288	0.6035814	0.8439045	0.4707960	0.9059893	0.1021327	0.7677824	0.6553787	0.3137864	0.4847622	0.6017106	0.4904069	0.2856195	0.0281659	0.2817632	0.3343247	0.7090223	0.6336808	0.0070313	0.0989304	0.4481036	0.3803457	0.4939668	0.2523737	0.7459575	0.0874082	0.5422266	0.6093770	0.1397470	0.4208625	0.5890309	0.6553110	0.5151106	0.6316674	0.6595126	0.4092072	0.2439316	0.2144634	0.6249617	0.3525806	0.2371204	0.6902123	0.2415081	0.1285308	0.1920672	0.1145928	0.4891274	0.3408790	0.1131317	0.0064602	0.5690687	0.4409739	0.1311624	0.3773275	0.3034017	0.5494710	0.1573611	0.3179268	0.5897581	0.1981031	0.5056259	0.5226538	0.6125184	0.4728094	0.4579553	0.6109611	0.7733018	0.6161229	0.7931449	0.2750929	0.5892897	0.6811425	0.7567965
0.6368346	0.1152992	0.4583032	0.0000000	0.3068783	0.4727031	0.4167618	0.0985859	0.6044160	0.2370711	0.6043885	0.5577955	0.5045921	0.3648172	0.7634951	0.1962021	0.3880990	0.4699388	0.1899881	0.6005036	0.3012493	0.0284484	0.7357373	0.3806775	0.0272536	0.0422242	0.1508188	0.6965901	0.4212439	0.6089808	0.5381303	0.6596165	0.0836212	0.6834820	0.5148653	0.3470358	0.4400576	0.5511742	0.5151551	0.3096856	0.0088790	0.2570820	0.2675834	0.7957479	0.6945708	0.0148142	0.1190398	0.6049216	0.4516591	0.4512857	0.2292550	0.6542396	0.0899416	0.6662633	0.6659978	0.1007857	0.4802058	0.5644327	0.5919489	0.6314375	0.5486323	0.7099575	0.3454853	0.2492953	0.3190316	0.5748228	0.2782754	0.2107508	0.6959030	0.1585646	0.2404728	0.2136754	0.2315402	0.4130278	0.3705523	0.1628997	0.0025991	0.4131509	0.5298116	0.1902826	0.3198829	0.2707296	0.5584030	0.1738291	0.3407241	0.6964850	0.2655473	0.5599746	0.4957060	0.7164893	0.3194488	0.4670168	0.4877498	0.7211534	0.6426610	0.7643937	0.2896982	0.6923179	0.7152695	0.6670341
0.0078856	0.8318558	0.6508989	0.0347050	0.0000000	0.5880681	0.1595039	0.4636972	0.7210897	0.6781401	0.6235179	0.8008873	0.8189264	0.5774480	0.6184306	0.3510134	0.4370387	0.3277203	0.3005291	0.0026757	0.0932584	0.0048824	0.5885872	0.3973776	0.0097731	0.0294485	0.1267322	0.7970534	0.5168654	0.6653105	0.6226140	0.6823096	0.1144827	0.6161117	0.0384504	0.3292699	0.4263261	0.4842927	0.4183758	0.3977681	0.0134883	0.1876416	0.3107497	0.0944209	0.6002491	0.0107408	0.1385387	0.4443785	0.6233622	0.6799986	0.1070604	0.6141128	0.0021156	0.2465704	0.2769120	0.6459773	0.2635107	0.1350452	0.4465281	0.6130754	0.5472892	0.7752412	0.3381882	0.2505467	0.3089583	0.5178237	0.2336954	0.2217222	0.6887807	0.1744700	0.2097864	0.2204079	0.1928522	0.4131178	0.3737361	0.1871735	0.0013008	0.4738004	0.5609559	0.2430849	0.3195576	0.2254806	0.6011202	0.1096146	0.4036911	0.6871325	0.2047807	0.4950572	0.4460176	0.7175778	0.2775962	0.3789899	0.5106209	0.7000095	0.7253548	0.6278150	0.2943401	0.8076036	0.6527571	0.6881923
0.7451908	0.0893441	0.4531197	0.5497211	0.3412960	0.0000000	0.3872227	0.0681013	0.6305503	0.2827700	0.5402138	0.6124228	0.6242889	0.3580367	0.7615235	0.1625768	0.3654431	0.4666267	0.2100773	0.6433953	0.2892958	0.0346451	0.7554479	0.4322973	0.0109873	0.0243499	0.1538328	0.6702052	0.6140045	0.7495054	0.4088642	0.6455497	0.0921584	0.8325968	0.4652265	0.3565716	0.3792603	0.4500743	0.4349280	0.2933155	0.0188106	0.3031048	0.3063925	0.7859619	0.5997529	0.0048418	0.1367953	0.5014273	0.5612571	0.5184001	0.2602631	0.5850821	0.1393602	0.4481934	0.6457169	0.1039426	0.3393764	0.5175754	0.6551519	0.5586991	0.6563463	0.7103253	0.3879456	0.2799057	0.3095124	0.5387571	0.2687966	0.2201181	0.6218080	0.2018433	0.1273730	0.2040079	0.1595180	0.3497434	0.4586910	0.1734675	0.0040832	0.4472230	0.5532527	0.2325007	0.2971807	0.1957360	0.5495351	0.1205637	0.3554138	0.7494524	0.2217443	0.5025087	0.4304531	0.6247522	0.4194931	0.3579790	0.4256013	0.6411396	0.7687854	0.5712291	0.3062554	0.6810074	0.7278590	0.7073941
0.5993471	0.0723856	0.4674087	0.3468519	0.3194258	0.3683103	0.0000000	0.0621519	0.6272358	0.2554162	0.6668915	0.6455937	0.6346814	0.3550030	0.6314620	0.1893808	0.2941044	0.4125501	0.2480888	0.7014886	0.2414449	0.0332791	0.7988677	0.3268260	0.0279386	0.0203396	0.1144343	0.7030383	0.4471960	0.6306908	0.4488768	0.7304179	0.1061255	0.6618806	0.4598987	0.4336325	0.3449003	0.4813672	0.4790832	0.3129038	0.0262517	0.3610222	0.2593099	0.7096721	0.6112048	0.0082319	0.1570968	0.4550075	0.4474092	0.6221289	0.2306560	0.6006459	0.0650195	0.5037275	0.5913293	0.1454986	0.3580774	0.5255429	0.5755631	0.4627963	0.5838636	0.6576896	0.4400898	0.2051125	0.2845390	0.5877180	0.4117028	0.2039887	0.6172479	0.1638558	0.1900981	0.2265132	0.2087450	0.4764267	0.3269668	0.1146042	0.0021194	0.4260477	0.6838752	0.2079962	0.3626480	0.2023247	0.6723764	0.1896637	0.3848040	0.7125015	0.2374178	0.6146657	0.4930665	0.5489561	0.5252743	0.5008404	0.6097759	0.7088128	0.6115195	0.6045962	0.2901495	0.7919715	0.6603969	0.5546277
0.6095391	0.1900202	0.4398835	0.4949539	0.3047510	0.5681579	0.5659104	0.0000000	0.6874570	0.2418676	0.6274573	0.7021279	0.5986705	0.3162758	0.6456606	0.1414473	0.3520703	0.4874645	0.2207300	0.7272191	0.2102366	0.0480103	0.8110496	0.3755204	0.0336655	0.0237990	0.1316344	0.7199547	0.5875978	0.7764432	0.3805107	0.7193103	0.1054636	0.5943919	0.5900682	0.3097453	0.4502003	0.5810985	0.5103382	0.3100889	0.0239444	0.2320658	0.2269104	0.6125570	0.5764111	0.0131060	0.1108567	0.4532409	0.4165045	0.5532112	0.1999924	0.6500024	0.0780698	0.4573368	0.6571000	0.1345931	0.5159946	0.5546053	0.5519189	0.6048322	0.6099564	0.6678894	0.4043068	0.2556416	0.3068379	0.5506257	0.3320511	0.2317788	0.6212022	0.1485833	0.1857189	0.1345398	0.1493675	0.4313175	0.3995212	0.1085782	0.0025644	0.4166446	0.5529509	0.2297022	0.3338559	0.3298992	0.5476502	0.1362629	0.4064974	0.6166939	0.2252851	0.5926568	0.4383655	0.5755631	0.3919285	0.3430859	0.5051731	0.6882924	0.6348611	0.6181105	0.2920623	0.6725789	0.6363607	0.8077592
0.7014854	0.0493016	0.5493710	0.4867447	0.2529998	0.4815981	0.4896759	0.0387344	0.0000000	0.1964654	0.6359290	0.5977622	0.5213685	0.3509336	0.6862364	0.2122154	0.3322867	0.4687846	0.2506239	0.7062109	0.2503799	0.0343667	0.6722832	0.3687238	0.0220724	0.0585626	0.1174208	0.8360017	0.4887379	0.6878592	0.4160130	0.8178727	0.0892346	0.6963235	0.5571575	0.3615328	0.4326679	0.5706738	0.4172060	0.3341913	0.0190473	0.2568737	0.3074576	0.6101796	0.7989411	0.0160554	0.0968714	0.5348290	0.4975949	0.5275879	0.2173345	0.6954999	0.0957305	0.4418434	0.5262637	0.1571074	0.4083058	0.5511528	0.6291437	0.5891688	0.6686453	0.7167759	0.3978747	0.2469080	0.3210071	0.4800107	0.2389946	0.2369531	0.6160569	0.2111877	0.1617524	0.1720421	0.1473172	0.4312390	0.4008767	0.1389930	0.0021079	0.4189187	0.5511436	0.2702579	0.3766419	0.2767744	0.5719426	0.2328215	0.5158359	0.8130470	0.2049785	0.5732089	0.4603399	0.5928475	0.4116192	0.4627353	0.4529462	0.7338918	0.6774668	0.6433083	0.2508889	0.8234849	0.8478619	0.7125572
0.6157285	0.0737573	0.5365118	0.5547678	0.3224818	0.4744178	0.5215888	0.0708972	0.6503198	0.0000000	0.6715037	0.6762425	0.4967112	0.2915515	0.6363868	0.2496806	0.5500780	0.4912046	0.1929075	0.6021647	0.2864054	0.0299132	0.6770821	0.3552020	0.0172776	0.0361737	0.1381149	0.6525005	0.4482272	0.6345356	0.5126386	0.6665685	0.0927802	0.5467295	0.7096203	0.2683481	0.4320251	0.4930443	0.4339625	0.4003112	0.0828939	0.2419800	0.2773348	0.7340084	0.7286956	0.0128979	0.0963818	0.4735948	0.4209237	0.4626011	0.2536892	0.7460844	0.1444353	0.5822203	0.6653902	0.1535017	0.4308209	0.4647096	0.6905227	0.4597741	0.6728295	0.7763034	0.3930428	0.2070010	0.2954423	0.5308402	0.3135569	0.2521237	0.7968602	0.2172130	0.1286858	0.2109232	0.1495056	0.4170434	0.4192010	0.1635632	0.0018356	0.4848926	0.4590669	0.1704442	0.3088412	0.2452983	0.5403004	0.1838095	0.3567753	0.7829853	0.2400670	0.5363292	0.4702950	0.4836607	0.4217642	0.4438823	0.5292725	0.5221360	0.7801828	0.8369673	0.2528557	0.7340588	0.7192384	0.5828329
