"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10

0	0.4677611	0.2219967	0.7132808	0.1893035	0.7419548	0.7935394	0.4229275	0.7763936	0.6255098	0.7409787
50	0.4336056	0.0591401	0.8373920	0.1425656	0.5523961	0.6804408	0.2742658	0.6329428	0.7233578	0.7942168
100	0.6245601	0.0330400	0.7015194	0.1847203	0.5590047	0.7910981	0.3579642	0.6340661	0.6292839	0.6685625
150	0.4773647	0.0457675	0.6842245	0.1447059	0.4911413	0.5890614	0.3241100	0.7583708	0.7028402	0.7384683
200	0.4237433	0.0444798	0.6706947	0.1550279	0.4370692	0.5736402	0.3572731	0.6789887	0.7022089	0.5933242
250	0.4115685	0.0464689	0.6391305	0.1649257	0.4728444	0.6640438	0.3593473	0.6871392	0.8619918	0.5992484
300	0.4678102	0.0541045	0.6650974	0.2337212	0.4233914	0.8391244	0.3987641	0.7408108	0.6854862	0.6210054
350	0.4161529	0.0307040	0.6028385	0.2242405	0.6150557	0.7052357	0.4537725	0.5789194	0.6665952	0.8049698
400	0.4325992	0.0561722	0.6387078	0.1701775	0.4732792	0.7900242	0.3958867	0.7582201	0.6296514	0.8266395
450	0.4266994	0.0644544	0.7123138	0.2200744	0.4757055	0.6961878	0.3432487	0.7946565	0.7675001	0.7670196
500	0.4957256	0.1202288	0.7051041	0.1592089	0.5044380	0.6711036	0.4160274	0.6190438	0.6379125	0.7106657
550	0.5784128	0.1439941	0.7893420	0.1576951	0.5830813	0.7262294	0.3142056	0.7964318	0.6724469	0.7816649
600	0.4744236	0.2334502	0.8120884	0.1394274	0.6596572	0.6924132	0.4102117	0.6784855	0.7136414	0.7940277
650	0.4524192	0.1747482	0.7653029	0.2155155	0.6280462	0.7459730	0.3084846	0.7547174	0.8048546	0.8077005
700	0.4342134	0.1992705	0.8854205	0.1963406	0.6207019	0.5940155	0.3526451	0.6926857	0.7566101	0.8178353
750	0.3671150	0.1863350	0.6988186	0.1311065	0.7247114	0.6733571	0.3099673	0.9024100	0.7075023	0.7349303
800	0.3840873	0.1437643	0.6580014	0.1479399	0.6638361	0.6612581	0.2689613	0.7745434	0.5851884	0.7015376
850	0.4575857	0.2010050	0.5885831	0.2135152	0.7436065	0.6356119	0.3841912	0.7723968	0.8201387	0.8802307
900	0.3739301	0.2766592	0.7840094	0.1795594	0.6814672	0.6831476	0.2649132	0.6540968	0.7616908	0.7688660
950	0.4253820	0.2295131	0.6282969	0.1791200	0.6458291	0.7975307	0.2494693	0.8456107	0.6889581	0.6818056
1000	0.5476694	0.2213343	0.6575935	0.2896788	0.6830465	0.7102117	0.3546803	0.6264669	0.7470096	0.6288045

0	0.4872092	0.2330885	0.7242142	0.1731427	0.7251746	0.7894769	0.3561115	0.7845397	0.7480054	0.5763114
50	0.2264658	0.2413117	0.7378927	0.0612281	0.6710727	0.6924312	0.3619094	0.6444512	0.6853094	0.6710761
100	0.1683297	0.2589076	0.4909113	0.0219586	0.6541356	0.7759818	0.3657711	0.7604901	0.7074446	0.7148084
150	0.1496805	0.5150851	0.5872380	0.0381331	0.5807827	0.7535671	0.3382308	0.8492847	0.5308744	0.6872347
