G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.7825326	0.0799055	0.6654192	0.8239169	0.1291332	0.4603304	0.1794673	0.6509896	0.5948381	0.7047147
0.6713780	0.5905958	0.7019781	0.3341530	0.3896646	0.4247252	0.4419422	0.3295259	0.8000388	0.6500738
0.7089417	0.1895510	0.7830464	0.7940795	0.1664814	0.6500842	0.1307971	0.4507629	0.8848674	0.6415963
0.6952578	0.1334221	0.7316512	0.7536115	0.1766530	0.2137864	0.3451757	0.5236385	0.8485986	0.6016349
0.8149083	0.2412566	0.6897434	0.7585850	0.0273637	0.8156942	0.1046955	0.6426453	0.7324429	0.8354160
0.5760968	0.1441036	0.8155161	0.7411312	0.1424980	0.6691121	0.0320161	0.3543844	0.7046714	0.8269477
0.8624648	0.2603130	0.6861387	0.7105033	0.1588579	0.6124237	0.0327600	0.8235172	0.6296982	0.7529842
0.5962751	0.0712574	0.8072843	0.7671196	0.0552639	0.3150158	0.4356358	0.8510937	0.6930649	0.6674111
0.7527550	0.1702220	0.5576492	0.6651322	0.0274243	0.6428212	0.1779056	0.7760037	0.7383512	0.5800001
0.6060994	0.5963807	0.7185660	0.6737230	0.5617856	0.4417141	0.4849602	0.3096601	0.7615447	0.8813420
