G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.0000000	0.0654828	0.6339046	0.4275895	0.4687110	0.6938134	0.2394861	0.5398224	0.6866561	0.7785858
0.3560426	0.0000000	0.6789904	0.5107246	0.4955051	0.7947362	0.3140406	0.6331406	0.8140850	0.8083875
0.3070558	0.6493290	0.0000000	0.6259725	0.7879218	0.2010546	0.2476284	0.7255990	0.8082484	0.7105070
0.5012963	0.2543549	0.5242080	0.0000000	0.7189024	0.2708776	0.2339279	0.8001598	0.8636388	0.7211319
0.1403015	0.2065271	0.6425293	0.5904943	0.0000000	0.2911630	0.6080630	0.8607768	0.7551387	0.7488536
0.1392541	0.4677646	0.0280936	0.6726000	0.7450022	0.0000000	0.7170039	0.8351630	0.8973247	0.7938541
0.8304702	0.3495050	0.5177425	0.3045548	0.6968857	0.3013873	0.0000000	0.0332649	0.7702878	0.9326380
0.4403340	0.3631401	0.5406704	0.3779202	0.8028127	0.2152428	0.1642377	0.0000000	0.8763284	0.6508127
0.7525380	0.4329677	0.4038065	0.2575426	0.7687232	0.2553381	0.0220783	0.0361705	0.0000000	0.7021692
0.7684557	0.3300906	0.6727509	0.2175278	0.6241058	0.3168801	0.0234848	0.0585653	0.7407957	0.0000000
