"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100

0	0.3761196	0.2860537	0.5215875	0.4568673	0.1407021	0.5724355	0.5769242	0.4655677	0.6455092	0.2074076	0.3564247	0.1196477	0.1585417	0.2565185	0.1302431	0.2246117	0.6847259	0.3144998	0.5482718	0.3193594	0.2455404	0.1969162	0.4971140	0.4646140	0.6757134	0.7136032	0.3454107	0.4815593	0.0537339	0.0039599	0.1762421	0.3139039	0.7484200	0.2816401	0.2368230	0.1371749	0.5570940	0.0114393	0.6463865	0.2801597	0.6731959	0.0359709	0.6463220	0.0573682	0.0589318	0.7954639	0.4970233	0.2019784	0.5547882	0.5481858	0.1488429	0.6789836	0.5082151	0.5224943	0.6675817	0.4766721	0.0690851	0.0374459	0.0340894	0.6396343	0.0329425	0.1064150	0.1918401	0.3749052	0.2333028	0.5433349	0.0322928	0.0317027	0.2689203	0.0149891	0.6470692	0.2949474	0.1610242	0.0333031	0.4463923	0.0782378	0.5374344	0.6659924	0.3445722	0.3029833	0.4830541	0.3032424	0.6742791	0.0295501	0.5593257	0.8552408	0.0431278	0.7122196	0.0571590	0.8086181	0.6965742	0.6688414	0.0607705	0.4415339	0.1215587	0.5458895	0.5216025	0.6504251	0.0202198	0.6134940
50	0.3006149	0.4519085	0.5921203	0.5845537	0.4098653	0.7898795	0.5729576	0.4112545	0.7863356	0.1524012	0.3403784	0.1645556	0.2420036	0.3092507	0.0980674	0.2076408	0.7338556	0.3253828	0.5375449	0.1229847	0.1855231	0.1838971	0.4747946	0.3527475	0.6418160	0.5945977	0.4216047	0.3559503	0.1343813	0.3901925	0.2894703	0.3134194	0.7595095	0.4847759	0.3033429	0.1630106	0.6013296	0.0266204	0.7021681	0.1750118	0.6519867	0.0807031	0.3109357	0.0261934	0.0521379	0.3007206	0.3133039	0.0615067	0.3399551	0.5430183	0.2323905	0.6341686	0.3680864	0.4136232	0.6676652	0.5538912	0.1402246	0.0175302	0.0414487	0.5188305	0.0358040	0.5213982	0.2358586	0.5182357	0.2040974	0.4674176	0.0453975	0.0135834	0.4346745	0.0361958	0.6669844	0.3705992	0.2224430	0.0034030	0.3655739	0.0521928	0.7011504	0.4861147	0.2613229	0.3405260	0.5424296	0.2479689	0.5466348	0.0566371	0.4657678	0.6115330	0.0343029	0.5061214	0.3820378	0.6654348	0.2558313	0.4254619	0.0468745	0.5223853	0.0207292	0.5328405	0.2731351	0.6696076	0.0181262	0.5490285
100	0.2829368	0.4553171	0.5957795	0.3884479	0.4676105	0.6773616	0.5491897	0.4835976	0.5776647	0.2091226	0.4151268	0.0610646	0.2662139	0.2603151	0.1949780	0.1816630	0.6806961	0.2112504	0.5416145	0.0613176	0.1998194	0.2132751	0.4150834	0.3622724	0.8035317	0.4961649	0.3665483	0.4776639	0.1112855	0.6924314	0.3479032	0.3392511	0.7249255	0.6532436	0.3600861	0.1607445	0.7876137	0.0266250	0.6554020	0.2011382	0.5869027	0.0499929	0.2455773	0.0088344	0.0717906	0.0974267	0.3547801	0.0255840	0.3729855	0.5452461	0.2792528	0.6097019	0.3377884	0.3830114	0.7686098	0.6979658	0.1948617	0.0313346	0.0253268	0.6271278	0.0473497	0.5181954	0.1820210	0.4676236	0.2233109	0.6356281	0.0430175	0.0001991	0.3883221	0.0484386	0.6577212	0.4934034	0.2091826	0.0012635	0.4791872	0.0767899	0.5553830	0.5482656	0.2780203	0.3758771	0.5580586	0.3765648	0.7027535	0.0329585	0.3871995	0.6412886	0.0405084	0.5234143	0.4935001	0.7137869	0.2334023	0.2039345	0.0771833	0.5455965	0.0300947	0.5057034	0.3128570	0.8018845	0.0716176	0.6093421
150	0.2874807	0.5274425	0.6264586	0.4798201	0.5893789	0.6840666	0.4875093	0.3702495	0.6587066	0.1942151	0.3548538	0.0988476	0.3384001	0.3163113	0.1097356	0.2558402	0.6051984	0.2088207	0.4886756	0.0332607	0.1606081	0.3935776	0.5617800	0.3310005	0.6888285	0.5593393	0.3849409	0.4173115	0.1101190	0.6084101	0.4329640	0.3190175	0.7998583	0.5353365	0.4035295	0.2374457	0.5703842	0.0190641	0.6304114	0.1095108	0.6460890	0.0437990	0.2085132	0.0021730	0.0596447	0.1379057	0.3996983	0.0076862	0.4051955	0.6038989	0.3377043	0.5677684	0.5374451	0.3021221	0.4872416	0.6310029	0.1500694	0.0151037	0.0214166	0.5703542	0.0380198	0.4945439	0.2132980	0.4999445	0.2457096	0.5098391	0.0607076	0.0177091	0.3450347	0.0661352	0.6599189	0.5447125	0.2457349	0.0056919	0.4846702	0.0381732	0.6014990	0.4621643	0.2644616	0.4069576	0.6474367	0.3513971	0.6698128	0.0167491	0.3396802	0.6342869	0.0059828	0.6293192	0.5247213	0.6976461	0.2619693	0.1502407	0.0821073	0.5988908	0.0078330	0.7059483	0.2319863	0.7475255	0.0550226	0.5897077
200	0.3897249	0.5122443	0.7251628	0.4932513	0.6467496	0.6039152	0.5435319	0.2973014	0.6636751	0.1909422	0.4297017	0.1610115	0.3343837	0.2628454	0.2063836	0.1560349	0.7761887	0.1164972	0.3226326	0.0199632	0.2508402	0.3514038	0.4201575	0.2302068	0.6436182	0.6073263	0.4029467	0.5323938	0.1019498	0.7312876	0.4388080	0.4015506	0.7123397	0.5140687	0.4147996	0.2576576	0.4803960	0.0152638	0.5560760	0.1009014	0.8217974	0.0504955	0.1693567	0.0043567	0.0466844	0.1355825	0.3757355	0.0297019	0.3751404	0.5070830	0.3573592	0.5688956	0.4094183	0.2355278	0.7983035	0.6164804	0.1146540	0.0318577	0.1130737	0.4808830	0.0136506	0.4615782	0.3053628	0.4506334	0.3240226	0.4916259	0.0540876	0.0022837	0.4062143	0.0356425	0.6257490	0.6309292	0.2753996	0.0088794	0.3909159	0.0639339	0.7957371	0.4940620	0.4000979	0.4181673	0.5407215	0.4314908	0.6558009	0.0481150	0.3356230	0.4015439	0.0088918	0.5570067	0.6267875	0.6583817	0.1765029	0.1627631	0.0612334	0.4820169	0.0054189	0.6241088	0.2010846	0.5654347	0.0424308	0.5623440
250	0.2803754	0.5572875	0.7480041	0.3623811	0.5515722	0.6755104	0.5245454	0.3909324	0.6724562	0.2209726	0.3434704	0.1751552	0.2967781	0.2977135	0.1796941	0.1383712	0.5768172	0.0880733	0.2512109	0.0226756	0.2071471	0.5726123	0.3711609	0.1326291	0.7095580	0.6251098	0.3607195	0.5429466	0.0850380	0.6194314	0.4504555	0.4083298	0.6555576	0.7154482	0.4031234	0.3421613	0.4776343	0.0219994	0.6772369	0.1042012	0.5448187	0.0396111	0.2001307	0.0005560	0.0366812	0.1214572	0.3867554	0.0183033	0.3737047	0.5609419	0.3991306	0.5303911	0.4234055	0.3329498	0.6216458	0.6045502	0.1430371	0.0275439	0.0328716	0.6165086	0.0313297	0.5017304	0.2306105	0.5327462	0.2966703	0.5148994	0.0579250	0.0015784	0.3763953	0.0188984	0.6411375	0.7386686	0.3829220	0.0073101	0.3792328	0.0518598	0.6747390	0.4382711	0.2966076	0.2912946	0.5961317	0.4260095	0.5554551	0.0389982	0.1482141	0.3946425	0.0020727	0.6116471	0.5871250	0.6580927	0.1740307	0.1170188	0.0517438	0.5224973	0.0039480	0.4835621	0.2156538	0.6394090	0.0266033	0.6977584
300	0.3189808	0.5791199	0.6241066	0.4479675	0.6314833	0.6203832	0.4771732	0.3926945	0.6422755	0.1867803	0.3819698	0.2162326	0.3789512	0.3412065	0.2061282	0.1516969	0.6191908	0.0828019	0.2171758	0.0452713	0.2622298	0.5710798	0.4718588	0.0970733	0.6884784	0.6923431	0.3614225	0.5221608	0.1083727	0.6561810	0.4975510	0.3280059	0.7336235	0.5562665	0.2672939	0.3763853	0.5419307	0.0245945	0.6431214	0.1481409	0.5960116	0.0642496	0.1591755	0.0009830	0.0838640	0.1253943	0.3879852	0.0245762	0.3824389	0.5403801	0.4449306	0.5852567	0.3746617	0.3348123	0.7663098	0.6288064	0.1684064	0.0205891	0.0500195	0.6583148	0.0415242	0.5067032	0.2159630	0.4799022	0.2862561	0.5399333	0.0597910	0.0005478	0.4256311	0.0473502	0.7272034	0.6406025	0.3652275	0.0254735	0.4203913	0.0370621	0.7367025	0.5228020	0.3297771	0.3097213	0.5337283	0.4222732	0.6372830	0.0722750	0.1790765	0.2143422	0.0004920	0.5321332	0.5785270	0.5931077	0.2051735	0.1959155	0.0444450	0.5500437	0.0010663	0.4418609	0.1926068	0.6252954	0.0347709	0.6070521
350	0.2993752	0.6079458	0.6170908	0.3914498	0.6111239	0.6459909	0.4606995	0.3082060	0.7525809	0.1824543	0.3001301	0.2235533	0.3680094	0.2577358	0.1993862	0.1888770	0.6203144	0.0807953	0.1747470	0.0187698	0.2952970	0.5591330	0.3368970	0.1398940	0.6883391	0.7161390	0.3439759	0.4807869	0.0788854	0.6161695	0.4725603	0.4928329	0.7174279	0.6033880	0.3335967	0.3257888	0.4683221	0.0428425	0.6107723	0.1344580	0.6301406	0.0375836	0.1156218	0.0019476	0.0316143	0.1271395	0.3194047	0.0226265	0.2727695	0.5177286	0.4851833	0.4470667	0.3476754	0.3460793	0.6247889	0.5835551	0.1090558	0.0222908	0.1021988	0.4747333	0.0179381	0.3430349	0.2121285	0.5146756	0.3411176	0.4911739	0.0621797	0.0014407	0.4559073	0.0478586	0.7052835	0.7439743	0.3282295	0.0012509	0.3602658	0.0489551	0.5503090	0.4053844	0.2972264	0.3751373	0.5832163	0.3595765	0.8814137	0.0581551	0.1184984	0.2719838	0.0000000	0.4843963	0.5907668	0.6154079	0.2551581	0.1398520	0.0480055	0.6399627	0.0005440	0.5691589	0.2016953	0.6460558	0.0163771	0.5853076
400	0.3205907	0.6315492	0.6176914	0.3678604	0.5507170	0.7437089	0.4170304	0.2525064	0.6889501	0.1732461	0.2958218	0.1410547	0.3259298	0.3423867	0.1869853	0.1705921	0.6126306	0.1080648	0.1534701	0.0410564	0.3038492	0.4923771	0.3794978	0.1012001	0.5934824	0.7009762	0.3252855	0.5148870	0.0984141	0.6541847	0.4123948	0.3831368	0.7423663	0.6124409	0.4236723	0.3842751	0.4504302	0.0209958	0.7071730	0.1419280	0.7641832	0.0444856	0.1308144	0.0003925	0.0294422	0.1277853	0.2574293	0.0532818	0.3142102	0.5944280	0.3772531	0.4373461	0.3669106	0.3629528	0.5789472	0.6480437	0.1331094	0.0209866	0.0589319	0.5689042	0.0464591	0.4837762	0.3042468	0.6207950	0.4043145	0.4475261	0.0749831	0.0205784	0.4020906	0.0472453	0.8940567	0.6672875	0.4024099	0.0008649	0.3812969	0.0444203	0.5792834	0.5369574	0.2975509	0.4499323	0.5752686	0.3692602	0.6932118	0.0854722	0.1363080	0.2247886	0.0002082	0.3548019	0.5208560	0.6867607	0.1986195	0.1908450	0.0480824	0.4542065	0.0004227	0.4426054	0.1641991	0.6491023	0.0116462	0.5641898
