G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.0000000	0.6671573	0.6202194	0.0428665	0.6992345	0.3635368	0.1559221	0.4899231	0.7128437	0.6165041	0.6919259	0.6584826	0.2717772	0.1984002	0.4148590	0.3534072	0.7059365	0.3643715	0.0052932	0.0122762	0.4363175	0.4353037	0.6592438	0.3564471	0.0188270	0.0206550	0.1269345	0.7561602	0.4873631	0.8147450	0.5150816	0.6784161	0.1285021	0.6608651	0.6335014	0.3960555	0.3670808	0.4077764	0.7067628	0.2690434	0.3886658	0.4572327	0.1711606	0.7029289	0.6997383	0.0089023	0.1322661	0.5465007	0.4913034	0.1674013	0.4123035	0.6597174	0.3828919	0.6782134	0.7030504	0.0747469	0.5440644	0.5967247	0.7157935	0.5868752	0.5576306	0.6763177	0.4350254	0.2079442	0.2802136	0.4685638	0.3545028	0.2142551	0.6496024	0.2072425	0.1592877	0.2706504	0.2755889	0.4953827	0.3700262	0.1815791	0.0038183	0.4225665	0.6395273	0.2169195	0.3682172	0.1809610	0.4302970	0.1477170	0.4302133	0.5782341	0.2353329	0.5458374	0.4297874	0.5485384	0.4837721	0.3554874	0.6018901	0.6460031	0.7400590	0.7345070	0.3318408	0.6445047	0.5800827	0.6237059
0.7537076	0.0000000	0.5260762	0.4903905	0.3861464	0.3884429	0.6263126	0.0652882	0.5545452	0.2008599	0.5250105	0.6059773	0.5810348	0.2682035	0.6155767	0.1760567	0.4166968	0.4403074	0.1239785	0.5341159	0.2870324	0.0085692	0.6701512	0.3449122	0.0419488	0.0496870	0.1767498	0.6118692	0.4377671	0.6467273	0.4743511	0.6433458	0.1480164	0.7012437	0.5171073	0.2907492	0.5221445	0.4376437	0.5709656	0.4217489	0.0253528	0.3382908	0.2372099	0.6179696	0.6994414	0.0218148	0.1964735	0.5090932	0.4965468	0.4462936	0.2311126	0.6030941	0.1010323	0.5838519	0.6335383	0.1139800	0.4707134	0.5382071	0.6523870	0.5192222	0.7348229	0.7236534	0.2974294	0.2484126	0.2670943	0.6232769	0.2510310	0.2334563	0.7464071	0.1801620	0.1277933	0.1479110	0.2481064	0.3817299	0.3392928	0.1212329	0.0009821	0.4406065	0.5551653	0.1700254	0.3474816	0.2994379	0.5126888	0.0632593	0.2579497	0.7410226	0.2441229	0.6105562	0.4404995	0.6413177	0.4650653	0.3707942	0.4138718	0.7696609	0.7086802	0.6336464	0.2252234	0.8103713	0.7164403	0.6972909
0.6144340	0.0606088	0.0000000	0.5157970	0.3061680	0.4163786	0.3928228	0.0508546	0.5187189	0.2391921	0.5962520	0.4272608	0.5416590	0.3064481	0.6507565	0.1456492	0.4527385	0.3725239	0.2416641	0.7620770	0.3188908	0.0203921	0.7740195	0.3518624	0.0113485	0.0459890	0.2001926	0.6279476	0.4652295	0.5926444	0.5053442	0.6017721	0.1005576	0.5764212	0.5793860	0.2838515	0.4994564	0.5005734	0.4400176	0.4017742	0.0177313	0.2623089	0.2417570	0.7025806	0.6605088	0.0049354	0.1453776	0.4549769	0.3947420	0.3874548	0.3144241	0.5643749	0.1622108	0.5248192	0.5910454	0.1723703	0.3526629	0.6003524	0.6671346	0.6341503	0.5236208	0.6427246	0.4071385	0.2050420	0.2701929	0.4143159	0.3259201	0.1838551	0.6723681	0.1701968	0.1600065	0.1844820	0.1918050	0.3974157	0.4126193	0.1312426	0.0105668	0.4759131	0.5946595	0.1939522	0.2891230	0.2549122	0.5042663	0.1799101	0.3927413	0.5943814	0.2818797	0.5300305	0.4942320	0.5546496	0.4018602	0.3678247	0.5596024	0.8538201	0.5758427	0.6286147	0.2257500	0.6598751	0.7065769	0.6421979
0.6055918	0.0787623	0.5238628	0.0000000	0.2814242	0.4110282	0.5066306	0.0704366	0.6026433	0.2438032	0.5532776	0.4712742	0.6153534	0.3285097	0.6020822	0.1563064	0.3911514	0.4122261	0.1656542	0.5968168	0.3913772	0.0193695	0.6702825	0.3622217	0.0279775	0.0436036	0.1448498	0.8037967	0.5350540	0.7016654	0.5873080	0.6110351	0.1007992	0.6697834	0.6024543	0.3727556	0.5188911	0.4848059	0.4518164	0.3874263	0.0685741	0.1945512	0.3275849	0.6590317	0.6096676	0.0037114	0.0997232	0.4268201	0.4664628	0.4926818	0.2524592	0.6584078	0.0965182	0.5810772	0.6448176	0.1051313	0.4549716	0.5318540	0.7505727	0.5094599	0.5996026	0.6860516	0.4067779	0.2192025	0.1572455	0.5343902	0.2825601	0.2077208	0.7127648	0.1608085	0.1640054	0.2247001	0.1506275	0.4039095	0.3357376	0.1805282	0.0010802	0.4556982	0.4306153	0.2168681	0.3298987	0.3500584	0.5033733	0.1842141	0.3907308	0.6528946	0.2535425	0.5687742	0.4221391	0.5439992	0.4962707	0.3718033	0.6486555	0.6175831	0.6740622	0.6869745	0.3346914	0.6739039	0.7811656	0.6951990
0.0062008	0.6698425	0.5320899	0.0363693	0.0000000	0.4608590	0.1001720	0.5466061	0.6918975	0.6099967	0.6539336	0.7121941	0.7357755	0.6904035	0.6082658	0.3737481	0.4154306	0.4417517	0.2001152	0.0241269	0.1220329	0.0491967	0.6680226	0.4886770	0.0152364	0.0229655	0.0847030	0.6429141	0.4259040	0.7282252	0.4969967	0.7015115	0.0568569	0.8232490	0.0173702	0.3727480	0.3551006	0.4741259	0.3497147	0.3933627	0.0045879	0.1730653	0.3566025	0.0352346	0.7788236	0.0186445	0.0944899	0.3893927	0.7449669	0.5741031	0.0717689	0.6413636	0.0021967	0.1824117	0.2403858	0.6925872	0.3383597	0.1555268	0.4996202	0.5836907	0.6266988	0.7423938	0.3842160	0.2914376	0.1987025	0.5424301	0.5036026	0.3118628	0.7718220	0.2552609	0.1666335	0.2702919	0.2762629	0.4814453	0.3514978	0.1896550	0.0009292	0.4566542	0.4584154	0.1934711	0.3050455	0.2282057	0.4798668	0.1188877	0.3376605	0.7381688	0.2848433	0.5991990	0.4358852	0.5014272	0.4488941	0.3870525	0.6074825	0.6068074	0.6830962	0.7786783	0.3146742	0.5360519	0.6259873	0.7445000
0.7004529	0.0886717	0.4672789	0.5447546	0.2488706	0.0000000	0.4227558	0.0586459	0.7302970	0.2049771	0.5138667	0.5258863	0.4522317	0.2980523	0.6442422	0.1514161	0.2953802	0.4048241	0.2326036	0.5539512	0.3046103	0.0430320	0.6307774	0.4078882	0.0083251	0.0307023	0.1475823	0.6270765	0.5570655	0.6462753	0.5055060	0.7565079	0.1002384	0.7090702	0.4873261	0.3676975	0.4256834	0.5057823	0.5332755	0.2867620	0.0392597	0.2456455	0.2342166	0.7003713	0.6537941	0.0053463	0.1465029	0.4796876	0.4919449	0.5704867	0.2462655	0.5835583	0.0958721	0.5252282	0.5329357	0.0578828	0.4786628	0.5161975	0.6637698	0.6054383	0.6029011	0.6146390	0.4228939	0.3010091	0.3117891	0.6972393	0.2717068	0.2798221	0.8195385	0.1421427	0.1921524	0.1716477	0.1147780	0.4007901	0.4185336	0.1565421	0.0026352	0.4650583	0.5495797	0.2272080	0.3157134	0.2930763	0.5752976	0.1561252	0.3373993	0.7096242	0.2936858	0.5108513	0.5352142	0.5817016	0.4096692	0.4639147	0.4051226	0.6761982	0.8398446	0.6405404	0.2565883	0.6159735	0.6827464	0.5881977
0.7193358	0.0599118	0.4861884	0.3588561	0.2504617	0.4325737	0.0000000	0.0489989	0.5451223	0.1971175	0.5027357	0.5284646	0.5404090	0.3561018	0.7465024	0.1929225	0.3324603	0.4693666	0.2718809	0.8009064	0.1596380	0.0278142	0.8190533	0.4092453	0.0330295	0.0545348	0.0907378	0.7453290	0.4472312	0.7975328	0.3888082	0.7823992	0.0933960	0.6687914	0.4514926	0.3150780	0.3098570	0.5500235	0.5259166	0.3512685	0.0083113	0.2449529	0.2322206	0.7049389	0.6975802	0.0082955	0.1483185	0.3999198	0.4437897	0.5914003	0.2071401	0.6365925	0.0495240	0.4884903	0.5238548	0.1865333	0.4146266	0.4336220	0.7782768	0.5094155	0.5798688	0.6596028	0.4073193	0.2363045	0.1887215	0.4411401	0.3257271	0.2415216	0.6466721	0.2335087	0.1846249	0.2599182	0.2763260	0.5168251	0.3288737	0.2316174	0.0054589	0.4131847	0.4678042	0.2304657	0.3263472	0.2349330	0.4286192	0.1374164	0.3831127	0.6655679	0.1768909	0.6406961	0.5525521	0.6334251	0.3253879	0.4038181	0.4318508	0.6619876	0.7072610	0.5965099	0.3460483	0.6071072	0.6460243	0.6584859
0.5971846	0.1004430	0.4778689	0.5372905	0.2570727	0.4561493	0.4369479	0.0000045	0.6465082	0.1837265	0.5988084	0.5976097	0.5205320	0.3885903	0.5857593	0.1537857	0.3642104	0.4928532	0.1864576	0.7951431	0.2449153	0.0173862	0.6409757	0.3513705	0.0178260	0.0388875	0.1404996	0.5921547	0.5204459	0.7029824	0.4199802	0.6614668	0.0728698	0.6785448	0.4050175	0.4067585	0.3973286	0.4435894	0.5135940	0.3277194	0.0531654	0.2742804	0.2288860	0.6494207	0.6859776	0.0049984	0.1438873	0.5340092	0.4765479	0.4979208	0.2439963	0.8701797	0.0679364	0.5644651	0.5224889	0.1334794	0.4474345	0.5033239	0.6271070	0.5019005	0.5346700	0.7213665	0.3822505	0.2954400	0.2380910	0.5278270	0.3068579	0.1975571	0.7281180	0.1503303	0.1149917	0.1185815	0.1224019	0.4760213	0.3282740	0.0647429	0.0056162	0.4631510	0.5011059	0.1965735	0.3373418	0.1859741	0.4527919	0.1622662	0.3875579	0.7771387	0.2775142	0.4726455	0.5137891	0.6400352	0.3553948	0.3152471	0.5457170	0.7435754	0.6359551	0.6851928	0.3427496	0.5975222	0.6339636	0.8128589
0.6886124	0.0820866	0.4871745	0.5913732	0.3302878	0.4380777	0.3952488	0.0756945	0.0000000	0.2095228	0.6422877	0.6780555	0.6183107	0.3344314	0.7013912	0.1825041	0.3791814	0.4007283	0.2039172	0.7324495	0.1820354	0.0144516	0.6798329	0.3910475	0.0145678	0.0169647	0.1423731	0.6478435	0.5897454	0.7768226	0.4402012	0.6621445	0.0473811	0.7172567	0.4413691	0.3833986	0.4445007	0.3950822	0.4381656	0.2887631	0.0304400	0.2385254	0.2382905	0.6863417	0.7682595	0.0059692	0.0985725	0.3898371	0.4158886	0.5039849	0.2592604	0.5480966	0.0977637	0.5387314	0.5592717	0.1171343	0.4428355	0.5220522	0.7456230	0.5896822	0.6067752	0.7057222	0.4139170	0.1966057	0.2524727	0.5911323	0.2026776	0.3057533	0.6649599	0.1175950	0.1893327	0.0926094	0.0965734	0.3678744	0.3960771	0.1579540	0.0072607	0.4907192	0.5533630	0.2037583	0.3051210	0.2448211	0.6048031	0.1243327	0.4237512	0.7047699	0.2187071	0.4769872	0.4751619	0.5736027	0.3740948	0.4544525	0.5484543	0.6326262	0.7325186	0.5999058	0.2622406	0.6812736	0.7905379	0.6944369
0.7073491	0.0991971	0.5400255	0.4791561	0.3301818	0.4596140	0.4455405	0.0608747	0.7216744	0.0000000	0.5636278	0.6939881	0.6892748	0.4702065	0.6494644	0.2031357	0.3449247	0.5180979	0.2209424	0.7144380	0.3282807	0.0157564	0.6519086	0.3895263	0.0299609	0.0164219	0.0806957	0.5959407	0.5541618	0.6797563	0.3988175	0.6871780	0.1614832	0.6288814	0.6992533	0.3436630	0.3986755	0.4861737	0.4354858	0.2682666	0.0186712	0.2712411	0.3109954	0.8314544	0.6389811	0.0096396	0.1527880	0.5109712	0.3124686	0.5009001	0.2398469	0.6779585	0.0986208	0.4849778	0.7421525	0.0771586	0.3891611	0.5348797	0.5883768	0.5766762	0.5566719	0.6477317	0.3357020	0.2885245	0.2860023	0.5010028	0.1878264	0.1951252	0.6428327	0.1683227	0.1217549	0.1461305	0.1289065	0.3796162	0.3609385	0.0833022	0.0049278	0.4311849	0.5625779	0.1594893	0.3175593	0.2469027	0.5067190	0.1209108	0.2618966	0.6491664	0.1938033	0.5171067	0.5348357	0.5402891	0.3832567	0.5228618	0.5937472	0.7981243	0.6290730	0.7110677	0.2698166	0.7281942	0.7593973	0.6310145
