G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.1746890	0.1555015	0.5455318	0.0756765	0.5109399	0.0529686	0.7102825	0.1936162	0.0046421	0.2468174	0.0511855	0.4509923	0.0299569	0.1048898	0.0500037	0.1658808	0.5504235	0.5348659	0.0801804	0.0073370	0.0120461	0.1074771	0.2387634	0.3610224	0.1180495	0.7347285	0.6651677	0.4748763	0.2894586	0.5553602	0.0837162	0.0050926	0.1791620	0.0585230	0.9177681	0.6776585	0.6487821	0.1460169	0.1804268	0.5075452	0.0008347	0.7371251	0.7458526	0.3865840	0.6285367	0.7257613	0.7569962	0.6453124	0.4316124	0.1301201	0.6610467	0.6416986	0.3851361	0.3453171	0.4279408	0.4007129	0.1687244	0.2476894	0.0759989	0.5406629	0.1693672	0.3228692	0.6235482	0.3251109	0.1242507	0.6891249	0.4432746	0.4649858	0.4177564	0.0000018	0.1672661	0.0040048	0.0605187	0.0829627	0.2426873	0.7488021	0.1647756	0.1377748	0.0792209	0.0390139	0.4316256	0.0198026	0.5958664	0.1181176	0.7274954	0.2551275	0.1194195	0.0864502	0.0120001	0.5721469	0.7449758	0.4814139	0.5919814	0.2944768	0.5155407	0.6379385	0.1864484	0.3682720	0.4062566	0.7292737
0.1595095	0.2087269	0.4901315	0.5188250	0.6585302	0.0213190	0.5633360	0.6701136	0.0058986	0.3143025	0.0286361	0.4152303	0.0623468	0.0224569	0.0052122	0.0966744	0.3975868	0.5328569	0.0160032	0.0037921	0.6365986	0.2908841	0.1180417	0.0707869	0.2090116	0.6638302	0.4577308	0.5071854	0.3986363	0.4079845	0.1707189	0.0217502	0.2082206	0.1126803	0.7207262	0.6616380	0.6856822	0.0686556	0.0514783	0.6117193	0.2127438	0.5057252	0.7700123	0.4561134	0.8968492	0.5646792	0.6585223	0.5187852	0.4047183	0.1210010	0.4904836	0.7197096	0.2884556	0.3424191	0.5916787	0.2682875	0.3267585	0.1170727	0.0416622	0.3194681	0.0282173	0.3451589	0.6745337	0.4199025	0.4775233	0.2711037	0.2073195	0.3226779	0.5978103	0.0167208	0.1857120	0.0370113	0.0305013	0.0444269	0.7209723	0.8156629	0.1898542	0.1527921	0.1214592	0.0209994	0.4044512	0.0475608	0.7265701	0.2609697	0.6656927	0.2109623	0.0827095	0.1446175	0.0823609	0.5567937	0.6715084	0.3755092	0.5733594	0.3300248	0.3341902	0.1748730	0.4743760	0.5251676	0.5906473	0.6851255
0.1064769	0.2154480	0.5911358	0.6350084	0.7040018	0.0146640	0.5814999	0.2827698	0.0309444	0.4492837	0.0147740	0.2632964	0.0023972	0.0011922	0.0092568	0.1186226	0.3871567	0.4002742	0.0935027	0.0020470	0.1266199	0.2641045	0.0276560	0.0470154	0.0296434	0.4874055	0.3189570	0.3775272	0.0238123	0.4128657	0.2366404	0.0371040	0.2312942	0.1109401	0.5916030	0.4953732	0.6724769	0.1279811	0.0847458	0.5435517	0.3192372	0.8023410	0.6901381	0.6033191	0.7084189	0.6576231	0.5712252	0.6135013	0.3507150	0.2572043	0.7336212	0.6725301	0.5220738	0.3675072	0.5402169	0.2820947	0.2416647	0.2236753	0.3376263	0.2529398	0.0058880	0.1218566	0.5925110	0.5688325	0.6101350	0.3504083	0.2602491	0.5952749	0.4472818	0.0016517	0.1708582	0.0116652	0.0422587	0.0560121	0.3234194	0.6528009	0.0039426	0.0936596	0.1800510	0.0014701	0.5379821	0.1383158	0.6873738	0.3137470	0.5780061	0.2282821	0.0727316	0.4716905	0.0170972	0.6708642	0.5773007	0.4636526	0.7598584	0.5421568	0.4124250	0.6025193	0.4096024	0.6081287	0.5899634	0.3661885
0.1264867	0.2200766	0.6804401	0.5190454	0.6488034	0.0631026	0.6169843	0.5507796	0.0043974	0.4912356	0.0205252	0.5292691	0.0374893	0.2988240	0.0126826	0.2254396	0.4008594	0.4531475	0.0636154	0.0011148	0.0242378	0.1886244	0.1597707	0.1685788	0.0919289	0.5206088	0.3105227	0.5003247	0.2322386	0.3440590	0.2052077	0.0224199	0.3588686	0.1944125	0.7573172	0.7012885	0.7499672	0.0417309	0.1680788	0.5514471	0.0131188	0.7188828	0.6088293	0.5723366	0.6885746	0.5832755	0.6235411	0.6407085	0.2740969	0.2156350	0.6126421	0.6156797	0.1858219	0.3290150	0.6212364	0.2001209	0.4419002	0.1117118	0.0468827	0.2718378	0.0224577	0.2122920	0.5468132	0.3368636	0.2063038	0.6476992	0.0743689	0.1549403	0.5805871	0.0196237	0.1792840	0.0069536	0.0338315	0.0333986	0.3825445	0.9076670	0.1589903	0.0927241	0.1890817	0.0006369	0.4741708	0.0995627	0.4582871	0.0336817	0.6222837	0.2726773	0.0927945	0.1100917	0.1731108	0.5918043	0.6036943	0.3938286	0.6698719	0.4327916	0.3338493	0.7872246	0.3237942	0.6566537	0.6673598	0.5151779
0.0958094	0.3090365	0.4925762	0.2126931	0.4605140	0.0089525	0.7587340	0.3921074	0.0045710	0.5313973	0.0005493	0.5530496	0.0029089	0.0780967	0.0407653	0.1561493	0.4722402	0.6292401	0.0591024	0.0034629	0.0241958	0.1844293	0.2637716	0.2307160	0.0679740	0.1705952	0.0141385	0.4807131	0.0599757	0.0177287	0.0580932	0.0487305	0.6170220	0.4478402	0.4981685	0.7069954	0.6621171	0.0599922	0.0100953	0.5221968	0.0009999	0.5707070	0.5297997	0.5699250	0.5418545	0.7284176	0.6609361	0.6990883	0.4821523	0.1197039	0.6620705	0.6534375	0.4886210	0.1519906	0.6132729	0.3734561	0.2043079	0.1602359	0.1128407	0.1625627	0.0212882	0.2036463	0.7392144	0.2173551	0.5111080	0.3657139	0.2690889	0.3920024	0.6787751	0.0066745	0.2426373	0.0197848	0.0264503	0.0825464	0.2785506	0.6182937	0.0137960	0.1158208	0.1694851	0.0054867	0.3506855	0.1972630	0.6242101	0.1666864	0.6217624	0.0002716	0.2021716	0.0540395	0.0013571	0.6371003	0.6426094	0.4737808	0.6357551	0.4338074	0.4476526	0.6232601	0.2696163	0.6841220	0.5799718	0.6087673
0.0438540	0.2843049	0.6687181	0.3351642	0.4650557	0.0206368	0.5883421	0.3167241	0.0024866	0.2843486	0.0093121	0.3561558	0.0018292	0.0827258	0.0057043	0.0812126	0.4429493	0.7536113	0.0570694	0.0216723	0.0166786	0.1432378	0.2746600	0.2925903	0.1892745	0.6759475	0.5248973	0.5369327	0.0237869	0.5450700	0.3465428	0.0001728	0.0959808	0.0795964	0.6334617	0.6068215	0.7180401	0.1074614	0.0448817	0.5978520	0.0008647	0.6250772	0.6445091	0.3630728	0.6919970	0.7137055	0.7243637	0.7322285	0.3997913	0.1122248	0.4911972	0.5585888	0.4256290	0.2169522	0.4906513	0.3774529	0.2840221	0.3529958	0.0673915	0.1578726	0.0204369	0.2042170	0.5759405	0.4553812	0.3258529	0.5220268	0.5843038	0.4214300	0.5484749	0.0222432	0.1779492	0.0284387	0.0186594	0.0577719	0.6780523	0.6470247	0.1237235	0.1093496	0.1706698	0.0025737	0.4287387	0.1167832	0.5709105	0.3064556	0.5785285	0.0706305	0.0731017	0.3205393	0.2920836	0.5737029	0.7711061	0.3625359	0.4248921	0.1663763	0.4345750	0.7536755	0.3266403	0.5502574	0.4587939	0.7174885
0.1847907	0.2054577	0.7227170	0.2349447	0.8591514	0.0199035	0.5881620	0.3287492	0.0310875	0.3481380	0.0119444	0.3549176	0.0123469	0.2652316	0.0183767	0.0770599	0.3945431	0.4645053	0.0117880	0.0005292	0.0415698	0.4347755	0.3492218	0.5602969	0.1699657	0.7346960	0.3729118	0.5320981	0.2830705	0.5063531	0.0693582	0.0012823	0.1751350	0.1584286	0.5746618	0.6813015	0.6597940	0.0868338	0.2623355	0.4205773	0.3971040	0.5647249	0.7626964	0.3931886	0.6866615	0.4076037	0.4744736	0.3521401	0.2414173	0.3168816	0.6509502	0.7930530	0.0123940	0.3793130	0.5757798	0.5786491	0.6504325	0.2203830	0.0885398	0.0705311	0.0820238	0.3181071	0.6872074	0.4015173	0.1508148	0.6525601	0.0538503	0.2229388	0.4408025	0.0223502	0.0064835	0.0093562	0.1039400	0.1073303	0.6831616	0.7138061	0.0021356	0.0896685	0.1356420	0.0261876	0.4934589	0.0626336	0.7333194	0.2517077	0.6335000	0.2275440	0.1148376	0.2328584	0.0011988	0.6967984	0.4215667	0.3061821	0.7182587	0.5024409	0.6529335	0.6190344	0.2815119	0.6979722	0.5844893	0.6752011
0.1519021	0.5204002	0.4997163	0.5115464	0.6058904	0.0626066	0.6495137	0.6376133	0.0051699	0.4834717	0.0092656	0.2640460	0.0014915	0.0307002	0.0121149	0.3028247	0.3691405	0.5863907	0.0021098	0.0063764	0.1067172	0.2181857	0.3153841	0.1986377	0.1719512	0.6672061	0.4654428	0.5339814	0.4452287	0.5709150	0.2165157	0.0495816	0.1959210	0.0426234	0.5465438	0.4940523	0.7002120	0.0361259	0.1990631	0.6152470	0.2651355	0.8227843	0.3094599	0.4823833	0.6251931	0.4112816	0.4715425	0.4390151	0.2205318	0.1484126	0.4398499	0.5626890	0.0975043	0.1805290	0.7823892	0.4914316	0.4531787	0.4925756	0.1302871	0.2244086	0.0127982	0.2793255	0.6189696	0.1477695	0.6579600	0.2188824	0.2065624	0.5402796	0.3793483	0.0080636	0.0478849	0.0149199	0.0492399	0.1117832	0.2920078	0.4571986	0.1663778	0.0871025	0.1310730	0.0560198	0.3689210	0.0626429	0.6641686	0.2201125	0.5622006	0.0382915	0.2382379	0.1388755	0.6604669	0.6630121	0.7361383	0.4281784	0.3016725	0.0761395	0.4700897	0.7579381	0.1788348	0.5636731	0.4773640	0.5695976
0.0768884	0.3518814	0.4575542	0.2227829	0.5949106	0.0402053	0.7771866	0.6356023	0.0150113	0.3884602	0.0170933	0.2586022	0.0344888	0.1165862	0.0215620	0.1612997	0.3791811	0.5477497	0.0690209	0.0074647	0.3659293	0.2464303	0.0160465	0.0892659	0.1377223	0.6333534	0.3997658	0.4027897	0.4043375	0.3665126	0.2698395	0.0087504	0.2378236	0.1123975	0.6623346	0.5326280	0.6105448	0.0261516	0.0149641	0.6742802	0.3172391	0.4561668	0.6629632	0.5337464	0.6122452	0.5767176	0.7154725	0.5845023	0.4222056	0.1298259	0.7382549	0.6253008	0.4609085	0.1103764	0.5384529	0.6036606	0.1247811	0.5234721	0.3966029	0.1751747	0.0016322	0.3448715	0.6056747	0.4241851	0.7315680	0.2394937	0.3663169	0.4414524	0.4907807	0.0000003	0.0989290	0.0311126	0.0384397	0.0392774	0.2187002	0.6173404	0.2019278	0.0245564	0.2072821	0.0245329	0.5260070	0.1722250	0.5369248	0.0737114	0.6716949	0.0773122	0.0642879	0.0900456	0.0940707	0.7228395	0.7456029	0.5440180	0.5532384	0.5502062	0.4281619	0.7026136	0.2452597	0.4879539	0.6015674	0.6909123
0.1482198	0.2870900	0.5743680	0.6870900	0.6147851	0.0645578	0.7134334	0.4866921	0.0006895	0.5622826	0.0158636	0.2524959	0.0054036	0.0579929	0.0107709	0.1257980	0.6465409	0.6290499	0.0133799	0.0058982	0.4393146	0.4254051	0.0615458	0.0707441	0.0858738	0.5812228	0.4337660	0.3146382	0.0337282	0.4719427	0.1896558	0.0409235	0.2155329	0.0923765	0.6111103	0.6044299	0.6350074	0.0471410	0.0174368	0.4560175	0.0606063	0.6086810	0.6540891	0.6155796	0.5550284	0.5440085	0.7326681	0.6505042	0.3639895	0.2953632	0.6013024	0.6686966	0.3101791	0.2059077	0.5367812	0.3292896	0.4918956	0.2304583	0.1177035	0.1318881	0.0028887	0.2852001	0.6459109	0.4417312	0.3488341	0.4118907	0.1908889	0.5259978	0.3962378	0.0002832	0.1892189	0.0072898	0.0408715	0.0384272	0.4599799	0.4912168	0.1606931	0.1265740	0.0634097	0.0084829	0.4254833	0.0387947	0.5015976	0.1712483	0.4823716	0.2563029	0.0542427	0.0897749	0.1514983	0.7010219	0.5859369	0.4295891	0.5741137	0.2767776	0.3722023	0.5678671	0.3829155	0.7033648	0.6159506	0.4986584
