"G_i"	"G_j"
1	3
13	46
33	64
38	46
45	64
52	56
52	65
3	46
18	73
31	52
33	45
38	64
46	52
52	64
52	100
56	76
56	92
56	100
64	65
1	46
3	94
10	22
13	38
13	52
13	64
22	33
22	45
22	64
31	86
31	96
33	49
33	65
35	100
38	52
40	52
40	76
45	49
46	64
46	73
49	64
52	95
52	96
56	95
56	96
59	100
85	99
1	10
1	13
1	24
1	35
1	38
1	45
1	64
1	97
3	13
3	18
3	24
3	28
3	31
3	35
3	38
3	52
3	64
3	72
3	73
3	86
3	92
3	96
10	33
10	45
10	49
10	64
13	31
13	35
13	45
13	86
13	94
13	96
18	38
18	46
22	49
22	65
24	35
24	41
26	40
28	36
28	40
28	46
28	52
28	65
31	38
31	40
31	46
31	56
31	64
31	65
31	76
31	94
31	97
33	38
