G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.1694140	0.1778922	0.1553095	0.3617084	0.0000000	0.4909695	0.0000000	0.1975632	0.1946849	0.3700024	0.7117506	0.3835176	0.5714042	0.6828979	0.6359029	0.1302085	0.4479655	0.5029754	0.3664761	0.0788094	0.0243842	0.1008817	0.3673391	0.4607183	0.3492658	0.6050831	0.4005865	0.4705547	0.0397143	0.6553996	0.1438780	0.0166049	0.1382417	0.1275259	0.5910038	0.5056618	0.7070873	0.5704613	0.4727519	0.6666097	0.0018035	0.6443316	0.5980903	0.4899444	0.7373243	0.4307475	0.5512483	0.5854914	0.3960719	0.1486259	0.7806366	0.5872152	0.2346139	0.5607057	0.6190172	0.4587497	0.4222798	0.2007710	0.0821414	0.5375396	0.3716575	0.2929551	0.6153960	0.2080223	0.2364777	0.5835468	0.3452613	0.4630060	0.6816372	0.0247465	0.1996034	0.0062934	0.0193409	0.1239408	0.2119505	0.6700067	0.1127515	0.1258104	0.1787283	0.0013916	0.5281725	0.0522328	0.5163144	0.5241324	0.0000000	0.0206031	0.6459589	0.3979071	0.2316001	0.6379494	0.5241085	0.4680701	0.4937380	0.2068207	0.3729756	0.6835878	0.1990381	0.7437648	0.7197351	0.7301103
0.3238985	0.5175729	0.6671316	0.3745319	0.6976658	0.0034908	0.6702617	0.4814193	0.1044856	0.6531795	0.0115889	0.1660693	0.0078845	0.2033387	0.0465609	0.1499374	0.4177007	0.0189564	0.0491321	0.0026899	0.0282769	0.3615568	0.7752813	0.5355213	0.3747291	0.6467539	0.5096676	0.4914197	0.3660882	0.6195870	0.2274387	0.0242172	0.1813352	0.0687566	0.7035824	0.4344352	0.0000000	0.0688179	0.0973429	0.6493935	0.0015767	0.6654896	0.6146564	0.5558584	0.6198744	0.0000000	0.1517830	0.0000000	0.3145226	0.2339222	0.7719338	0.0000000	0.0000000	0.3478756	0.3530068	0.7704646	0.7239354	0.5543592	0.0247177	0.4173561	0.3040751	0.5964933	0.7402651	0.3108541	0.2355507	0.5870490	0.2044172	0.2555299	0.1709952	0.5056688	0.6402307	0.5066485	0.4971701	0.7091034	0.5245784	0.0720241	0.5977804	0.0536876	0.1037720	0.0011503	0.5794859	0.0776336	0.6454969	0.0801808	0.5941342	0.0005992	0.1553676	0.1208793	0.5892389	0.7210111	0.6635599	0.5574018	0.7583367	0.4072834	0.3780987	0.6588394	0.2433289	0.7574406	0.8608502	0.4864614
0.3738532	0.2192274	0.2626153	0.4033891	0.0000000	0.5814543	0.0000000	0.3630457	0.1575271	0.5728762	0.2126343	0.3462463	0.5886405	0.5979649	0.8288193	0.1434544	0.4137789	0.4088232	0.3340573	0.1404567	0.0338764	0.0424514	0.6497773	0.5548420	0.4324830	0.6076707	0.4798328	0.3932440	0.4071112	0.5514626	0.2748161	0.0224941	0.1596745	0.0963228	0.6801701	0.4299238	0.0000000	0.0347771	0.0954619	0.5900240	0.0004202	0.7005515	0.6154432	0.5481652	0.6317569	0.0000000	0.1097227	0.0000000	0.1916464	0.2243317	0.7371974	0.0000000	0.0000000	0.4108990	0.4593451	0.6526033	0.6697554	0.6030481	0.0377559	0.4206356	0.3220531	0.6388848	0.6961780	0.3244552	0.2229948	0.5671564	0.0883365	0.2595913	0.2356889	0.7529099	0.6479209	0.6294608	0.4448285	0.7003268	0.4646388	0.0546443	0.4854329	0.0929218	0.2181817	0.0003328	0.6590023	0.0567899	0.5131526	0.0497621	0.5003668	0.0000668	0.1532636	0.2172738	0.6701789	0.6499240	0.5365287	0.5610056	0.5350297	0.3550581	0.3601475	0.6616964	0.2281392	0.6840904	0.6193106	0.6136609
0.3590824	0.4454706	0.7301363	0.4954653	0.7084938	0.0068487	0.6544290	0.4372129	0.6143326	0.5368637	0.2352665	0.3710604	0.5514641	0.2253755	0.0051548	0.1334716	0.1524281	0.0000000	0.0394719	0.0017167	0.0455666	0.4568539	0.6903647	0.5336097	0.7261432	0.6265491	0.4762823	0.5634580	0.3431378	0.6299828	0.3180831	0.0208959	0.2404300	0.1220170	0.7352318	0.5298294	0.0000000	0.5801125	0.4701925	0.6353065	0.0007162	0.6282758	0.6499473	0.5315556	0.5358531	0.0000000	0.1257634	0.0000000	0.1227432	0.2855980	0.6724600	0.0000000	0.0000000	0.4668066	0.3885633	0.6569186	0.6589048	0.4725017	0.0362352	0.3694572	0.3427104	0.7144632	0.6557871	0.3262332	0.2203499	0.4214795	0.1796205	0.2646865	0.2139735	0.7261804	0.6444475	0.4388740	0.4762376	0.7594916	0.3870619	0.0660890	0.6443785	0.0588266	0.1423483	0.0013698	0.5603182	0.0601073	0.4977205	0.4689658	0.0000000	0.0263913	0.6670332	0.4480937	0.7190485	0.6712594	0.5720729	0.4973543	0.5815628	0.4015634	0.3383010	0.8107957	0.2028893	0.6275799	0.6467257	0.7110120
0.4373795	0.4550445	0.5831986	0.4923799	0.6999697	0.0091767	0.7378704	0.4391824	0.1050546	0.4136267	0.0181348	0.2504260	0.0002576	0.1595287	0.0214086	0.2159797	0.6275719	0.5252402	0.1540736	0.1177747	0.0469643	0.2815294	0.7827280	0.4767636	0.5592650	0.5724197	0.5778993	0.4963325	0.3540022	0.7056529	0.1733628	0.0120710	0.2009446	0.1032575	0.8304586	0.4485177	0.0000000	0.0591208	0.0676700	0.6705462	0.0000000	0.6854886	0.6751376	0.6651718	0.7523095	0.4438612	0.5039904	0.1459461	0.3178040	0.1474195	0.6427344	0.6051091	0.1240772	0.4548562	0.7171486	0.4389968	0.4892128	0.4583104	0.5428922	0.6910914	0.8520858	0.6070645	0.0000000	0.3133638	0.2228448	0.6504044	0.1383303	0.2234557	0.2860840	0.6953220	0.7983126	0.4963517	0.4835698	0.7485937	0.2302577	0.0795358	0.5119767	0.5951714	0.6379391	0.6398071	0.4914085	0.0751983	0.5045095	0.0470303	0.4940240	0.0030643	0.1346368	0.1173930	0.7237742	0.6978319	0.5759933	0.5733061	0.4397617	0.2190038	0.3941118	0.6830551	0.1822248	0.7460795	0.6065476	0.5813778
0.3997688	0.5299454	0.5870598	0.4668449	0.7334913	0.0106573	0.5982261	0.5590550	0.1751379	0.6468883	0.0174869	0.1665103	0.0025058	0.2476376	0.0067489	0.1345164	0.4570616	0.0297688	0.1406157	0.1648168	0.0601603	0.4827626	0.6989334	0.5277915	0.3489737	0.6675142	0.4587889	0.3778457	0.2942698	0.6899679	0.2235336	0.0149794	0.2369518	0.1342313	0.6868370	0.5036216	0.0000000	0.1074539	0.0795355	0.7192698	0.0000000	0.6343712	0.5951105	0.5859241	0.7200322	0.0000000	0.1199889	0.0000000	0.2700363	0.3327158	0.7347100	0.0000000	0.0000000	0.5826859	0.5044866	0.7374277	0.6249614	0.6129521	0.2947395	0.6461377	0.7759754	0.6376594	0.0000000	0.4147535	0.2411353	0.6831858	0.1277940	0.2897255	0.2208621	0.6081707	0.7606549	0.5611869	0.4654723	0.8542346	0.2095683	0.0768263	0.5573938	0.6378400	0.6384640	0.4290383	0.6571364	0.0376225	0.4954893	0.0429403	0.5409201	0.0000641	0.1949562	0.1255666	0.5997724	0.6483866	0.6106288	0.6255408	0.4419524	0.3094596	0.2930728	0.7167432	0.1913801	0.6822716	0.5748975	0.5891760
0.0000000	0.1328977	0.0970705	0.1827932	0.0000000	0.6112126	0.0000000	0.1735151	0.1296887	0.2309384	0.1997683	0.3155589	0.6446308	0.6287426	0.5798396	0.4821983	0.6792374	0.6234566	0.4466346	0.0857507	0.0112488	0.0556417	0.2672572	0.3690347	0.1450677	0.6359471	0.6270311	0.5643302	0.0496140	0.7093158	0.0606461	0.0236716	0.2285533	0.1033413	0.6939121	0.4459008	0.7474034	0.0235784	0.0920741	0.6083881	0.0003996	0.6282503	0.6622802	0.4556374	0.6918721	0.5098012	0.6654476	0.5190569	0.4829468	0.1562520	0.6268546	0.5444463	0.2314486	0.4223387	0.7648517	0.3870508	0.5147954	0.5039259	0.0754496	0.5012404	0.3422223	0.2206779	0.5952721	0.1869218	0.1987731	0.6167156	0.3381610	0.4714355	0.5467053	0.0147743	0.2222735	0.0059873	0.0083210	0.1041480	0.3024397	0.5630537	0.1631108	0.1164756	0.2804355	0.0068041	0.5616182	0.0549392	0.5189217	0.0347979	0.3543777	0.0000125	0.1308743	0.1292255	0.2154328	0.6192297	0.6321982	0.5415602	0.4598357	0.0845605	0.3049642	0.7049264	0.2427525	0.7172740	0.4966626	0.6319438
0.3814878	0.4963532	0.5733685	0.4316798	0.6551083	0.0210225	0.7697265	0.5422077	0.0925655	0.5413458	0.0210286	0.1938964	0.0033159	0.2115846	0.0085521	0.1933047	0.3471195	0.5044206	0.1606863	0.0118990	0.0914268	0.2938339	0.7042002	0.5640398	0.4012388	0.6052426	0.4519111	0.4223227	0.3169000	0.5414394	0.0444073	0.0171189	0.3121418	0.1058543	0.7021525	0.5115995	0.0000000	0.0746307	0.0677866	0.5609816	0.0031589	0.6053189	0.7201704	0.0000000	0.5795854	0.4793767	0.5118357	0.1993847	0.3832197	0.0006916	0.6888157	0.5969917	0.1098717	0.4009903	0.8269966	0.5928477	0.6661406	0.5467487	0.1969070	0.7032584	0.4825973	0.4967270	0.3683750	0.0000000	0.2358493	0.7218139	0.1409617	0.2433306	0.2457111	0.6263024	0.7926722	0.5844012	0.4187422	0.6442981	0.3309091	0.0679695	0.5481425	0.2030839	0.4357978	0.0403329	0.4851158	0.0615397	0.6255944	0.0408901	0.5376493	0.0000524	0.1267706	0.1134990	0.5852120	0.7880689	0.6272045	0.5373247	0.5431553	0.0351953	0.3234471	0.7597424	0.2703290	0.6281745	0.6543026	0.6531143
0.2238886	0.3831836	0.5664363	0.3650728	0.5986326	0.0052930	0.6786685	0.4347506	0.0711077	0.5067022	0.0134403	0.1718797	0.0002536	0.1995509	0.0068219	0.1536555	0.5483778	0.4451364	0.0686260	0.0018052	0.0717846	0.3106608	0.2861066	0.2512103	0.1278721	0.6173796	0.5370209	0.5945186	0.0512657	0.5726608	0.1557750	0.0271493	0.2540994	0.0782793	0.6640498	0.4949723	0.6678690	0.0126349	0.0723412	0.6495983	0.0010897	0.7326384	0.6303825	0.5721017	0.7274289	0.5006350	0.6324600	0.4617369	0.3396244	0.1870125	0.6766345	0.5252596	0.0996431	0.4096387	0.5848374	0.4512023	0.5409116	0.4321091	0.0700489	0.4918578	0.3177078	0.3316134	0.6002912	0.0000000	0.1996845	0.5655229	0.3377703	0.4066251	0.5908081	0.0175648	0.1908574	0.0132154	0.0331138	0.0622232	0.2873007	0.6410139	0.1036258	0.0975923	0.1383946	0.0002627	0.5019024	0.0868465	0.5123651	0.0440454	0.5530305	0.0001671	0.1823385	0.0892534	0.1868313	0.7510028	0.6091941	0.5459618	0.0000000	0.0355899	0.0000000	0.7708708	0.1640883	0.6747974	0.5777012	0.6891452
0.3837148	0.2678417	0.2791954	0.4307555	0.0000000	0.7462078	0.0000000	0.2958904	0.0762456	0.4197756	0.2011017	0.3820967	0.5567927	0.5980981	0.7927312	0.3139328	0.7086633	0.7400459	0.3746330	0.1068198	0.0214500	0.0371152	0.6491925	0.5570133	0.3840950	0.6078003	0.4133402	0.4900018	0.4196289	0.6367675	0.1680917	0.0193315	0.2092481	0.1321762	0.7213202	0.4942764	0.0000000	0.0237810	0.0978623	0.4935278	0.0026770	0.7314543	0.6143427	0.5277078	0.6921617	0.4102390	0.6409866	0.2130209	0.3427805	0.1706195	0.6421577	0.6664627	0.1506288	0.4665441	0.6360071	0.6344011	0.5568103	0.4414532	0.1086088	0.5625839	0.3917213	0.4772141	0.6066401	0.3391986	0.2591782	0.5803376	0.1183767	0.3000823	0.2301924	0.7308642	0.7754007	0.5018353	0.4372454	0.7677981	0.3684078	0.0514493	0.5622173	0.1156907	0.1037661	0.0032163	0.6409858	0.0618280	0.5902683	0.0676955	0.5717434	0.0001854	0.1530509	0.1308133	0.6224393	0.6539590	0.6513624	0.5523578	0.4614423	0.3598813	0.4212805	0.6980486	0.2134451	0.7477667	0.5455851	0.6664468
