G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.2637670	0.0168965	0.7712088	0.1040567	0.2309852	0.4806598	0.1675146	0.3817388	0.2707923	0.4936710	0.5967577	0.5242782	0.4417727	0.3469291	0.3501505	0.0264176	0.4290437	0.5118767	0.7993647	0.1921031	0.4523355	0.6577932	0.6419112	0.3465360	0.3180640	0.4359759	0.2148582	0.6786014	0.6603715	0.3122380	0.2977190	0.0200048	0.0900069	0.0255594	0.0000377	0.3745786	0.0588022	0.0356124	0.5592894	0.4351327	0.6765326	0.7309324	0.2870435	0.0864787	0.4110378	0.4125907	0.7261066	0.0227980	0.3484658	0.3816852	0.4798836	0.4356018	0.7135959	0.6826108	0.0105585	0.6135995	0.5136156	0.5981315	0.3676598	0.1812397	0.0891480	0.3292030	0.6441456	0.0510544	0.7202189	0.5473135	0.6475779	0.4951872	0.6582009	0.6119360	0.0739753	0.1043167	0.6373347	0.6783780	0.1125365	0.6912048	0.6182556	0.0252416	0.6186899	0.2295852	0.6469932	0.0003500	0.5793144	0.6482593	0.0224876	0.2201207	0.2635611	0.2238406	0.5657772	0.0106754	0.6388299	0.5757572	0.0400857	0.0590705	0.0080406	0.5926245	0.6532222	0.0745052	0.7215007	0.1734250
0.3888141	0.0059670	0.6605315	0.2577759	0.1440736	0.3816571	0.2018293	0.1818051	0.3619362	0.5368843	0.5256553	0.4061587	0.4734750	0.3856049	0.2859384	0.0384220	0.5725392	0.3978885	0.6598036	0.2093959	0.4928283	0.6268455	0.6285872	0.4138905	0.3546464	0.4151544	0.2954949	0.6035246	0.6618205	0.2971147	0.2785890	0.0648729	0.1208599	0.0453127	0.0019339	0.5223286	0.0926547	0.0485254	0.5871939	0.3448268	0.7303055	0.6054067	0.2052775	0.0374747	0.3774044	0.5022197	0.7194037	0.0253420	0.2749948	0.3384444	0.4862000	0.4999364	0.6672081	0.6272499	0.0304686	0.6162475	0.6859664	0.5949536	0.3823242	0.1267044	0.0785245	0.2804050	0.6537579	0.0728579	0.5546178	0.4415126	0.7010479	0.7062139	0.7606484	0.7587525	0.0399064	0.1892540	0.7181895	0.6766749	0.1261352	0.7084060	0.7228070	0.0101827	0.6472069	0.1875188	0.6333533	0.0038479	0.5293975	0.5678914	0.0124771	0.1273998	0.3400771	0.3339795	0.6339024	0.0489814	0.6278886	0.8668148	0.0513917	0.0278241	0.0059552	0.6335096	0.7504724	0.0873610	0.6436323	0.2131189
0.3702455	0.0323054	0.3588138	0.2733462	0.1918262	0.3710573	0.1866660	0.1779005	0.3523140	0.5682877	0.4674764	0.5573268	0.5271472	0.3668167	0.3740736	0.0740189	0.5052959	0.4760396	0.6297948	0.3029465	0.5064022	0.7653376	0.7687627	0.3699909	0.3436560	0.4306366	0.3571008	0.7147576	0.6592170	0.3196133	0.3519682	0.0427727	0.1331632	0.0268150	0.0029347	0.4885555	0.0503708	0.0538644	0.5268775	0.3335692	0.6781604	0.6380245	0.2958335	0.0748205	0.3626422	0.5855304	0.7357063	0.0781053	0.3176528	0.3072217	0.4971753	0.4036201	0.7306831	0.6552487	0.0180293	0.6828499	0.5435895	0.4814796	0.3568729	0.1507618	0.1142851	0.3300853	0.6666687	0.0748650	0.6246059	0.4223699	0.5074255	0.7956339	0.7430724	0.7457169	0.0919239	0.2087043	0.6015995	0.6003562	0.1417481	0.7400215	0.6867189	0.0042081	0.5640937	0.1670523	0.6807291	0.0047839	0.4110314	0.5812334	0.0104784	0.1535305	0.2762724	0.2549913	0.4643597	0.0257296	0.6791832	0.6408828	0.0319150	0.0290065	0.0140393	0.7589917	0.7396766	0.1198445	0.5208351	0.2481412
0.2776877	0.0167977	0.6219610	0.1103853	0.2222770	0.4631268	0.1622781	0.4081311	0.3706846	0.4211959	0.6470687	0.4741862	0.4368272	0.4345984	0.3367529	0.0480813	0.5611908	0.4982468	0.6982563	0.1972280	0.5254023	0.5863063	0.6665940	0.3566722	0.3375639	0.4531913	0.3482136	0.7195421	0.7021135	0.3482412	0.2567048	0.0256825	0.1401549	0.0228023	0.0031921	0.5601512	0.0726097	0.0709280	0.5648700	0.4976967	0.5051486	0.5888278	0.2729508	0.0423823	0.3893007	0.6101161	0.6027956	0.0438285	0.2490975	0.3552731	0.5009298	0.5057908	0.6022164	0.6435998	0.0179642	0.5603504	0.5422390	0.5881838	0.4047255	0.1286959	0.0865231	0.3040933	0.6038604	0.0558598	0.5187051	0.3805110	0.5774277	0.5198835	0.6279751	0.6834583	0.0238263	0.1742631	0.7323650	0.6793074	0.1890092	0.6908899	0.6253959	0.0089859	0.7069930	0.2017177	0.7453667	0.0173023	0.5063649	0.5839426	0.0127900	0.1691982	0.2505289	0.3635253	0.5358602	0.0199608	0.5987083	0.7677200	0.0081833	0.0201824	0.0082917	0.7935756	0.6534565	0.1038885	0.7413769	0.1975327
0.3251995	0.0050116	0.6242876	0.3599906	0.0944117	0.4665001	0.1331125	0.2002769	0.2977000	0.5461202	0.5179726	0.4704519	0.5447560	0.3955571	0.3807092	0.0261088	0.4868527	0.3247338	0.6757808	0.2558911	0.5383225	0.5455151	0.6279618	0.3606970	0.3442225	0.3959076	0.3218766	0.6007976	0.6379185	0.3446389	0.3257955	0.0337237	0.0890961	0.0390465	0.0088097	0.3357169	0.0683738	0.0521495	0.5353682	0.3650629	0.8162371	0.6428725	0.2304252	0.0823478	0.2848633	0.5494121	0.6871495	0.0425048	0.2926466	0.3011719	0.5389597	0.5008070	0.7598908	0.5469192	0.0156020	0.7080587	0.5672526	0.7702716	0.3744959	0.1340697	0.0807296	0.2624339	0.6208165	0.0778886	0.5858676	0.4684519	0.6781948	0.6064977	0.6147037	0.7071323	0.0396811	0.1860414	0.5837334	0.7403294	0.1098996	0.7581552	0.6364352	0.0147954	0.7256836	0.1959021	0.7260487	0.0007456	0.4091708	0.5618042	0.0217929	0.1432145	0.3016173	0.3274729	0.4301254	0.0273897	0.6805984	0.5667428	0.0356353	0.0377028	0.0140973	0.5975535	0.5707277	0.0542184	0.7283952	0.1638726
0.3287150	0.0194033	0.6541584	0.2774905	0.1971524	0.1935543	0.1478058	0.1849864	0.3762314	0.5190949	0.4515427	0.4608106	0.4041333	0.3080613	0.3968292	0.0401137	0.5095492	0.3301361	0.5281593	0.2441448	0.6388518	0.6756339	0.6543912	0.5118174	0.3379399	0.3124147	0.3582200	0.7131571	0.6055505	0.3794615	0.2637165	0.0799403	0.1105242	0.0418620	0.0277387	0.3330984	0.0607502	0.0712663	0.6043973	0.4035242	0.6440888	0.6837923	0.2489329	0.0461159	0.3020470	0.5230765	0.6087042	0.0619900	0.2900407	0.2903546	0.4972951	0.3814105	0.6701928	0.7256252	0.0125600	0.6902226	0.5991256	0.5407117	0.2929229	0.1145135	0.0556382	0.2778239	0.8480983	0.0868174	0.5584503	0.5052067	0.7410718	0.6930187	0.5817512	0.6301054	0.0492350	0.2459431	0.7612090	0.6903600	0.1065632	0.7115337	0.5916735	0.0550125	0.6249773	0.1642782	0.6009230	0.0013093	0.4666117	0.5772328	0.0034775	0.1506857	0.2568705	0.4751930	0.0827074	0.0387683	0.5458832	0.5971461	0.0493172	0.0174286	0.0353723	0.6437106	0.6976899	0.0707013	0.5919525	0.1773959
0.2973872	0.0142057	0.6706706	0.2721128	0.1838239	0.4331654	0.0823338	0.1913435	0.3046113	0.5623235	0.5069719	0.4507509	0.4072591	0.3038293	0.3382914	0.0412724	0.4501724	0.3742239	0.7015300	0.2818068	0.6541872	0.6729676	0.5656142	0.3846366	0.3817664	0.4139488	0.3638229	0.6439987	0.7065751	0.3170639	0.3134114	0.0664127	0.1311235	0.0276417	0.0057317	0.4288379	0.0728893	0.0780453	0.6088324	0.5548821	0.7176028	0.7009007	0.2362027	0.0311467	0.3716493	0.4874334	0.5516165	0.0419732	0.3330654	0.3981486	0.5370361	0.3804980	0.7489476	0.5577760	0.0401672	0.6319052	0.6526435	0.5795996	0.3750403	0.2018774	0.0700767	0.2970878	0.7455425	0.1033300	0.6831448	0.5010150	0.8054297	0.6537203	0.6041040	0.8401973	0.0804323	0.1502883	0.7059940	0.6574496	0.1387585	0.6338500	0.5988415	0.0203603	0.5195434	0.1679599	0.6927361	0.0019758	0.3681321	0.6787954	0.0110734	0.1711331	0.2514875	0.2731586	0.5179743	0.0543029	0.6200494	0.8638317	0.0248166	0.0086523	0.0052673	0.6736806	0.6169162	0.1381840	0.5764999	0.1663088
0.3265816	0.0278737	0.6410985	0.2675907	0.2144326	0.4730624	0.1413870	0.0727086	0.2925004	0.5688835	0.5127194	0.4166832	0.4305063	0.4032664	0.4224352	0.0502953	0.4363547	0.5038934	0.6842102	0.2601443	0.5447612	0.7280364	0.6288548	0.4522546	0.3004692	0.3928696	0.4530731	0.7268818	0.6904409	0.3360178	0.3012493	0.0351694	0.1016814	0.0276556	0.0009913	0.4395795	0.0911059	0.0464272	0.5361809	0.4676146	0.5793475	0.7132245	0.2780709	0.0484143	0.3811840	0.5474313	0.5740414	0.0702141	0.3340999	0.3256156	0.4675194	0.4669035	0.5987650	0.7297821	0.0129194	0.6372591	0.5783067	0.4980322	0.3414961	0.1250840	0.0959473	0.3779496	0.6649049	0.0734631	0.6402882	0.4165509	0.6019802	0.6880868	0.6277330	0.7130628	0.0440061	0.1222494	0.7185519	0.7620272	0.1698947	0.6524528	0.5769597	0.0158441	0.6411756	0.1559229	0.6971574	0.0001400	0.5472076	0.6580463	0.0054276	0.2376548	0.2291605	0.3009459	0.5081782	0.0274895	0.7403906	0.7035948	0.0395203	0.0799264	0.0109682	0.7003910	0.5845617	0.1388300	0.5637381	0.4320144
0.4401477	0.0052708	0.6001089	0.3274405	0.1829640	0.3840719	0.1676946	0.1799825	0.1226665	0.4807584	0.5115465	0.3869491	0.7364085	0.6829273	0.5972989	0.0324177	0.4931282	0.3396349	0.5523806	0.1606188	0.6424046	0.6216317	0.5745795	0.4353734	0.3068592	0.4033347	0.2344089	0.7618214	0.6689079	0.3751615	0.2698755	0.0412108	0.1368311	0.0399532	0.0006569	0.3841233	0.0920348	0.0239598	0.5860382	0.3050380	0.6652459	0.6478111	0.3148501	0.0863405	0.2369999	0.5150795	0.6207910	0.0669761	0.2617393	0.3253771	0.5783498	0.4042228	0.7030349	0.6895046	0.0195143	0.7181859	0.6957937	0.4845000	0.3515337	0.1677326	0.0885015	0.2548884	0.5903362	0.0829199	0.6481220	0.4619594	0.6057931	0.7327484	0.6500395	0.6627473	0.0377700	0.1285012	0.6572621	0.5278841	0.0473039	0.7093093	0.4895220	0.0121814	0.6687226	0.1656904	0.6402603	0.0026052	0.4023072	0.7000393	0.0108359	0.1618317	0.3109839	0.4165130	0.3627226	0.0208016	0.6453880	0.5993210	0.0330196	0.0141366	0.0109409	0.6618497	0.6319351	0.0411644	0.6512107	0.1317250
0.4283075	0.0268249	0.6058059	0.3030814	0.1591245	0.3653384	0.2010069	0.2096228	0.4970926	0.3059140	0.4372486	0.4536696	0.4300766	0.2472234	0.3245153	0.0449451	0.6025784	0.3827111	0.6908855	0.2309829	0.4782678	0.7483075	0.6070352	0.3047152	0.3693210	0.4388688	0.3870001	0.6243710	0.6306376	0.3152253	0.3011180	0.0247601	0.1312971	0.0800476	0.0069245	0.4489677	0.0780001	0.0584421	0.5571069	0.3701805	0.7299599	0.6100594	0.2641496	0.0528698	0.3180413	0.5681665	0.6937459	0.0674226	0.2469858	0.3272009	0.5152141	0.4542375	0.5771825	0.7046374	0.0228877	0.6643696	0.6256902	0.5403269	0.3091029	0.1957715	0.0618500	0.2974113	0.6412338	0.1031311	0.5539897	0.5001943	0.5652817	0.6465620	0.6079547	0.5919659	0.0307769	0.1494750	0.5445420	0.5825968	0.1414602	0.6741568	0.6203600	0.0142758	0.7192500	0.1858386	0.6693453	0.0014798	0.4036624	0.7112926	0.0234828	0.1782190	0.2955486	0.3150591	0.3282426	0.0349479	0.5494884	0.6439838	0.0471639	0.0273349	0.0089426	0.5746180	0.6567879	0.0527186	0.6050395	0.3553014
