G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100	G101	G102	G103	G104	G105	G106	G107	G108	G109	G110	G111	G112	G113	G114	G115	G116	G117	G118	G119	G120	G121	G122	G123	G124	G125	G126	G127	G128	G129	G130	G131	G132	G133	G134	G135	G136	G137	G138	G139	G140	G141	G142	G143	G144	G145	G146	G147	G148	G149	G150	G151	G152	G153	G154	G155	G156	G157	G158	G159	G160
0.0000000	0.7751357	0.0305724	0.0288820	0.3600336	0.0853293	0.1762801	0.0687571	0.5513289	0.3434863	0.6054615	0.2867965	0.4098397	0.1004608	0.3611318	0.0458082	0.3484703	0.5721336	0.6153255	0.6364527	0.0468750	0.6678545	0.0182934	0.1332699	0.3602451	0.1613256	0.5924412	0.1231190	0.6191849	0.1054013	0.4943000	0.6369759	0.4191356	0.3975781	0.3374863	0.7345949	0.5479542	0.0865253	0.2546563	0.8068086	0.3292315	0.6847709	0.3928936	0.2406993	0.6516470	0.2457895	0.3053572	0.3318853	0.2029582	0.4984816	0.2279721	0.6035898	0.2052290	0.5702220	0.0127508	0.5673927	0.0660006	0.2381260	0.4178580	0.6182861	0.3223138	0.0506976	0.1329467	0.0861238	0.0305037	0.0523501	0.0835311	0.6537153	0.2601179	0.4183275	0.3675137	0.3541960	0.4878093	0.0988697	0.5682669	0.2110735	0.1577347	0.2049461	0.1550184	0.2184422	0.6428076	0.6591449	0.7384688	0.7908466	0.5140877	0.6572657	0.0637152	0.0470057	0.3529608	0.2917751	0.3740721	0.3505283	0.6370812	0.3624522	0.1537092	0.6577697	0.1479325	0.6622938	0.5678527	0.7510287	0.0228815	0.4016905	0.3390123	0.0340303	0.6394238	0.3552737	0.3550064	0.6074731	0.2678455	0.0191360	0.3587309	0.8008575	0.6872956	0.5833469	0.6639163	0.5749732	0.6268026	0.1275486	0.6640414	0.0221411	0.6346505	0.7395399	0.3456769	0.1090410	0.6639436	0.4621222	0.4708419	0.3978238	0.6472024	0.5195130	0.6252203	0.6651563	0.6918094	0.6985986	0.2990517	0.5660144	0.6633990	0.5985677	0.6860065	0.6438673	0.6205756	0.5891670	0.3358785	0.5787961	0.7015713	0.3951678	0.1354064	0.6134043	0.3959385	0.1195997	0.5985338	0.5196089	0.5293586	0.6389339	0.7319893	0.1583296	0.3086417	0.3055239	0.0321881	0.6015479
0.0476321	0.0000000	0.8014306	0.7529311	0.6678566	0.6194133	0.5950314	0.8382455	0.0104164	0.7243546	0.0548248	0.7054913	0.6895672	0.7205740	0.7147150	0.7109018	0.1235542	0.6239817	0.0051715	0.6444705	0.2908392	0.7508519	0.6981381	0.2276502	0.2786653	0.4035356	0.7069285	0.0968035	0.5680084	0.1079770	0.3752121	0.7095252	0.4502293	0.3179654	0.2607213	0.7047985	0.4733581	0.1356021	0.2512429	0.6600689	0.3036266	0.7426388	0.4114531	0.2631656	0.5805740	0.2126625	0.3149639	0.4277147	0.2310434	0.5807332	0.5584158	0.5998050	0.5898995	0.4983802	0.6355889	0.3728735	0.0598286	0.0696072	0.1541356	0.6277749	0.0434057	0.3848537	0.4174154	0.6937841	0.7471778	0.0156728	0.0823305	0.7777013	0.3167647	0.5208317	0.2889756	0.4581767	0.3880740	0.1315018	0.6508881	0.2561045	0.1957361	0.2652855	0.2141565	0.2281152	0.6583067	0.8973880	0.5965913	0.6713027	0.4901103	0.6351265	0.0979594	0.0669958	0.5017351	0.3207099	0.4370853	0.4310843	0.7438408	0.3930823	0.1396917	0.6977342	0.1481746	0.5633611	0.6889913	0.7773781	0.0021970	0.4696357	0.4675573	0.0178090	0.8885612	0.3788417	0.3639428	0.6961779	0.2365176	0.0287287	0.3939248	0.6393528	0.6492807	0.4360128	0.6354720	0.5654297	0.6286601	0.0908551	0.6807285	0.0369232	0.7026017	0.6277322	0.3890377	0.0474815	0.6831486	0.4563362	0.5511645	0.5193457	0.6003968	0.5929561	0.6857294	0.6464540	0.6162352	0.6532257	0.3023646	0.6366947	0.7658306	0.6825169	0.6699558	0.7550547	0.6031378	0.6248744	0.2569576	0.6482530	0.7425386	0.5368248	0.1441967	0.6597278	0.3289276	0.1340574	0.5367256	0.5066971	0.5134895	0.7341998	0.7050712	0.1495805	0.5262556	0.4904636	0.0252081	0.6801264
0.6615556	0.6634578	0.0000000	0.0121203	0.3944535	0.0977345	0.1601922	0.0853802	0.5264386	0.3238199	0.6498143	0.2724991	0.3508721	0.0557116	0.4468070	0.0365070	0.4203441	0.6961252	0.6534668	0.7212415	0.0596381	0.6723164	0.0246495	0.1177814	0.2637385	0.2161124	0.7679796	0.1129613	0.5977410	0.1433427	0.4342104	0.6189757	0.3726127	0.3754417	0.2657648	0.6150897	0.5249077	0.0918693	0.2486504	0.6143148	0.3744861	0.8096956	0.4319990	0.1534400	0.6629793	0.1841634	0.2910812	0.2897013	0.2152605	0.5041415	0.1928963	0.5536602	0.2561420	0.5860422	0.0157236	0.3333010	0.0968449	0.2888534	0.3812233	0.6910922	0.2749436	0.0887888	0.1262832	0.0867606	0.0458626	0.0417169	0.0771390	0.7448709	0.2908346	0.5487934	0.4293753	0.3566063	0.5214214	0.1110871	0.6451777	0.2529727	0.1621735	0.2486849	0.2156295	0.3097893	0.6271784	0.6562647	0.7649338	0.6422678	0.5840825	0.6187171	0.0707654	0.0279708	0.5839772	0.1767118	0.4518634	0.3998184	0.7177931	0.3522776	0.1897142	0.8879826	0.1515537	0.8519238	0.6039982	0.6007803	0.0077890	0.5587427	0.4497222	0.0180437	0.5828255	0.3798019	0.3752788	0.6767454	0.3457261	0.0058663	0.4645110	0.6722628	0.7106866	0.4496064	0.7001238	0.6470348	0.5296402	0.0632932	0.7269718	0.0875799	0.7863633	0.5370263	0.3226273	0.1102724	0.7504601	0.3370679	0.5558957	0.4950043	0.6243851	0.6444266	0.6767611	0.6547546	0.6817828	0.7523607	0.4075275	0.5278242	0.6657832	0.6291437	0.7889636	0.7738654	0.4081413	0.6873456	0.3611470	0.6004740	0.8316228	0.4484747	0.1359555	0.6919798	0.2655042	0.0739126	0.5938918	0.5518829	0.4683117	0.7014842	0.8039877	0.1649195	0.3287986	0.4531331	0.0479942	0.5539750
0.7096206	0.6255427	0.0437808	0.0000000	0.2690932	0.0592394	0.2617966	0.0995848	0.4736803	0.3211855	0.5832498	0.2951759	0.3681891	0.0407453	0.2638369	0.0302394	0.2758320	0.6244910	0.4459485	0.6452367	0.0443717	0.6965652	0.0164239	0.1308160	0.2468224	0.1666088	0.6348903	0.1562517	0.6012901	0.1333733	0.2456784	0.6008463	0.4969516	0.4036194	0.2680530	0.8032879	0.5994125	0.1471658	0.2811952	0.6339645	0.2774441	0.6833298	0.3578514	0.2107578	0.6376554	0.2038910	0.2726172	0.3603370	0.2259677	0.5703588	0.2244499	0.5260915	0.1995995	0.6427969	0.0031917	0.4862139	0.0785612	0.2011429	0.4333341	0.7832936	0.2962787	0.1128326	0.1468924	0.1186562	0.0219073	0.0216456	0.1117895	0.7603768	0.1978873	0.5054362	0.3529114	0.5554382	0.3765098	0.1071635	0.6159575	0.2804689	0.2222054	0.2564976	0.1766720	0.2143782	0.7061301	0.5410268	0.6370471	0.6201295	0.5593317	0.7672117	0.0745475	0.0477285	0.4788941	0.2050916	0.3847437	0.3306849	0.6734548	0.3251145	0.1150567	0.5933328	0.1624320	0.7177237	0.5898524	0.7133455	0.0103462	0.4094411	0.3702907	0.0145178	0.7923975	0.3586718	0.4942318	0.8025130	0.2759277	0.0112796	0.3154778	0.7061867	0.6757978	0.4399153	0.7941048	0.6694712	0.5745083	0.0587624	0.6381864	0.0273156	0.6440509	0.5694548	0.4696496	0.0906152	0.5647558	0.4508271	0.3969475	0.4419303	0.6452806	0.5611659	0.6377925	0.6159972	0.6647614	0.7050469	0.3698274	0.6055045	0.5406672	0.6326331	0.9011665	0.6818667	0.5204023	0.5373725	0.3287835	0.5343807	0.6733423	0.5819018	0.1599533	0.6984383	0.2886155	0.1260849	0.6222422	0.5476099	0.4246459	0.7404444	0.6237325	0.1997936	0.3365569	0.4964852	0.0271454	0.5758454
0.7024514	0.7715529	0.0180898	0.0228848	0.0000000	0.0858995	0.1390028	0.1236506	0.5277624	0.3406485	0.6816748	0.2692593	0.4194568	0.0719847	0.4338126	0.0201066	0.3932559	0.7266837	0.5753492	0.7222028	0.0712378	0.6817044	0.0361469	0.0873300	0.2644483	0.1853522	0.7135716	0.1667618	0.5782830	0.2079806	0.3320184	0.5385118	0.4762624	0.3952740	0.3243167	0.5828568	0.4923181	0.0977970	0.3213772	0.7195627	0.3538341	0.7591276	0.3317309	0.2411124	0.7344386	0.2615475	0.2602459	0.4043786	0.2077387	0.5163317	0.2478705	0.5900275	0.2370673	0.5681722	0.0006746	0.3186708	0.0734547	0.2165083	0.4576871	0.6579697	0.3033353	0.1324550	0.0773653	0.0569528	0.0495471	0.0288572	0.0768417	0.7213783	0.2923988	0.5941130	0.4030260	0.4685315	0.3978919	0.0929867	0.6193604	0.2768028	0.1894388	0.2087621	0.1892833	0.1716545	0.6987124	0.7025824	0.6040065	0.7527025	0.5138688	0.6927521	0.0766594	0.0615464	0.4801136	0.2732034	0.3488489	0.5250646	0.6619451	0.4334514	0.1560727	0.6586612	0.1305005	0.5949622	0.6799293	0.6488748	0.0200471	0.4216998	0.3892826	0.0211525	0.9012002	0.3674408	0.5047452	0.5572860	0.2246822	0.0148206	0.5267347	0.7781939	0.6412745	0.5820635	0.6550350	0.5668575	0.6077895	0.1080441	0.7064534	0.0561100	0.6785455	0.5296231	0.3622206	0.1272648	0.5737038	0.4331692	0.5247281	0.5449121	0.5990556	0.5082190	0.7577643	0.6185857	0.5713357	0.7746677	0.4151056	0.6611747	0.6307079	0.5131374	0.6727627	0.7246327	0.5272637	0.7212759	0.3053110	0.5606558	0.6454205	0.5860668	0.0897693	0.7061787	0.2471509	0.0956771	0.5118182	0.5155711	0.4990865	0.6412461	0.8980527	0.1926587	0.4206437	0.4099440	0.0389943	0.5040926
0.7266309	0.8458238	0.0400754	0.0459829	0.3800495	0.0000000	0.1760152	0.0736440	0.5303092	0.4037817	0.6131621	0.3085633	0.4378746	0.0598811	0.3738774	0.0115042	0.5064726	0.6289369	0.5855697	0.7894506	0.0405002	0.6345070	0.0304827	0.1377894	0.3271202	0.1823222	0.6999943	0.1541777	0.7044067	0.2152374	0.3585882	0.7116759	0.5398601	0.3560335	0.2836065	0.6911205	0.4784473	0.0902546	0.2651177	0.7439463	0.2915201	0.6823042	0.3753454	0.2420581	0.7916656	0.2203156	0.2318590	0.3415499	0.2061836	0.5184067	0.3590856	0.5385959	0.2428918	0.6260416	0.0153249	0.4039514	0.1095742	0.2822627	0.4453921	0.6765404	0.2192996	0.0999653	0.1340642	0.1124431	0.0741219	0.0569050	0.0742426	0.6528338	0.2844745	0.5009976	0.3680071	0.3591529	0.4048101	0.0839654	0.5337850	0.2834951	0.2055193	0.2312361	0.1770772	0.1714746	0.7563875	0.6501020	0.7355771	0.7665628	0.5630699	0.6485416	0.0879008	0.0531868	0.3954632	0.2319450	0.4205503	0.3942108	0.8309791	0.3579675	0.1365543	0.6469958	0.2117264	0.6473617	0.6827190	0.6287851	0.0070872	0.4778892	0.4885719	0.0464666	0.6931905	0.3826534	0.5182561	0.5847463	0.2990529	0.0169295	0.4654895	0.8476633	0.6975759	0.6631027	0.7585667	0.5714396	0.5823501	0.0756052	0.7809586	0.0205532	0.7327027	0.7516795	0.3423716	0.1317277	0.6675945	0.4198132	0.5460224	0.5188532	0.7656509	0.6204362	0.7558233	0.6352220	0.7360081	0.7169509	0.3511633	0.7209600	0.6092089	0.6151666	0.6785058	0.5309792	0.5873818	0.6471482	0.3600143	0.5760003	0.6201348	0.4637181	0.1354724	0.4884999	0.2863441	0.1464930	0.5452658	0.6256063	0.5232786	0.6291193	0.6423045	0.2554573	0.4576447	0.4470615	0.0346939	0.5589901
0.6280573	0.8141542	0.0358516	0.0208803	0.4339494	0.0888594	0.0000000	0.0986345	0.5524463	0.2657145	0.7198551	0.2701971	0.3492992	0.0717062	0.4086493	0.0354934	0.4008912	0.6204718	0.4138384	0.7104604	0.0888619	0.7492016	0.0338820	0.1232414	0.2614228	0.1301675	0.6314502	0.1134973	0.7819975	0.1390314	0.3008770	0.8648479	0.4827655	0.2827350	0.2926472	0.6833578	0.4894550	0.0663852	0.2999373	0.7406909	0.3845885	0.7579333	0.4228953	0.2436755	0.7880441	0.1970307	0.2740217	0.3330665	0.2339999	0.5961769	0.2525040	0.5087474	0.3144443	0.6555626	0.0083670	0.3680692	0.0523845	0.2477252	0.4109287	0.6946991	0.2719610	0.0475619	0.1189720	0.0856772	0.0287795	0.0430583	0.1060918	0.6979612	0.3038615	0.5914538	0.3568919	0.3761430	0.4900465	0.0647697	0.5669793	0.2901182	0.1362878	0.1100857	0.1442888	0.1735227	0.7237965	0.6346814	0.6417443	0.7293436	0.6310212	0.7023972	0.0568146	0.0857786	0.6197863	0.1865848	0.4685366	0.4478692	0.7205149	0.4604585	0.1928275	0.6350991	0.1208993	0.7686150	0.6852368	0.6352663	0.0112947	0.4729693	0.4986449	0.0684174	0.6761103	0.3953262	0.4262862	0.5617653	0.2735997	0.0090109	0.3807305	0.6664305	0.7381403	0.5919015	0.7737184	0.6487661	0.4606588	0.1058190	0.7217385	0.0396238	0.6713652	0.7522152	0.4003881	0.1317380	0.7039109	0.4441180	0.4401433	0.5067333	0.6827318	0.7226085	0.7086230	0.4803694	0.6990837	0.6209894	0.4059511	0.6217067	0.5809392	0.6633585	0.7974273	0.6804691	0.6424250	0.7124440	0.3846648	0.5044540	0.6257554	0.5346607	0.1399903	0.7532142	0.4112225	0.0605021	0.5824835	0.5102726	0.5192420	0.7296174	0.7670743	0.2525061	0.3947256	0.4758374	0.0235684	0.5800390
0.6781187	0.7187539	0.0403961	0.0315980	0.3087209	0.0929728	0.1697900	0.0000000	0.5135759	0.2960142	0.6697639	0.3915485	0.3916604	0.0467139	0.4027054	0.0345118	0.4376922	0.6994395	0.5309105	0.7515308	0.0699975	0.6973272	0.0457517	0.1125230	0.2824453	0.1977559	0.6764540	0.0741543	0.6078476	0.1508688	0.3853289	0.6470295	0.5575528	0.3759488	0.2838703	0.6905973	0.5173845	0.1291780	0.2407183	0.7106825	0.3444457	0.6336432	0.3472684	0.3114502	0.8066571	0.2294648	0.2558571	0.4603331	0.2215363	0.6432694	0.2974986	0.6188092	0.2265672	0.7236391	0.0097843	0.3481065	0.0448097	0.1853501	0.4321028	0.6369705	0.3588137	0.0997127	0.1259590	0.0961555	0.0536089	0.0290620	0.1031074	0.7170007	0.2913148	0.5380428	0.4083752	0.3718454	0.4716758	0.0850159	0.5799715	0.2164943	0.2538600	0.3502756	0.2955650	0.1860473	0.7501162	0.6325089	0.6999852	0.5965241	0.6075484	0.7797599	0.0653347	0.0647715	0.5230509	0.1822258	0.4439630	0.4484057	0.6951438	0.4067485	0.2112764	0.5598166	0.1094146	0.6934181	0.5156768	0.6958136	0.0019133	0.4702272	0.4573886	0.0561201	0.7378236	0.3731007	0.4473065	0.8155309	0.3357250	0.0089199	0.3221415	0.8017868	0.6838634	0.6659664	0.7602431	0.6501566	0.4688016	0.0942802	0.7141014	0.0113507	0.6135823	0.6357698	0.3986470	0.0542128	0.7078516	0.3716264	0.4008840	0.4412468	0.7007862	0.8426338	0.6791977	0.6246118	0.7463893	0.7905748	0.2991370	0.5098655	0.5881244	0.5822909	0.5660061	0.6582777	0.4602765	0.6323369	0.4321623	0.6749290	0.7551332	0.4100005	0.1829211	0.6661747	0.2827164	0.1219840	0.7188450	0.5065844	0.5536094	0.6861283	0.6809324	0.2064560	0.4353926	0.4144930	0.0441993	0.5904339
0.6677549	0.6751573	0.0168624	0.0197947	0.4251208	0.0943953	0.1822745	0.1280547	0.0000000	0.2948214	0.7264102	0.2767853	0.4099826	0.0707236	0.3344877	0.0174710	0.5062091	0.5976128	0.4461360	0.6924181	0.0707702	0.7795017	0.0412530	0.0533566	0.2532408	0.1361085	0.7535659	0.0915304	0.6153613	0.1102460	0.4073036	0.7829172	0.4955423	0.3548338	0.2480740	0.7126437	0.5292048	0.1027216	0.2488280	0.6184060	0.2961743	0.5719880	0.2854199	0.1815044	0.7830969	0.2221985	0.1977331	0.3431759	0.1963551	0.6040923	0.2235576	0.5414627	0.2425373	0.4897003	0.0168149	0.4844840	0.0433896	0.2324823	0.4931894	0.7883043	0.3342572	0.0759458	0.1048154	0.0667198	0.0565396	0.0418813	0.1406492	0.7329713	0.1797260	0.5615060	0.4396317	0.4742705	0.4068734	0.1280174	0.5744521	0.3336324	0.1796198	0.2727452	0.1512669	0.1491187	0.7429508	0.7231874	0.7398955	0.6637049	0.4479895	0.5834627	0.0535820	0.0527252	0.4935497	0.2046437	0.3635396	0.3338573	0.5343731	0.3855680	0.1357171	0.6760411	0.1361914	0.6113775	0.7415307	0.5716954	0.0156539	0.4294640	0.2915818	0.0590941	0.6560167	0.4064294	0.5049156	0.6869562	0.3107684	0.0205531	0.2710117	0.7592273	0.6380813	0.5515384	0.7855575	0.5907380	0.4869871	0.0742424	0.7903535	0.0310799	0.7454019	0.5881368	0.4203942	0.1012009	0.5071925	0.3852488	0.4974867	0.4606744	0.5061849	0.5042266	0.6399432	0.5296665	0.6946859	0.5735482	0.4218396	0.5647662	0.6627113	0.5369626	0.5715195	0.5639010	0.4726726	0.7847018	0.3524634	0.5690905	0.5823075	0.4648131	0.1702886	0.5073907	0.2782175	0.1032034	0.6021897	0.6064966	0.4823844	0.7109360	0.6856153	0.2124254	0.2617368	0.4635027	0.0381913	0.5322147
0.6707574	0.6468856	0.0432914	0.0156638	0.3915439	0.0783269	0.2160442	0.0950055	0.6760736	0.0000000	0.5094751	0.2254201	0.5765386	0.0825613	0.3004745	0.0305956	0.4431059	0.6356968	0.5975720	0.7545212	0.0412930	0.6192592	0.0129731	0.1175856	0.2478786	0.1826501	0.7626922	0.1028974	0.6349747	0.1367172	0.2771109	0.6945555	0.5309902	0.3436909	0.3210558	0.7837639	0.6524493	0.0603028	0.2757997	0.6621909	0.2964520	0.8494794	0.3864551	0.2022802	0.6752130	0.2214456	0.3009648	0.3270236	0.2410715	0.6610879	0.2200367	0.5600531	0.2668797	0.6291981	0.0125712	0.4874944	0.0794588	0.1805304	0.4843965	0.6828748	0.3316121	0.1141613	0.1353315	0.1152616	0.0356357	0.0398579	0.1322520	0.6877846	0.2313244	0.6365323	0.4752582	0.4027973	0.4730268	0.1085012	0.7121350	0.2908090	0.2085831	0.4053617	0.2384616	0.1648687	0.7644786	0.6639319	0.7397114	0.7303894	0.4979508	0.5938597	0.0792333	0.0446447	0.4303079	0.3038472	0.4242713	0.3659615	0.5858399	0.3318115	0.1124415	0.6554725	0.1733720	0.6247143	0.7038903	0.6504474	0.0079343	0.4994655	0.4034640	0.0416193	0.6040666	0.3404901	0.3239562	0.7517514	0.2590642	0.0075997	0.3579403	0.7012831	0.6069085	0.4622999	0.6447843	0.6150848	0.5474997	0.0938276	0.6116296	0.0276981	0.6449865	0.7028984	0.2731402	0.0637968	0.5487343	0.4096639	0.3592742	0.3296846	0.6168802	0.7249581	0.5982659	0.6077977	0.6336606	0.6720941	0.4185010	0.5704510	0.5331507	0.6270660	0.7012138	0.6327717	0.4964542	0.6834310	0.3461956	0.5767414	0.6580411	0.4538796	0.1119881	0.5405772	0.4584250	0.1014943	0.4741864	0.5338455	0.5119315	0.7892306	0.8111271	0.1959001	0.3281829	0.4157916	0.0196126	0.4540161
