G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100	G101	G102	G103	G104	G105	G106	G107	G108	G109	G110	G111	G112	G113	G114	G115	G116	G117	G118	G119	G120	G121	G122	G123	G124	G125	G126	G127	G128	G129	G130	G131	G132	G133	G134	G135	G136	G137	G138	G139	G140	G141	G142	G143	G144	G145	G146	G147	G148	G149	G150	G151	G152	G153	G154	G155	G156	G157	G158	G159	G160
0.7890905	0.6824695	0.0060131	0.0038572	0.4112515	0.0284119	0.1800189	0.0179075	0.5279045	0.3264616	0.6061619	0.1883466	0.3097571	0.1768422	0.4756958	0.0006895	0.5014624	0.7109228	0.5157891	0.6234647	0.0765874	0.7445387	0.0241607	0.0674003	0.1945817	0.1922440	0.7287096	0.2392392	0.4731244	0.1249830	0.2394460	0.4148380	0.4646967	0.1160993	0.3355430	0.2581948	0.4848786	0.4342733	0.1818647	0.6870387	0.3198475	0.5609484	0.4119710	0.0949356	0.4699577	0.3311029	0.5828802	0.1617328	0.1744568	0.4014952	0.2758064	0.5531007	0.0795303	0.4389342	0.2765018	0.3941269	0.0345128	0.1810313	0.4758363	0.8085880	0.2605884	0.0485224	0.2112316	0.1265243	0.0432186	0.0176300	0.1680008	0.4961812	0.1521742	0.5598714	0.1932309	0.6009764	0.2914887	0.0657749	0.5748541	0.1188888	0.1650444	0.4324183	0.0153675	0.1135937	0.3476787	0.6215883	0.7208444	0.6051250	0.4547095	0.5180634	0.0544799	0.0758879	0.3114546	0.2383720	0.1667311	0.2584039	0.6848430	0.3889979	0.1840420	0.5334644	0.0780154	0.5630508	0.6419391	0.6989338	0.0436125	0.3793164	0.2260517	0.0356932	0.7155943	0.3136388	0.2891450	0.6863980	0.2434537	0.0275180	0.3274529	0.7160089	0.7795016	0.3856043	0.6742490	0.4679688	0.5302786	0.0032703	0.6969699	0.0295748	0.6059380	0.6263567	0.2054195	0.0594344	0.5008811	0.3889819	0.4050724	0.1598922	0.4067553	0.5671100	0.6884176	0.5097342	0.6586811	0.7267416	0.2683275	0.4758566	0.7220818	0.5580220	0.6745352	0.6229282	0.4185637	0.8510491	0.0788889	0.4449599	0.6673149	0.5490355	0.1081033	0.6243191	0.3981062	0.5108534	0.4287146	0.5469903	0.4760259	0.5728297	0.6506379	0.2476291	0.5474474	0.2005415	0.0005588	0.5699881
0.5671669	0.4733009	0.0411032	0.0296922	0.4958680	0.0506160	0.2346636	0.1821593	0.4926179	0.5464486	0.6493736	0.5387553	0.6589197	0.0061522	0.5095816	0.0424661	0.3273582	0.6528276	0.7310711	0.6998424	0.0675230	0.8366406	0.0371921	0.0362962	0.2512016	0.4676591	0.6995432	0.0896996	0.6889506	0.1754466	0.4172645	0.5276951	0.5449495	0.3104763	0.3894005	0.5630644	0.5063335	0.0752635	0.1927802	0.6479873	0.4004767	0.7189166	0.3474572	0.0524519	0.7339495	0.2129169	0.3341204	0.2393835	0.1959492	0.2986342	0.4632595	0.6877703	0.2527103	0.4447167	0.0002649	0.4131330	0.1060705	0.2281002	0.4343011	0.6745183	0.2273242	0.1864641	0.1911217	0.2550127	0.0412527	0.0016331	0.2266019	0.7290360	0.2801506	0.7501613	0.3567990	0.3897438	0.5206347	0.1212630	0.6291326	0.3121404	0.2021984	0.2825223	0.2364481	0.0520861	0.8579673	0.5805139	0.5768510	0.5648414	0.6561653	0.6062644	0.0018011	0.0469123	0.4502743	0.2244184	0.2951057	0.3177502	0.6310470	0.3283757	0.1358523	0.6082473	0.1252137	0.8158932	0.6945014	0.5967287	0.0156109	0.3330046	0.4870060	0.0265005	0.7125048	0.6643477	0.4236761	0.5865449	0.2826920	0.0218680	0.3403293	0.7484167	0.6944556	0.5851383	0.6870489	0.6742254	0.7068386	0.0010905	0.6417398	0.0566782	0.5824560	0.4559692	0.0860898	0.0624050	0.5010249	0.3347443	0.4478925	0.5222232	0.5080519	0.7236719	0.5908327	0.6539913	0.7416000	0.6443065	0.3667988	0.6442052	0.6632471	0.5669872	0.8436601	0.6424738	0.5678381	0.5953853	0.5217358	0.4751822	0.5658303	0.4585594	0.2796229	0.6156265	0.1280423	0.0808481	0.4773385	0.7203860	0.5933937	0.8105990	0.7287707	0.1297277	0.4543365	0.4212131	0.0145800	0.6222169
0.6569978	0.5845653	0.0457010	0.0177658	0.3312626	0.1118379	0.1957480	0.0956770	0.5659729	0.4624359	0.4772677	0.2130339	0.2772019	0.0123367	0.4481609	0.0002644	0.2582691	0.5216080	0.3180281	0.6006344	0.0793155	0.6430689	0.0008396	0.1838248	0.3580547	0.0149569	0.7630095	0.0226742	0.5459131	0.0424334	0.5443040	0.6901426	0.3723344	0.4649062	0.2620322	0.6622310	0.6571494	0.0003504	0.4140160	0.7295338	0.3026142	0.6235677	0.3088855	0.2903586	0.6157022	0.1265476	0.2734873	0.5394735	0.1810891	0.5013200	0.3276721	0.7141425	0.2508894	0.4818224	0.0001475	0.4882957	0.1114955	0.1468644	0.1937706	0.6093267	0.1245138	0.1725168	0.1689187	0.0576698	0.0254044	0.0988723	0.1715696	0.6960768	0.1983122	0.5957161	0.2779992	0.3387754	0.5992793	0.0716268	0.6493818	0.3781145	0.1631874	0.0848747	0.1241797	0.4032748	0.6370933	0.6397612	0.6939218	0.7165447	0.6084780	0.5550320	0.0432511	0.0041142	0.5658685	0.2031843	0.5384313	0.6940434	0.8393046	0.3302431	0.1567679	0.7854529	0.0864351	0.6811969	0.7634246	0.5157239	0.0076722	0.4087719	0.4060641	0.0370915	0.7164493	0.4592160	0.5940780	0.6139464	0.3191428	0.0147489	0.4035412	0.6382291	0.6288264	0.5759635	0.7644953	0.6594125	0.6651196	0.0948368	0.6112503	0.0029063	0.5249322	0.7425847	0.1822856	0.0732113	0.6637842	0.4260758	0.5973343	0.4383850	0.6136977	0.5924545	0.6065668	0.5982721	0.6031199	0.7625256	0.4075710	0.5213707	0.7034339	0.5218186	0.6203038	0.8073668	0.5210031	0.8084800	0.3429325	0.8212679	0.6776026	0.6029400	0.2176341	0.7160483	0.1961797	0.2563821	0.6707767	0.5449592	0.5555576	0.7118232	0.7410689	0.4926604	0.4389181	0.4409303	0.0259597	0.6591151
0.6241837	0.7409804	0.0170345	0.0455252	0.2952167	0.0536657	0.1738396	0.0473456	0.5428468	0.2952956	0.6105200	0.1768961	0.3552998	0.0530932	0.2846009	0.0006516	0.5834229	0.7060996	0.5389996	0.7689503	0.0395935	0.6790792	0.0173954	0.0068502	0.2300418	0.1233118	0.6089045	0.1267698	0.6753680	0.0065829	0.2095294	0.4091810	0.4548738	0.1570866	0.3161529	0.7417686	0.3559903	0.2197543	0.1994206	0.5266582	0.4700922	0.6750044	0.3997393	0.3210067	0.6874040	0.3769457	0.4002708	0.3417156	0.1885827	0.4198504	0.1668069	0.5140829	0.3071258	0.5899942	0.0079206	0.4722741	0.1338925	0.0695052	0.3094765	0.5836979	0.5933009	0.0640318	0.1361332	0.0665929	0.0012410	0.0004157	0.1270523	0.6883680	0.2967861	0.5725889	0.3886647	0.5362147	0.4138874	0.1859116	0.6934298	0.1198712	0.2035540	0.2472326	0.0731405	0.2653415	0.5747826	0.7230278	0.6634800	0.7399341	0.4032991	0.6397765	0.0160261	0.0449953	0.4361021	0.2699620	0.3098966	0.3927610	0.6654010	0.3872253	0.1978694	0.5532793	0.1706224	0.7064657	0.5280414	0.6321298	0.0198837	0.4437321	0.2231638	0.0004554	0.7818814	0.3355589	0.5055925	0.6366181	0.2879839	0.0123782	0.3060695	0.6781226	0.7419315	0.5346321	0.6123384	0.6608026	0.5003685	0.1099472	0.6805627	0.0431773	0.7499394	0.5584489	0.3410724	0.0856421	0.5685930	0.4316218	0.6279230	0.3538332	0.4937510	0.5703172	0.6895038	0.6305944	0.5789047	0.6615089	0.3719830	0.4677460	0.6558794	0.5881417	0.6509382	0.6682506	0.5359958	0.7544676	0.1641935	0.5007966	0.6019962	0.5295659	0.0308134	0.5730868	0.1194311	0.3871148	0.5009545	0.5204510	0.5537287	0.7341144	0.6107028	0.0682578	0.4571979	0.1797141	0.0017477	0.5100196
0.6682463	0.6956147	0.0218883	0.0143157	0.3153537	0.0164499	0.2068590	0.0474195	0.5079139	0.4177812	0.5837532	0.2494624	0.5289166	0.2021522	0.2726006	0.0005018	0.5735764	0.6270372	0.7328934	0.6375286	0.0891843	0.8664380	0.0258497	0.1041496	0.1672099	0.1621831	0.7169109	0.1201172	0.4896214	0.1106688	0.5231715	0.6319602	0.3656179	0.3474248	0.2863011	0.7299227	0.6712975	0.1844363	0.5532416	0.6211007	0.5097477	0.6932994	0.4017652	0.2239597	0.8015813	0.2520281	0.2685563	0.4130438	0.2231314	0.2608857	0.4168035	0.3107523	0.2880787	0.6167277	0.2881702	0.3918418	0.0482395	0.1026479	0.3847489	0.6746797	0.2157145	0.0847074	0.1164656	0.0837337	0.0004673	0.2264541	0.2736967	0.3290269	0.0763694	0.5334436	0.2426141	0.3489047	0.4130596	0.1762109	0.5817766	0.2130027	0.1655149	0.2203225	0.2044356	0.2542066	0.6269315	0.7875845	0.6974539	0.7752583	0.4958407	0.6873423	0.0457973	0.0535582	0.4304991	0.2025754	0.5166277	0.6129456	0.7122247	0.2383097	0.1310859	0.6839760	0.1336269	0.6871195	0.6391662	0.6637874	0.0132530	0.5376804	0.4746586	0.0121989	0.5931792	0.3548072	0.4134355	0.7941421	0.3008885	0.0095253	0.4723923	0.6541915	0.7708213	0.6242471	0.6602856	0.6601982	0.6189835	0.0838707	0.8336761	0.0011569	0.6856125	0.5333502	0.0906816	0.0760871	0.5542090	0.3293010	0.6475874	0.4582417	0.6670632	0.5701598	0.7267589	0.5227295	0.5818681	0.6358531	0.5136481	0.7682986	0.7616094	0.7032029	0.6851196	0.6613474	0.5314607	0.7215665	0.4629805	0.6960994	0.8465423	0.5616754	0.0939229	0.6189040	0.3846363	0.1556322	0.5831409	0.5658754	0.4730462	0.6845959	0.6739835	0.2102451	0.4996585	0.4790718	0.0084698	0.5355874
0.5856464	0.7883012	0.0355803	0.0000653	0.1767410	0.0639178	0.0553009	0.0072261	0.6076744	0.1996506	0.5752050	0.0759683	0.4704902	0.0852489	0.5263567	0.0185890	0.4705340	0.4450932	0.4056109	0.7162596	0.1025773	0.6420552	0.0000603	0.0080832	0.2003242	0.2014707	0.5933408	0.1264124	0.5680524	0.2211783	0.5115081	0.5330070	0.4788092	0.1517879	0.3440880	0.4298818	0.5505577	0.4605977	0.1403915	0.3212689	0.5104927	0.3543718	0.3830636	0.6130720	0.7080151	0.2547222	0.6855177	0.5325311	0.4432306	0.5523702	0.0834483	0.2492418	0.0279901	0.6379753	0.1740871	0.4782768	0.0128911	0.0579832	0.5601681	0.6908429	0.5109983	0.0649799	0.1411561	0.0427402	0.0269424	0.0006172	0.2274934	0.6046999	0.2360171	0.7210108	0.3919932	0.3928207	0.4410374	0.0600013	0.4260345	0.2648628	0.1930317	0.2264261	0.1562737	0.4279743	0.7984628	0.5619037	0.6593821	0.6096093	0.4919375	0.6513869	0.0117902	0.0470120	0.5263458	0.2811181	0.4075068	0.4260540	0.5793211	0.3912827	0.1839586	0.5789042	0.2033589	0.6376841	0.6869491	0.8202170	0.0619416	0.4591701	0.2627288	0.0383691	0.5930907	0.3537325	0.4305287	0.7008139	0.2035547	0.0141840	0.2898459	0.6292515	0.7047139	0.5430521	0.6757434	0.7482886	0.5185301	0.0625040	0.6159457	0.0465416	0.5299939	0.6270537	0.4375099	0.0020644	0.4630848	0.4444937	0.5637380	0.3871075	0.7306708	0.6534016	0.7071810	0.6885423	0.6321497	0.5389344	0.4374832	0.8136527	0.5725043	0.5966934	0.6787072	0.6721870	0.4984274	0.6848813	0.2464091	0.4580338	0.5727957	0.5713060	0.0615461	0.7160738	0.5824289	0.2982827	0.4878773	0.5345880	0.5477170	0.7450106	0.6524949	0.1839169	0.4981567	0.4411314	0.1318096	0.5159268
0.6904032	0.7444366	0.0310273	0.0000872	0.4009838	0.1248453	0.2057162	0.1173350	0.5811204	0.3720049	0.5929368	0.4268510	0.3261223	0.0336439	0.3551328	0.0328105	0.3287549	0.2748316	0.6878143	0.4476571	0.0055563	0.6177649	0.0217338	0.0777385	0.1625415	0.1250344	0.5720231	0.1412759	0.5474370	0.0009293	0.2135071	0.7217131	0.3962944	0.3899247	0.3280004	0.3184215	0.5294606	0.2179789	0.3047346	0.4907408	0.3374312	0.7624747	0.4419430	0.1513386	0.7587798	0.2575546	0.0165436	0.2874480	0.1660034	0.2576230	0.4327516	0.5275019	0.0222539	0.4789279	0.0290778	0.3279735	0.0200863	0.0005837	0.4406749	0.7051063	0.4748402	0.0516601	0.1715121	0.0867679	0.0326293	0.6583824	0.3087158	0.1592581	0.0064257	0.6959337	0.4808724	0.2485621	0.4346925	0.2498850	0.6426389	0.1556575	0.1572048	0.3099614	0.1983408	0.2120623	0.5884223	0.6342445	0.8952411	0.8194879	0.5529296	0.6807366	0.0809975	0.0440254	0.5788431	0.2695853	0.3668609	0.3392740	0.7763108	0.3936926	0.1418257	0.5408461	0.2239005	0.5751558	0.6598163	0.6131578	0.0317700	0.4782247	0.4359164	0.0092196	0.7091034	0.3377314	0.3624380	0.5788173	0.0840286	0.0011019	0.3832458	0.7332861	0.6477937	0.4235832	0.5907756	0.6483368	0.4412646	0.0033356	0.7258045	0.0023676	0.7780028	0.6291199	0.3886024	0.0354509	0.4328482	0.4875027	0.4585165	0.3904594	0.7289283	0.5601293	0.6822575	0.7662986	0.6661284	0.6908344	0.5887673	0.4848270	0.7053643	0.6632967	0.7114845	0.5692348	0.6407899	0.7438402	0.2500836	0.6236591	0.6198530	0.5660265	0.0908183	0.5932541	0.2990178	0.1395782	0.4924124	0.5962011	0.5259579	0.6040744	0.7374762	0.1823792	0.3610508	0.3377642	0.0009849	0.6048014
0.6768685	0.3681886	0.0474196	0.0049372	0.3242620	0.1859662	0.1977479	0.1320591	0.4036348	0.5317057	0.5182095	0.4838339	0.3431797	0.0187471	0.3707212	0.0597633	0.3347438	0.6701606	0.5911645	0.6814227	0.0641837	0.8022630	0.0285386	0.0601668	0.2501786	0.3389217	0.6160261	0.0699811	0.6483620	0.1583827	0.3266759	0.7371305	0.4740782	0.4556639	0.2961983	0.6689489	0.4203236	0.5247654	0.3802320	0.5492500	0.3975694	0.8657112	0.4353757	0.3461629	0.5274370	0.2768553	0.3325374	0.4528100	0.2181192	0.5018534	0.1472649	0.5188918	0.3323938	0.4566379	0.0001324	0.5070004	0.0345303	0.2154159	0.2388010	0.7859796	0.3923289	0.2564504	0.2463449	0.3153673	0.0006898	0.3042517	0.1264637	0.3799106	0.0582220	0.1667339	0.3385106	0.4210090	0.4104554	0.3172054	0.5123513	0.1261370	0.0367993	0.2469317	0.0902037	0.0950125	0.5678774	0.6710387	0.6819501	0.7740083	0.3911094	0.6366114	0.0676862	0.0532722	0.4673678	0.2237248	0.2270837	0.5438568	0.7283851	0.4084871	0.0553675	0.5592689	0.1868372	0.5957107	0.7445398	0.5732801	0.0093727	0.4242431	0.2612171	0.0363163	0.6699382	0.3495029	0.4130217	0.6841302	0.3113000	0.0326434	0.2919407	0.8032965	0.7301912	0.5024077	0.6263618	0.5160775	0.5670583	0.0542804	0.6539603	0.0326328	0.6513559	0.6046021	0.3259432	0.0002379	0.7075971	0.3219012	0.7029923	0.4439360	0.5435819	0.5475566	0.7095897	0.6054232	0.6865512	0.7084216	0.4448805	0.5936095	0.5697176	0.5703853	0.6409769	0.5760237	0.5038568	0.6368914	0.4495728	0.7856911	0.6581118	0.5004954	0.2580416	0.6536474	0.3793579	0.2310879	0.5119377	0.5580244	0.4654125	0.6902896	0.8031197	0.1348177	0.4596219	0.3347366	0.0772209	0.4994983
0.4625484	0.4285478	0.1066034	0.0127666	0.4537781	0.0827652	0.4776766	0.2327344	0.3905974	0.7018054	0.3752955	0.7195468	0.4107735	0.1072585	0.2334374	0.0049565	0.4129494	0.7425561	0.5879993	0.5919440	0.0907557	0.5521187	0.0121350	0.3252175	0.0793338	0.3616951	0.6946205	0.0806903	0.6898430	0.0030378	0.1624903	0.5947779	0.3634387	0.4033416	0.2732095	0.4914666	0.3320742	0.1920346	0.3042150	0.7190403	0.2697511	0.2979762	0.3391050	0.4331099	0.6078853	0.3700400	0.5861966	0.4159837	0.4909718	0.3124922	0.2410323	0.4980014	0.3960999	0.5594999	0.3748455	0.4837090	0.2125830	0.1265548	0.2366291	0.7209104	0.1037600	0.3090041	0.3084789	0.5135128	0.0192480	0.2519247	0.2762538	0.6032407	0.1383064	0.1742415	0.1326933	0.3933112	0.4483082	0.1292343	0.5549259	0.2164805	0.2396405	0.2333322	0.2655526	0.3183543	0.5733160	0.7683975	0.7120063	0.8387096	0.4904893	0.7664901	0.0460122	0.0107366	0.4259800	0.1564173	0.4906761	0.3500565	0.6154874	0.3675296	0.1336212	0.4826686	0.1017802	0.5741829	0.6662454	0.7109642	0.0175587	0.4911533	0.6345805	0.0214262	0.7898427	0.2953041	0.5073913	0.6130503	0.2924197	0.0309404	0.3530650	0.5821810	0.8048231	0.6416103	0.6140962	0.7025673	0.4775047	0.0036011	0.6809629	0.0515558	0.5774147	0.6482951	0.1385383	0.0699700	0.5479233	0.3370980	0.5319802	0.5542310	0.6789918	0.6460862	0.5378489	0.5759680	0.8076282	0.7426222	0.3246219	0.6207635	0.5976412	0.5798716	0.9127649	0.6023841	0.4134666	0.6228448	0.2858186	0.6111795	0.5994210	0.3931354	0.0867204	0.7066742	0.3830944	0.1169659	0.6466141	0.5822100	0.5058233	0.5822653	0.5261674	0.1815461	0.3621588	0.3120877	0.0155733	0.5766042
0.7520028	0.6698265	0.0256551	0.0002691	0.3720359	0.0314953	0.0835043	0.1072765	0.5005217	0.3841834	0.7059480	0.3608947	0.2444544	0.0366638	0.5599707	0.0009754	0.6842745	0.6979266	0.7496480	0.6332153	0.0565351	0.6587036	0.0040454	0.3848234	0.3009434	0.3506283	0.5741761	0.1022920	0.5263912	0.1534074	0.3006477	0.6031690	0.3231526	0.3935867	0.4469558	0.4942450	0.4536175	0.0338121	0.2118986	0.6383294	0.3409337	0.7070118	0.3360954	0.1083065	0.6181119	0.2450841	0.0573214	0.3659894	0.2480874	0.6153455	0.1051737	0.5803637	0.2381004	0.5867748	0.0082064	0.3718688	0.0254203	0.1998567	0.1684843	0.6424923	0.2887955	0.1057825	0.1592738	0.0850098	0.0234800	0.0898601	0.0308969	0.5674106	0.1215831	0.4266875	0.3673309	0.3394162	0.3909971	0.0853849	0.5840954	0.2741424	0.0872325	0.1332779	0.1779535	0.3756806	0.6785932	0.6668712	0.6822938	0.6317862	0.6417300	0.6484184	0.0769021	0.0662388	0.5275423	0.2286111	0.2859921	0.5045165	0.7773553	0.4570983	0.0351589	0.7215349	0.1613178	0.6895278	0.6664360	0.5939181	0.0070826	0.5033473	0.5507592	0.0000264	0.6098956	0.4668437	0.4611521	0.5612294	0.2529425	0.0179475	0.3579007	0.6502415	0.6739554	0.6302781	0.6985701	0.7316868	0.6866977	0.1131362	0.6484950	0.0420522	0.6799794	0.7721190	0.3584894	0.0003905	0.6900264	0.4019422	0.4667488	0.3824748	0.7736996	0.6283016	0.7076822	0.6981425	0.7624375	0.6952053	0.3414489	0.5024596	0.6001998	0.5530779	0.5923015	0.6433293	0.6612540	0.7876746	0.2627862	0.4963810	0.5973728	0.5457718	0.0616527	0.6949784	0.2288582	0.2554758	0.7504186	0.5195414	0.6116365	0.5878424	0.7232498	0.1068239	0.4329741	0.4705215	0.0023125	0.5626671
