"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100	G101	G102	G103	G104	G105	G106	G107	G108	G109	G110	G111	G112	G113	G114	G115	G116	G117	G118	G119	G120	G121	G122	G123	G124	G125	G126	G127	G128	G129	G130	G131	G132	G133	G134	G135	G136	G137	G138	G139	G140	G141	G142	G143	G144	G145	G146	G147	G148	G149	G150	G151	G152	G153	G154	G155	G156	G157	G158	G159	G160

0	0.7182793	0.6447470	0.0353001	0.0271866	0.3191319	0.0752818	0.1996231	0.0992542	0.5712787	0.3365941	0.6165204	0.3149558	0.3793346	0.0511852	0.4359140	0.0145038	0.5386463	0.6611365	0.5136073	0.6451632	0.0345999	0.7573661	0.0151102	0.1261911	0.1905980	0.1623274	0.6783951	0.1251020	0.6217697	0.1862896	0.3386505	0.6649071	0.5614682	0.3608186	0.2820089	0.7021214	0.5666315	0.1288638	0.3506422	0.7134212	0.3766514	0.6848491	0.3533843	0.2404088	0.6906572	0.2099318	0.2263970	0.3464494	0.2668252	0.4557239	0.3455125	0.6118597	0.2209039	0.5759566	0.0071648	0.3819661	0.0298162	0.2682874	0.4277544	0.7979377	0.3184657	0.0982198	0.1187617	0.1368928	0.0501716	0.0388952	0.0946803	0.6094677	0.2105113	0.5549955	0.3904968	0.4165577	0.3787802	0.0826699	0.5385364	0.3017297	0.2262551	0.2867151	0.1887116	0.1634295	0.7264564	0.5102846	0.7720165	0.6470110	0.5752978	0.7122800	0.0700245	0.0525241	0.4633022	0.2469996	0.3738665	0.3552365	0.5839120	0.4269462	0.1531242	0.6830509	0.1259253	0.8139199	0.6420821	0.6474127	0.0294973	0.5751733	0.4489430	0.0103187	0.6365255	0.3621042	0.5536541	0.6796711	0.2460186	0.0346925	0.3645967	0.6481590	0.5941757	0.5542486	0.6377161	0.6466337	0.6062006	0.1659307	0.6026709	0.0284330	0.6779587	0.5469447	0.3562279	0.0974681	0.5746641	0.5225048	0.5259933	0.5526472	0.7611003	0.6441918	0.6819976	0.7078302	0.4990021	0.7521010	0.4177191	0.5809840	0.6603506	0.5835105	0.6696891	0.7495292	0.4315981	0.7812727	0.3523468	0.7047556	0.6507027	0.5781768	0.1407034	0.6769401	0.3270788	0.0828434	0.5178970	0.5856867	0.5162382	0.7293724	0.7204208	0.1425684	0.4601889	0.6228770	0.0182846	0.6687946
50	0.6391771	0.6327246	0.0175470	0.0011892	0.3877761	0.0346668	0.1304732	0.0283087	0.5088556	0.3251120	0.7260828	0.1739396	0.3873204	0.0870378	0.3701005	0.0066719	0.5435418	0.6290954	0.4300882	0.4209773	0.0555615	0.6684303	0.0235517	0.0942819	0.2302758	0.2080372	0.6857825	0.0708125	0.6106560	0.1064659	0.4656311	0.6411919	0.3354235	0.4259144	0.5495751	0.6132345	0.5554003	0.0699226	0.2503306	0.6385756	0.3025488	0.2366460	0.6102767	0.2316651	0.7104769	0.2488754	0.4800849	0.4411897	0.3453405	0.5301577	0.2214593	0.5517630	0.3074057	0.6538471	0.3154713	0.4077226	0.1336351	0.2091200	0.2529453	0.1518978	0.3695000	0.0343197	0.0901540	0.0841471	0.0428664	0.0632997	0.0872527	0.7355819	0.1324971	0.4745715	0.2337435	0.2337790	0.4211662	0.0695736	0.6909426	0.2312699	0.0485799	0.2109610	0.1701637	0.1681820	0.6153463	0.6991908	0.6042585	0.6019809	0.5286108	0.6712344	0.0157786	0.0329305	0.4748413	0.2403954	0.3001917	0.3536127	0.6125876	0.4337751	0.1485523	0.6666883	0.1188692	0.6340927	0.7471385	0.7260887	0.0214682	0.5450255	0.3435136	0.0127572	0.6204408	0.3229982	0.5093503	0.7198069	0.3007694	0.0078752	0.3174542	0.7170396	0.6252529	0.5628739	0.6824532	0.7218190	0.4777439	0.0788441	0.6535358	0.0422272	0.5494604	0.6999167	0.3456828	0.0549194	0.5385902	0.4802013	0.5322273	0.5189665	0.6055420	0.7732400	0.7167238	0.8259658	0.7070321	0.7425587	0.3645613	0.5765774	0.6099546	0.6597097	0.6679169	0.6090976	0.5475198	0.5450637	0.2972291	0.6790598	0.7033005	0.4717689	0.1507015	0.5292791	0.2346822	0.0897576	0.5331869	0.6584389	0.5251457	0.6864240	0.7005211	0.1588620	0.4498845	0.2268533	0.0364260	0.6478092
100	0.6904483	0.6829892	0.0075596	0.0001098	0.3805344	0.0290911	0.1989675	0.0153690	0.5372243	0.3110582	0.5990735	0.2007739	0.3895798	0.0536070	0.2893268	0.0001266	0.5949266	0.7178079	0.4592563	0.3648405	0.0266409	0.6508274	0.0804092	0.0644373	0.2491623	0.2068921	0.7176811	0.0267467	0.4841376	0.1619308	0.3894038	0.6503366	0.4295504	0.3711952	0.6380949	0.6974178	0.6382858	0.1327934	0.1344873	0.6231197	0.4564507	0.1847804	0.5770755	0.4111181	0.6618464	0.1452525	0.6599492	0.4933586	0.4827270	0.6579275	0.2532888	0.4808235	0.2186758	0.6934619	0.3994036	0.4590766	0.0849606	0.2039614	0.1937953	0.0998399	0.3311882	0.0063735	0.0631957	0.0591518	0.0321889	0.0437120	0.1033059	0.8392185	0.0907781	0.6102077	0.1741642	0.1127110	0.3849353	0.0547282	0.6803801	0.2557778	0.0206798	0.1498309	0.1290982	0.1096944	0.6588219	0.6755378	0.7330334	0.8040298	0.4798707	0.6120507	0.0022844	0.0754417	0.5016893	0.2459989	0.4557401	0.4153817	0.7747165	0.5108407	0.1018716	0.5239120	0.1523232	0.8104665	0.7131681	0.8281268	0.0080589	0.6005443	0.4024467	0.0068014	0.6768653	0.3451592	0.4776378	0.5530918	0.2850908	0.0101864	0.3443793	0.6947130	0.6183505	0.6832474	0.6846309	0.6349754	0.4879072	0.0783075	0.7757838	0.0347465	0.6116905	0.5839317	0.2473432	0.1153558	0.6775172	0.5214902	0.5107107	0.4818706	0.6935635	0.5488534	0.6125898	0.6657178	0.7342243	0.6784907	0.4194268	0.6828096	0.5175538	0.6185513	0.7395804	0.6517045	0.6554196	0.8469270	0.3726128	0.5723206	0.7596652	0.4514298	0.1267592	0.5977267	0.1264387	0.0444282	0.6698976	0.6305005	0.4651612	0.7729536	0.7193029	0.1587844	0.4891669	0.2181201	0.0096019	0.7504112
150	0.6461580	0.6037395	0.0091173	0.0000168	0.3708459	0.0243957	0.1536212	0.0184008	0.6676510	0.3016934	0.7193024	0.2645417	0.4966503	0.0437187	0.3165417	0.0040333	0.5213245	0.6242467	0.4824990	0.2286295	0.0393868	0.7819274	0.0179929	0.0903065	0.2525728	0.1446824	0.7392058	0.0453412	0.6814731	0.1218243	0.3019547	0.7138974	0.3959449	0.4402072	0.6522274	0.7355731	0.5656681	0.0891542	0.1312309	0.7027931	0.5600159	0.1459752	0.4626015	0.5266698	0.7081197	0.2838060	0.6893439	0.5118939	0.5490282	0.7144821	0.2533719	0.6546385	0.2804408	0.6398683	0.4573846	0.4045540	0.1181497	0.2627203	0.1538231	0.0690625	0.4368029	0.0010248	0.0641702	0.0701991	0.0699858	0.0427332	0.0687749	0.7319840	0.0984517	0.4272633	0.2529170	0.1500782	0.4806826	0.0844404	0.6149233	0.2542892	0.0085966	0.2841655	0.1853321	0.1234997	0.6606204	0.8113519	0.6789125	0.7975099	0.4845480	0.7023738	0.0002057	0.0501080	0.4874084	0.2322147	0.4144931	0.4022824	0.7239281	0.3813019	0.1439902	0.6264988	0.1568884	0.6947815	0.6364058	0.7013694	0.0153754	0.5407922	0.3985299	0.0016539	0.7498906	0.2424006	0.5850397	0.7248487	0.2925168	0.0090491	0.3864256	0.6477238	0.6670039	0.4881563	0.6702507	0.5592027	0.5414237	0.0831134	0.7131776	0.0761930	0.6067068	0.6272952	0.2384703	0.0573770	0.6447302	0.4611707	0.4352930	0.4036425	0.6975415	0.4999209	0.6368818	0.6113623	0.6849722	0.7214564	0.4648375	0.5224248	0.5974599	0.6780643	0.6318179	0.7123385	0.5713112	0.7175027	0.3987059	0.5991787	0.6710589	0.5008839	0.1053522	0.7368557	0.1674859	0.0907654	0.6892069	0.6169576	0.5238312	0.6815088	0.6774832	0.1649374	0.3580296	0.1894697	0.0518275	0.4970683
200	0.8376346	0.7437914	0.0016133	0.0000993	0.4121512	0.0560537	0.2073736	0.0264330	0.7081634	0.2868634	0.5724399	0.2487873	0.3640841	0.0495923	0.3210427	0.0003334	0.4489072	0.5189238	0.4383023	0.1461591	0.0650305	0.7882877	0.0223120	0.0634349	0.3042692	0.2581999	0.7909512	0.0429517	0.6466586	0.1482051	0.4196788	0.6578360	0.3535482	0.5156353	0.8393802	0.6862451	0.5889293	0.0623928	0.1370393	0.7924023	0.5059853	0.1624302	0.4441213	0.6170229	0.7578196	0.1591185	0.6726866	0.5803807	0.6250403	0.6434730	0.2171283	0.6060763	0.1776076	0.6181839	0.4694081	0.3609302	0.1283601	0.1885617	0.2214924	0.0694979	0.4515567	0.0002556	0.0395671	0.0373412	0.0167145	0.0414013	0.0522155	0.6071752	0.0876584	0.5550298	0.2074717	0.1689916	0.4353255	0.0558530	0.5410896	0.3451269	0.0037885	0.2541174	0.1946939	0.1042089	0.8124020	0.6413716	0.7075674	0.6246762	0.5795684	0.6919916	0.0015422	0.0507378	0.4525593	0.2317326	0.3646671	0.3379146	0.7295182	0.3475576	0.1235046	0.5524300	0.1418712	0.6668101	0.8138381	0.7090447	0.0211749	0.7114445	0.4245766	0.0008602	0.5587339	0.2994482	0.4970967	0.7356389	0.2164937	0.0113122	0.3214058	0.7934089	0.6410616	0.4915395	0.6226510	0.5820451	0.5423467	0.0874247	0.7609091	0.0474340	0.7108963	0.6790539	0.3511854	0.0854043	0.6286599	0.4795613	0.5274775	0.5155968	0.6391279	0.5188182	0.6945951	0.6270025	0.6742289	0.6636182	0.5717419	0.5991031	0.5933885	0.6548005	0.7423548	0.6239348	0.5524532	0.5921336	0.3897454	0.5681881	0.6866434	0.4854288	0.1220405	0.7092124	0.1855741	0.1171072	0.6802247	0.6179379	0.4569025	0.8049716	0.6796097	0.2054280	0.3233200	0.2113827	0.0180403	0.6064042
250	0.7834932	0.6155823	0.0027178	0.0000230	0.3036228	0.0254454	0.2303002	0.0225740	0.4786162	0.3217085	0.6427174	0.3505896	0.4587726	0.0515809	0.3862476	0.0002164	0.5715336	0.6439764	0.4301752	0.2373418	0.0820724	0.7756988	0.0334125	0.0887984	0.2496579	0.1453554	0.6499956	0.0128285	0.5754176	0.1194648	0.4201874	0.7607282	0.4092761	0.5852459	0.7142015	0.6116641	0.5781459	0.0502036	0.1165199	0.6293625	0.5409408	0.1663709	0.5437704	0.6850725	0.6490673	0.1702941	0.6210315	0.5278265	0.7091667	0.6323491	0.2252714	0.4528210	0.1960960	0.6646039	0.4685918	0.3706936	0.1081141	0.2331554	0.1703545	0.0676815	0.4326449	0.0003417	0.0563925	0.0771873	0.0466069	0.0293177	0.0567402	0.7759746	0.1392118	0.5623012	0.1680632	0.1774033	0.4988353	0.0434758	0.7278416	0.2640508	0.0151088	0.2345530	0.1916817	0.1102852	0.7237164	0.7550781	0.6875824	0.7633536	0.6175518	0.5958474	0.0002051	0.0545234	0.4509326	0.2800661	0.3693128	0.2905749	0.5652040	0.3561422	0.1412649	0.6332887	0.1211843	0.7004325	0.5570259	0.7930030	0.0183446	0.6738125	0.3981391	0.0002310	0.6998798	0.3655670	0.5534274	0.6487069	0.2582931	0.0067699	0.4254810	0.7566467	0.6229314	0.6392228	0.6843189	0.5509342	0.5501196	0.1090727	0.6601415	0.0411263	0.7123724	0.6027636	0.3939904	0.0762874	0.6504328	0.4258324	0.5601442	0.5616548	0.6767849	0.5190132	0.5992930	0.6365741	0.6675853	0.6863874	0.4177736	0.5700099	0.5590621	0.6862749	0.6982079	0.6010111	0.5996863	0.6934903	0.4159325	0.6128484	0.6286862	0.4516701	0.1353246	0.6878671	0.1663279	0.1637067	0.6751251	0.6458907	0.5653523	0.6413903	0.8294268	0.1840615	0.4915230	0.2216510	0.0241975	0.6373372
300	0.6973062	0.6674744	0.0038935	0.0008050	0.4801390	0.0106949	0.2085309	0.0102596	0.4612714	0.3136875	0.6877653	0.3834884	0.4078977	0.0706552	0.4093199	0.0023335	0.5679122	0.6156018	0.4045102	0.2694886	0.0455120	0.6635781	0.0209875	0.1433240	0.2349586	0.2093684	0.6936767	0.0218868	0.7132843	0.1778114	0.3748724	0.5959161	0.3408884	0.4668553	0.7762532	0.6509630	0.6861768	0.0326384	0.0998085	0.7030231	0.4439846	0.1132514	0.4265080	0.6225447	0.7808426	0.1527104	0.7507701	0.6242309	0.6623159	0.5477313	0.3896194	0.7007107	0.3052245	0.5589272	0.3331048	0.4388604	0.1212035	0.1683666	0.1020791	0.0611047	0.5299128	0.0007815	0.0731388	0.0915772	0.0208047	0.0424406	0.0936411	0.7165214	0.1650021	0.7549032	0.1316890	0.1748349	0.4038616	0.0687188	0.5842001	0.2550061	0.0063861	0.2344094	0.1549412	0.0690841	0.6861490	0.5281330	0.7006151	0.6870395	0.5975367	0.6611976	0.0012647	0.0291483	0.5002478	0.2398205	0.3681951	0.3303902	0.6484059	0.3076516	0.1878984	0.4761217	0.0936498	0.6310311	0.5490093	0.6259101	0.0146402	0.5390192	0.3523524	0.0000041	0.6954953	0.3196056	0.4057129	0.6747574	0.2717872	0.0186626	0.3257780	0.8188867	0.6932447	0.4399961	0.6346843	0.7095553	0.4482454	0.0952010	0.6383290	0.0246379	0.6233527	0.6177834	0.3942645	0.1087946	0.4637620	0.5498792	0.4807427	0.5338218	0.7039995	0.5842089	0.6562669	0.6553814	0.6867631	0.5602516	0.4165894	0.5938369	0.5820856	0.6437520	0.7018573	0.5668762	0.6304732	0.9115970	0.4156723	0.5724767	0.6608102	0.4480030	0.1309230	0.5225197	0.1397598	0.0687215	0.5252051	0.5132620	0.6045618	0.6492246	0.7204787	0.1493621	0.3315188	0.1938204	0.0446423	0.6029886
350	0.7068216	0.6366100	0.0071263	0.0004433	0.4190281	0.0168413	0.2456879	0.0151572	0.5884967	0.3588059	0.5988811	0.4337034	0.4472553	0.0540630	0.2977402	0.0023375	0.5556391	0.6467893	0.3448550	0.1770852	0.0529564	0.7637931	0.0203474	0.0681007	0.2394907	0.1942396	0.7371984	0.0296830	0.6876061	0.1670379	0.3430800	0.4863708	0.4099970	0.4673508	0.7646231	0.7838683	0.6300153	0.0306911	0.1069033	0.6009741	0.5618483	0.1018317	0.5174528	0.6045225	0.7262969	0.1564512	0.6667273	0.6421602	0.6602439	0.5468523	0.2543747	0.6333974	0.2292488	0.7218481	0.5465710	0.3363668	0.1404361	0.2135278	0.1323519	0.0742790	0.5307072	0.0002336	0.0809306	0.0807343	0.0478469	0.0350927	0.1761298	0.6872211	0.1292472	0.6481582	0.1877412	0.1475923	0.3557309	0.0484678	0.5120859	0.3144820	0.0175066	0.2485038	0.2332499	0.1113150	0.5970717	0.6598375	0.7898253	0.5978469	0.5293205	0.6282906	0.0040620	0.1063947	0.3885927	0.2653975	0.2864480	0.3844315	0.5682124	0.3274205	0.1757912	0.5727375	0.1604223	0.6786165	0.5570351	0.6627333	0.0085041	0.5719946	0.3729879	0.0000047	0.5902861	0.2945539	0.3700365	0.7127984	0.2574239	0.0073735	0.3372927	0.7478368	0.6730250	0.5712733	0.7270037	0.7107423	0.5668363	0.0736524	0.5990382	0.0219030	0.5881673	0.6448887	0.3857902	0.1213283	0.6102782	0.5297179	0.4758689	0.4463037	0.6946294	0.6186592	0.6417717	0.7961485	0.8042370	0.7150410	0.3902168	0.5294755	0.5186847	0.5861094	0.6871184	0.5616234	0.5269690	0.6214059	0.3474209	0.6207200	0.7026906	0.4947368	0.1238986	0.5123932	0.1632881	0.1155713	0.5923857	0.5050164	0.4987728	0.5767541	0.7036923	0.2375459	0.3871010	0.2053099	0.0251150	0.5547313
400	0.6982868	0.6403285	0.0093167	0.0001442	0.2544687	0.0186383	0.1242182	0.0327714	0.4178696	0.3022749	0.5650016	0.3014634	0.3750423	0.0459226	0.4976813	0.0001794	0.4970444	0.6871757	0.3936199	0.2748180	0.0355295	0.5385332	0.0283543	0.1296338	0.2847285	0.2059433	0.7169852	0.0654376	0.5905626	0.1500635	0.2811189	0.6586976	0.3240548	0.5446448	0.8526358	0.7449374	0.6468264	0.0570326	0.0472801	0.5522042	0.6337908	0.1087796	0.5527913	0.7114074	0.7051568	0.2260409	0.6373426	0.5406679	0.8300688	0.6741585	0.2441357	0.7341196	0.2260316	0.7389087	0.5355164	0.4006588	0.1164252	0.1540662	0.1124926	0.0656171	0.4421655	0.0009467	0.0399865	0.0793355	0.0514024	0.0628785	0.1491728	0.7020303	0.1296944	0.6134167	0.2055325	0.1537201	0.4171339	0.0423054	0.6321104	0.1985368	0.0136732	0.2390509	0.2143180	0.1196132	0.5594489	0.6800261	0.6134454	0.7425111	0.4336059	0.5261352	0.0003316	0.0449875	0.5363791	0.1815229	0.4691180	0.4098761	0.6308319	0.4323688	0.1349418	0.6776562	0.0545341	0.7224381	0.7150048	0.5834624	0.0023942	0.7576251	0.4930514	0.0000115	0.7797667	0.3249310	0.5697858	0.6677653	0.2964844	0.0238715	0.3867759	0.6173476	0.6435247	0.7437515	0.6334702	0.6425547	0.5836458	0.0794170	0.6455459	0.0762965	0.6852636	0.5655335	0.4224473	0.0974845	0.7284397	0.5706553	0.4946923	0.5278753	0.5430833	0.7382093	0.6319660	0.5947938	0.6641081	0.6398475	0.4407329	0.5819038	0.7631955	0.5318865	0.6967086	0.6241996	0.5199640	0.5772621	0.4315027	0.5724944	0.5373914	0.5267152	0.0932354	0.7517160	0.1696215	0.1004439	0.7459176	0.5303758	0.6432877	0.7497328	0.5616029	0.1938394	0.5156147	0.1790534	0.0461858	0.5727924
