G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40
0.0000000	0.8233743	0.0746618	0.7288306	0.7272641	0.7037423	0.2470279	0.0291930	0.2396288	0.1971211	0.2674735	0.1330865	0.1218302	0.1152807	0.4259907	0.0841906	0.1019544	0.3986867	0.2275198	0.2728941	0.0656914	0.0362488	0.0721485	0.3199894	0.3045415	0.0407015	0.1058793	0.1717750	0.0330299	0.1435077	0.3264758	0.4035946	0.0329381	0.0721110	0.5660455	0.0500965	0.6616880	0.1182704	0.4076440	0.0094833
0.4102155	0.0000000	0.3572186	0.6761848	0.7386384	0.6926040	0.2615642	0.0205305	0.2633824	0.2999769	0.3284898	0.2195710	0.1033650	0.0746291	0.3182688	0.0802808	0.0944957	0.3152234	0.2528635	0.4040763	0.0377525	0.0393713	0.0975689	0.2269894	0.3104015	0.0196805	0.1544245	0.1745153	0.0341149	0.1312371	0.2904666	0.4097415	0.0273755	0.1745549	0.6439955	0.0712792	0.6265844	0.1074041	0.4634108	0.0030250
0.3144413	0.7021251	0.0000000	0.7595511	0.7291703	0.7088207	0.2432827	0.0194283	0.2757464	0.2085176	0.2583296	0.1890919	0.0714596	0.0826789	0.3595362	0.1005489	0.0539687	0.2813092	0.3589284	0.3848250	0.0675880	0.0253082	0.0763963	0.2089193	0.2456669	0.0399155	0.1439676	0.1342702	0.0819062	0.1399055	0.3000900	0.3500867	0.0621547	0.1409496	0.4753856	0.0400181	0.6475054	0.1048406	0.5439353	0.0190786
0.1784618	0.6159618	0.0070439	0.0000000	0.6790949	0.7207141	0.2528130	0.0081986	0.2886717	0.7125473	0.3612413	0.1458996	0.0409465	0.0711819	0.4317982	0.0478452	0.0590856	0.3783226	0.3278201	0.2994236	0.0429843	0.0310507	0.0800621	0.2158225	0.3451183	0.0262676	0.1594823	0.1287904	0.0732143	0.1335690	0.3085048	0.3362668	0.0346011	0.1656901	0.5975587	0.0747810	0.7054753	0.1641983	0.7194827	0.8045118
0.3227583	0.8072354	0.1902849	0.6424885	0.0000000	0.7591394	0.7841641	0.5574620	0.6726453	0.2591596	0.6646522	0.7311672	0.7015938	0.7634553	0.3168998	0.1140070	0.7373808	0.3704234	0.8062718	0.6703194	0.6815604	0.0666569	0.0357872	0.2046552	0.7957053	0.0290015	0.1336495	0.6548992	0.6821380	0.1086051	0.2744444	0.4129509	0.0126414	0.8074897	0.6688363	0.5419265	0.7172144	0.0990044	0.5449254	0.0048766
0.5271406	0.5870574	0.3959040	0.8081077	0.7426291	0.0000000	0.3361874	0.0222827	0.2392286	0.2432602	0.3443907	0.1433726	0.0886879	0.0663298	0.7265661	0.7488712	0.0595249	0.6612985	0.1900801	0.3188424	0.0551720	0.6944911	0.7919137	0.6609279	0.3530017	0.7090054	0.5900150	0.1505176	0.0352320	0.7470665	0.7374042	0.7392216	0.6379516	0.2242261	0.4989253	0.0530561	0.6162265	0.7027710	0.4677642	0.0045934
0.3728508	0.6102813	0.0529189	0.7782354	0.6187656	0.7004855	0.0000000	0.0247760	0.2559789	0.2105093	0.4409492	0.1630100	0.1670080	0.0791032	0.4295662	0.0579842	0.0726580	0.3307062	0.3773456	0.3086577	0.0525731	0.0272473	0.1022204	0.1810007	0.3292545	0.0635227	0.1410652	0.1158450	0.0599150	0.1331663	0.2169280	0.3484638	0.0254049	0.2441506	0.5844032	0.0648360	0.6760755	0.1882605	0.3802162	0.0180051
0.2495646	0.7499029	0.0210035	0.6299940	0.5990324	0.7713885	0.2608404	0.0000000	0.2821882	0.3077874	0.2874215	0.2884692	0.1346108	0.1102514	0.3716530	0.0873415	0.0989644	0.2520531	0.3437203	0.3113168	0.0908202	0.0278513	0.0773741	0.2397928	0.3373729	0.0445255	0.0942094	0.2415420	0.0682806	0.1228828	0.2427543	0.3777817	0.0512381	0.2093216	0.4557759	0.0395191	0.7557867	0.1607266	0.4891668	0.0082021
0.2869250	0.6716964	0.0411725	0.6385969	0.8673848	0.6390485	0.3633981	0.0159164	0.0000000	0.2359899	0.3253217	0.1373563	0.1202316	0.1310835	0.3493039	0.1552479	0.0728530	0.4116113	0.1927711	0.2712577	0.0856595	0.0365175	0.0599150	0.2505739	0.3720655	0.0414511	0.1266190	0.1664469	0.0319400	0.1224703	0.2978683	0.3375255	0.0510808	0.1808905	0.5389838	0.0269014	0.5429483	0.0939885	0.5114806	0.0124471
0.3205722	0.6620513	0.0295883	0.7732456	0.5902853	0.7267979	0.3163683	0.0104315	0.3165404	0.0000000	0.3234826	0.1818212	0.0499988	0.0615674	0.3694218	0.0467785	0.0715884	0.2260365	0.3537296	0.2241987	0.0718449	0.0320617	0.0742332	0.2136863	0.2999807	0.0174838	0.0758849	0.1803536	0.0345025	0.0901713	0.2830004	0.2962569	0.0245184	0.1818138	0.5061268	0.0887699	0.6768305	0.1935696	0.3810010	0.0091162
