G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40
0.2560526	0.6113972	0.2017146	0.7488300	0.5713875	0.5310970	0.2816032	0.0062021	0.2492348	0.1088904	0.3034533	0.2036207	0.1011500	0.0002644	0.4051530	0.0432106	0.0566703	0.4818554	0.3444974	0.3300188	0.0709615	0.0265268	0.1736649	0.1507027	0.0885349	0.0193708	0.1612304	0.0080487	0.0332397	0.1381398	0.3495047	0.5456222	0.0520122	0.1161397	0.4167401	0.0000008	0.6728248	0.0029482	0.5849137	0.1308859
0.2522540	0.5627437	0.0002472	0.4919390	0.8145727	0.6066467	0.2248713	0.0220758	0.2412112	0.1779249	0.1335344	0.1834243	0.0566210	0.1214891	0.3181222	0.0293386	0.0508526	0.4201547	0.2183916	0.2666019	0.0030276	0.0475846	0.1748755	0.2643415	0.1480337	0.0330748	0.1705887	0.1946223	0.0480159	0.1683906	0.1806308	0.5030444	0.0368844	0.0999563	0.3645665	0.0000828	0.6591598	0.1881220	0.6361931	0.0061279
0.0906999	0.3675418	0.1957417	0.5197858	0.3170445	0.6616677	0.5763062	0.0227908	0.2005307	0.0915438	0.6228511	0.5635562	0.4416711	0.0296445	0.2146617	0.0812075	0.3359958	0.2108285	0.4729630	0.6042296	0.0652057	0.0089986	0.1181043	0.1150699	0.2158201	0.0023548	0.0802175	0.3840440	0.0665304	0.1390809	0.3293543	0.3482805	0.0213979	0.6382344	0.3274633	0.0026949	0.5457739	0.1427476	0.5430833	0.3668165
0.2961589	0.6781034	0.2036156	0.7617665	0.6705314	0.6555337	0.2258873	0.0033091	0.2793926	0.2092522	0.2532769	0.1449792	0.0716654	0.0901072	0.3775077	0.0889309	0.0449084	0.5294287	0.3320563	0.3202017	0.0364574	0.0615965	0.1017269	0.2792543	0.2422200	0.0375524	0.1014435	0.0038359	0.0680240	0.1176988	0.2216999	0.5033067	0.0249891	0.1169042	0.4717790	0.0000336	0.3663739	0.0882144	0.5425017	0.0075479
0.2464089	0.6851403	0.2368605	0.7006669	0.5639597	0.4175808	0.3231938	0.0006768	0.2330311	0.1496160	0.1763596	0.2256439	0.1359427	0.0028837	0.4789017	0.1570024	0.0953307	0.4593705	0.2016479	0.4226349	0.0017967	0.0972466	0.1432837	0.2871240	0.2724391	0.0474108	0.2143376	0.1626700	0.0261999	0.1130671	0.4177524	0.4061253	0.0405757	0.2904907	0.6144207	0.2084607	0.5964345	0.0415891	0.5189656	0.2777202
0.2934452	0.6959926	0.0295620	0.4734545	0.5983434	0.7089352	0.3288971	0.0154013	0.2190689	0.2298231	0.3199130	0.1042431	0.0416489	0.0140223	0.2515487	0.0278855	0.0719702	0.2340338	0.1691472	0.1887778	0.0515064	0.0450548	0.0723812	0.1993812	0.2635958	0.0032988	0.0404211	0.1970419	0.0087648	0.1811480	0.2400393	0.3379141	0.0053999	0.1239287	0.2542729	0.2243866	0.8175145	0.1076578	0.3725758	0.0008864
0.1830559	0.6750529	0.2050423	0.7109762	0.6926085	0.8411889	0.3429712	0.0032803	0.2256919	0.2346624	0.3706435	0.2357330	0.1799863	0.0508904	0.3824016	0.0400064	0.0721049	0.3396957	0.3620078	0.2842599	0.0599152	0.0128064	0.0933749	0.2633710	0.1405970	0.0073235	0.1365134	0.1422766	0.0045784	0.1542265	0.4155814	0.4079954	0.0288107	0.1474385	0.5018709	0.0000433	0.5950616	0.1716890	0.5517640	0.0074610
0.2431764	0.5331217	0.0380491	0.7559532	0.5653793	0.5817867	0.4792540	0.0035793	0.3082144	0.2523361	0.3569692	0.2883223	0.1166589	0.0257118	0.3891160	0.0938209	0.1043865	0.3886261	0.4141120	0.1173104	0.0035255	0.0422769	0.1210952	0.2391887	0.1480477	0.0328554	0.1615091	0.2148772	0.0508292	0.0485496	0.3811773	0.4778465	0.0165964	0.4205202	0.4869619	0.5292333	0.7434942	0.1347230	0.2285254	0.0034787
0.2274128	0.5441668	0.0347911	0.6292194	0.7068617	0.7405670	0.2569597	0.0001395	0.1855480	0.1774190	0.2953423	0.1533619	0.0644422	0.1071560	0.1577268	0.1231286	0.0869234	0.1994602	0.2462827	0.2249580	0.0583861	0.0115481	0.1518969	0.2208107	0.2057182	0.0053029	0.1619698	0.1764631	0.0054422	0.0992147	0.1771126	0.3028265	0.0344453	0.1048763	0.6644328	0.0001322	0.6908683	0.0331777	0.4264036	0.0107329
0.3353108	0.6753078	0.2552703	0.7897654	0.3964890	0.5209077	0.2737532	0.0007335	0.3435468	0.1544674	0.4727246	0.3969142	0.1855488	0.0069588	0.3691240	0.0101015	0.1630155	0.3582866	0.3787134	0.5833749	0.0103445	0.0468319	0.0860282	0.1740280	0.3273199	0.0339601	0.1402739	0.1652658	0.0222585	0.1570773	0.2031462	0.2254573	0.0171668	0.6245766	0.5713833	0.1865189	0.7046500	0.1493940	0.3468414	0.1502178
