G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80
0.1334862	0.7688830	0.3962737	0.3711858	0.0003157	0.1047481	0.2665020	0.7251563	0.0299081	0.0000078	0.2835281	0.1483142	0.0208591	0.2630761	0.3491950	0.7419499	0.3210500	0.2335133	0.0000152	0.1055244	0.0415698	0.3851360	0.7225643	0.1121064	0.7716853	0.0431101	0.3047996	0.3157261	0.0515814	0.0079944	0.1787335	0.5842469	0.1367625	0.7947717	0.0701195	0.0032923	0.3420494	0.0164378	0.2141026	0.1660894	0.6242092	0.5907001	0.4571258	0.3645371	0.2901015	0.4181864	0.4849133	0.6058807	0.6250642	0.1802964	0.6804710	0.6762871	0.2781514	0.7967790	0.0540266	0.3837822	0.1483449	0.4717487	0.4563033	0.5796029	0.1771397	0.5016170	0.0048351	0.5165751	0.4887033	0.5877345	0.7520560	0.3542679	0.6971505	0.6810480	0.6286972	0.6453433	0.8021567	0.6584167	0.5762922	0.7487869	0.2751711	0.6720396	0.0906272	0.4636138
0.1293341	0.3458283	0.4367585	0.5066341	0.0187467	0.0665532	0.3356616	0.8611649	0.1211186	0.0000570	0.2623627	0.0537204	0.0046220	0.2098126	0.4697614	0.5342795	0.3284275	0.1611398	0.0275512	0.1083294	0.0008267	0.4022162	0.4246867	0.1211020	0.5844901	0.0587857	0.3130647	0.2714512	0.0065582	0.0055553	0.0338075	0.6286636	0.1208657	0.6712699	0.1443617	0.0085923	0.1676846	0.0789168	0.1844703	0.0489791	0.3081832	0.8257286	0.5370644	0.5772509	0.4311241	0.1381726	0.3673122	0.5641530	0.4475024	0.0001994	0.5236951	0.6029056	0.6328479	0.6297596	0.0639944	0.1403422	0.4065664	0.6450367	0.3440457	0.6397868	0.1138662	0.7834753	0.0100568	0.6123794	0.6561614	0.5683882	0.3040728	0.2206606	0.6570235	0.6377110	0.4741407	0.5844883	0.6131227	0.8275145	0.3418658	0.7761422	0.1624538	0.7057204	0.0022469	0.3695231
0.0360683	0.6276628	0.2436306	0.7259247	0.0003111	0.0918097	0.0474825	0.6157830	0.0299461	0.0000034	0.2601136	0.0000714	0.0069498	0.2781126	0.4270971	0.6517402	0.4011499	0.3123693	0.0002138	0.1058973	0.1019582	0.3463553	0.4648350	0.0845360	0.6808434	0.0295711	0.0516140	0.2335848	0.0099962	0.0164383	0.0517750	0.6269055	0.0887527	0.7131757	0.0802437	0.0013353	0.2160040	0.0919175	0.2132471	0.1280758	0.3432737	0.8091045	0.4239696	0.3921138	0.5449963	0.1572348	0.6194038	0.6712964	0.3101685	0.0588505	0.5648054	0.6825242	0.3853053	0.8206734	0.3325195	0.2360286	0.1169771	0.7575210	0.4190769	0.6508073	0.1665198	0.7559527	0.0004322	0.6505581	0.4318469	0.4263402	0.5803066	0.6433536	0.4211241	0.7371421	0.5612103	0.6595266	0.7986526	0.5946306	0.3598422	0.7018751	0.2899765	0.6771370	0.0327219	0.4045342
0.0578773	0.5826860	0.3980348	0.6882703	0.0005076	0.0568413	0.0602739	0.6093146	0.0685310	0.0003570	0.2895581	0.0239346	0.0212424	0.2083686	0.2279807	0.6744243	0.3108730	0.2230369	0.0583746	0.0352823	0.0964399	0.2793561	0.7362201	0.1304112	0.8468110	0.0177780	0.2122507	0.2209564	0.0111330	0.0031261	0.1810985	0.7412998	0.1232300	0.6294143	0.1601932	0.0042795	0.1373825	0.1094788	0.1343472	0.1461185	0.6213042	0.6150741	0.4642249	0.5309715	0.4027695	0.3634537	0.3512982	0.5667560	0.2696479	0.0017324	0.6302996	0.4658144	0.2431146	0.7098137	0.0975307	0.4883007	0.5815104	0.6081543	0.2832498	0.7120473	0.0117138	0.6320743	0.1193323	0.5894469	0.3212141	0.6260671	0.3184738	0.2396196	0.5442545	0.5988645	0.4868525	0.5177493	0.6826304	0.5489387	0.3895434	0.6958016	0.2266477	0.7505641	0.0294298	0.3143062
0.1092698	0.5914250	0.3156378	0.6803380	0.0387202	0.0805815	0.1056239	0.6764172	0.0183160	0.0000195	0.3364413	0.1405687	0.0029493	0.2931835	0.3243315	0.3561203	0.3075263	0.2931753	0.0001886	0.1359101	0.1004333	0.3297905	0.5419261	0.1132046	0.9686603	0.0270245	0.2634948	0.0851867	0.0349125	0.0141076	0.1810656	0.7606816	0.1878718	0.8117642	0.1286435	0.0011606	0.2323066	0.1179809	0.1872390	0.1119365	0.2995272	0.5531608	0.4202246	0.4820158	0.4718457	0.0630246	0.5410036	0.7246173	0.3133788	0.1779272	0.4722705	0.7826529	0.1667123	0.7754812	0.0574864	0.2806512	0.3504096	0.6909201	0.3448887	0.8395532	0.0855604	0.7527299	0.0146735	0.5676138	0.2589779	0.4466729	0.2366079	0.4551955	0.6626121	0.7072887	0.7700957	0.5601130	0.6142785	0.7167968	0.1768943	0.5891961	0.1760803	0.7363689	0.0640115	0.5413550
0.0244652	0.7410461	0.3078164	0.5683033	0.0003503	0.0362994	0.0454686	0.7442079	0.0409275	0.0006745	0.1684150	0.2093789	0.0111796	0.4078875	0.1932072	0.6252856	0.4174412	0.2125380	0.0000169	0.1098488	0.0406677	0.1833379	0.6911728	0.1257747	0.8207271	0.0322237	0.3231636	0.2161941	0.0177705	0.0170449	0.1084323	0.7002166	0.5171861	0.3573593	0.4133779	0.0031353	0.2752611	0.1682175	0.1337359	0.0696711	0.5152556	0.6706730	0.6535590	0.4731049	0.3560252	0.1012488	0.2802013	0.5962461	0.4334577	0.0010437	0.6197803	0.7951814	0.3738457	0.6198070	0.1371259	0.5429564	0.2336600	0.7263952	0.3998437	0.5840802	0.1631607	0.6387360	0.1039520	0.5383080	0.3257778	0.5132960	0.6213290	0.3346146	0.6559872	0.5837314	0.4388106	0.6353378	0.6616477	0.7082756	0.3318913	0.6352892	0.1894604	0.6881774	0.0350593	0.4265331
0.1111727	0.6380721	0.2729714	0.6660804	0.0290278	0.0455470	0.0553613	0.6846248	0.0430262	0.0001791	0.3637215	0.1567358	0.0000152	0.3045352	0.2671465	0.7147540	0.4376521	0.3005321	0.0004028	0.0807620	0.1259542	0.3699993	0.8361737	0.0818278	0.7353407	0.0091320	0.2877438	0.2035657	0.0639570	0.0101595	0.0287784	0.5448653	0.0767629	0.6491978	0.0908691	0.0046344	0.1734503	0.1455055	0.1889769	0.1488220	0.4033534	0.6828400	0.4338831	0.5326410	0.4459200	0.0974953	0.5634338	0.8173097	0.2753757	0.0838729	0.4889657	0.6275522	0.2337363	0.7666489	0.2626920	0.3835997	0.2677920	0.6226626	0.2179383	0.5922417	0.3043099	0.6442482	0.2572082	0.8164427	0.6802408	0.5876001	0.6578780	0.4105037	0.7471694	0.7002124	0.6046217	0.5632020	0.8288970	0.6694786	0.3768021	0.6950220	0.4006317	0.6911643	0.0554066	0.4463254
0.0839243	0.6143883	0.3023993	0.5246471	0.0037233	0.0623708	0.0672094	0.7243512	0.0391991	0.0005050	0.3125964	0.0013174	0.0117508	0.2310567	0.2320678	0.5991063	0.4272606	0.1923032	0.0062970	0.0900739	0.0392686	0.3438869	0.5862720	0.1527120	0.6791656	0.0189516	0.1650375	0.1566283	0.0263029	0.0359897	0.0715741	0.7230897	0.1235870	0.6439016	0.0492345	0.0000260	0.1914379	0.0794979	0.1955573	0.0654085	0.4936269	0.6197305	0.4812396	0.3774218	0.2835153	0.3888906	0.4785863	0.6440141	0.4189387	0.1344685	0.5058165	0.7311455	0.4452946	0.7529442	0.0859515	0.2659277	0.2190280	0.5710842	0.2880775	0.5447063	0.0545462	0.6797276	0.0093920	0.6268908	0.4894950	0.4328735	0.6466537	0.3074887	0.6223129	0.5000111	0.5604678	0.6015810	0.6334600	0.5006440	0.3962847	0.6533071	0.3694118	0.7457469	0.0261227	0.2223198
0.0350750	0.7514885	0.2862784	0.6321574	0.0000003	0.0289005	0.0714639	0.6855620	0.1026601	0.0003427	0.2723581	0.2249086	0.0002301	0.3208904	0.2485602	0.5844160	0.2544102	0.2029571	0.0001132	0.0975510	0.0802621	0.3516069	0.5169220	0.1149579	0.7152949	0.0419321	0.2182627	0.2155293	0.0223536	0.0031578	0.1389077	0.5726367	0.2375031	0.5397022	0.1681634	0.0000263	0.2035134	0.0840593	0.2073449	0.0817914	0.4011424	0.6631834	0.5073167	0.3818599	0.3604795	0.2529237	0.2915332	0.7272126	0.3473618	0.1473192	0.8204512	0.7541356	0.3448081	0.8228169	0.6571095	0.5817008	0.0783919	0.5765965	0.4796192	0.6360649	0.2803006	0.7565880	0.1777510	0.5316114	0.3243727	0.5212831	0.7754730	0.3605044	0.7518525	0.8228958	0.7307727	0.6451679	0.6959536	0.6157330	0.3974039	0.7926854	0.2919567	0.6548112	0.0001697	0.4247354
0.0650223	0.5639343	0.3579344	0.4531234	0.0271433	0.0903663	0.1340821	0.5974635	0.0209142	0.0034243	0.2776950	0.1178187	0.0004034	0.2834409	0.4324628	0.4964187	0.2772751	0.3607079	0.0114049	0.1511366	0.1510034	0.3860280	0.6324094	0.0874969	0.6862787	0.1159013	0.5037934	0.2306961	0.0460051	0.0186915	0.1181140	0.6138907	0.1422805	0.8272410	0.1145707	0.0026314	0.2752063	0.0229322	0.1669404	0.3217096	0.7796182	0.8140256	0.4663303	0.4146964	0.3263178	0.1160031	0.4520426	0.3967468	0.6071021	0.1340019	0.4496004	0.5765286	0.5765218	0.6535709	0.2686364	0.4287689	0.4607968	0.6773143	0.5308645	0.6877460	0.4096277	0.6033661	0.1551421	0.5409578	0.3160974	0.4595313	0.6707025	0.3341819	0.5256976	0.6984406	0.3243012	0.5772997	0.6414908	0.7549701	0.4824619	0.6780328	0.3405290	0.6701150	0.0248828	0.5147713
