"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80

0	0.0852577	0.6350680	0.2639774	0.7712245	0.0130028	0.0452522	0.0466246	0.8003704	0.0601157	0.0002089	0.2788110	0.1364401	0.0099183	0.2909370	0.5535475	0.5586880	0.4309559	0.2654192	0.0147573	0.1315367	0.1297672	0.4043111	0.5286425	0.1481182	0.7408449	0.0513707	0.3491316	0.3126961	0.0393827	0.0238844	0.2483622	0.6760564	0.1366339	0.7592827	0.1209463	0.0001835	0.2653451	0.1497297	0.1903675	0.1513694	0.4269195	0.6378409	0.3616674	0.3599641	0.2788731	0.1419651	0.5765895	0.6622555	0.3880402	0.0008012	0.6444467	0.7976705	0.3091911	0.6267491	0.1908740	0.3736303	0.2139596	0.8176327	0.3717138	0.6246795	0.2568390	0.6378469	0.0362000	0.5930276	0.6206067	0.5352499	0.7231400	0.4782722	0.6376033	0.8519241	0.4165215	0.6816156	0.6898669	0.4862285	0.4406148	0.8136167	0.3399614	0.6060500	0.0611212	0.4762191
50	0.0826890	0.5637009	0.1450801	0.8221024	0.0204520	0.0448197	0.0680660	0.7683070	0.0528198	0.0000000	0.3482892	0.0501239	0.0166281	0.2791657	0.2917349	0.3304476	0.0962672	0.2448748	0.0122102	0.1678553	0.0481677	0.2472246	0.5676733	0.0382564	0.7565918	0.0429989	0.3570438	0.2719648	0.0365170	0.0111136	0.1924710	0.6005321	0.0629843	0.7613027	0.0954914	0.0055046	0.1307481	0.0242719	0.1587571	0.0427028	0.4699634	0.7326614	0.5529230	0.5475051	0.4128562	0.1971830	0.7122284	0.6852849	0.3682053	0.1964235	0.6964958	0.7295078	0.3983059	0.6634152	0.1728517	0.3051917	0.2369874	0.6366851	0.3710938	0.4342314	0.1862293	0.6918711	0.0702297	0.6874233	0.5369932	0.5570692	0.3428798	0.4639930	0.7767648	0.1114720	0.4958276	0.6172774	0.5543354	0.5611605	0.4083818	0.6788748	0.4262278	0.7185182	0.0391733	0.4578820
100	0.0911278	0.6958052	0.1357089	0.7556587	0.0125875	0.0137024	0.0378233	0.7533039	0.0126110	0.0000521	0.3613940	0.0045808	0.0137226	0.2595739	0.2427224	0.2109556	0.0164350	0.1971632	0.0160172	0.1223856	0.0581733	0.2099742	0.4950154	0.0069236	0.5394738	0.0465376	0.2310809	0.2874472	0.0291978	0.0124389	0.1458503	0.5711428	0.0697716	0.7202135	0.0740561	0.0009602	0.1445656	0.0072543	0.1487755	0.0401703	0.4313090	0.6777899	0.4741442	0.6516391	0.5426236	0.1157211	0.5929714	0.7438315	0.3413515	0.2091881	0.7277984	0.7503205	0.5490807	0.8613347	0.0978293	0.2567671	0.1457299	0.6813811	0.3157398	0.3287673	0.0909502	0.6319520	0.0562238	0.6756827	0.3977837	0.3756819	0.2491754	0.4749788	0.5671818	0.0577292	0.5128215	0.5883068	0.7328805	0.5058049	0.4064476	0.7347129	0.4404692	0.6602556	0.0287036	0.2509244
150	0.0798784	0.5636425	0.1652226	0.7933785	0.0119692	0.0270872	0.0302379	0.6884831	0.0117801	0.0007138	0.3410440	0.0010079	0.0214552	0.2118085	0.2148770	0.1442037	0.0153594	0.1464930	0.0245428	0.1130215	0.0495186	0.2235607	0.6156984	0.0056069	0.6741225	0.0378524	0.2738727	0.2471232	0.0315401	0.0074541	0.1532209	0.5205437	0.0546744	0.6549709	0.1243922	0.0006826	0.1279553	0.0010183	0.1243742	0.0463333	0.3852220	0.6927531	0.4652985	0.6858730	0.4715282	0.1012885	0.5340957	0.7771970	0.4290031	0.2302064	0.7168530	0.6085990	0.4476903	0.7630083	0.0588958	0.1811769	0.1999192	0.5175286	0.3464075	0.2370652	0.0918663	0.5674310	0.0391341	0.5481944	0.4332325	0.4174908	0.3057518	0.4411279	0.5106447	0.0461979	0.4729393	0.6803661	0.5803612	0.4611908	0.3317648	0.5354180	0.4828753	0.6367767	0.0671782	0.1625144
200	0.0796520	0.6760065	0.1268323	0.6995366	0.0299698	0.0147028	0.0469158	0.7099321	0.0046563	0.0003945	0.3386382	0.0009509	0.0098887	0.2286839	0.3331463	0.1684419	0.0004538	0.1502464	0.0118958	0.0842315	0.0814057	0.2222268	0.4824115	0.0038258	0.8189367	0.0206742	0.2201211	0.2160083	0.0415575	0.0081489	0.0708460	0.5001665	0.0978686	0.6582442	0.1068609	0.0006513	0.1112963	0.0017874	0.1855122	0.0683572	0.3825448	0.6945139	0.4933744	0.6990873	0.5761967	0.1481404	0.6144130	0.6731295	0.3129248	0.2820402	0.6804821	0.6668392	0.5092196	0.7899916	0.0455810	0.1635560	0.1895804	0.3658030	0.2901933	0.2661091	0.0665408	0.4942501	0.0379556	0.6200600	0.3550666	0.2148517	0.2876336	0.4394335	0.3726140	0.0652572	0.3691316	0.6723921	0.6835905	0.3522932	0.3363582	0.5111755	0.4749425	0.6387052	0.0693145	0.1295401
250	0.0960497	0.6436017	0.1529978	0.6504185	0.0390557	0.0251189	0.0314977	0.5990848	0.0188341	0.0017599	0.2480265	0.0003467	0.0118504	0.2435476	0.3625896	0.2172910	0.0130309	0.1520730	0.0085329	0.1435364	0.1015891	0.2635041	0.6831138	0.0001531	0.7314891	0.0363537	0.2932147	0.1857169	0.0497815	0.0202987	0.1088478	0.5570160	0.1053390	0.7310725	0.0917321	0.0039807	0.0967365	0.0006660	0.1264478	0.0668281	0.4354450	0.7466614	0.3812182	0.5649268	0.5778666	0.1211851	0.6379436	0.6397388	0.3869777	0.2073537	0.5736880	0.7027039	0.5071101	0.7390074	0.0651476	0.1259286	0.1465850	0.3432477	0.3359516	0.3126114	0.0242880	0.5519337	0.0671893	0.5206893	0.3694188	0.2426674	0.2681377	0.5362916	0.2593491	0.0719762	0.4109365	0.6455886	0.5798304	0.3507240	0.3209959	0.5543913	0.5555369	0.6279586	0.0965312	0.0923583
300	0.1051214	0.6965697	0.2308322	0.6130787	0.0300872	0.0233384	0.0503754	0.6495687	0.0156536	0.0027067	0.3125039	0.0000074	0.0161348	0.2392172	0.3246744	0.1327865	0.0003193	0.1802723	0.0042233	0.1520146	0.1268700	0.2643452	0.7096393	0.0000897	0.5835575	0.0790113	0.3197004	0.2493009	0.0372482	0.0077895	0.1246103	0.5580514	0.1262748	0.6988944	0.0829662	0.0000906	0.1062185	0.0002083	0.1439751	0.0676496	0.3946903	0.7596732	0.4734810	0.7494424	0.5317061	0.0873972	0.6182536	0.7504197	0.4536880	0.2384926	0.6426464	0.6746427	0.5351378	0.5783864	0.0363572	0.1755628	0.1452599	0.4189353	0.3480957	0.3487891	0.0179574	0.6464004	0.0369532	0.4896002	0.3630603	0.3395060	0.2288478	0.3783344	0.1744525	0.0644459	0.4700436	0.7397642	0.6671475	0.3893224	0.3177860	0.4532825	0.4770488	0.5540787	0.0493054	0.1022113
350	0.0867108	0.5298942	0.2277506	0.6464585	0.0097166	0.0408433	0.0572134	0.6890286	0.0072200	0.0003670	0.2915494	0.0000146	0.0318281	0.2411762	0.3098215	0.1287597	0.0015233	0.1831452	0.0115557	0.1105928	0.2045863	0.2421738	0.6911103	0.0000347	0.5605030	0.0534751	0.2669585	0.2530152	0.0551534	0.0094449	0.1974700	0.5285307	0.0668228	0.7201357	0.0992462	0.0072756	0.1097110	0.0033178	0.1205947	0.0296949	0.4200914	0.7839814	0.4195400	0.6533206	0.5672663	0.1281717	0.6944923	0.7312708	0.3897450	0.2275987	0.6115394	0.7150169	0.4708495	0.7135620	0.0481299	0.1964612	0.1391534	0.4179198	0.3382025	0.2675058	0.0436014	0.5655859	0.0411098	0.5575317	0.3460973	0.2605227	0.3157346	0.5531720	0.2292489	0.0565753	0.5080687	0.7859504	0.5016491	0.3406166	0.2918241	0.5193098	0.4072847	0.4169533	0.1144429	0.1037346
400	0.0923681	0.6117452	0.2751521	0.6370156	0.0209276	0.0231914	0.0971030	0.6593133	0.0052865	0.0000410	0.3596291	0.0001398	0.0082383	0.3534322	0.3821416	0.2021641	0.0001932	0.1963839	0.0188134	0.1157060	0.1026950	0.1945843	0.6850909	0.0056218	0.5542067	0.0317782	0.2615665	0.3113887	0.0416830	0.0058022	0.1405821	0.6875053	0.0791298	0.7397744	0.0810194	0.0010608	0.0560472	0.0072027	0.1802257	0.0383789	0.4821951	0.6408713	0.5056906	0.6201161	0.4896253	0.1252976	0.5384550	0.7738419	0.4229469	0.3224298	0.6842339	0.7285473	0.4600052	0.6231422	0.0579715	0.2688483	0.1541393	0.5341567	0.3330730	0.2585627	0.0536181	0.5478943	0.0463115	0.5743912	0.3787746	0.1862361	0.2895052	0.5483011	0.2259002	0.0726129	0.3984014	0.7184941	0.5800457	0.2841723	0.3224902	0.6579092	0.4235043	0.4400130	0.1104689	0.1248693
