G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.1573955	0.7332233	0.2927670	0.2220722	0.5543101	0.7390177	0.2208699	0.0030483	0.0000000	0.6854026	0.7468567	0.0238073	0.7230325	0.6405387	0.3519537	0.6317008	0.2736837	0.3284019	0.0170513	0.0918510	0.6819941	0.4938841	0.6747579	0.6582290	0.7399076	0.0335087	0.0176956	0.5621679	0.0266637	0.6687438	0.4410828	0.1045301	0.2103027	0.0205210	0.5948991	0.5608796	0.3379127	0.4015813	0.2042768	0.7406183	0.7171141	0.0003115	0.0111331	0.5296880	0.4828682	0.1402951	0.2613024	0.0560922	0.5946687	0.5913121	0.6839170	0.7241151	0.7805354	0.0247297	0.2075815	0.7510318	0.5801388	0.3517492	0.0212961	0.6463139	0.0233302	0.0188130	0.0803238	0.2383913	0.2856300	0.0006369	0.0071592	0.7271908	0.7008039	0.0503147	0.4474893	0.0000000	0.7118643	0.0026053	0.6629134	0.0361551	0.7081684	0.7768565	0.0245040	0.4985167	0.6089697	0.2406493	0.4232561	0.0060365	0.5033899	0.6270910	0.6898609	0.6054605	0.7618763	0.6629019	0.0205459	0.2781452	0.8165956	0.6380302	0.0580041	0.0180876	0.0726035	0.6602754	0.0094602	0.6532832
0.1503795	0.6898447	0.3517967	0.1701817	0.6294600	0.7156505	0.3545806	0.0628537	0.6840077	0.1293562	0.2415681	0.0307583	0.7436143	0.0384057	0.1232580	0.7758005	0.7260053	0.0223362	0.3336868	0.4894069	0.6704056	0.6280887	0.6412139	0.6623162	0.6255205	0.6452238	0.5587506	0.7253619	0.0314270	0.1534466	0.0251156	0.1937647	0.1561389	0.6618383	0.6373863	0.4611627	0.3869859	0.3388602	0.2246183	0.6405946	0.1969691	0.0027858	0.1976073	0.6834718	0.6375120	0.2004823	0.5811740	0.0434318	0.5491126	0.7416691	0.6205680	0.5224417	0.6273850	0.7376065	0.2638840	0.5340955	0.5729092	0.0075004	0.0532641	0.6560920	0.0271652	0.0033308	0.1433068	0.5674739	0.3572614	0.0123597	0.0616373	0.7111873	0.0351012	0.0371787	0.5063432	0.0000000	0.6287060	0.0137832	0.6511015	0.0418890	0.7292636	0.7238881	0.0120542	0.5142316	0.6411942	0.7070169	0.6318190	0.0081052	0.3465424	0.6887929	0.7485771	0.8000473	0.6337485	0.6639166	0.0159944	0.2815597	0.6435512	0.7906084	0.0371987	0.0028629	0.3928088	0.7029009	0.0388904	0.0000000
0.1197174	0.7467182	0.5394228	0.1681281	0.5771124	0.5507278	0.2128746	0.0508675	0.6967191	0.1642647	0.2068037	0.0404230	0.8209468	0.0099278	0.0978274	0.6847988	0.7088920	0.0059586	0.0246365	0.7843264	0.8052594	0.3961453	0.6283457	0.5826113	0.5545768	0.6928567	0.5667018	0.6301456	0.0191223	0.1737396	0.0608180	0.0151670	0.1924788	0.7114187	0.0000000	0.6443707	0.3336074	0.3479186	0.7094303	0.5526238	0.1844846	0.0020584	0.2728249	0.5531884	0.7022251	0.1372689	0.6353585	0.0428775	0.0139659	0.7667051	0.6489969	0.5979014	0.7457358	0.7453766	0.6650437	0.7759991	0.3900859	0.0136554	0.0242591	0.6479572	0.0533683	0.3607296	0.1282865	0.1832151	0.3700030	0.0026784	0.0786226	0.0496556	0.0478308	0.0341900	0.3838670	0.0000000	0.6793014	0.0020442	0.8111427	0.0253994	0.7229486	0.6493454	0.0038597	0.0031186	0.5097074	0.2001693	0.4034589	0.0139282	0.5304424	0.7529855	0.7322266	0.8334585	0.6865955	0.7592228	0.0070993	0.3508991	0.7709148	0.6577178	0.0422848	0.0240076	0.1191995	0.7464003	0.0325411	0.6240002
0.1963686	0.7515527	0.3174185	0.2756169	0.6141973	0.5950588	0.3733387	0.0073887	0.0000000	0.6690127	0.7294518	0.0358982	0.7095888	0.6533696	0.4054262	0.4894287	0.0088129	0.5769414	0.0067872	0.3086857	0.7451830	0.4717436	0.7883412	0.6365541	0.5198221	0.0508371	0.0438326	0.6152762	0.0268809	0.6017566	0.3500762	0.4643400	0.2238963	0.0092599	0.7067254	0.6475958	0.0463415	0.2829683	0.2201186	0.0000000	0.6082927	0.0005544	0.5921625	0.5767107	0.1151219	0.1802984	0.2165913	0.6724275	0.1716361	0.0122291	0.1022881	0.5359546	0.7288168	0.0150352	0.0393824	0.6637978	0.3215007	0.6043916	0.5832830	0.7009898	0.0756233	0.6241876	0.0527157	0.6636795	0.3813484	0.5618796	0.3513892	0.6778533	0.6865468	0.6900952	0.5687860	0.6755641	0.4592701	0.5878597	0.6484041	0.3448401	0.1201867	0.3101289	0.4549940	0.5155484	0.7329360	0.0037001	0.0798644	0.0065334	0.5703123	0.6309712	0.6021719	0.3550226	0.0590111	0.5187853	0.5887841	0.3086135	0.1949243	0.2036887	0.4007532	0.6537411	0.0033505	0.0748142	0.6822029	0.8171397
0.1505599	0.6385465	0.3739931	0.2022461	0.5354826	0.6899079	0.2494940	0.0027090	0.0000000	0.7470862	0.7110213	0.0549513	0.7791954	0.7135819	0.5190917	0.7054000	0.0033375	0.5824333	0.0060630	0.3208059	0.6064886	0.3734345	0.6723146	0.6367970	0.6621523	0.0705301	0.0150351	0.6985007	0.0145508	0.6449418	0.4049301	0.4829069	0.2459164	0.0146839	0.6649277	0.3875576	0.4022263	0.3190342	0.2160622	0.6141695	0.6575118	0.0001065	0.4689821	0.5178980	0.1307602	0.1752529	0.1765978	0.0141524	0.3253374	0.0071484	0.5704769	0.6638838	0.6542375	0.0158363	0.0496352	0.6779741	0.3425745	0.6172310	0.5831105	0.7506928	0.0486192	0.5027684	0.0607109	0.6989267	0.3210934	0.0010852	0.2723607	0.7211458	0.6810629	0.0613912	0.4834754	0.7438816	0.4013066	0.6017619	0.7103252	0.4469616	0.1062600	0.2995599	0.3827207	0.4646948	0.6129800	0.1858054	0.1659748	0.0036210	0.4067755	0.7738294	0.7583965	0.3467169	0.0800492	0.6728257	0.5264332	0.3482139	0.1947626	0.2348344	0.4140684	0.5678982	0.0230213	0.0917884	0.5524038	0.0000000
0.2410181	0.5840057	0.4583487	0.2298346	0.6819809	0.6697498	0.3023474	0.0580541	0.6563858	0.1633138	0.2142387	0.0519024	0.6563826	0.0124302	0.1219456	0.7203946	0.6605821	0.0078628	0.2775896	0.5797018	0.6250156	0.5491126	0.6182588	0.7100810	0.7404882	0.8661744	0.7404327	0.6905193	0.0391689	0.1852480	0.0518866	0.0122631	0.1927444	0.7603314	0.6205716	0.5582240	0.0609923	0.3387922	0.2490216	0.0000000	0.1425028	0.0153644	0.2649899	0.6322751	0.7776696	0.1242024	0.6417408	0.6786034	0.4835769	0.6680136	0.4153925	0.6001009	0.7360297	0.5626063	0.1415018	0.6336010	0.5838157	0.0155337	0.0398695	0.6323679	0.0292624	0.0148517	0.0892458	0.6882920	0.3509237	0.4152962	0.3970625	0.7551883	0.0583569	0.7130842	0.4148482	0.0000000	0.5763250	0.0127200	0.6918919	0.0423484	0.6917773	0.5759103	0.0092783	0.4319807	0.6213193	0.1986159	0.4223393	0.0052366	0.5124131	0.6828985	0.7096354	0.6069463	0.6256283	0.6133454	0.0321610	0.2941382	0.6043372	0.5906349	0.0365876	0.0084393	0.1254725	0.7814058	0.0288454	0.6358332
0.1606989	0.6810680	0.4021263	0.2137568	0.5668810	0.7390506	0.3648855	0.0465437	0.7543412	0.2229737	0.2251633	0.0689736	0.0912201	0.0122311	0.1007137	0.6223064	0.4903717	0.2940073	0.0887285	0.6794262	0.5740213	0.6609805	0.6156526	0.6552262	0.5942320	0.5955943	0.6430053	0.5717493	0.0328234	0.1522719	0.0510681	0.1496586	0.1654592	0.7240426	0.7065975	0.2669223	0.0784141	0.3642966	0.3062895	0.0000000	0.4773990	0.6498914	0.7106800	0.6560669	0.4266386	0.2150243	0.5204712	0.7308259	0.1378504	0.3632125	0.4836440	0.7389120	0.7243213	0.6503091	0.0782028	0.2863592	0.2578815	0.3704898	0.5742397	0.7445177	0.0987477	0.5393704	0.0665933	0.5999752	0.3998430	0.0023975	0.6635567	0.6941071	0.0494971	0.6942494	0.4611558	0.7020789	0.3994562	0.5194437	0.8089375	0.4489698	0.1259784	0.3561683	0.4016528	0.4611525	0.6748937	0.3057252	0.1864338	0.0053526	0.5322065	0.7437758	0.5749097	0.3283863	0.0533437	0.6522318	0.6248728	0.3560268	0.2538831	0.2511578	0.4249349	0.5577093	0.0073915	0.1077989	0.5695837	0.0000000
0.1676698	0.7491797	0.3360056	0.1928534	0.6774738	0.6103189	0.1772327	0.0062569	0.0000000	0.6755291	0.7458697	0.0504645	0.6857013	0.6713581	0.3795018	0.4999951	0.0111917	0.6268901	0.0147072	0.3755387	0.7424637	0.0260522	0.7669939	0.6443887	0.6248149	0.0318371	0.0212099	0.5771798	0.0288387	0.6294493	0.5501482	0.3341168	0.2326643	0.0133170	0.0000000	0.4527780	0.3044556	0.3352309	0.7261354	0.6795567	0.6700121	0.0002367	0.3453318	0.5697008	0.1330404	0.1262330	0.2328570	0.0529097	0.0657980	0.0045044	0.4899248	0.5961188	0.6547334	0.0140638	0.4221149	0.7867599	0.0434453	0.6839983	0.0875493	0.7789724	0.5963864	0.5338957	0.2618609	0.2131667	0.4261942	0.0092702	0.2738643	0.0118516	0.7517071	0.0507806	0.4842018	0.6681338	0.3666560	0.5816060	0.7594134	0.4272244	0.0933065	0.3648025	0.4053852	0.0010612	0.6581008	0.0082178	0.0963041	0.0090286	0.5126394	0.6596438	0.6466012	0.2534849	0.0484121	0.5085772	0.6743605	0.2393375	0.1574777	0.1950510	0.4092982	0.6820600	0.0206839	0.0439159	0.6511830	0.6724312
0.2119267	0.7079974	0.4379045	0.1768035	0.5334960	0.6459736	0.2845787	0.0140993	0.0000000	0.6092314	0.6443203	0.0228861	0.7946508	0.6430526	0.4387649	0.3941224	0.0046676	0.5240718	0.0056735	0.3296635	0.7563033	0.4246321	0.6710313	0.6979843	0.7550016	0.0720079	0.0126683	0.6394468	0.0347588	0.7398346	0.3286393	0.2471811	0.1681483	0.0120591	0.7065885	0.5399541	0.2831417	0.3781170	0.2230157	0.4882128	0.7451137	0.0008937	0.4200374	0.5410710	0.1499146	0.1538009	0.1815691	0.0375445	0.2157981	0.0160712	0.1763283	0.5963953	0.5921072	0.0075642	0.0650291	0.6876488	0.3107115	0.6727916	0.5568124	0.0000000	0.0864013	0.4912341	0.0432291	0.1926413	0.0083777	0.0014165	0.3809673	0.6668051	0.6803973	0.0400946	0.4912300	0.7030762	0.3985896	0.5004832	0.6183667	0.4156377	0.1526977	0.4124692	0.4166025	0.4500526	0.5494216	0.0599100	0.1239720	0.6403640	0.5286501	0.6519468	0.6817470	0.2736957	0.0539680	0.8197750	0.6332148	0.3322210	0.2052925	0.2520696	0.3937534	0.7546642	0.0055782	0.0999503	0.6490701	0.6656092
0.1762172	0.6566943	0.4731945	0.2853416	0.5812744	0.6114024	0.2810439	0.0634758	0.6560038	0.2767953	0.2852586	0.0205823	0.5986616	0.0065160	0.1974689	0.7019861	0.6661278	0.0056236	0.3377299	0.0424931	0.6289256	0.6321668	0.6376411	0.6896576	0.7126910	0.6742026	0.7643745	0.5420542	0.0400184	0.1753793	0.0607335	0.0055379	0.2190881	0.5830068	0.8198774	0.5136733	0.2754970	0.3399250	0.1761828	0.6847113	0.2641689	0.0011268	0.3183123	0.5251739	0.4943943	0.1578006	0.4186505	0.0380873	0.5134342	0.7872751	0.4038431	0.7438873	0.5426435	0.6684101	0.1561414	0.6569810	0.6952984	0.0047626	0.0368699	0.0000000	0.0238982	0.3230506	0.1912624	0.2166320	0.0205124	0.0060237	0.0550537	0.6929352	0.0596676	0.0315316	0.5087638	0.0000000	0.5343022	0.0016568	0.7169308	0.0534614	0.5844707	0.5942714	0.0038079	0.5058868	0.7262781	0.1839308	0.3680187	0.7347930	0.4577643	0.7420662	0.6811526	0.7308093	0.6653051	0.6504442	0.0259185	0.3552091	0.7035087	0.6783948	0.0174507	0.0032767	0.0863472	0.6328431	0.0399069	0.6212117
