G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.1124810	0.6521677	0.4211856	0.2610448	0.6600444	0.7331801	0.2740231	0.0667078	0.7191428	0.1621916	0.1953148	0.5912057	0.0648080	0.0136029	0.1018107	0.3777362	0.5848708	0.2633806	0.1224228	0.5938618	0.8011664	0.5299190	0.7707351	0.5768730	0.7760851	0.7339671	0.6892401	0.5754876	0.0343388	0.1926201	0.0519360	0.0706500	0.2140782	0.7146519	0.6514567	0.3779598	0.6754769	0.3253654	0.2282384	0.6983933	0.4175063	0.5245435	0.5293257	0.7237690	0.4532888	0.1277855	0.3819257	0.0992769	0.1901522	0.3982922	0.5153577	0.7164796	0.6832066	0.6897841	0.0781527	0.2940601	0.1900527	0.4513754	0.5241426	0.6282919	0.1166389	0.6746276	0.0623406	0.2809978	0.4462056	0.0042326	0.3435690	0.8617340	0.0659498	0.0502278	0.4109281	0.7207183	0.3804801	0.5559385	0.6489485	0.4078662	0.1525463	0.4234690	0.3608657	0.4204364	0.5883449	0.0028751	0.0645434	0.0197541	0.6180073	0.6125468	0.6464990	0.3425897	0.0446545	0.6368798	0.6322886	0.2627626	0.2076648	0.2837478	0.4215896	0.7570161	0.0023979	0.0953836	0.7137965	0.7303092
0.3107485	0.3580970	0.2643994	0.5701505	0.5333788	0.3988016	0.5527269	0.1411427	0.7174483	0.1576161	0.1790126	0.6979849	0.1090353	0.0108631	0.0914630	0.3563071	0.4832778	0.2724820	0.0928904	0.7007662	0.7088260	0.6753935	0.5417178	0.7113033	0.6437329	0.7249909	0.7088722	0.6968256	0.0228580	0.1854578	0.0299747	0.0483627	0.1267316	0.6619398	0.6752036	0.3784501	0.6459003	0.2986801	0.2053653	0.6256346	0.6186078	0.6691275	0.5341103	0.6137943	0.4406912	0.1788761	0.5383604	0.0591290	0.2564080	0.3355034	0.5916735	0.7003538	0.6807222	0.7719653	0.0827093	0.4030298	0.3321056	0.5605556	0.5338321	0.7569352	0.1109259	0.5846201	0.0771160	0.2111678	0.4014506	0.0002449	0.3486870	0.7316900	0.0390339	0.1093480	0.5488590	0.7015313	0.3802534	0.4733999	0.6680933	0.4644505	0.1037309	0.3148046	0.3604666	0.4281391	0.6931051	0.0157100	0.0633106	0.0126563	0.6381893	0.6703041	0.6834251	0.3284911	0.0582187	0.7021920	0.6052545	0.2728630	0.1677531	0.2170354	0.4332783	0.5804604	0.0080329	0.0874417	0.5569604	0.7168982
0.1713149	0.6650976	0.2275707	0.2178394	0.5189829	0.6964154	0.1968869	0.0403248	0.5872897	0.1570972	0.2554645	0.6525781	0.0905095	0.0277875	0.1196444	0.4262740	0.4138476	0.2169597	0.1258173	0.6977848	0.6962947	0.6905199	0.7719212	0.5622052	0.6464719	0.6034598	0.5898270	0.5770509	0.0307046	0.1521985	0.0545830	0.0865460	0.1901803	0.7285714	0.6471684	0.4957756	0.7236158	0.3354947	0.2100393	0.6222169	0.4032608	0.6403988	0.6154421	0.6428527	0.4215132	0.2537184	0.4617331	0.0251768	0.2285864	0.3446623	0.5377100	0.6816876	0.7272548	0.7055218	0.0346239	0.3519048	0.3420652	0.4335333	0.6147038	0.7874491	0.0877406	0.5635575	0.0745628	0.2204490	0.3355232	0.0014073	0.3427401	0.6490537	0.0508421	0.0604248	0.4439113	0.6216417	0.2984767	0.5413171	0.7589463	0.5382907	0.1376724	0.3696640	0.3833246	0.4565653	0.5795889	0.0044506	0.0523544	0.0115060	0.6461600	0.6304609	0.7764483	0.2741591	0.0658633	0.7507368	0.5592007	0.2900232	0.1840088	0.2030948	0.4319291	0.6197737	0.0338923	0.1363153	0.7469080	0.7875178
0.1698849	0.6453775	0.5531657	0.0845553	0.6984259	0.5616686	0.1776900	0.0585920	0.7047320	0.1384472	0.2647544	0.6617032	0.0890360	0.0092300	0.1974508	0.4364578	0.5073691	0.2483771	0.0764516	0.5802742	0.7386561	0.6452326	0.6908082	0.7252482	0.6638013	0.6267990	0.7179298	0.5846945	0.0334886	0.1555304	0.0423470	0.1027719	0.1575579	0.6930836	0.7854736	0.3983819	0.5790309	0.3457024	0.2737681	0.6278728	0.4319038	0.7081955	0.6533986	0.5538930	0.4144950	0.1295807	0.3945537	0.0664761	0.1957530	0.4729829	0.4831466	0.6295346	0.7943832	0.6269292	0.0779465	0.2659155	0.3107971	0.4639710	0.6038545	0.7427731	0.0832019	0.6033513	0.0578748	0.2788180	0.3718161	0.0003886	0.2166942	0.6553869	0.0508038	0.0573657	0.6368429	0.6722877	0.2865153	0.5895726	0.6657185	0.4107477	0.0607714	0.3262456	0.4868234	0.4670887	0.7253494	0.0113479	0.0851240	0.0072911	0.6087583	0.7220943	0.7278612	0.3041784	0.0421118	0.7679131	0.6643396	0.2812837	0.1447176	0.2522668	0.4263255	0.5686847	0.0101567	0.0775867	0.6781923	0.6443116
0.1978333	0.5931026	0.3996904	0.2390877	0.2832674	0.6552403	0.2275213	0.0991326	0.7032536	0.1719627	0.2287468	0.6102655	0.0774231	0.0118753	0.1096948	0.3158564	0.4990591	0.2365828	0.1047916	0.6050198	0.5826292	0.5493350	0.7264364	0.7565841	0.6828898	0.8859504	0.6760589	0.5709036	0.0486391	0.1889912	0.0451210	0.0367310	0.2337001	0.6012559	0.6233320	0.5181249	0.6244694	0.2916788	0.1913917	0.7536334	0.3780982	0.5766294	0.5450965	0.6628407	0.4315330	0.2914116	0.3893574	0.0941915	0.2073896	0.3754601	0.4725931	0.6284192	0.6875017	0.6734807	0.0643868	0.3184347	0.2717087	0.4559645	0.5866541	0.6144647	0.0605706	0.7570052	0.0362359	0.3171569	0.4104647	0.0001736	0.2731182	0.7043391	0.0832203	0.0920239	0.4687830	0.8269030	0.4212121	0.5703585	0.7139107	0.3708956	0.1455089	0.3708541	0.3820105	0.3933407	0.7431986	0.0010801	0.0837755	0.0253228	0.6746322	0.7783965	0.7685495	0.3444412	0.0700648	0.5960996	0.6053695	0.3599991	0.1388393	0.2181061	0.4564279	0.6107789	0.0049533	0.1649213	0.6870566	0.7549654
0.1450730	0.7244085	0.4423177	0.2385875	0.6625541	0.3198261	0.2240910	0.0337007	0.7003267	0.2419442	0.1996048	0.7100694	0.1173323	0.0571970	0.1508113	0.3266320	0.5254830	0.2112936	0.0509164	0.7211298	0.7608985	0.5231284	0.7193174	0.5685309	0.6370849	0.6450476	0.5899360	0.6628613	0.0451007	0.1522769	0.0666047	0.0748640	0.2260459	0.7342689	0.6887062	0.4014408	0.6785312	0.3340186	0.2444681	0.5484210	0.3490386	0.5679321	0.6274183	0.5696472	0.4603517	0.1871727	0.3784184	0.0518482	0.2259697	0.4492306	0.5417055	0.5921242	0.6602215	0.8821652	0.0652230	0.2615683	0.2884390	0.4776690	0.6918934	0.6538368	0.0828387	0.6988722	0.0737900	0.2352334	0.4308407	0.0117684	0.4597847	0.5896001	0.0478525	0.0294615	0.5025480	0.7445223	0.3221420	0.6884892	0.8064265	0.4127603	0.1258280	0.4659341	0.5298636	0.4717762	0.7476571	0.0122644	0.0710499	0.0064363	0.6904994	0.6545141	0.7029180	0.3142891	0.0660697	0.6230759	0.6723114	0.3218823	0.1809217	0.1197353	0.4420697	0.6674436	0.0171781	0.0984251	0.5339161	0.8472170
0.1626571	0.8271073	0.3896473	0.2330205	0.5880428	0.6751281	0.1208272	0.1011176	0.5981002	0.1390116	0.1740279	0.6501395	0.0897119	0.0170038	0.1375458	0.4247456	0.5751913	0.2926196	0.0958668	0.5990966	0.7247429	0.6233981	0.6439938	0.7136223	0.7317689	0.6634033	0.5375254	0.6069268	0.0224993	0.1459298	0.0180609	0.0855605	0.2218205	0.7993546	0.6200036	0.3732560	0.7635963	0.3191814	0.2507865	0.5897089	0.4880140	0.6969323	0.6901694	0.5977226	0.4708828	0.1788588	0.5278767	0.0420187	0.2190610	0.4650149	0.4877646	0.7305463	0.7213523	0.5915614	0.0919118	0.3256389	0.2394282	0.3882403	0.5695824	0.6553298	0.1047006	0.6904481	0.0867024	0.2922673	0.3858200	0.0015531	0.3123489	0.7404990	0.0462624	0.0402027	0.4806385	0.6905554	0.4231266	0.5406643	0.7430544	0.4216761	0.1589072	0.3059813	0.4194521	0.5788271	0.5333047	0.0133034	0.0468329	0.0058001	0.6502952	0.5979538	0.6836855	0.4015921	0.0314976	0.6520044	0.6585823	0.2506886	0.1716221	0.2111798	0.3489255	0.6245306	0.0105398	0.1014786	0.5828833	0.6775542
0.2622880	0.6861996	0.3251906	0.2240909	0.7205328	0.6527198	0.2868595	0.0347566	0.6155366	0.1591095	0.2208067	0.6316973	0.1135599	0.0200507	0.1210773	0.3791152	0.4232814	0.3767540	0.0826380	0.6150350	0.5997872	0.5662364	0.6668427	0.6898046	0.6154037	0.6643461	0.6869688	0.5388804	0.0387666	0.1789161	0.0542925	0.1128934	0.2265779	0.7149218	0.7862974	0.4614295	0.6284956	0.3334217	0.2050475	0.6861923	0.5321722	0.6679561	0.6468336	0.6108956	0.3863387	0.1724656	0.6445356	0.0187545	0.2377061	0.4181942	0.4841480	0.6619420	0.6773632	0.5860533	0.0440014	0.2498127	0.2820180	0.4544267	0.6542901	0.6213677	0.1029374	0.6388217	0.0683008	0.1486893	0.3541288	0.0000521	0.3778848	0.7323087	0.0708301	0.0174800	0.5558861	0.8076756	0.2708882	0.6199064	0.7580431	0.4969719	0.0671490	0.3865886	0.3344831	0.3768785	0.6042650	0.0106021	0.0969317	0.0051306	0.8751809	0.5393234	0.6746472	0.2643229	0.0980253	0.7271797	0.5591995	0.3200840	0.1589373	0.1580048	0.4523641	0.5904392	0.0184741	0.0827672	0.5895702	0.5323820
0.1437814	0.7488281	0.3362835	0.1832315	0.6769098	0.7026943	0.2407199	0.0163933	0.3395830	0.3433131	0.4674219	0.6640389	0.3240558	0.0237485	0.2178400	0.4905639	0.4530473	0.4025500	0.0434359	0.6996493	0.6221900	0.5367447	0.6982813	0.5949812	0.7028687	0.6603516	0.4674785	0.6170590	0.0325536	0.1286432	0.0507393	0.1357590	0.2152771	0.7213465	0.7295028	0.4000255	0.7484273	0.3512150	0.1855476	0.6065753	0.6988946	0.5716440	0.4858319	0.6479539	0.2255100	0.1649617	0.5606210	0.0302406	0.2268370	0.1056560	0.5063665	0.6836409	0.7191531	0.5571427	0.0409746	0.3879631	0.3405757	0.3822989	0.4839785	0.6593750	0.0550423	0.7912396	0.0813141	0.1988357	0.3012242	0.0063981	0.2817863	0.7880461	0.2842673	0.0675188	0.5320467	0.5751849	0.3124624	0.5656615	0.6506297	0.3341426	0.1183471	0.3479002	0.3353485	0.4510587	0.7588884	0.0099489	0.0686081	0.0070917	0.5603757	0.7165276	0.5974389	0.3265855	0.0694639	0.6666807	0.5579965	0.4397905	0.1825363	0.2531328	0.3621274	0.5370550	0.0125113	0.1050338	0.6903949	0.6284263
0.2391634	0.7033552	0.3579894	0.2038197	0.5952632	0.7802498	0.2759217	0.0724901	0.8886216	0.1095626	0.2965811	0.7376197	0.1257155	0.0094680	0.1589113	0.3681070	0.4041996	0.2294296	0.1153002	0.6625992	0.7366120	0.7002332	0.7546456	0.5853128	0.6172742	0.6602042	0.7484574	0.5915061	0.0400238	0.0878252	0.0487377	0.0508328	0.2070254	0.8318402	0.7664393	0.4475630	0.6518565	0.3658075	0.1897212	0.6758283	0.4208170	0.6224208	0.6383577	0.5331228	0.4830216	0.1378150	0.4476607	0.0364348	0.2221369	0.4730612	0.5102762	0.7928007	0.6706992	0.6579670	0.0456383	0.2908299	0.3280812	0.4377166	0.5884671	0.7135229	0.0943508	0.6876289	0.0927082	0.2784242	0.4693384	0.0006427	0.2897059	0.7621802	0.0398092	0.0551725	0.4207249	0.6475523	0.3532651	0.5925373	0.6802957	0.3633762	0.1325972	0.3526595	0.4582601	0.4728083	0.5631538	0.0079108	0.0834011	0.0118669	0.5692543	0.8401863	0.7577371	0.3143795	0.0553775	0.8074760	0.6909843	0.2567501	0.2798699	0.2655198	0.4026927	0.7112647	0.0043915	0.1139392	0.6137280	0.5397199
