G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.0000000	0.5378963	0.3765242	0.1720517	0.5948369	0.5821515	0.1836770	0.1103155	0.6723682	0.1172039	0.1802564	0.7330025	0.0938263	0.0239024	0.1255741	0.4059009	0.5485899	0.2908632	0.1104135	0.7177284	0.5961794	0.6747833	0.8293174	0.6425235	0.6139168	0.6091452	0.6268759	0.5849887	0.0280105	0.1289725	0.0235561	0.0372969	0.2212121	0.7065576	0.7542029	0.4239429	0.6416425	0.3107744	0.2027430	0.6695135	0.5589258	0.7241368	0.5720672	0.6446799	0.4691124	0.1504766	0.5786189	0.0431330	0.2258399	0.4192353	0.4914289	0.5339654	0.7951328	0.6707798	0.0449617	0.2550623	0.3622665	0.4263406	0.5153691	0.7441294	0.0681219	0.6864067	0.0478060	0.1789199	0.2970450	0.0028530	0.3439060	0.6526828	0.0345153	0.0330434	0.4249502	0.7294588	0.3616970	0.5218560	0.6273854	0.3893977	0.1203285	0.2938449	0.4068936	0.5068111	0.6816927	0.0115159	0.1010121	0.0095487	0.6168334	0.6199948	0.7398929	0.3757769	0.0364573	0.6770731	0.6215128	0.2543654	0.2002479	0.2349472	0.4049871	0.5231671	0.0129877	0.0844541	0.6420334	0.7301331
0.7115516	0.0000000	0.0305769	0.5435171	0.0216765	0.0859605	0.7257764	0.2458274	0.7063803	0.2006426	0.1927698	0.5782385	0.0902732	0.0069758	0.1379371	0.4671916	0.4743038	0.2617786	0.1203676	0.6590103	0.6664173	0.7057686	0.6618600	0.6290941	0.6539116	0.7251774	0.5696242	0.5287419	0.0198188	0.1616785	0.0502706	0.0986898	0.1636486	0.6314554	0.7909609	0.4702247	0.7915301	0.4067039	0.2038797	0.7339871	0.5002668	0.6715879	0.5311967	0.7338622	0.3811827	0.2030861	0.4409874	0.0940106	0.2333752	0.4558076	0.5711432	0.6678077	0.6984408	0.7040884	0.0787568	0.2560044	0.2529158	0.4526785	0.5660347	0.7046421	0.1012333	0.6905853	0.0730663	0.2304514	0.4175498	0.0054092	0.2824786	0.7515298	0.0370867	0.0507904	0.4932938	0.6575623	0.2942533	0.5934610	0.7252382	0.4616074	0.0713585	0.4108237	0.3581397	0.3968026	0.6878797	0.0057466	0.0581371	0.0126841	0.8008926	0.6298740	0.5840072	0.3118566	0.0581885	0.5675633	0.6404813	0.3635893	0.1647945	0.2166860	0.3629273	0.5521606	0.0181824	0.1289263	0.5267574	0.6123842
0.1749032	0.6180479	0.0000000	0.2347298	0.6701618	0.5585838	0.2157918	0.0481996	0.7328460	0.1620965	0.2256682	0.6511969	0.0890858	0.0278399	0.1832544	0.4362281	0.3998596	0.2309181	0.0956403	0.5703594	0.6035924	0.6699471	0.6800465	0.7324220	0.6351939	0.7505052	0.5855362	0.5145886	0.0308217	0.1527082	0.0398984	0.0601343	0.1904880	0.6612534	0.6836170	0.4606031	0.6610207	0.3585062	0.1914187	0.7448637	0.3906380	0.6614313	0.6917662	0.6327104	0.3880207	0.2053938	0.3939367	0.0478643	0.3160321	0.4246629	0.4340583	0.6109082	0.6211360	0.7229282	0.1254548	0.2811828	0.3447652	0.3765770	0.5489131	0.4893080	0.0968676	0.6765290	0.0475292	0.1970635	0.4446427	0.0007617	0.3279851	0.6076516	0.0376948	0.0353146	0.5681299	0.6797935	0.3396018	0.5788387	0.6985489	0.3089920	0.0977287	0.3432972	0.4301576	0.5001028	0.5528559	0.0110686	0.0611538	0.0054744	0.6463112	0.6640798	0.5439987	0.3544802	0.1305703	0.6198174	0.6969090	0.3601621	0.2237706	0.2356508	0.4016329	0.5608180	0.0158636	0.0904691	0.6834160	0.7141274
0.1552520	0.6317980	0.3928267	0.0000000	0.5826026	0.6204116	0.3742629	0.0470349	0.6414447	0.1710107	0.1683089	0.7376490	0.0872261	0.0091730	0.1486868	0.4089902	0.4896794	0.2435248	0.0725990	0.7030292	0.6517858	0.6004250	0.6567629	0.7149032	0.7001393	0.6763122	0.6491292	0.5057089	0.0268950	0.1613795	0.0591143	0.0705197	0.2052626	0.8121137	0.6725609	0.3989135	0.6662934	0.3430033	0.2638856	0.6971122	0.5633976	0.7134039	0.6061900	0.7111796	0.4519174	0.1522967	0.3935039	0.0573229	0.2931996	0.4263537	0.5628115	0.6742079	0.7060483	0.6908223	0.0463449	0.3167425	0.3950214	0.5170908	0.4969038	0.7581934	0.0776327	0.7061919	0.0173443	0.2122317	0.3340283	0.0003446	0.2877870	0.6339899	0.0377606	0.0555385	0.4088487	0.6428762	0.3022854	0.5176023	0.7867834	0.4097626	0.0486208	0.3251524	0.4468678	0.4546855	0.7181320	0.0071341	0.0335693	0.0097016	0.6000737	0.7798830	0.7433065	0.3429620	0.0369935	0.6925331	0.6250035	0.3933363	0.2240395	0.1827467	0.5068198	0.7527521	0.0042079	0.0678142	0.6986880	0.6567467
0.1570260	0.7007744	0.5569150	0.2098045	0.0000000	0.6718541	0.1834035	0.0544870	0.6637991	0.1487155	0.2044345	0.6513586	0.0813669	0.0306425	0.1363543	0.4110269	0.5018058	0.2813056	0.0922027	0.7057143	0.6456084	0.7191358	0.7270679	0.5445716	0.6647455	0.7169119	0.6446291	0.5707268	0.0311907	0.1225994	0.0336302	0.0742064	0.2071022	0.7088150	0.7354141	0.4119967	0.6970541	0.3580480	0.1924681	0.6115360	0.5710900	0.6236305	0.5822075	0.6864198	0.4870889	0.1190407	0.4260656	0.0583255	0.1995185	0.5100053	0.6125803	0.5879236	0.8430410	0.6760884	0.0615665	0.2938230	0.2639286	0.4724194	0.5933829	0.6305686	0.0888940	0.7534739	0.0506380	0.1918172	0.3815797	0.0003082	0.3815608	0.7099670	0.0453446	0.0535946	0.4534209	0.6669791	0.2214833	0.5554618	0.6132282	0.4377040	0.0433533	0.3416580	0.4712480	0.3719084	0.6452292	0.0062092	0.0781780	0.0094798	0.6905873	0.6295548	0.6890189	0.2299469	0.0687509	0.6823037	0.6770822	0.2563635	0.1698594	0.2090708	0.4330836	0.5582484	0.0119444	0.0516313	0.6093143	0.6944706
0.2141946	0.6720969	0.3232848	0.2785992	0.5553733	0.0000000	0.3923084	0.0391544	0.6840599	0.1496744	0.1836534	0.6390361	0.1534055	0.0089364	0.1049903	0.3900567	0.4847004	0.2776855	0.1138249	0.6434430	0.6082744	0.5622831	0.7039010	0.6131168	0.5986916	0.5583974	0.7172266	0.7364475	0.0334554	0.1201911	0.0272197	0.0523509	0.1421756	0.6692476	0.6944117	0.3802384	0.7926440	0.3908226	0.2564086	0.6606302	0.4797560	0.6766308	0.6373191	0.5149062	0.4544074	0.1124690	0.3346556	0.0532296	0.2383723	0.3806731	0.5654045	0.7045673	0.7090788	0.5397208	0.0445130	0.3325103	0.2000741	0.4962828	0.7649931	0.6753138	0.0578432	0.6763129	0.0731523	0.2594527	0.3063735	0.0025601	0.3607289	0.6984984	0.0548901	0.0190874	0.4300584	0.6722085	0.4083694	0.6788671	0.7241122	0.4687679	0.1711487	0.3618245	0.4767544	0.3737045	0.5344666	0.0124737	0.0872393	0.0102164	0.6102827	0.6802171	0.6075278	0.3280922	0.0445372	0.5681066	0.6614400	0.3667448	0.2330663	0.1897706	0.3939061	0.5377296	0.0198513	0.0798057	0.6791691	0.6459893
0.1300985	0.6073033	0.3471424	0.2552616	0.5222278	0.6004946	0.0000000	0.0438737	0.7292372	0.2369086	0.2342208	0.7499654	0.0969019	0.0078110	0.1470851	0.3300942	0.4539776	0.2822518	0.1190733	0.6903252	0.8054904	0.6175094	0.6270447	0.6409597	0.6680163	0.6859413	0.6106582	0.5937420	0.0249623	0.1425825	0.0222012	0.1050959	0.1597963	0.6816511	0.7294519	0.4024932	0.7099280	0.3152886	0.2213541	0.6462762	0.4243552	0.6298414	0.6639611	0.6776290	0.5015929	0.1028561	0.3949039	0.0479852	0.2434218	0.3568318	0.5011426	0.5867615	0.6982003	0.6565995	0.0525374	0.2712262	0.3090245	0.3649538	0.6005112	0.5800651	0.0553478	0.7072954	0.0655931	0.2144808	0.4886468	0.0016667	0.3076521	0.7050353	0.0320516	0.0354981	0.5448710	0.7696159	0.3455257	0.5433967	0.6855321	0.3842433	0.1452931	0.2609805	0.4775407	0.3761509	0.6427109	0.0072277	0.0850027	0.0066020	0.5908657	0.6987158	0.6259303	0.3729587	0.0653645	0.5790735	0.6411940	0.2994215	0.1673009	0.1925134	0.4131869	0.6094070	0.0007555	0.0891099	0.6324157	0.6792800
0.2249588	0.6269992	0.3726292	0.2646416	0.7004187	0.7307958	0.1933948	0.0000000	0.6202601	0.1410566	0.2561698	0.5730030	0.1043561	0.0029635	0.1312853	0.4189468	0.3686198	0.2796902	0.0547232	0.5944208	0.6476932	0.5796228	0.5641697	0.6495558	0.6796133	0.7282892	0.6359879	0.6277348	0.0500042	0.1312789	0.0643009	0.0888889	0.1664887	0.6813249	0.6935644	0.3900968	0.6337390	0.2909191	0.2042601	0.7593989	0.4848043	0.7145572	0.5771418	0.6081512	0.4307475	0.1739754	0.4768557	0.1054380	0.2239257	0.3576517	0.4800711	0.5035688	0.6443691	0.7066542	0.0640423	0.2920617	0.3006749	0.4491231	0.5962569	0.6980038	0.0578398	0.6113261	0.0568091	0.1998068	0.5047619	0.0086969	0.2724897	0.5511099	0.0731241	0.0151040	0.5141973	0.6154760	0.3223197	0.4791298	0.7262734	0.3966517	0.0816683	0.3181314	0.3118948	0.4199424	0.6339056	0.0103752	0.0840286	0.0125683	0.6110597	0.7044941	0.7376089	0.2741454	0.0788667	0.6586543	0.6383984	0.3537755	0.1951158	0.2136439	0.4417243	0.6708862	0.0153569	0.0831021	0.7202649	0.7200241
0.1296374	0.7090077	0.4092629	0.1673239	0.6092696	0.6537250	0.2029580	0.0108288	0.0000000	0.6081785	0.5900315	0.0737139	0.6808181	0.7259586	0.5826754	0.4018646	0.0030479	0.5728888	0.0217364	0.3319614	0.6337601	0.5006658	0.6873902	0.6579635	0.7199545	0.0421525	0.0236432	0.6407283	0.0274207	0.9003232	0.4220420	0.3399888	0.1757749	0.0275939	0.7235155	0.5720416	0.4086275	0.4411579	0.1952682	0.6242066	0.6319118	0.0003662	0.4124016	0.5563888	0.1412124	0.2099593	0.2328942	0.0396357	0.2690798	0.0096963	0.4786992	0.6140968	0.7196740	0.0096100	0.0438173	0.7043469	0.2503511	0.6517138	0.5981873	0.7033213	0.1033152	0.5337582	0.0341979	0.1819050	0.4108897	0.0047789	0.2978286	0.7442672	0.5840980	0.0356420	0.3661203	0.6887347	0.2966384	0.5114487	0.6864219	0.3985747	0.0949826	0.4131542	0.4166952	0.4871290	0.6261148	0.0061929	0.0923347	0.0034755	0.5519427	0.7611880	0.7165088	0.3120423	0.0725493	0.5868007	0.6529710	0.3014486	0.1340367	0.2043090	0.3034852	0.6188739	0.0071221	0.0872224	0.7047989	0.6088310
0.1659509	0.6778284	0.4727206	0.2421144	0.6079436	0.6582481	0.2471213	0.0508231	0.5864235	0.0000000	0.1657710	0.7538561	0.0964343	0.0095556	0.1458927	0.4182342	0.5319181	0.3278673	0.0642173	0.7189610	0.6624376	0.5753177	0.7278289	0.5647182	0.5984779	0.8037220	0.6501876	0.6465998	0.0417710	0.1828897	0.0343387	0.0737132	0.1535108	0.7247658	0.7493958	0.5319902	0.6094306	0.2996950	0.2609273	0.5762264	0.4426337	0.6853672	0.6196827	0.5996238	0.4740101	0.1951617	0.4394351	0.0632651	0.1786208	0.4530455	0.5056646	0.6335621	0.6433041	0.6306477	0.0794157	0.3130517	0.2856195	0.4347184	0.4609376	0.6735777	0.0757298	0.6131423	0.0773266	0.2037308	0.4704303	0.0005750	0.2752026	0.6176231	0.0406203	0.0345603	0.5351536	0.6236996	0.3793611	0.4989552	0.7151724	0.4966116	0.0802790	0.5014007	0.4311706	0.3932959	0.6209355	0.0117119	0.0661236	0.0038604	0.5830668	0.8168324	0.6723884	0.2523428	0.0660085	0.6296662	0.6630392	0.3116734	0.1554705	0.1783146	0.3767300	0.6776367	0.0310384	0.0761877	0.7179882	0.7225437
