G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.0212222	0.6536685	0.5766565	0.2228527	0.5777230	0.5194915	0.1800241	0.2224291	0.7437025	0.0788284	0.2359661	0.6813418	0.0766022	0.0072560	0.1226605	0.2938403	0.3334879	0.2467169	0.0738328	0.6715093	0.4653661	0.7798450	0.6753174	0.5791094	0.6881608	0.5605582	0.6172974	0.5413290	0.0844962	0.1102652	0.0000646	0.0111922	0.1806248	0.7315946	0.8000909	0.4698414	0.6827982	0.1155227	0.1435931	0.6148279	0.4848345	0.6312097	0.5469159	0.5189449	0.3043071	0.2940353	0.2723126	0.0024342	0.2887093	0.4796486	0.4176671	0.3418610	0.5928410	0.6091773	0.0048795	0.2566158	0.2959932	0.5287217	0.5609506	0.6190226	0.0878956	0.6615213	0.1191935	0.2916475	0.3808665	0.2937823	0.3274962	0.7477810	0.0298208	0.0800808	0.4913327	0.7057708	0.3153309	0.4970181	0.6701668	0.4402407	0.0886301	0.4011411	0.4404308	0.5160509	0.5457571	0.0515459	0.1075494	0.0191359	0.5348843	0.5764946	0.6270473	0.3267636	0.0172666	0.5523815	0.6864442	0.4750891	0.1856551	0.1899522	0.3613359	0.5112731	0.1046795	0.0910911	0.6168350	0.3763396
0.1937291	0.6790367	0.5209525	0.1754365	0.5135272	0.7779625	0.1838178	0.2139453	0.7795107	0.1731447	0.1782098	0.6703696	0.0617819	0.0111214	0.1148090	0.2024081	0.7915335	0.3381839	0.0805683	0.6864305	0.6401660	0.6510545	0.5613859	0.5836737	0.7744509	0.6470354	0.7015271	0.6863656	0.0144593	0.0669760	0.0001743	0.0045545	0.1719335	0.7068117	0.6519209	0.4553111	0.5678161	0.4039652	0.1947419	0.7082652	0.4065047	0.7085406	0.6151788	0.6598193	0.3474445	0.1231129	0.3181637	0.0041805	0.1760641	0.5183615	0.7025265	0.6530087	0.5666162	0.6876570	0.0690577	0.2933265	0.3915653	0.3582173	0.6714992	0.5946427	0.0102881	0.5315715	0.1450904	0.2225389	0.4269778	0.0000319	0.3073478	0.5763921	0.0674417	0.0505393	0.7113305	0.7189254	0.2901753	0.5639058	0.7321182	0.5060253	0.1084293	0.4810502	0.5441008	0.6468551	0.6237842	0.0061971	0.0599224	0.0006991	0.6044877	0.6449828	0.6898791	0.3451129	0.0332599	0.5933336	0.6046755	0.1958349	0.1539566	0.2529173	0.5188422	0.5607033	0.0000055	0.0483764	0.7262903	0.6523801
0.0180008	0.7179202	0.3470400	0.2346600	0.6825227	0.7359722	0.2965972	0.0338647	0.5011953	0.2059676	0.3258228	0.7599569	0.0543682	0.0084148	0.0463605	0.1849302	0.4812363	0.1444046	0.1201677	0.6169569	0.4897320	0.5609421	0.7455701	0.5777607	0.7355875	0.5676795	0.6464389	0.5171612	0.0437858	0.1675304	0.0169515	0.0231980	0.1187945	0.6358280	0.6837646	0.6612016	0.5695139	0.3659755	0.2139717	0.5833584	0.4571388	0.6758356	0.6637161	0.5546630	0.5226034	0.2290161	0.2491603	0.0289446	0.2589721	0.3208468	0.5768464	0.5862988	0.6746891	0.5138822	0.0715758	0.3443008	0.6004742	0.4030638	0.3694818	0.6379291	0.0152063	0.8199712	0.2143384	0.2608207	0.5522313	0.0011638	0.4023387	0.6828145	0.0854873	0.0245042	0.4647757	0.6644791	0.2782052	0.5731840	0.6293288	0.3430667	0.1303275	0.3122762	0.4163917	0.4877080	0.5979458	0.0284214	0.0000665	0.0089536	0.6939428	0.5508045	0.6296044	0.3415506	0.0637755	0.4128743	0.6084497	0.3004814	0.1882276	0.1781470	0.3706719	0.6606451	0.0023716	0.1398640	0.6251621	0.7100654
0.1706280	0.5385111	0.3266168	0.2912762	0.6768169	0.6253005	0.3254897	0.1803725	0.5010035	0.1752282	0.1961752	0.6200858	0.0824618	0.0027224	0.2106499	0.0484451	0.6662200	0.3058681	0.0619658	0.6593131	0.2051780	0.6756826	0.5846446	0.4996667	0.5567213	0.7792085	0.7121446	0.3063565	0.3841417	0.1927439	0.3197562	0.0995894	0.2665235	0.7237964	0.6126085	0.4669002	0.5810179	0.2551560	0.2591674	0.7009794	0.4815319	0.7216341	0.6123686	0.2234948	0.1576618	0.4764381	0.5225712	0.0602695	0.2249223	0.3416078	0.4832471	0.2164532	0.5654737	0.6303904	0.0006871	0.3681974	0.1266344	0.3343336	0.5544204	0.6476329	0.3083322	0.6540928	0.6459033	0.1928098	0.3102889	0.0000379	0.2872714	0.7599245	0.0464586	0.0275476	0.3658500	0.6946492	0.3301765	0.5081760	0.6850254	0.3911663	0.0530763	0.1430502	0.4244001	0.3960108	0.5810959	0.0000628	0.0388651	0.0000763	0.6549002	0.6867126	0.6291787	0.3105393	0.0566613	0.3990243	0.6925061	0.6897321	0.1282752	0.2290870	0.3993919	0.6390874	0.0008342	0.0742831	0.6582805	0.7236591
0.3544819	0.2649900	0.1651558	0.3896552	0.4302988	0.2455599	0.5863179	0.0571234	0.6893117	0.1267364	0.2780013	0.7412497	0.0713333	0.0097602	0.1548690	0.1908838	0.2974204	0.2410628	0.0671519	0.6767536	0.5726580	0.6039047	0.5896810	0.6617779	0.4913305	0.5697638	0.5802058	0.6035331	0.0440377	0.1984371	0.4362012	0.0125101	0.1470832	0.6493682	0.4787043	0.2798070	0.6573290	0.1628557	0.2320218	0.6780070	0.4848554	0.6337133	0.6658248	0.5325740	0.3327421	0.1687873	0.6289469	0.0078123	0.3661216	0.3547710	0.5458889	0.5322598	0.6123767	0.6451994	0.0546204	0.3085731	0.1609420	0.3433328	0.4615970	0.6783137	0.2714744	0.6741529	0.3406543	0.2497180	0.4863150	0.2168229	0.2954812	0.5571651	0.0482983	0.0002814	0.4787685	0.7770749	0.2841359	0.6888759	0.6492317	0.3974741	0.0812839	0.3498236	0.3806124	0.3318247	0.6961386	0.0030903	0.0235462	0.0002818	0.7328916	0.7742413	0.5051940	0.3133313	0.0939993	0.6343588	0.6026931	0.2503717	0.1969660	0.1704795	0.3582914	0.6780790	0.1302917	0.0911149	0.6508974	0.6934484
0.1886509	0.8740390	0.2847547	0.1832105	0.5808248	0.6014502	0.2033473	0.0020315	0.1323756	0.5045757	0.2446949	0.6271988	0.6492411	0.0519331	0.2541678	0.2408286	0.0669324	0.5745738	0.0025783	0.5159872	0.7903285	0.5085858	0.6957218	0.5634251	0.4196211	0.5710559	0.3006615	0.6176207	0.0266742	0.1216761	0.0935497	0.2973519	0.2349714	0.6783847	0.7521042	0.1017335	0.5324244	0.3415770	0.2137913	0.7586430	0.7611963	0.1394709	0.3915796	0.6860547	0.0562715	0.2463209	0.3636412	0.0203724	0.1653622	0.0106247	0.2259646	0.6333757	0.7101479	0.1309592	0.0557745	0.5113690	0.2444706	0.3038467	0.5288366	0.6173255	0.1082299	0.4672072	0.0211226	0.1324841	0.3657718	0.0472099	0.2720361	0.6616419	0.5474315	0.0239946	0.6169978	0.7072816	0.1675140	0.6333752	0.7671585	0.5800827	0.0293018	0.3258172	0.4891981	0.4272503	0.5711744	0.0129983	0.0356188	0.0133509	0.6073263	0.7480372	0.5877760	0.1404800	0.0309589	0.5592918	0.6087566	0.2511960	0.0544632	0.1816860	0.3570433	0.5881722	0.0002059	0.0824628	0.7728297	0.6520754
0.2184299	0.5668989	0.4050816	0.3131425	0.5690251	0.6306890	0.2691772	0.0501546	0.6615430	0.0513364	0.2266012	0.6009144	0.0599060	0.0199264	0.0775683	0.3414749	0.3856466	0.6002155	0.3057519	0.5461350	0.7363405	0.5660715	0.6713574	0.5648309	0.7721254	0.6019758	0.6956449	0.4626622	0.0698534	0.1348362	0.2208767	0.0903440	0.2303366	0.6042480	0.5436301	0.4606189	0.5447323	0.1979356	0.2031210	0.6580482	0.4791994	0.8584891	0.7279073	0.5739543	0.5180146	0.1934380	0.2631576	0.0024828	0.1449380	0.2844323	0.3368337	0.5256331	0.7206964	0.5326984	0.0529426	0.2482850	0.3348816	0.2560855	0.5804745	0.6448693	0.1141565	0.6374538	0.0401584	0.2154521	0.3176837	0.2903675	0.3416453	0.6411199	0.0823322	0.0501875	0.4580051	0.6248152	0.3058409	0.5239300	0.7296151	0.3242055	0.0553642	0.3646353	0.4579345	0.5016632	0.6139003	0.0105617	0.1123450	0.0018849	0.6590794	0.6609126	0.4445347	0.3622389	0.0502994	0.6265132	0.6008647	0.2393771	0.1816539	0.3015245	0.4669427	0.7000903	0.0001212	0.0781654	0.7530906	0.4424281
0.1060260	0.6448440	0.3174352	0.2007556	0.5940349	0.6057090	0.2731154	0.1634892	0.7174312	0.1351951	0.1995352	0.5440690	0.0441953	0.0221358	0.0402340	0.1926819	0.5346713	0.1155881	0.1207588	0.5637123	0.7176511	0.5272422	0.7615315	0.6996096	0.6522691	0.6754822	0.6586663	0.5091875	0.0170040	0.0308651	0.0839631	0.0707923	0.2419239	0.6830337	0.5068720	0.3336992	0.8141984	0.3433538	0.2402779	0.5581839	0.4194497	0.8236367	0.5883030	0.5155663	0.3841752	0.0751391	0.5042103	0.0150593	0.1978424	0.4356054	0.5868392	0.6700453	0.7579275	0.6973956	0.0698633	0.2778572	0.4027363	0.6173465	0.5581484	0.6333629	0.0450474	0.6741019	0.1845098	0.2341943	0.4232422	0.1624131	0.5552164	0.6574452	0.0378741	0.0015479	0.5450964	0.7385752	0.3060067	0.5829993	0.7567278	0.5260430	0.0824958	0.3174856	0.4511573	0.2956081	0.6293698	0.0093017	0.0443173	0.0113355	0.6856338	0.5983330	0.7129202	0.1682544	0.0628291	0.7509939	0.6890542	0.3068549	0.0871775	0.1029071	0.4366227	0.5593722	0.1879324	0.0772421	0.6780184	0.6896428
0.0430214	0.5473473	0.3956039	0.1622196	0.5898815	0.7795011	0.3004308	0.0195853	0.5116068	0.1627855	0.3733429	0.6429594	0.2320579	0.0091285	0.1364730	0.4409212	0.1521123	0.3374083	0.0878337	0.6613955	0.7838117	0.5553921	0.2838803	0.6698599	0.7164655	0.7440254	0.5726799	0.5245292	0.0111102	0.1373262	0.0712876	0.0365701	0.2039502	0.7419953	0.5622976	0.1540810	0.5622510	0.3006539	0.1810329	0.4899765	0.4254695	0.7223851	0.5463210	0.5295381	0.0575584	0.1908779	0.1907213	0.0114366	0.2124503	0.2505576	0.6478885	0.6545592	0.7117393	0.6079482	0.0470380	0.2882606	0.3019975	0.5963479	0.5213835	0.4901930	0.1213171	0.8527379	0.0446097	0.3220285	0.4379766	0.0001435	0.2976439	0.7947119	0.1151313	0.0541350	0.5762239	0.6880653	0.4652059	0.5775806	0.6630379	0.5120047	0.1082809	0.2385034	0.4341900	0.5192384	0.6477008	0.0444708	0.0000092	0.0016643	0.7411664	0.5721821	0.7528649	0.3223484	0.0601644	0.7302221	0.6376248	0.3374885	0.1620012	0.1447458	0.5195703	0.4498351	0.0001973	0.0762286	0.7666800	0.4767415
0.0811604	0.6603994	0.5036352	0.2318887	0.5500738	0.5530596	0.2274136	0.1565036	0.5198372	0.0307843	0.2201271	0.5950057	0.0984802	0.0211432	0.1586200	0.5747062	0.3888289	0.4127347	0.1534597	0.6334747	0.5525871	0.4528642	0.6635675	0.5168939	0.5897801	0.6364597	0.6618924	0.6369391	0.0525553	0.1585689	0.0011905	0.1430818	0.1991191	0.8076249	0.7585850	0.3826931	0.5454106	0.3383654	0.1025146	0.6148348	0.2567727	0.7351457	0.6157954	0.4465897	0.6575678	0.3264314	0.4596338	0.0813560	0.2449466	0.3053539	0.2297653	0.5216795	0.7567329	0.6897226	0.0849898	0.2887437	0.2851484	0.4668951	0.5326073	0.7142729	0.1300401	0.6436335	0.0038493	0.2368013	0.3735881	0.0029288	0.3872443	0.6129246	0.0661698	0.0002532	0.3659514	0.5593307	0.4777605	0.6914728	0.7100495	0.2417809	0.1954270	0.1985416	0.4316244	0.5337097	0.6670533	0.0164168	0.1003307	0.0116998	0.5328554	0.6147374	0.6315475	0.3799906	0.0213345	0.7413535	0.6229508	0.4644085	0.1465138	0.2072925	0.3554086	0.5614294	0.0909487	0.1002527	0.6517118	0.6257828
