"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100

0	0.1883558	0.7010108	0.4198697	0.2178626	0.4818024	0.5485484	0.2016562	0.0538638	0.6400223	0.2065667	0.2459469	0.7216758	0.1194472	0.0141594	0.1158433	0.3978676	0.4582848	0.3045035	0.1141685	0.7839188	0.6513391	0.6733880	0.6693119	0.6606870	0.6616276	0.6039676	0.7149905	0.5547305	0.0178289	0.1988547	0.0410274	0.0465401	0.1591865	0.6105406	0.7898308	0.4386580	0.6699491	0.3137197	0.2491533	0.6752124	0.4138603	0.6832963	0.7132516	0.6687980	0.4418846	0.1703368	0.4999660	0.0484928	0.1856294	0.3832798	0.6655686	0.7604729	0.6279420	0.6734718	0.0736699	0.3320053	0.2836297	0.4950922	0.5427150	0.5932418	0.0699978	0.6486978	0.0271441	0.2866833	0.4436391	0.0037018	0.3315141	0.7083455	0.0371419	0.0585980	0.5231238	0.7021969	0.2570444	0.4888377	0.8163006	0.4563970	0.0880539	0.3024806	0.3813662	0.3718970	0.5279122	0.0082625	0.0592982	0.0037576	0.5536359	0.6496697	0.6696362	0.3807519	0.0432256	0.7102234	0.5766435	0.3580969	0.1571498	0.2338324	0.4680994	0.6269749	0.0146261	0.1020669	0.6986878	0.6290236
50	0.1730457	0.7177330	0.6083277	0.2353516	0.5885389	0.5326542	0.1768691	0.0720097	0.7342756	0.1284012	0.1787107	0.7337537	0.1195127	0.0083392	0.1651962	0.4438505	0.4231227	0.2609913	0.1132154	0.6307934	0.6278737	0.6716247	0.5468951	0.6157534	0.6945141	0.6567065	0.7126854	0.5443419	0.0345992	0.2280532	0.0250680	0.0636334	0.2290426	0.6144587	0.7568539	0.3534918	0.7026238	0.2896731	0.1288690	0.6030765	0.4940372	0.7731089	0.6069772	0.4896578	0.4585031	0.1976702	0.3906040	0.1050457	0.3954328	0.3511047	0.4148858	0.6428517	0.6942235	0.6461426	0.0592164	0.2636673	0.2958026	0.4451629	0.5999012	0.6687378	0.0117427	0.5838190	0.0234544	0.1192698	0.3364853	0.0002912	0.3303869	0.5689227	0.0459615	0.0499427	0.5780666	0.7497643	0.1648631	0.5166526	0.2858260	0.5858011	0.0878589	0.2577813	0.3423536	0.4574090	0.6651531	0.0002401	0.0541800	0.0034595	0.7224713	0.5974126	0.5158549	0.2854941	0.0296588	0.3795494	0.6508053	0.0882761	0.1742695	0.1278713	0.3487519	0.7473473	0.2393926	0.0733643	0.5592211	0.6123779
100	0.1740146	0.5952660	0.5786752	0.3203780	0.6182955	0.6830202	0.2797412	0.0613099	0.6649870	0.1512717	0.1702142	0.7588037	0.0849447	0.0028237	0.1593682	0.4741850	0.1986607	0.3322145	0.0744651	0.6912171	0.7280233	0.6945843	0.6059422	0.5647631	0.6084486	0.6562512	0.6113290	0.5823651	0.0217111	0.1910077	0.0421649	0.0850503	0.1996251	0.6125095	0.6323847	0.2408969	0.6251986	0.3593169	0.1892868	0.5927663	0.4355582	0.6768019	0.6781734	0.6278772	0.4416655	0.1577879	0.3849230	0.0721734	0.5221164	0.3581631	0.5101969	0.6250936	0.7561807	0.5826402	0.0783590	0.1833218	0.2740529	0.4284589	0.5134332	0.6157576	0.0024010	0.7168132	0.0661685	0.2607255	0.4435188	0.0002180	0.2565740	0.7282548	0.0461334	0.0515992	0.4743944	0.8128546	0.1030794	0.5856044	0.2089465	0.5890931	0.1027664	0.3711386	0.4659219	0.4278262	0.4427787	0.0053889	0.0656240	0.0028824	0.5582848	0.5311420	0.6695778	0.2627905	0.0570023	0.3611434	0.6528893	0.0181530	0.1851255	0.1188828	0.5056532	0.7133880	0.2481192	0.0709375	0.6673132	0.4052543
150	0.1865404	0.6483837	0.4577585	0.2753392	0.6007332	0.7330382	0.2262865	0.0605172	0.6855149	0.1692357	0.1913698	0.6527346	0.0883775	0.0011478	0.1560229	0.4491326	0.1753357	0.2582450	0.0879064	0.7899578	0.7697240	0.6480830	0.6582580	0.7045953	0.5843109	0.6724902	0.6251821	0.6063415	0.0256734	0.1804711	0.0336897	0.0615747	0.1790958	0.5363863	0.6379704	0.2472191	0.6429240	0.4041082	0.2449376	0.7601547	0.5853060	0.6906611	0.5387576	0.5694765	0.3900942	0.1477781	0.4928008	0.0747341	0.4299318	0.4844157	0.3164432	0.7074718	0.6616624	0.8250749	0.0464925	0.1682278	0.1556780	0.4445043	0.5499610	0.6178340	0.0003503	0.5829712	0.0977345	0.2386136	0.5037200	0.0031766	0.2534499	0.6336141	0.1066697	0.0467351	0.5083746	0.6340847	0.1127783	0.5927886	0.1190514	0.6268852	0.1040766	0.3068349	0.4401138	0.4477657	0.3684370	0.0003310	0.1016682	0.0021495	0.6167099	0.5936985	0.5443986	0.2555696	0.0429958	0.3902165	0.6306012	0.0292517	0.1628701	0.0920353	0.4370024	0.6455139	0.2920674	0.0623835	0.6823951	0.3504540
200	0.1226794	0.6247497	0.5577587	0.2055594	0.6012034	0.5941482	0.1565051	0.0496539	0.7218126	0.1709535	0.1386317	0.5847249	0.1011537	0.0000000	0.1191709	0.3331650	0.1276420	0.2835684	0.0533614	0.6635290	0.6371262	0.6595700	0.6230400	0.7876286	0.6879651	0.6636961	0.6435440	0.6265376	0.0354143	0.1477378	0.0410817	0.0602474	0.1966696	0.6737370	0.6548904	0.2442882	0.6279803	0.3469710	0.2310273	0.7559579	0.4962092	0.6931873	0.6452634	0.6496325	0.4141381	0.1775905	0.3589719	0.0670152	0.5174563	0.4933701	0.3117514	0.5558831	0.7675190	0.5853596	0.0604970	0.1542797	0.1747435	0.3856556	0.5189902	0.7544128	0.0027624	0.6295754	0.0887725	0.2643601	0.5206858	0.0003861	0.2788214	0.7533377	0.0505743	0.0298356	0.5719376	0.7028523	0.0780830	0.7059312	0.1260232	0.6937665	0.1158136	0.3349210	0.3900591	0.5234517	0.1077175	0.0001447	0.0690435	0.0076941	0.5127954	0.5330875	0.6406298	0.2737531	0.0615984	0.3273611	0.7149654	0.0213128	0.2759519	0.1156469	0.3471463	0.7139554	0.3151178	0.0377520	0.6622693	0.3135229
250	0.2023750	0.7364864	0.5537925	0.2101715	0.6048737	0.6817121	0.2319261	0.0367686	0.5263011	0.1577318	0.1205031	0.6800909	0.1017666	0.0000000	0.1738209	0.3355770	0.1004853	0.1826191	0.1270755	0.5691114	0.6520415	0.7594878	0.7426796	0.6546422	0.5631379	0.6654295	0.6741493	0.6359017	0.0604521	0.1198317	0.0465559	0.0251812	0.1511242	0.6879173	0.6232977	0.2449200	0.7391602	0.3857172	0.2912779	0.7857668	0.4174520	0.5593579	0.6432566	0.6246565	0.4782564	0.2072251	0.4226400	0.0333470	0.5571273	0.4308564	0.3600731	0.5611420	0.7340483	0.6776316	0.0551322	0.2262337	0.2258326	0.3820380	0.4045631	0.6660073	0.0001280	0.6283227	0.0987702	0.3365971	0.4075461	0.0000591	0.2906149	0.6560521	0.0407074	0.0357229	0.4579429	0.7805658	0.1217088	0.5322717	0.1451583	0.6999350	0.1197410	0.2911118	0.4208143	0.4509020	0.1145882	0.0004907	0.0984073	0.0051683	0.6688599	0.4949728	0.5800606	0.3698560	0.0587222	0.3987605	0.5100469	0.0312107	0.2047444	0.0988207	0.4409481	0.7153529	0.3300470	0.0269312	0.5830890	0.3500680
300	0.1404139	0.6638415	0.6333054	0.1911869	0.6112240	0.5847000	0.1828527	0.0593461	0.6805563	0.1530184	0.1836366	0.6669053	0.0674101	0.0000396	0.1341853	0.4984563	0.2280186	0.2380147	0.0895739	0.7414323	0.7118813	0.6924860	0.6378197	0.6451183	0.5826319	0.6613180	0.5902174	0.6486893	0.0518475	0.1326125	0.0170731	0.0370352	0.1950270	0.6367431	0.6124515	0.2069964	0.6755832	0.3392274	0.2637664	0.7743936	0.3378069	0.6458350	0.6572795	0.5982498	0.4900985	0.2030161	0.4863670	0.0459804	0.5924554	0.4685698	0.4820486	0.5507729	0.7392586	0.7082621	0.0639791	0.1612166	0.2143122	0.4564276	0.5213779	0.7244399	0.0001957	0.6683200	0.1397895	0.3813846	0.4669668	0.0002802	0.3466381	0.8406212	0.0740535	0.0587755	0.5021515	0.6976274	0.1199038	0.5413191	0.1193980	0.6500904	0.1217110	0.4061906	0.3588114	0.4220624	0.1236113	0.0000043	0.1658937	0.0200406	0.5755893	0.5746929	0.6713796	0.3762927	0.0775630	0.3659665	0.5842774	0.0750167	0.2010186	0.0860620	0.3057188	0.5981557	0.3612148	0.0513580	0.4892898	0.3058960
350	0.2184647	0.6086106	0.5348546	0.2570498	0.6547381	0.4778933	0.1884218	0.0565567	0.5984404	0.1877876	0.1996724	0.6890842	0.1284673	0.0000005	0.1005805	0.3723716	0.2098420	0.2741668	0.1097612	0.6062975	0.5177612	0.7063868	0.5827783	0.6951956	0.6673318	0.7399949	0.7734268	0.6877415	0.0824421	0.1578327	0.0601353	0.0383820	0.2172514	0.6536906	0.7228693	0.3090717	0.7367964	0.2795621	0.1507548	0.6356607	0.3425550	0.6226626	0.5876651	0.5778204	0.5386098	0.1744313	0.4725846	0.0669277	0.4734650	0.5209307	0.2973716	0.6376978	0.7019434	0.6172079	0.0785617	0.1715235	0.2246220	0.5318009	0.4407586	0.7896491	0.0009244	0.7492275	0.0944757	0.2919314	0.4252403	0.0005950	0.3445852	0.6346862	0.0338635	0.0321127	0.4893636	0.6801223	0.1487271	0.5340015	0.1824615	0.5045604	0.1385687	0.3895565	0.3773603	0.3210491	0.0885156	0.0000646	0.1504935	0.0159655	0.6656492	0.5651138	0.5196829	0.3594965	0.0701162	0.4079259	0.6079949	0.0472011	0.2073381	0.0899404	0.3827788	0.6538363	0.4153657	0.0381291	0.6316669	0.3028619
400	0.1282036	0.7408475	0.5942619	0.2172740	0.6713737	0.5827476	0.2164498	0.0405142	0.6248720	0.1357463	0.1065998	0.7366777	0.0883154	0.0000835	0.1246132	0.3486357	0.1229628	0.2547844	0.0461241	0.6919802	0.6178883	0.7132153	0.7558374	0.7645890	0.6464766	0.7653325	0.7656618	0.6740628	0.0348845	0.1177848	0.0721412	0.0803956	0.1684222	0.7454162	0.6192225	0.2109229	0.7375337	0.3645045	0.1976456	0.7130551	0.4671125	0.8031519	0.6235872	0.7089064	0.4748550	0.0988009	0.3922340	0.0429582	0.4495989	0.3740969	0.2492956	0.7122157	0.7064615	0.6543567	0.1004445	0.1830063	0.1834661	0.4157094	0.5944932	0.6352140	0.0000000	0.7339081	0.0908590	0.3227787	0.3455414	0.0032495	0.3030714	0.5458355	0.0370985	0.0639459	0.5605384	0.6667250	0.1040143	0.6739326	0.1369946	0.7177089	0.0766534	0.3205785	0.4807746	0.4339391	0.0879379	0.0002756	0.0867009	0.0010649	0.5613170	0.5650478	0.5089827	0.2509427	0.0288891	0.3360654	0.6504648	0.0251533	0.1800858	0.0575618	0.3484056	0.6748124	0.4664977	0.0475580	0.5902750	0.3591383
