G882	G1357	+
G882	G795	-
G882	G804	-
G882	G725	+
G882	G136	-
G882	G1079	+
G882	G1364	-
G882	G389	+
G882	G828	-
G882	G135	+
G882	G887	-
G882	G1206	+
G882	G397	+
G882	G36	+
G882	G895	+
G882	G1094	-
G882	G1227	-
G882	G56	+
G882	G607	-
G882	G633	+
G882	G1064	-
G1336	G1164	+
G1471	G1041	+
G703	G873	+
G703	G742	-
G703	G752	-
G703	G830	+
G703	G857	+
G703	G682	+
G703	G743	-
G703	G787	+
G703	G1403	+
G703	G356	+
G703	G1281	-
G703	G756	-
G703	G126	-
G703	G35	+
G703	G933	+
G703	G805	-
G703	G116	-
G703	G34	-
G703	G1053	+
G703	G1420	+
G703	G371	-
G703	G150	+
G703	G1559	-
G703	G972	-
G703	G392	-
G703	G1352	+
G703	G916	+
G703	G1038	-
G703	G1574	+
G703	G596	-
G703	G719	-
G703	G1182	+
G703	G228	+
G703	G797	-
G703	G707	-
G703	G785	-
G703	G1517	-
G703	G1476	+
G703	G608	-
G703	G503	+
G703	G945	-
G703	G268	-
G703	G385	-
G703	G1506	+
G703	G628	-
G703	G753	+
G703	G1419	+
G703	G852	-
G703	G1411	-
G703	G1235	+
G703	G1091	+
G703	G1160	-
G703	G925	-
G703	G1511	-
G703	G380	-
G703	G426	-
G703	G859	+
G703	G1510	-
G703	G913	+
G703	G321	-
G703	G1039	+
G703	G982	+
G703	G1497	+
G703	G301	-
G703	G432	+
G1279	G482	+
G1279	G186	-
G1279	G835	+
G1279	G93	+
G1279	G448	-
G1279	G915	+
G1279	G651	+
G1279	G1521	-
G1368	G1454	+
G1368	G938	+
G1368	G249	-
G1368	G1046	-
G1368	G980	-
G1368	G1579	-
G1368	G1102	-
G1368	G877	-
G1368	G1599	-
G1368	G1524	+
G1368	G737	-
G1368	G1582	-
G1368	G790	+
G1368	G143	+
G1368	G809	-
G1368	G246	+
G1368	G1053	+
G1368	G660	-
G1368	G422	+
G1368	G711	-
G1368	G1093	+
G1368	G371	-
G1368	G1442	-
G1368	G932	-
G1368	G586	-
G1368	G866	+
G1368	G470	-
G1368	G141	+
G1368	G245	+
G1368	G558	+
G1368	G1300	+
G1368	G429	-
G1368	G1249	+
G1368	G548	+
G1368	G509	+
G1368	G622	-
G1368	G763	+
G1368	G18	-
G1368	G304	+
G1368	G113	-
G1368	G973	+
G1368	G1390	-
G1368	G152	+
G1368	G831	+
G1368	G1455	+
G1368	G156	+
G1368	G1179	+
G1368	G667	+
G1368	G642	-
G1368	G803	+
G1368	G1487	-
G1368	G1394	+
G1368	G945	-
G1368	G268	-
G1368	G385	-
G1368	G959	+
G1368	G700	-
G1368	G378	-
G1368	G1000	+
G1368	G1560	-
G1368	G1392	+
G1368	G86	-
G1368	G578	+
G1368	G380	-
G1368	G479	+
G1368	G621	+
G1368	G1413	-
G1368	G1297	-
G1368	G340	-
G1368	G1290	+
G1368	G979	+
G1368	G697	-
G1368	G306	+
G1368	G681	+
G1368	G1447	-
G1368	G840	+
G1368	G808	+
G1368	G997	+
G1368	G324	-
G1368	G432	-
G168	G1021	-
G168	G647	+
G168	G348	-
G168	G94	+
G168	G568	-
G168	G896	+
G168	G784	+
G168	G497	-
G168	G298	-
G168	G637	+
G168	G358	-
G168	G706	-
G168	G641	+
G168	G1263	+
G168	G257	+
G168	G196	-
G168	G492	+
G168	G1356	-
G168	G1484	-
G168	G5	-
G168	G72	+
G168	G137	-
G168	G537	+
G168	G586	+
G168	G447	+
G168	G313	+
G168	G364	+
G168	G100	+
G168	G187	-
