G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100	G101	G102	G103	G104	G105	G106	G107	G108	G109	G110	G111	G112	G113	G114	G115	G116	G117	G118	G119	G120	G121	G122	G123	G124	G125	G126	G127	G128	G129	G130	G131	G132	G133	G134	G135	G136	G137	G138	G139	G140	G141	G142	G143	G144	G145	G146	G147	G148	G149	G150	G151	G152	G153	G154	G155	G156	G157	G158	G159	G160	G161	G162	G163	G164	G165	G166	G167	G168	G169	G170	G171	G172	G173	G174	G175	G176	G177	G178	G179	G180	G181	G182	G183	G184	G185	G186	G187	G188	G189	G190	G191	G192	G193	G194	G195	G196	G197	G198	G199	G200
0.6363726	0.7603127	0.3112892	0.5994945	0.6279732	0.3938133	0.7016051	0.0223561	0.6152655	0.0686355	0.0538329	0.6848711	0.6379266	0.6264574	0.0063879	0.7978993	0.7209266	0.6327483	0.5276746	0.3553111	0.7909962	0.0000000	0.6445682	0.0026792	0.6449535	0.6888143	0.3619987	0.3465189	0.6879735	0.6651611	0.6951635	0.1181176	0.0716461	0.7066013	0.5131287	0.0649670	0.7291241	0.0694283	0.7278227	0.6790445	0.6442773	0.6630059	0.5205186	0.6753732	0.0664473	0.0311073	0.4164775	0.7711059	0.8175427	0.3290769	0.3355834	0.6421780	0.5919963	0.1024419	0.0496920	0.4398435	0.7713042	0.5665420	0.7200153	0.6831468	0.0920580	0.0862184	0.7458085	0.6560986	0.5408174	0.0618631	0.7610867	0.1051048	0.3016827	0.0029775	0.0369435	0.0000000	0.6373144	0.7547230	0.1563000	0.0090615	0.5783934	0.7134248	0.6433249	0.3420281	0.0347074	0.0090886	0.7729399	0.7327983	0.0588497	0.6367703	0.6136151	0.0721557	0.6754730	0.5979195	0.6152795	0.6790107	0.0043041	0.6526123	0.0586129	0.6748722	0.5463148	0.7557744	0.1181888	0.3417240	0.6670923	0.0717361	0.6700626	0.2782052	0.0502387	0.0158990	0.7065349	0.0200083	0.7426786	0.6817066	0.4971888	0.6258547	0.3679708	0.8020957	0.6360142	0.0173584	0.5573085	0.6534863	0.1031069	0.0594239	0.4106212	0.0315781	0.6806763	0.7721531	0.1191153	0.4777028	0.0190343	0.6721492	0.5038892	0.3812111	0.0672936	0.4976395	0.0995276	0.5079749	0.6187264	0.5557194	0.0856382	0.6897121	0.7522801	0.6934960	0.1494621	0.6971995	0.4122088	0.0564958	0.2408196	0.1779975	0.3336962	0.1159197	0.5975328	0.5794363	0.4597426	0.7801531	0.7479613	0.2697956	0.3076209	0.3871260	0.5531142	0.5119707	0.2105173	0.2198739	0.1976146	0.3064444	0.2956197	0.6614452	0.2985426	0.3777389	0.0162961	0.7401403	0.3487472	0.2250497	0.2899667	0.5959657	0.4547624	0.6883681	0.0731052	0.6969187	0.7135340	0.0319880	0.2556404	0.1400784	0.4821324	0.2691425	0.3292374	0.5431880	0.2288415	0.6437673	0.0625511	0.4842780	0.1052031	0.2016297	0.7111922	0.0049008	0.2562610	0.0458576	0.7479231	0.5846650	0.2203583	0.2803402	0.0405818	0.4347791
0.0381960	0.0000000	0.0275369	0.0236859	0.0049700	0.5111603	0.3602004	0.0246014	0.0390058	0.0631650	0.7284057	0.4789117	0.6416109	0.6860370	0.0024003	0.7445615	0.0240058	0.7013137	0.0157368	0.7149950	0.7389649	0.0000000	0.6019730	0.0029526	0.0151586	0.1610368	0.5605194	0.5911837	0.6333519	0.7522425	0.7318227	0.0467112	0.0912303	0.2573212	0.0007852	0.3693743	0.6970804	0.1216301	0.6022669	0.6182464	0.7841785	0.0507375	0.2702964	0.3743993	0.6823956	0.0111342	0.3922298	0.7218056	0.6855572	0.2310063	0.6021191	0.5639044	0.8606808	0.0088867	0.4247883	0.4442102	0.0283853	0.7579410	0.7574864	0.7289972	0.6623823	0.0581086	0.7384774	0.6169007	0.8300301	0.0788759	0.3435638	0.7753521	0.2524707	0.4698108	0.7948874	0.6124933	0.7908201	0.5978880	0.8006327	0.0080862	0.8416583	0.5642265	0.0479632	0.4062036	0.0925495	0.7080644	0.0349202	0.6749641	0.0241207	0.8117372	0.0431185	0.0450621	0.8116708	0.7194866	0.5460115	0.4484338	0.5124709	0.6165135	0.1294284	0.2466409	0.0201788	0.1694038	0.3717457	0.2635371	0.7021126	0.8067896	0.7851142	0.4036833	0.0173189	0.3323741	0.3804719	0.0042204	0.2233308	0.0507053	0.2664706	0.6977175	0.4575637	0.5997095	0.7181603	0.0205284	0.5537522	0.6728782	0.0985507	0.0762020	0.4135051	0.0184477	0.7378055	0.6797690	0.0792712	0.4680058	0.0206636	0.6318930	0.6718115	0.4859828	0.0634008	0.0078979	0.1515261	0.0832666	0.2592479	0.5950942	0.1041187	0.6798622	0.6515719	0.7333583	0.1944868	0.5699400	0.7094783	0.0406017	0.2433897	0.0037271	0.3430514	0.0482333	0.7175658	0.5645328	0.5715141	0.7564422	0.6645494	0.2979627	0.4157829	0.3818459	0.6776351	0.5272554	0.2031100	0.2148373	0.1877886	0.4055977	0.3790428	0.6361288	0.2645841	0.2654967	0.0114362	0.6110153	0.4222504	0.2170977	0.2692346	0.5661768	0.0288465	0.6274195	0.8330125	0.6865684	0.6881450	0.7867435	0.2133573	0.1445545	0.7859741	0.1707494	0.3310288	0.6305333	0.1847435	0.6963719	0.0039986	0.4586587	0.1330981	0.2753853	0.5760483	0.0000600	0.1918707	0.0431961	0.6204173	0.6651821	0.2256947	0.7165443	0.0353804	0.3892175
0.5478445	0.7733732	0.2754456	0.5587612	0.5591838	0.4174969	0.3834743	0.0000000	0.6688717	0.0296958	0.0748655	0.6860780	0.6585082	0.6110875	0.0016659	0.6942960	0.7127287	0.7242282	0.6227627	0.6261931	0.6155712	0.0000000	0.0284972	0.0003136	0.5810218	0.1922343	0.2648938	0.3030811	0.6776956	0.7059215	0.7432872	0.0997496	0.0095104	0.2936697	0.5056867	0.0818886	0.7139594	0.0582519	0.5117307	0.7265237	0.8210228	0.6166728	0.4324629	0.7727038	0.1560782	0.0155948	0.4277182	0.6785541	0.8274771	0.2188496	0.5734965	0.4703593	0.5774516	0.0272606	0.4522488	0.3707035	0.6686117	0.6941794	0.6305105	0.8631439	0.0911817	0.1195987	0.6760953	0.6196339	0.6521899	0.0588834	0.2900490	0.0787731	0.2607256	0.4310028	0.0610753	0.8426489	0.5958686	0.6528371	0.1859579	0.0076506	0.7074692	0.6449149	0.0966158	0.3024811	0.0685669	0.6797668	0.5327172	0.8871258	0.0343006	0.5677997	0.6035948	0.0644470	0.7292440	0.6528789	0.9158654	0.4274326	0.4829668	0.6047909	0.0184580	0.3042056	0.5074904	0.1907242	0.2836885	0.3562245	0.7136553	0.0465684	0.6062390	0.3822045	0.0478181	0.0758481	0.3118172	0.0049912	0.1014994	0.5591779	0.2265447	0.7392059	0.4249853	0.6291632	0.7286505	0.0382585	0.6113749	0.6892694	0.0846763	0.0380429	0.3274763	0.0103082	0.5799936	0.7805339	0.1019907	0.3760187	0.0100513	0.6925691	0.6412776	0.4390630	0.1001929	0.4453175	0.0588198	0.3281304	0.1889815	0.4916964	0.1226661	0.6421840	0.6255090	0.7849504	0.1333967	0.6906640	0.4191152	0.0359290	0.2391655	0.0008894	0.2578395	0.1084152	0.7899684	0.7109721	0.4477754	0.6810545	0.7091472	0.3681384	0.3236300	0.5207981	0.5573045	0.6011126	0.7212662	0.1931809	0.1816635	0.2481504	0.4136174	0.6224818	0.3165759	0.3221216	0.0080358	0.6746031	0.3652327	0.1889795	0.2238308	0.6744233	0.4766889	0.8836075	0.1007473	0.7608636	0.6470647	0.0138896	0.2236377	0.1621178	0.5541176	0.2008371	0.4559642	0.6211552	0.2406799	0.6929036	0.0449047	0.4098458	0.0928248	0.2327595	0.5709012	0.0055929	0.1957870	0.0600683	0.6355895	0.7135934	0.2467213	0.2953296	0.0581483	0.4587961
0.5352498	0.6300501	0.3065912	0.5963729	0.6262595	0.4092911	0.5878253	0.0000000	0.5771776	0.0403979	0.0600952	0.6361714	0.6950035	0.6862312	0.0011064	0.6229414	0.7022435	0.7452690	0.5429866	0.3637660	0.6872537	0.0322483	0.0515699	0.0020856	0.6699431	0.6764415	0.1754066	0.4331099	0.6144965	0.6480516	0.7533023	0.0910696	0.0149361	0.6963107	0.5620271	0.1439555	0.6700915	0.0928172	0.6536178	0.6888573	0.6644785	0.6421587	0.4656770	0.6654861	0.0606177	0.1810770	0.3674325	0.8245486	0.8017435	0.2428262	0.3080028	0.6100299	0.7686668	0.0588655	0.0298739	0.3321484	0.7433873	0.6298002	0.6934313	0.7756739	0.1042445	0.0582885	0.6248019	0.6688499	0.4108869	0.0303308	0.7379697	0.0597705	0.2661952	0.0102524	0.0409705	0.0000000	0.6828159	0.6501140	0.1873701	0.0602290	0.6624849	0.7306545	0.5561564	0.3207272	0.0992393	0.0023693	0.5771750	0.7747624	0.0325905	0.6533200	0.6258102	0.0501385	0.7280431	0.6451946	0.7930167	0.6079186	0.0011451	0.6332073	0.0099111	0.7159920	0.3641851	0.7693125	0.1374221	0.3838067	0.6590606	0.0847236	0.5621772	0.4204685	0.0422602	0.0117856	0.7343533	0.0111772	0.7287495	0.7026462	0.2819814	0.5620754	0.3551082	0.7231006	0.7238967	0.0199031	0.5839678	0.6688596	0.0685947	0.0498373	0.4438939	0.0259617	0.7761124	0.6498560	0.0774542	0.5596194	0.0723094	0.6795832	0.7716585	0.5149493	0.0543663	0.4407308	0.0996329	0.4517929	0.6085973	0.5306741	0.1725655	0.6146880	0.8346631	0.8167648	0.1694160	0.5889733	0.3828608	0.0384250	0.2640472	0.1610454	0.3437882	0.0892417	0.7845836	0.6818663	0.4985456	0.5968062	0.5942951	0.2438678	0.3247868	0.4574088	0.6356354	0.5562429	0.4126449	0.1658292	0.1764243	0.2846142	0.3590143	0.5824127	0.3359938	0.3068686	0.0057130	0.5733789	0.4058517	0.2897551	0.2448089	0.6337146	0.5957711	0.7335558	0.1052820	0.7058227	0.5737116	0.0146400	0.3426321	0.1547182	0.5084638	0.1696034	0.3738895	0.6368603	0.2332880	0.6804402	0.0349552	0.5062860	0.1302611	0.1564863	0.5939338	0.0028629	0.1871865	0.0437687	0.6141796	0.5983881	0.2167217	0.2681588	0.0522906	0.3553528
0.0152317	0.0000000	0.0308710	0.0090177	0.0398696	0.4066626	0.4307144	0.0280339	0.0272731	0.0794351	0.7683368	0.3931572	0.6640338	0.6216138	0.0006173	0.6842322	0.0095169	0.8515375	0.0207341	0.3419474	0.7479638	0.0053400	0.7344406	0.0069170	0.0083007	0.7323736	0.8205386	0.6147554	0.6289410	0.7193231	0.6979257	0.1108400	0.0550792	0.7785454	0.0015763	0.2861449	0.7333434	0.0774814	0.6985863	0.6444437	0.6783870	0.0957773	0.2653755	0.4205095	0.6463306	0.0138386	0.3878224	0.7453222	0.6924559	0.2245144	0.2960150	0.6322617	0.7257843	0.0652362	0.0385784	0.5122880	0.0193041	0.6831912	0.6727403	0.5955806	0.6684123	0.0618000	0.5904954	0.7511242	0.5747785	0.0483194	0.2449005	0.7800205	0.2774791	0.0031457	0.5205004	0.0000000	0.6980333	0.7732849	0.7180832	0.2007581	0.5972840	0.7347404	0.6732893	0.3506099	0.0733440	0.0031296	0.0289782	0.6528852	0.0652765	0.8239569	0.0298154	0.0756233	0.7148294	0.7943423	0.7733695	0.6806001	0.0010794	0.6308995	0.0763017	0.7004552	0.0185980	0.6732831	0.1609719	0.3839443	0.7677356	0.7984897	0.7413152	0.3285882	0.0392743	0.4587344	0.6938202	0.0100221	0.6715664	0.0145406	0.3245195	0.5879158	0.3550369	0.7670796	0.7886772	0.0175106	0.8359536	0.6500304	0.1033623	0.0629548	0.4234007	0.0309224	0.6182562	0.7563645	0.1081144	0.4588437	0.0231206	0.6474294	0.6148248	0.4021870	0.0832512	0.0109754	0.1105942	0.2216472	0.6643831	0.4959390	0.1634272	0.6129069	0.8124862	0.6979511	0.1421566	0.6452303	0.6168794	0.0308395	0.3339340	0.1756553	0.3032690	0.0602281	0.7484962	0.6763750	0.4759526	0.5813100	0.7893427	0.2795935	0.2688729	0.4801426	0.7040745	0.6927496	0.2793480	0.1908644	0.1746590	0.3211991	0.3703507	0.4531510	0.3159553	0.3205415	0.0108796	0.7022805	0.3865089	0.2076932	0.2706112	0.7180521	0.0272269	0.6871768	0.6249562	0.8360653	0.7776507	0.6367517	0.2920542	0.1194278	0.6819481	0.2278709	0.3497289	0.5308455	0.2651365	0.6420378	0.0060712	0.4665236	0.0690947	0.2701370	0.7040182	0.0015497	0.2856221	0.0640971	0.7031442	0.6311611	0.2383450	0.5486896	0.0186534	0.3473695
0.0266026	0.0000000	0.0427503	0.0164259	0.0195407	0.5681035	0.3681807	0.0000000	0.0335800	0.0508182	0.8015533	0.4733403	0.7051644	0.8219724	0.0040216	0.6032054	0.0128076	0.6581289	0.0124133	0.6717285	0.6574588	0.0285175	0.0553387	0.0003580	0.0220040	0.4963135	0.7279225	0.5935814	0.6538911	0.6525355	0.7701819	0.0826255	0.0137150	0.3432555	0.0096422	0.3243497	0.7072353	0.0693448	0.5879279	0.6174375	0.7207334	0.0662811	0.2927236	0.1157340	0.6841787	0.0221905	0.4758637	0.6784653	0.7693639	0.2534219	0.5608088	0.5913277	0.6765323	0.0176584	0.3240622	0.4202883	0.0217985	0.7477556	0.7650252	0.7243571	0.7510660	0.0796598	0.7546516	0.7037197	0.6481353	0.0418509	0.2708182	0.7665941	0.3647527	0.5029314	0.7262536	0.7532438	0.6914959	0.7850552	0.8865258	0.2301133	0.7170450	0.6107716	0.0543551	0.3367820	0.0970112	0.5369702	0.0433046	0.7987001	0.0438491	0.7184002	0.0311169	0.0360318	0.6281221	0.6574804	0.7853232	0.2934218	0.3984110	0.7570783	0.0267869	0.1649028	0.0159488	0.1169104	0.2643385	0.3299397	0.1976162	0.5601649	0.6504799	0.2725038	0.0245679	0.4158192	0.2991148	0.0085274	0.1242550	0.0363535	0.4361878	0.6818974	0.3342976	0.6464048	0.7443204	0.0126897	0.5336629	0.6796255	0.0394832	0.0483856	0.4145523	0.0242632	0.6316316	0.7174935	0.0663544	0.4414762	0.0310334	0.7077392	0.6627915	0.4440046	0.0436507	0.0068545	0.1038554	0.1082621	0.2407141	0.5672148	0.1545311	0.6792981	0.7028217	0.6681656	0.1526496	0.7375680	0.6621867	0.0471781	0.2646846	0.0102381	0.4017074	0.0525147	0.7530217	0.6948901	0.5125266	0.5902678	0.7901257	0.3785653	0.3145865	0.4710809	0.5447412	0.4576413	0.2762396	0.1470189	0.1898106	0.3298263	0.3612524	0.6413875	0.4222225	0.2833831	0.0286368	0.6445940	0.4183312	0.2242345	0.2248863	0.5829317	0.0322322	0.7050300	0.6959618	0.6524044	0.6698030	0.6506339	0.2940085	0.1383521	0.8047741	0.2485644	0.3029469	0.5227119	0.2021923	0.6348705	0.0224468	0.4558980	0.0809699	0.2061150	0.5932029	0.0014180	0.3241042	0.0452146	0.7302342	0.7131043	0.2012503	0.6569360	0.0284071	0.3276224
0.0265341	0.0000000	0.0558224	0.0224649	0.0316923	0.4368608	0.4344656	0.0292170	0.0251340	0.0786240	0.6027271	0.4735663	0.6984790	0.6337560	0.0003518	0.6168401	0.0088018	0.6861420	0.0061525	0.7211458	0.2874236	0.0061388	0.5482451	0.0018964	0.0314573	0.5350008	0.5569760	0.7123551	0.5971533	0.6962591	0.6369373	0.0748485	0.0824588	0.2941602	0.0074751	0.3081500	0.7607148	0.0680991	0.5885135	0.7983014	0.6250309	0.0806839	0.0377886	0.1618563	0.7220482	0.0174965	0.4636927	0.8561624	0.6727451	0.2428061	0.3918987	0.5543432	0.6198214	0.0126341	0.3709582	0.3963486	0.0229983	0.6471873	0.6324144	0.7207699	0.6471041	0.1178163	0.6427694	0.7157252	0.7233960	0.0605873	0.2803206	0.6617953	0.3624088	0.6027532	0.5924653	0.6728838	0.7018710	0.6825364	0.7115845	0.2816091	0.7028336	0.7245328	0.0464791	0.3534867	0.0723511	0.6578567	0.0271742	0.7851730	0.0233632	0.7913544	0.0127431	0.0421054	0.6935369	0.7406596	0.7844056	0.2816112	0.5817362	0.8248912	0.0743842	0.2596293	0.0377368	0.0849368	0.4100478	0.4216228	0.2029978	0.7700793	0.6421959	0.2672888	0.0144156	0.3624769	0.2669861	0.0175175	0.1388546	0.0290968	0.4694854	0.7063555	0.3474875	0.7385160	0.0000000	0.5822265	0.0390577	0.6007621	0.0941742	0.1032985	0.3905849	0.7070656	0.8157600	0.7028984	0.6510275	0.4270834	0.0601071	0.6859168	0.6587377	0.5201702	0.0687091	0.0069150	0.0761320	0.0705639	0.1998661	0.5802066	0.2003688	0.5960795	0.5988589	0.6305493	0.1264667	0.7373764	0.6043228	0.6644200	0.2371742	0.0010051	0.3932553	0.0911774	0.6779569	0.6076021	0.4291896	0.5962308	0.6394534	0.7653607	0.2953324	0.3667959	0.8156997	0.5644285	0.2754167	0.1274899	0.1872722	0.3042510	0.3552595	0.6109176	0.6404468	0.7681529	0.0359326	0.6496503	0.3411297	0.2104444	0.2694940	0.0689810	0.0180065	0.6800351	0.6183076	0.6697864	0.7971584	0.7824337	0.3082178	0.1763606	0.3967577	0.1673941	0.3641064	0.5793843	0.2311880	0.6999119	0.0062876	0.4356455	0.0977124	0.2407306	0.7510544	0.0035659	0.2020292	0.3422340	0.6433654	0.4678421	0.2558006	0.6270126	0.0400859	0.3381702
0.6273943	0.7290357	0.3318768	0.4639469	0.7891802	0.4891257	0.3877275	0.0538953	0.5610923	0.0460632	0.0927633	0.7003887	0.7680909	0.7030109	0.0251294	0.6919935	0.7954642	0.6987475	0.5538205	0.6510165	0.6169529	0.0000000	0.6324231	0.0048093	0.5723111	0.1721649	0.2072521	0.4417297	0.5573147	0.6732652	0.6443947	0.0855824	0.0805603	0.2161259	0.4136633	0.1101762	0.6876835	0.0744498	0.6098710	0.5858626	0.5929179	0.6290946	0.3954888	0.6506656	0.0903137	0.0036373	0.4143279	0.6691961	0.8089372	0.3205038	0.3464103	0.5823533	0.7485975	0.0204168	0.3447029	0.3160292	0.7342816	0.5865570	0.5747909	0.6810342	0.0965672	0.0532264	0.7489980	0.6513006	0.5653108	0.0678163	0.3653181	0.0635284	0.3061987	0.5180917	0.0320478	0.6638791	0.7557189	0.7269349	0.1322352	0.0139223	0.7618487	0.6332481	0.0736197	0.3353545	0.1114149	0.5081226	0.5604676	0.6981519	0.0194139	0.6726227	0.7068690	0.0490615	0.7849192	0.6112043	0.5897357	0.4459522	0.5217961	0.6890801	0.1467951	0.2963338	0.5059177	0.1671075	0.3728088	0.2428617	0.6934777	0.0496565	0.5706926	0.4085693	0.0236531	0.0472025	0.2843537	0.0035653	0.1303524	0.7199576	0.3250521	0.6722667	0.3983370	0.7279918	0.0000000	0.7560943	0.0730904	0.8592158	0.1027408	0.0477726	0.4637771	0.7285191	0.7169011	0.7619420	0.6947786	0.3934134	0.0493728	0.5652698	0.7492689	0.4097719	0.0675921	0.4453512	0.1131452	0.0954577	0.2692042	0.5450684	0.1566456	0.6504644	0.6517109	0.6454787	0.1091747	0.7351987	0.2896310	0.7709539	0.2957174	0.0062623	0.3435375	0.0974109	0.7475221	0.7770261	0.4201715	0.6601145	0.7914256	0.5917652	0.2860546	0.5478881	0.6989453	0.5962760	0.6029685	0.1551950	0.1812962	0.2395201	0.3044340	0.5557760	0.7918011	0.8344478	0.0380315	0.6514712	0.2434657	0.1640798	0.3695764	0.0929634	0.4407739	0.9000671	0.1023986	0.7315707	0.5848790	0.0240262	0.2349234	0.1714260	0.0519977	0.1969711	0.3542898	0.5413413	0.4246647	0.6164901	0.2354944	0.3563590	0.0827237	0.1701488	0.5327011	0.1069386	0.2353145	0.3407001	0.6848937	0.5791636	0.4071001	0.6453134	0.0262012	0.3731307
0.5702252	0.7001871	0.3716712	0.3988521	0.6146567	0.4128998	0.5197998	0.0244090	0.6644051	0.0809359	0.0375013	0.5230865	0.7424844	0.5227844	0.0006021	0.8055979	0.6778918	0.6779430	0.5807654	0.6225643	0.7466609	0.0000000	0.5926353	0.0015833	0.7459218	0.1687796	0.1929289	0.3986642	0.6530708	0.7100989	0.7578991	0.3537742	0.1794202	0.1819255	0.3807549	0.1247139	0.6281144	0.0897759	0.0013464	0.6674522	0.6131558	0.7007998	0.3625579	0.7864805	0.0892176	0.0159875	0.1985806	0.8714406	0.6561513	0.2602010	0.4853642	0.5458716	0.6985682	0.0363292	0.3266587	0.4125221	0.6554297	0.6983702	0.5315190	0.6501837	0.0809385	0.1019710	0.7120089	0.5832728	0.7985621	0.0428876	0.3612440	0.0755324	0.2771150	0.6293506	0.0586158	0.6954296	0.7283580	0.6533305	0.1038761	0.0397221	0.5980863	0.7109267	0.0831067	0.4367082	0.0608163	0.5665629	0.6300290	0.7282786	0.0210892	0.8419822	0.5455040	0.0589087	0.6380543	0.6872627	0.6236898	0.2979932	0.4162393	0.7410973	0.1043230	0.2405613	0.4463085	0.1610423	0.6214492	0.2917188	0.6983919	0.0465744	0.6657731	0.4498141	0.0509665	0.0548682	0.2471103	0.0164362	0.2642104	0.6532074	0.2434679	0.7863878	0.2801405	0.6947006	0.7188387	0.0269493	0.6623322	0.7394472	0.1144395	0.0653352	0.4542494	0.0605964	0.6810219	0.7409795	0.1156468	0.4176472	0.0145495	0.7762263	0.7019399	0.1013938	0.1205650	0.4662206	0.1042488	0.2993682	0.2352639	0.5165364	0.1256376	0.6598560	0.6854666	0.7033376	0.1555545	0.6240457	0.3290612	0.0487234	0.2175257	0.0129506	0.3313951	0.0942135	0.7690491	0.6748104	0.4546246	0.6359264	0.6156087	0.2439596	0.3370063	0.4359432	0.7640264	0.7815748	0.6111088	0.1655572	0.2087441	0.2937991	0.3604583	0.5543072	0.4669805	0.3710692	0.0285279	0.0000000	0.4094992	0.2338331	0.3036718	0.7035107	0.5410669	0.7176936	0.1056958	0.6942034	0.7195680	0.0235334	0.5791013	0.1692688	0.6371158	0.2434897	0.3660157	0.5665238	0.1732708	0.8499211	0.0389856	0.5469026	0.0672516	0.2417012	0.6195950	0.0013421	0.1561703	0.0772593	0.6989889	0.6036001	0.2007804	0.3660529	0.0434134	0.0083512
0.0138284	0.0000000	0.3132860	0.0222455	0.0150335	0.2865852	0.4289761	0.0302012	0.0367382	0.0411524	0.6900509	0.3752108	0.6511900	0.7128013	0.0021840	0.6864718	0.0052909	0.6985827	0.0127853	0.6355644	0.2905859	0.0238200	0.6787830	0.0000787	0.0176109	0.4350903	0.7014066	0.5750229	0.7653977	0.6011575	0.6534544	0.0762657	0.0680052	0.3233781	0.0020740	0.3276122	0.7180293	0.0754423	0.6138432	0.2757051	0.7058542	0.0646302	0.3368344	0.1718017	0.7670892	0.0233589	0.4269171	0.5711749	0.6271348	0.2558959	0.6339276	0.6915946	0.6749062	0.0074151	0.4446660	0.3606656	0.0326379	0.7922309	0.5619906	0.7034974	0.8224541	0.0805730	0.6580655	0.0000000	0.6914235	0.0481277	0.0354054	0.6869375	0.7815266	0.0059425	0.6585442	0.7009820	0.6078700	0.0646208	0.8286594	0.3776924	0.7052873	0.6467692	0.0784841	0.3349132	0.0669884	0.5902339	0.0280117	0.6401246	0.0667901	0.6925095	0.0204201	0.0554459	0.6839892	0.6057588	0.0117342	0.4216380	0.5408080	0.7294306	0.1065355	0.2121237	0.0702182	0.0913059	0.3853973	0.2811310	0.1794582	0.6337722	0.0723358	0.0130196	0.0293025	0.3825778	0.3857843	0.6707454	0.1705026	0.0331924	0.6171541	0.5618474	0.3675320	0.6189213	0.7252755	0.0380271	0.6856606	0.6753411	0.0798457	0.0850461	0.4108318	0.0219503	0.7137409	0.7192479	0.1023677	0.1375986	0.0218450	0.7050042	0.7465890	0.5183543	0.0977594	0.0087566	0.1314349	0.1051309	0.2329218	0.4525209	0.1439297	0.6824217	0.8307999	0.7692771	0.2229667	0.3382649	0.7097191	0.0377924	0.2641514	0.0064707	0.3007995	0.0809280	0.5550955	0.6100831	0.4348436	0.6495691	0.6277828	0.2299732	0.2952625	0.3603122	0.7403032	0.6612143	0.2175133	0.2474952	0.2284588	0.7388120	0.2979229	0.5259864	0.3022675	0.3218174	0.6461730	0.6933507	0.4555440	0.1588955	0.3506612	0.6505668	0.0138966	0.7373754	0.8395088	0.6952309	0.7349046	0.6912315	0.2979696	0.1321858	0.7255026	0.2249847	0.3282936	0.6604979	0.2169099	0.7294479	0.0086920	0.4282999	0.1142430	0.2792249	0.7085413	0.0002508	0.6662097	0.0512400	0.7315521	0.5795303	0.3164458	0.6505199	0.0607791	0.3590630
