"Old"	"New"
G1	G168
G2	G13
G3	G116
G4	G145
G5	G32
G6	G263
G7	G232
G8	G2
G9	G100
G10	G10
G11	G106
G12	G86
G13	G38
G14	G11
G15	G207
G16	G6
G17	G19
G18	G226
G19	G57
G20	G25
G21	G128
G22	G55
G23	G350
G24	G155
G25	G20
G26	G287
G27	G41
G28	G58
G29	G96
G30	G300
G31	G121
G32	G317
G33	G24
G34	G82
G35	G34
G36	G52
G37	G15
G38	G63
G39	G150
G40	G5
G41	G53
G42	G83
G43	G16
G44	G42
G45	G33
G46	G143
G47	G31
G48	G8
G49	G22
G50	G37
G51	G117
G52	G178
G53	G1
G54	G301
G55	G28
G56	G279
G57	G27
G58	G149
G59	G44
G60	G3
G61	G35
G62	G78
G63	G17
G64	G45
G65	G40
G66	G316
G67	G14
G68	G109
G69	G91
G70	G294
G71	G202
G72	G101
G73	G125
G74	G373
G75	G157
G76	G133
G77	G151
G78	G39
G79	G105
G80	G335
G81	G77
G82	G120
G83	G18
G84	G323
G85	G21
G86	G7
G87	G198
G88	G90
G89	G85
G90	G241
G91	G123
G92	G225
G93	G146
G94	G275
G95	G29
G96	G111
G97	G139
G98	G108
G99	G48
G100	G162
G101	G98
G102	G36
G103	G92
G104	G56
G105	G320
G106	G69
G107	G199
G108	G46
G109	G159
G110	G30
G111	G169
G112	G43
G113	G50
G114	G119
G115	G325
G116	G360
G117	G371
G118	G104
G119	G4
G120	G84
G121	G205
G122	G190
G123	G61
G124	G293
G125	G338
G126	G74
G127	G258
G128	G110
G129	G23
G130	G127
G131	G221
G132	G93
G133	G305
G134	G283
G135	G66
G136	G167
G137	G70
G138	G209
G139	G103
G140	G68
G141	G352
G142	G236
G143	G26
G144	G328
G145	G297
G146	G129
G147	G144
G148	G79
G149	G291
G150	G9
G151	G154
G152	G369
G153	G213
G154	G349
G155	G304
G156	G357
G157	G51
G158	G192
G159	G12
G160	G313
G161	G137
G162	G59
G163	G220
G164	G308
G165	G366
G166	G363
G167	G340
G168	G367
G169	G398
G170	G89
G171	G381
G172	G353
G173	G47
G174	G318
G175	G94
G176	G54
G177	G95
G178	G67
G179	G378
G180	G65
G181	G75
G182	G71
G183	G76
G184	G331
G185	G333
G186	G171
G187	G344
G188	G49
G189	G113
G190	G400
G191	G260
G192	G339
G193	G254
G194	G269
G195	G329
G196	G292
G197	G147
G198	G326
G199	G336
G200	G377
