G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100	G101	G102	G103	G104	G105	G106	G107	G108	G109	G110	G111	G112	G113	G114	G115	G116	G117	G118	G119	G120	G121	G122	G123	G124	G125	G126	G127	G128	G129	G130	G131	G132	G133	G134	G135	G136	G137	G138	G139	G140	G141	G142	G143	G144	G145	G146	G147	G148	G149	G150	G151	G152	G153	G154	G155	G156	G157	G158	G159	G160	G161	G162	G163	G164	G165	G166	G167	G168	G169	G170	G171	G172	G173	G174	G175	G176	G177	G178	G179	G180	G181	G182	G183	G184	G185	G186	G187	G188	G189	G190	G191	G192	G193	G194	G195	G196	G197	G198	G199	G200
0.3346989	0.7482403	0.2871473	0.4801896	0.5342726	0.3122085	0.4586336	0.0319241	0.5857618	0.0697646	0.0577871	0.7491230	0.6161186	0.6970014	0.0019393	0.8537280	0.6826118	0.7734493	0.7238422	0.6145067	0.4377804	0.0153410	0.5837031	0.0002482	0.6036530	0.5948450	0.2341627	0.4133371	0.7076601	0.7630593	0.6950148	0.0951049	0.0606637	0.3475265	0.5053460	0.1480265	0.7621849	0.1524964	0.6431276	0.5999735	0.6735833	0.6626262	0.4543487	0.5229695	0.0815000	0.1543621	0.4004380	0.7687489	0.5966819	0.2273795	0.5130515	0.6835887	0.6550902	0.0358042	0.3214299	0.4907103	0.6113106	0.7450175	0.6908970	0.5957960	0.0913409	0.0849614	0.8415291	0.6261684	0.6884792	0.0555689	0.4016614	0.1168688	0.2207391	0.5317105	0.0575036	0.6130691	0.6985740	0.6701969	0.1125034	0.3407416	0.6715424	0.7050875	0.0867211	0.3779053	0.0728241	0.5401689	0.6508742	0.7508436	0.0428003	0.6934213	0.5817807	0.0523401	0.7555086	0.7334094	0.6454804	0.4737314	0.4442836	0.8355437	0.0814364	0.2716089	0.3863762	0.1542546	0.3071457	0.3382052	0.2577377	0.0445527	0.7068050	0.4845923	0.0253574	0.0723288	0.4208576	0.0070885	0.2508217	0.7704681	0.2237484	0.7408075	0.3150558	0.5313103	0.6750125	0.0082217	0.6632486	0.6849018	0.0784087	0.0546635	0.3074008	0.0235859	0.7679856	0.7688107	0.1071368	0.5645626	0.0540110	0.5842592	0.9009728	0.3984377	0.0698852	0.4414134	0.1059876	0.2704591	0.2610859	0.5935777	0.1322309	0.6414191	0.6771844	0.6267706	0.1558567	0.7363191	0.3903602	0.0236518	0.2134986	0.0192101	0.4089535	0.1128917	0.7153147	0.7429822	0.4832413	0.5905024	0.6675644	0.2725806	0.2845805	0.5628265	0.7554907	0.5338362	0.5783282	0.1555307	0.1522719	0.3031438	0.3130764	0.6071458	0.3362459	0.3727248	0.0209062	0.7877897	0.3457743	0.2257582	0.2326970	0.6439943	0.5013597	0.6970053	0.0548380	0.6970724	0.6421723	0.0320723	0.2041893	0.1398695	0.4324147	0.2200591	0.3360656	0.6084567	0.2623983	0.7016429	0.0593493	0.3613800	0.0629082	0.1966739	0.6315527	0.0030069	0.2159878	0.0473321	0.6825530	0.5884747	0.1939099	0.2804482	0.0740829	0.3171724
0.3719580	0.3188367	0.2204899	0.5400887	0.5546272	0.5159808	0.3855748	0.0251469	0.2480784	0.0594316	0.1159857	0.6432637	0.6108943	0.6134191	0.0054231	0.6185757	0.6335610	0.6655115	0.4162334	0.7597601	0.3061668	0.0108531	0.7058791	0.0066977	0.2336550	0.4696757	0.2384286	0.3612747	0.7738830	0.8147385	0.7738133	0.0668802	0.1391996	0.3771443	0.1991621	0.2938152	0.6625975	0.0676355	0.6231508	0.7685712	0.7217966	0.6315286	0.4013199	0.4352399	0.3910599	0.2188263	0.4716006	0.6581173	0.7080438	0.2214890	0.6350049	0.6156309	0.6493705	0.0126682	0.3600089	0.5154350	0.4549042	0.6624867	0.6558137	0.7394529	0.3185392	0.0434350	0.7348572	0.6575584	0.6958050	0.0853506	0.3785674	0.3076579	0.2581983	0.4888181	0.1273249	0.7202218	0.6362774	0.6509872	0.1449729	0.3151314	0.6320028	0.6590594	0.0776105	0.3323158	0.0716661	0.5053581	0.0678828	0.6609451	0.0785839	0.6357278	0.6320116	0.0415702	0.7407133	0.9047577	0.6585194	0.4138161	0.4105723	0.7104164	0.1118619	0.2985760	0.3582075	0.1700954	0.3484593	0.3547283	0.2112740	0.1809834	0.7349940	0.4207451	0.0365901	0.2448791	0.3044999	0.0100547	0.1692751	0.5167329	0.2001186	0.7036998	0.3842018	0.7177962	0.6392188	0.0231300	0.5082250	0.6937409	0.0875988	0.0880098	0.3779326	0.0176711	0.6925428	0.7555687	0.0659242	0.3240488	0.0174969	0.6477172	0.7124652	0.4483671	0.1104013	0.2544385	0.1098194	0.2785360	0.2539395	0.5310624	0.1683288	0.7616717	0.6790689	0.6375797	0.1819714	0.5794456	0.5312195	0.0502770	0.3374366	0.0189102	0.3156866	0.0971156	0.5929333	0.7138990	0.3821264	0.7750301	0.6554086	0.3104034	0.3343267	0.3878861	0.8074800	0.5299440	0.6751744	0.2070791	0.2277660	0.3259809	0.4081021	0.5720940	0.3249900	0.4486830	0.0096317	0.6185696	0.2576827	0.2851421	0.2642512	0.7034746	0.1728823	0.6417861	0.2284393	0.5565173	0.6980971	0.0395464	0.1991075	0.1535856	0.5015569	0.2112025	0.3980945	0.6941862	0.2875904	0.7129534	0.0430086	0.3907179	0.1525067	0.2141438	0.6820158	0.0004099	0.2148419	0.0684704	0.6007660	0.6658505	0.2367529	0.3499038	0.0228445	0.4459411
0.6871139	0.7579111	0.1739927	0.5669167	0.6865513	0.4258442	0.3676264	0.0761924	0.5706717	0.1186846	0.0739254	0.6878926	0.6935540	0.7393172	0.0007470	0.6321868	0.7293925	0.7023069	0.5615966	0.6022693	0.2418489	0.0147379	0.7008233	0.0008674	0.6439264	0.5312788	0.2231408	0.3925690	0.6632943	0.6468653	0.4954503	0.0863810	0.1223236	0.2724110	0.4682363	0.0845880	0.6732441	0.1013533	0.5548575	0.6404273	0.6182477	0.7460949	0.3815889	0.4024186	0.0376034	0.1827196	0.4269192	0.7025171	0.7351392	0.2218157	0.4554738	0.5608642	0.8101219	0.0172063	0.3738340	0.4715123	0.5764547	0.5912260	0.7134223	0.7712258	0.0875199	0.0651688	0.7201163	0.6787582	0.6635187	0.0545928	0.3708005	0.0663578	0.2117641	0.5327493	0.0731725	0.6184518	0.7403002	0.6580555	0.1180903	0.4348895	0.5926775	0.6444485	0.0837748	0.3707034	0.0672948	0.6262762	0.4301229	0.6405678	0.0273694	0.7417527	0.6969734	0.0434817	0.6241181	0.7201574	0.6516444	0.3425272	0.4649192	0.6962518	0.1223220	0.2292195	0.3838495	0.1411697	0.3685110	0.3895608	0.0982276	0.0930806	0.7030642	0.3704259	0.0157584	0.0628052	0.2903560	0.0205207	0.1354119	0.7338844	0.3205196	0.7723018	0.3207356	0.6658199	0.6122587	0.0280540	0.5648271	0.7391844	0.0895682	0.0448990	0.3710737	0.0189812	0.7234781	0.6846325	0.0943090	0.4735008	0.0088493	0.8243408	0.6508662	0.4756572	0.1040137	0.5478174	0.0868791	0.3584241	0.2250001	0.5890089	0.1331180	0.6278577	0.6980080	0.8958133	0.1710141	0.6830237	0.3188436	0.0618892	0.2185782	0.0089697	0.3414738	0.0966965	0.6078752	0.6724492	0.4277166	0.8905292	0.7033313	0.3941954	0.2609071	0.4185034	0.7959695	0.5432988	0.5790927	0.1498748	0.1950193	0.2944998	0.3177369	0.6326933	0.3624518	0.3441286	0.0232749	0.6837861	0.3038125	0.2992047	0.1747749	0.5592977	0.4135089	0.6936094	0.0771270	0.7831004	0.6947538	0.0171805	0.3126637	0.1656198	0.5251571	0.1437889	0.3704935	0.6269737	0.2306499	0.6566781	0.0640461	0.2847409	0.1029642	0.2109123	0.8582358	0.0078759	0.2269353	0.0373039	0.6137204	0.7098609	0.2488956	0.3692952	0.0222422	0.4540439
0.6242488	0.6725429	0.3038230	0.2878531	0.7933420	0.3108885	0.4090146	0.0107275	0.5747099	0.0461160	0.0924126	0.5835117	0.6064953	0.6574256	0.0034082	0.6969861	0.8414463	0.7996861	0.5408948	0.7833234	0.2817955	0.0123267	0.6503562	0.0018029	0.6328886	0.5088694	0.1953638	0.3987898	0.6416469	0.7239975	0.6972474	0.0898654	0.0757565	0.2950874	0.4318811	0.1201533	0.7115633	0.0632896	0.5856016	0.5634929	0.6712396	0.7999121	0.4876638	0.2996848	0.1185516	0.2053392	0.4535301	0.7814457	0.7094674	0.2445999	0.5016993	0.5360928	0.5618952	0.0202825	0.4114135	0.6263109	0.5566996	0.5892301	0.6797393	0.6116257	0.0849348	0.0627836	0.6794034	0.6030854	0.7087820	0.0494517	0.4539282	0.0668851	0.3764998	0.6116005	0.0526576	0.6050618	0.7308310	0.7738077	0.1440420	0.4378982	0.5456437	0.6863617	0.0748591	0.2889561	0.0973505	0.5786084	0.5538730	0.8244738	0.0498016	0.8042008	0.7634867	0.0435850	0.7183556	0.8213183	0.5868721	0.3638500	0.5515577	0.7202740	0.0680873	0.2440316	0.4827742	0.1661392	0.2620758	0.4452542	0.1194545	0.0548695	0.7099602	0.2715647	0.0260187	0.0763396	0.3622422	0.0017878	0.1596028	0.8029769	0.2950825	0.6058898	0.3990703	0.6460715	0.7196363	0.0385509	0.6306537	0.6717600	0.0862673	0.0680055	0.3434659	0.0341311	0.7216053	0.6636745	0.1295034	0.4382465	0.0444582	0.7017521	0.6331797	0.4205667	0.0873801	0.6032615	0.1043739	0.3261050	0.2738607	0.7364795	0.0980546	0.6944831	0.7683408	0.7421920	0.1913315	0.6466323	0.4187756	0.0272721	0.2261598	0.0121197	0.3762512	0.0752089	0.6133484	0.5504855	0.4676950	0.7212709	0.5838969	0.2946025	0.3571823	0.5621239	0.5592480	0.6473891	0.8297669	0.1491917	0.1948408	0.3122541	0.2999238	0.6175395	0.4382422	0.3430803	0.0120697	0.7931567	0.4221201	0.2527891	0.2171568	0.6219551	0.5094329	0.7864756	0.1527854	0.6481657	0.7315481	0.0104200	0.2868546	0.1701285	0.4660735	0.2481635	0.3584276	0.6654571	0.2994412	0.6033888	0.0229528	0.4661807	0.1031292	0.2173454	0.6172102	0.0070532	0.2575874	0.0489465	0.6461292	0.5031199	0.2229909	0.3518305	0.0577862	0.3320827
0.6171576	0.7353877	0.2626149	0.5564131	0.4000693	0.3715908	0.6171588	0.0427899	0.5642255	0.0526906	0.0677740	0.5490454	0.7088857	0.6560181	0.0056359	0.7575393	0.6745544	0.7099225	0.5387845	0.5706089	0.6591564	0.0094748	0.6477556	0.0045912	0.7067354	0.4770911	0.3080589	0.3856732	0.6915239	0.7331750	0.7694392	0.0548958	0.1046750	0.2636950	0.3841236	0.1149106	0.6352666	0.0462508	0.6285747	0.5710359	0.6780636	0.6698248	0.5798997	0.5636997	0.0680855	0.1944627	0.3729132	0.7097588	0.7734246	0.2579071	0.4418789	0.5708892	0.7886272	0.0080566	0.3004883	0.3791329	0.7232467	0.8286016	0.6878197	0.7806660	0.0895056	0.0649658	0.7219334	0.6639273	0.7501777	0.0617152	0.3615095	0.0385831	0.3700744	0.4554932	0.0599007	0.7497317	0.8324702	0.7321246	0.1283213	0.2613546	0.7183795	0.6983967	0.1061361	0.3772726	0.0705552	0.6417257	0.5225216	0.6365581	0.0328961	0.6161836	0.6622452	0.0460639	0.6741555	0.7185123	0.6948420	0.4026414	0.6056523	0.7433466	0.0800709	0.1985574	0.3788164	0.1830979	0.2410562	0.5695513	0.2256669	0.0510457	0.5969172	0.2842823	0.0609430	0.0507543	0.3506790	0.0093564	0.1604677	0.7007869	0.3990408	0.7179256	0.4192556	0.7257082	0.6615727	0.0169577	0.6548262	0.6697788	0.0519114	0.0441011	0.3775881	0.0123873	0.7479524	0.7147318	0.1037406	0.4655503	0.0188746	0.7370131	0.7612411	0.5838714	0.0707433	0.4371688	0.0937612	0.4304723	0.2298917	0.5552694	0.1201559	0.7225691	0.7257292	0.7144200	0.1115638	0.6511758	0.3649382	0.0484949	0.2728910	0.0030407	0.4457620	0.0625556	0.6480595	0.6309980	0.4991877	0.7083981	0.8150598	0.3697121	0.3201935	0.3575946	0.6533165	0.5369648	0.5389115	0.1678229	0.2090772	0.2791244	0.2859099	0.5815656	0.3580537	0.3767940	0.0114948	0.5928150	0.3249084	0.2306102	0.2858470	0.6066032	0.4924354	0.5444398	0.0951064	0.6094243	0.8304792	0.0248923	0.2034164	0.1129180	0.3746128	0.1829903	0.4375142	0.4235153	0.2787468	0.5988790	0.0508424	0.4848525	0.0613542	0.3264078	0.5996353	0.0040367	0.2794789	0.0661504	0.6093804	0.6516909	0.2658347	0.2631102	0.0444242	0.3572616
0.6022917	0.6188245	0.2888762	0.3972016	0.5981256	0.2505556	0.3910613	0.0113836	0.5753010	0.0393589	0.1031823	0.7018591	0.6684854	0.6476553	0.0089988	0.7003125	0.7823393	0.6859523	0.5801242	0.7042784	0.2897551	0.0208984	0.7393280	0.0087718	0.6823895	0.5364505	0.1858965	0.3578304	0.6250261	0.7294766	0.7661406	0.0941269	0.0479534	0.2203233	0.4247930	0.0524442	0.6902468	0.0660335	0.6378799	0.8061885	0.7735220	0.7879096	0.5568107	0.4263622	0.0777703	0.1937843	0.4632802	0.7373603	0.6732182	0.2381045	0.5343264	0.5668289	0.6709232	0.0189883	0.3872179	0.3654641	0.6811578	0.6687189	0.6706139	0.6768708	0.1385371	0.1039220	0.7541171	0.6638086	0.5974963	0.0447532	0.4249407	0.0870549	0.3514645	0.5149234	0.0496370	0.6965479	0.7530779	0.7316639	0.1359232	0.4086403	0.8308853	0.6014370	0.1269842	0.3667549	0.0798713	0.6802797	0.6145913	0.6391949	0.0217300	0.6238200	0.6732832	0.0521623	0.8540136	0.6881696	0.8466055	0.3990974	0.5182536	0.7380007	0.1161715	0.2377636	0.5209107	0.2354448	0.3256340	0.3681500	0.1992506	0.0647375	0.7833757	0.3504103	0.0172624	0.0412543	0.3194724	0.0104709	0.1801369	0.6771128	0.2794749	0.7217748	0.3583750	0.7025801	0.6472664	0.0180644	0.5688917	0.6210732	0.0695461	0.0435951	0.4220614	0.0405395	0.6701850	0.8516521	0.0931858	0.4113568	0.0246334	0.7499533	0.7180533	0.4698131	0.1403862	0.5130896	0.1318179	0.2998295	0.1999295	0.5355356	0.1313550	0.6599804	0.6129696	0.6923298	0.1769841	0.6959321	0.2477025	0.0473787	0.2107484	0.0064921	0.3696290	0.1139162	0.6945060	0.6466116	0.4451046	0.7585408	0.6215748	0.2968233	0.3553819	0.4842447	0.6528825	0.5734539	0.6362842	0.2451781	0.1988972	0.3369774	0.3450205	0.6225021	0.3653460	0.3607737	0.0323488	0.7088969	0.3804200	0.3401072	0.2544632	0.6280251	0.4641057	0.6509277	0.0817490	0.6418506	0.6584627	0.0121999	0.2972941	0.1559158	0.5429472	0.2571861	0.3187388	0.6403240	0.2700254	0.6636546	0.0334339	0.4529627	0.0709950	0.3155721	0.6565667	0.0132939	0.1868759	0.0250162	0.6602737	0.5382476	0.1663717	0.3294965	0.0473906	0.3569139
0.5572599	0.7765750	0.2356270	0.4941774	0.7213010	0.3798866	0.2105283	0.0252311	0.5940026	0.0554792	0.0661920	0.6675348	0.6871335	0.6744334	0.0049235	0.7314581	0.5995092	0.6998816	0.5950364	0.6127281	0.4186286	0.0232657	0.6985232	0.0012049	0.5305763	0.5535017	0.2040046	0.4413621	0.5682268	0.6986057	0.5831433	0.1245816	0.0855320	0.3265364	0.4833617	0.0809278	0.6895899	0.0657351	0.6682983	0.6867419	0.7366422	0.6750963	0.4843281	0.5618014	0.1169010	0.2190774	0.4566935	0.7062901	0.6344647	0.2569642	0.5799475	0.6355932	0.6519039	0.0186722	0.3458720	0.3997406	0.6593284	0.5925336	0.5640914	0.8018195	0.1129217	0.0883110	0.5534161	0.6344965	0.7449028	0.0456255	0.3912551	0.0859728	0.2095178	0.5679413	0.1004144	0.6817732	0.5626940	0.7411083	0.1539786	0.0846025	0.6568636	0.6073087	0.0855815	0.3243278	0.0700025	0.6503628	0.5234124	0.7915915	0.0303443	0.7285438	0.7724960	0.0497286	0.8078090	0.6483921	0.7050152	0.3357384	0.5383792	0.8118525	0.0977792	0.1971425	0.4031264	0.0917725	0.4052170	0.2866143	0.2589088	0.0808073	0.7462171	0.2906372	0.0361502	0.0277355	0.3026366	0.0035830	0.1601559	0.6673420	0.2620777	0.8115212	0.4308257	0.6466454	0.7261068	0.0405107	0.5981899	0.6397260	0.1011228	0.0791036	0.4625835	0.0179903	0.7318152	0.6156593	0.0903147	0.4536869	0.0429500	0.7382594	0.5758613	0.4510274	0.0598207	0.3520332	0.1228507	0.2941449	0.1785379	0.6031700	0.1210277	0.6744533	0.6540715	0.7121775	0.1992528	0.6954289	0.2436350	0.0710182	0.2002176	0.0026348	0.3274350	0.1095407	0.6614704	0.5869002	0.4081822	0.8124762	0.7029290	0.2988561	0.4012319	0.5876345	0.7962515	0.5948668	0.6798866	0.2226952	0.2045057	0.2499191	0.3281177	0.5960550	0.2388101	0.2303108	0.0254390	0.6380516	0.3536626	0.2515733	0.2527115	0.7257500	0.5031641	0.6853191	0.1320119	0.7620354	0.6780997	0.0384661	0.2911773	0.1723839	0.5684102	0.2560533	0.3017395	0.5383041	0.2088469	0.6735929	0.0326408	0.5969490	0.1271458	0.1854754	0.6222735	0.0326514	0.1611522	0.0939903	0.7209057	0.6380713	0.2479873	0.3316279	0.0334880	0.3188733
0.6258343	0.6956104	0.2809164	0.5826825	0.6986991	0.3220620	0.5791119	0.0139542	0.5409006	0.0807850	0.1095535	0.6279793	0.6953996	0.6378659	0.0067738	0.8752988	0.6110320	0.6340588	0.5353257	0.6564042	0.4291327	0.0046113	0.6223802	0.0120184	0.6545014	0.5057611	0.2390336	0.3648700	0.6906497	0.6722141	0.8055133	0.0823247	0.0209813	0.3111730	0.4815593	0.1282024	0.6649274	0.0826405	0.7518430	0.6373490	0.7891004	0.6451238	0.5837850	0.5449059	0.1365416	0.1853337	0.4263191	0.6056351	0.5223563	0.2493238	0.5892455	0.5366947	0.8323674	0.0227720	0.3602492	0.3779515	0.6749364	0.7232049	0.7608622	0.5510016	0.1143190	0.1206134	0.8255181	0.7646822	0.7385070	0.0465729	0.3280191	0.0842283	0.4053635	0.5179206	0.0479044	0.6406696	0.7947459	0.7082009	0.1835801	0.3824926	0.6649407	0.7975822	0.0937501	0.3198292	0.0775768	0.5110670	0.5713736	0.6722600	0.0299805	0.8431498	0.5306202	0.0453972	0.6335580	0.7693462	0.7835271	0.3789827	0.5912077	0.7766617	0.0792515	0.2825479	0.5281652	0.1688973	0.2730036	0.3823175	0.1393392	0.0796799	0.6837668	0.3904433	0.0518696	0.0513315	0.2233879	0.0242829	0.1621243	0.7877651	0.3447169	0.6489729	0.3262170	0.7788473	0.7548708	0.0101454	0.6086725	0.7206751	0.0834589	0.0960148	0.4403204	0.0427608	0.6475103	0.6985976	0.0662880	0.3378652	0.0129553	0.7865750	0.7261407	0.4097169	0.0820645	0.4815067	0.0606432	0.2598828	0.2143904	0.5900952	0.1378737	0.6796330	0.6121277	0.6396286	0.1121000	0.6549203	0.4280153	0.0632587	0.2350200	0.0047073	0.3877062	0.0566331	0.7145277	0.6387948	0.4041547	0.6612201	0.6642437	0.3018651	0.3022885	0.4197647	0.5962554	0.5550052	0.6034949	0.1639764	0.2143069	0.3069536	0.3877523	0.5296137	0.3050615	0.2745049	0.0182237	0.7413069	0.3654984	0.2561101	0.3058881	0.7082337	0.5581888	0.5904696	0.1158029	0.7633289	0.7307671	0.0151552	0.2659915	0.1513187	0.5050397	0.2090210	0.3919911	0.5696366	0.2527838	0.7727769	0.0597812	0.5493526	0.0786073	0.2007134	0.6536251	0.0014100	0.2233182	0.0368838	0.7068262	0.5657007	0.1944295	0.3383633	0.0290023	0.4388644
0.5381189	0.5686013	0.3021444	0.5543878	0.5975008	0.3639244	0.5948067	0.0158410	0.2576034	0.0476415	0.0815248	0.6750167	0.7789845	0.6520905	0.0061610	0.6710905	0.6964445	0.6609254	0.6012948	0.5291796	0.3769578	0.0092658	0.7113016	0.0006660	0.7098769	0.4613307	0.2582511	0.3277963	0.7938365	0.6684568	0.6070680	0.0954707	0.0984136	0.3078357	0.5132000	0.0947157	0.6647204	0.0696947	0.5905736	0.6845316	0.6796531	0.7764814	0.4983580	0.5697632	0.1275060	0.1958432	0.4522257	0.5887482	0.6654856	0.2439507	0.5553517	0.6023470	0.7230229	0.0267076	0.4029150	0.4001023	0.6529065	0.6404462	0.7566073	0.5482466	0.0708851	0.0557910	0.7804446	0.7115089	0.6536293	0.0473883	0.3736401	0.0782234	0.2514943	0.4305173	0.0502437	0.8054915	0.7471101	0.6587459	0.1735544	0.3291688	0.6500298	0.6678395	0.0959239	0.3289279	0.0836269	0.6235185	0.5265776	0.7584952	0.0112339	0.6935723	0.7664103	0.0895453	0.7881186	0.7380012	0.7427436	0.4708076	0.5951884	0.6824195	0.1769190	0.2256311	0.5886540	0.2196496	0.4807390	0.2640412	0.2443956	0.0503413	0.6356288	0.3174968	0.0375202	0.0670477	0.3146770	0.0040287	0.2198149	0.5647849	0.2901403	0.7586381	0.3217966	0.6548552	0.6434763	0.0560301	0.6175770	0.6716840	0.0839549	0.0818044	0.4505304	0.0503325	0.5723967	0.7104673	0.0832252	0.4361281	0.0094760	0.6510069	0.6986004	0.3984469	0.1092644	0.5243054	0.0687656	0.3401470	0.2707454	0.6297023	0.1417462	0.6584457	0.7170638	0.7332326	0.1447051	0.6891648	0.3554277	0.0732522	0.2469832	0.0125983	0.3294947	0.0895126	0.7552556	0.7186257	0.4570917	0.7222791	0.7409848	0.2765255	0.3082016	0.4721684	0.7415925	0.5416309	0.6036943	0.1533405	0.2099423	0.2766174	0.4339502	0.5985496	0.3421822	0.2649974	0.0279023	0.7517388	0.3012522	0.2307906	0.2461308	0.6391330	0.6224083	0.6816090	0.0806824	0.6326240	0.7112519	0.0257554	0.2940568	0.1448921	0.4841496	0.2100937	0.3630985	0.5579542	0.2461104	0.7201584	0.0362986	0.3755742	0.1193963	0.1235049	0.6357136	0.0047519	0.1709836	0.0683105	0.5154309	0.6530798	0.2455820	0.2785519	0.0277711	0.2988142
0.6709730	0.7372106	0.2825006	0.5471420	0.6999049	0.4569573	0.3739602	0.0461476	0.5335443	0.0416938	0.0419348	0.7301771	0.7340380	0.5412362	0.0049760	0.7393138	0.7601980	0.6988448	0.6116943	0.4968949	0.4857402	0.0186158	0.5042358	0.0003265	0.7090110	0.4176011	0.1728034	0.4143085	0.6870362	0.6665179	0.7604858	0.0492569	0.0437731	0.3484080	0.4842012	0.0912486	0.6045801	0.0728081	0.6522642	0.8374199	0.7359469	0.7032304	0.4719364	0.5955647	0.0684277	0.1719567	0.4656571	0.6466091	0.8337520	0.2605800	0.7473496	0.5215572	0.7618879	0.0185338	0.3517575	0.3979875	0.5657472	0.5934263	0.7963451	0.7319820	0.1010653	0.0723582	0.7463591	0.6920803	0.6106764	0.0456705	0.3786162	0.0481186	0.2623018	0.5079918	0.0724657	0.6213294	0.5710891	0.7164453	0.1684019	0.1852104	0.6044525	0.6225537	0.1075944	0.3023630	0.0862732	0.6217524	0.6456438	0.6113780	0.0530853	0.6338882	0.5943683	0.0740822	0.6887958	0.8083001	0.6559672	0.3432619	0.6214544	0.7018310	0.0642038	0.2935309	0.4039420	0.1762436	0.3869365	0.3358423	0.2528645	0.0415112	0.6464102	0.3760650	0.0316211	0.0326750	0.4122724	0.0159143	0.1293948	0.7103724	0.2896228	0.6792959	0.4552611	0.5973341	0.7298184	0.0196410	0.6135619	0.6742166	0.0556990	0.0804589	0.4422031	0.0240541	0.7320747	0.7734920	0.0857095	0.4147151	0.0237234	0.6706319	0.5889726	0.3336021	0.0704813	0.4195648	0.0824181	0.2949914	0.2031149	0.6457657	0.1646838	0.6172764	0.5518861	0.6639706	0.1341736	0.7352420	0.3426549	0.0166584	0.3014133	0.0331197	0.3193208	0.1077005	0.6877838	0.6897937	0.4172479	0.7973325	0.6875450	0.3668813	0.3720414	0.4589664	0.6836309	0.4862366	0.6175092	0.1974704	0.1379011	0.2266422	0.2794356	0.5039206	0.3156394	0.3814809	0.0411081	0.8292110	0.2919226	0.2636231	0.3085822	0.5945887	0.5132297	0.6582359	0.0771846	0.6491339	0.7535042	0.0329146	0.2678049	0.1749644	0.4279136	0.2481945	0.3265582	0.4507063	0.2207610	0.8383548	0.0400021	0.5100479	0.0732111	0.1977532	0.5756549	0.0159655	0.2899648	0.0526002	0.7026614	0.5440386	0.2366293	0.3221139	0.0780080	0.3745426
