G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100	G101	G102	G103	G104	G105	G106	G107	G108	G109	G110	G111	G112	G113	G114	G115	G116	G117	G118	G119	G120	G121	G122	G123	G124	G125	G126	G127	G128	G129	G130	G131	G132	G133	G134	G135	G136	G137	G138	G139	G140	G141	G142	G143	G144	G145	G146	G147	G148	G149	G150	G151	G152	G153	G154	G155	G156	G157	G158	G159	G160	G161	G162	G163	G164	G165	G166	G167	G168	G169	G170	G171	G172	G173	G174	G175	G176	G177	G178	G179	G180	G181	G182	G183	G184	G185	G186	G187	G188	G189	G190	G191	G192	G193	G194	G195	G196	G197	G198	G199	G200
0.0000000	0.7559781	0.2561684	0.4144514	0.5985461	0.4185455	0.3519520	0.0587087	0.5477953	0.0754922	0.1152702	0.7667249	0.8274263	0.5954514	0.0014694	0.5477946	0.6614202	0.7154973	0.5567380	0.5635755	0.3992497	0.0404341	0.6430031	0.0051510	0.5613128	0.3998395	0.2134190	0.3905826	0.6381468	0.6708484	0.7696374	0.1023445	0.0640502	0.2824738	0.4255631	0.1498161	0.6244470	0.0853454	0.6590606	0.6662326	0.6527091	0.7180591	0.5128036	0.4850870	0.1048280	0.2385952	0.4771579	0.8265858	0.7617843	0.2523822	0.5939327	0.7190158	0.7325233	0.0164064	0.4094061	0.5123515	0.5714079	0.7685368	0.5532490	0.7934098	0.1002096	0.0322683	0.7081831	0.8210791	0.7136884	0.0639883	0.3847189	0.0555226	0.2827854	0.5740262	0.0536780	0.6590852	0.6013171	0.6140012	0.1853776	0.2621200	0.7158079	0.6562169	0.0797517	0.3870206	0.0771341	0.4776110	0.5315635	0.8094311	0.0586313	0.7626640	0.8760450	0.0539684	0.6580204	0.7220822	0.6998187	0.3772767	0.4231943	0.6965162	0.0740764	0.2173461	0.5347769	0.1928522	0.3656925	0.3514846	0.1768811	0.0334737	0.7906993	0.4457912	0.0456207	0.0710750	0.3064576	0.0011083	0.1877478	0.7365708	0.3432074	0.7397073	0.3787110	0.6774285	0.6746414	0.0268309	0.5875849	0.6466227	0.0921054	0.0597809	0.3529741	0.0075308	0.6365175	0.8072093	0.1324788	0.3183191	0.0210867	0.8102222	0.6922838	0.4151905	0.0958420	0.5378408	0.1195556	0.3603747	0.3482307	0.6940169	0.1540971	0.6979173	0.7003069	0.6626741	0.2091455	0.7101520	0.3876317	0.0256237	0.2203916	0.0023671	0.3769711	0.0657362	0.6805133	0.6489711	0.4303881	0.6206247	0.7660295	0.2714399	0.2984693	0.3287577	0.7181984	0.4965319	0.5881867	0.1132425	0.1643215	0.3820583	0.3404244	0.5224777	0.3951829	0.3549606	0.0333982	0.5628121	0.2917932	0.2751076	0.3663474	0.5829495	0.4403299	0.7243518	0.1117296	0.7132064	0.5932557	0.0332846	0.2214896	0.1202695	0.4994048	0.1881199	0.3587247	0.4844934	0.2563170	0.6781064	0.0253102	0.4702149	0.1034808	0.2021249	0.6424783	0.0075669	0.3107917	0.0488579	0.7737489	0.5289505	0.2142962	0.2942110	0.0505019	0.4662814
0.0268029	0.0000000	0.0426643	0.0137916	0.0194813	0.4796079	0.5423290	0.0213280	0.0501257	0.0870483	0.7617675	0.5544908	0.7295963	0.6393250	0.0029465	0.6629510	0.0229988	0.6831975	0.0231919	0.6838336	0.2560998	0.0360548	0.6852415	0.0002768	0.0267010	0.5673484	0.6769647	0.5090675	0.6324495	0.7057020	0.6852148	0.0859208	0.1172699	0.2123980	0.0030989	0.4055986	0.7305341	0.0548300	0.7204188	0.5980246	0.6376894	0.0567011	0.2590381	0.1356098	0.6943393	0.0075889	0.4731147	0.7650766	0.6549670	0.2651274	0.5581214	0.7464298	0.7547272	0.0299825	0.3497231	0.4068964	0.0152057	0.7054489	0.6502914	0.6177960	0.5614122	0.0584813	0.8059317	0.7084407	0.8150302	0.0769313	0.3105877	0.6729704	0.3114557	0.4844083	0.7633126	0.6945235	0.7001043	0.6535794	0.6844312	0.4069997	0.7118505	0.6009859	0.0788817	0.2860034	0.1384387	0.6591379	0.0892881	0.7275095	0.0440615	0.7825132	0.0202492	0.0695849	0.6594394	0.6488017	0.7947523	0.4352027	0.5477576	0.7208247	0.2185762	0.3192126	0.0062344	0.1444541	0.3168629	0.3068197	0.1122546	0.5662030	0.7545805	0.3180581	0.0876342	0.4036982	0.3833095	0.0080944	0.2066806	0.0356545	0.4023915	0.7189831	0.4364877	0.6313061	0.6818165	0.0238150	0.6112751	0.7017249	0.0754203	0.0751743	0.3330787	0.0340744	0.5344177	0.8158736	0.1011864	0.3363872	0.0205041	0.6305445	0.7981412	0.4902843	0.1004842	0.0121766	0.0825503	0.1158529	0.2774107	0.4541752	0.1516410	0.6906249	0.6803521	0.7359260	0.1246739	0.6641641	0.6240465	0.0548290	0.2400598	0.0068564	0.3638292	0.0525692	0.6806369	0.6662261	0.5053564	0.7424818	0.5985721	0.2202201	0.4678889	0.4533951	0.7657505	0.5491369	0.2420087	0.1603363	0.1997156	0.3024826	0.2213640	0.5536577	0.2121765	0.3681266	0.0255010	0.7882051	0.3826834	0.2395045	0.2442083	0.6460542	0.0191231	0.7510920	0.8605111	0.6991434	0.6117389	0.5324651	0.2712142	0.1918331	0.7312675	0.1877106	0.2755879	0.7079424	0.2521268	0.6918723	0.0137550	0.4413048	0.0897030	0.2416796	0.5993569	0.0013317	0.2125800	0.0308819	0.5461511	0.5878290	0.2910111	0.7437487	0.0360427	0.3046016
0.5904789	0.6490237	0.0000000	0.5187825	0.6395458	0.3388749	0.3698513	0.0297826	0.6015249	0.0744313	0.0719994	0.6453904	0.6950628	0.5812722	0.0025117	0.6742668	0.7877781	0.5914169	0.5625121	0.6324228	0.4740070	0.0093985	0.6170955	0.0019708	0.6599590	0.4284960	0.2562631	0.3393769	0.6291150	0.7984476	0.6205155	0.0626253	0.0840815	0.3020985	0.4545751	0.0914341	0.7521991	0.1013042	0.5395550	0.7016876	0.8239216	0.6887983	0.4579550	0.5948064	0.1008740	0.1875430	0.4850249	0.6895305	0.7208593	0.2024970	0.5417554	0.4885438	0.6623471	0.0258192	0.3807692	0.3977679	0.6847650	0.6895982	0.7448366	0.6391823	0.0721152	0.0973524	0.6703940	0.8693655	0.6247181	0.0588513	0.3184684	0.0613284	0.2922690	0.4387959	0.0296987	0.7795249	0.7041342	0.7355030	0.1134840	0.2019057	0.7182167	0.6998104	0.0520599	0.3192400	0.0806417	0.5782922	0.6960231	0.6629340	0.0266292	0.5931270	0.8089311	0.0632378	0.6242061	0.7698634	0.5987203	0.3550659	0.4059050	0.7307489	0.0811389	0.2972099	0.4592474	0.1405792	0.3729963	0.3234891	0.2384496	0.0413313	0.6778174	0.3687596	0.0500372	0.0438681	0.4724705	0.0038364	0.1219927	0.6149275	0.3130335	0.6618738	0.3877909	0.7230514	0.7676784	0.0122803	0.5620901	0.7605489	0.1311467	0.0818719	0.3562019	0.0133996	0.5908184	0.7115581	0.1025554	0.5007151	0.0287376	0.6173925	0.6796596	0.3725075	0.0781721	0.5133604	0.0821499	0.3142359	0.2215973	0.6251368	0.1421452	0.6514287	0.5450593	0.6596258	0.1992580	0.5748363	0.4145041	0.0389217	0.2080658	0.0082177	0.3402065	0.0882635	0.5988853	0.6510167	0.5187760	0.5757349	0.8459283	0.2639218	0.3756029	0.4959161	0.6965875	0.4638568	0.6907180	0.1913133	0.1830280	0.3386050	0.3142886	0.5394625	0.3122369	0.3417862	0.0172561	0.7105390	0.3210506	0.1613083	0.2261648	0.6412604	0.5038883	0.7591653	0.1178378	0.8043066	0.7442825	0.0070092	0.2768129	0.1698496	0.5112732	0.1886020	0.3756941	0.5204027	0.3043426	0.8462155	0.0234562	0.5269673	0.1043971	0.2368652	0.7352932	0.0047695	0.2861532	0.0612647	0.7500369	0.5990166	0.3187312	0.3025379	0.0519982	0.3792603
0.6294007	0.7023779	0.2548875	0.0000000	0.5674939	0.3471753	0.4396815	0.0564100	0.6109964	0.0550109	0.0748762	0.5030461	0.6192315	0.6837722	0.0043974	0.6887540	0.6904748	0.6123020	0.5527355	0.6808649	0.4681436	0.0075443	0.5810132	0.0080975	0.6943012	0.4544124	0.2624768	0.4055347	0.7842593	0.8088084	0.6251802	0.0724565	0.0884018	0.2492495	0.5347240	0.1118588	0.6548542	0.0903919	0.7051339	0.7216453	0.7611009	0.6508312	0.5577386	0.4470585	0.0763288	0.1605176	0.4897039	0.6764795	0.8000490	0.2817298	0.6166095	0.6394817	0.6423357	0.0104084	0.3310313	0.4167497	0.6300927	0.7698945	0.7010736	0.7895138	0.0791968	0.0744862	0.6714141	0.6085043	0.7131115	0.0627346	0.4059459	0.0617724	0.2925410	0.5072861	0.0488548	0.8054821	0.6382742	0.6718357	0.1397789	0.1413819	0.5050682	0.6249531	0.0735182	0.4333292	0.0685655	0.6062623	0.6067381	0.7313152	0.0244213	0.6746539	0.6930807	0.0366804	0.6259367	0.6782460	0.7158210	0.4787749	0.4112821	0.6168606	0.0736228	0.3264849	0.5908076	0.1657127	0.2829657	0.3659035	0.2353367	0.0662451	0.6333390	0.3865110	0.0322999	0.0624824	0.3499297	0.0083122	0.1511995	0.5551180	0.2451590	0.7694783	0.3175139	0.6409385	0.7699629	0.0165204	0.5740974	0.6925765	0.0769278	0.0389011	0.3734049	0.0219584	0.6975908	0.7087384	0.1009698	0.4874191	0.0233271	0.6383660	0.6660168	0.3579579	0.1284209	0.4971322	0.0922005	0.3869898	0.2021130	0.6124979	0.1146142	0.5444697	0.6310043	0.6753102	0.1110105	0.6307260	0.3146622	0.0276839	0.2517136	0.0058971	0.3623690	0.1078361	0.7234050	0.6952361	0.4216377	0.6355220	0.6660535	0.2542385	0.3076503	0.3979487	0.7257611	0.5105125	0.6842326	0.1748567	0.1686548	0.3288438	0.2796720	0.6572634	0.3367707	0.3456524	0.0332491	0.6541034	0.3501446	0.2678573	0.3276673	0.6758294	0.5452897	0.8108524	0.1299963	0.6783869	0.6603525	0.0101036	0.2964446	0.1022821	0.5436347	0.1839243	0.3465753	0.5550709	0.2407999	0.6187559	0.0269731	0.4415481	0.0635225	0.2061370	0.6404334	0.0009456	0.2275884	0.0524939	0.6778270	0.5439012	0.1837735	0.3554153	0.0325492	0.3416596
0.6145977	0.7596442	0.3510301	0.5064622	0.0000000	0.4404649	0.3804521	0.0422218	0.6552251	0.0643569	0.0934424	0.5642143	0.7425436	0.7609327	0.0255276	0.6306986	0.5770796	0.8209152	0.5460486	0.5831718	0.2016331	0.0165870	0.5699411	0.0126831	0.5930987	0.5476882	0.2124086	0.4841376	0.6115783	0.6397764	0.7617317	0.1191350	0.1848884	0.2834252	0.4311442	0.0884268	0.8298008	0.0845798	0.6211009	0.5996167	0.6454022	0.6550074	0.3929862	0.4210055	0.0969357	0.2704872	0.4366595	0.7457687	0.7672342	0.1817164	0.5594841	0.7244842	0.7704776	0.0079078	0.3364517	0.6044442	0.6177906	0.7587498	0.6100924	0.6225898	0.1012534	0.0843808	0.6610554	0.7005108	0.6482468	0.0618158	0.4019794	0.1043642	0.2320924	0.5208877	0.0392952	0.7968666	0.7259148	0.7493872	0.1563370	0.4152492	0.5832525	0.6553844	0.0860392	0.3136842	0.0797590	0.6599633	0.4575818	0.7472035	0.0245947	0.6027727	0.6332987	0.0644230	0.7577756	0.8318547	0.8072595	0.4817696	0.5374654	0.6986052	0.0946274	0.2574562	0.4706917	0.1207689	0.3542941	0.3044752	0.1304471	0.0511871	0.7000181	0.3892549	0.0401332	0.0661269	0.4173430	0.0098293	0.1325091	0.7864196	0.3945190	0.6330178	0.3166468	0.6794410	0.7039286	0.0165957	0.6205827	0.6869602	0.0666105	0.0822375	0.3837844	0.0138883	0.6837691	0.6036475	0.0557621	0.3503355	0.0367254	0.6855629	0.6424909	0.4715882	0.0698949	0.4639095	0.1134449	0.2673952	0.1702071	0.5429294	0.0820263	0.5908052	0.5838759	0.6990502	0.1491229	0.5991103	0.2796333	0.0258117	0.2336364	0.0054068	0.3416390	0.0913632	0.7525228	0.7247741	0.4400476	0.5692328	0.6752555	0.2725531	0.2985510	0.5209709	0.5749586	0.5367103	0.7177236	0.1831060	0.1669105	0.3009184	0.2790280	0.4872338	0.3219006	0.3720325	0.0352308	0.5931138	0.3791684	0.2429729	0.2708479	0.6852881	0.4028511	0.5563362	0.1091458	0.7068423	0.4922382	0.0056262	0.2876301	0.1892500	0.5813428	0.2917533	0.3412704	0.6093538	0.2224075	0.6294355	0.0290345	0.3649982	0.0912661	0.2529833	0.7672392	0.0011582	0.2612679	0.0830570	0.6437123	0.5467694	0.2490420	0.3198766	0.0532892	0.3786009
0.7381107	0.5719657	0.2598226	0.5762537	0.6419279	0.0000000	0.3964536	0.0315930	0.5489184	0.0542484	0.0963165	0.7001308	0.7428639	0.6583466	0.0034617	0.6544294	0.6284100	0.6573458	0.4976070	0.6170204	0.3422763	0.0078238	0.5490488	0.0010783	0.5997336	0.5412475	0.2900523	0.3751482	0.6435001	0.7659286	0.7390284	0.1085447	0.0620843	0.3014522	0.3645535	0.1460691	0.7986084	0.0749610	0.5453533	0.6189857	0.6373305	0.7626267	0.4031230	0.4160165	0.1296260	0.1678098	0.4123649	0.7066819	0.6687900	0.2159680	0.6348173	0.6037961	0.7932188	0.0069021	0.3877503	0.5322523	0.7499861	0.6899001	0.6342613	0.6546362	0.0965328	0.0648228	0.6361709	0.6616653	0.6474145	0.0983721	0.2707542	0.0550203	0.3021885	0.4686792	0.0717796	0.6481576	0.6686502	0.6633971	0.1150346	0.3666622	0.5534063	0.6123811	0.0640947	0.3154549	0.0579452	0.4947531	0.6036383	0.7994311	0.0251783	0.6725285	0.5960137	0.0635900	0.6525985	0.5949274	0.6295032	0.2742089	0.6011082	0.5619318	0.0816136	0.2921134	0.4798364	0.1203548	0.3739524	0.2483947	0.1244971	0.1035074	0.7430155	0.3288064	0.0279238	0.0493273	0.3378144	0.0040728	0.1502909	0.6457495	0.3339444	0.4939761	0.3108586	0.7080248	0.6895026	0.0224889	0.4645299	0.7395661	0.0660899	0.0640630	0.3524423	0.0388164	0.8765739	0.7079949	0.0623051	0.4634808	0.0181565	0.5690242	0.5935375	0.4557016	0.1071503	0.4249261	0.1068832	0.2821798	0.2285907	0.5915870	0.2011616	0.6427948	0.6206410	0.5068530	0.1313230	0.8056362	0.3918259	0.0587257	0.1695677	0.0052864	0.3505166	0.0770234	0.6364567	0.6244320	0.5665520	0.7179690	0.7196533	0.2746185	0.3375091	0.4620836	0.5794576	0.6075008	0.5977385	0.1324136	0.1803630	0.3625027	0.3032435	0.7030312	0.3344336	0.3310177	0.0380464	0.7122442	0.3949616	0.1845931	0.3068668	0.7711196	0.5112244	0.7030603	0.1143587	0.6239756	0.5983565	0.0239245	0.2050507	0.1702487	0.4523875	0.1715504	0.4752830	0.6317191	0.2235768	0.7263211	0.0229733	0.4688891	0.0918584	0.3013867	0.6299007	0.0039639	0.2178034	0.0462211	0.7029434	0.7646705	0.2730745	0.3325288	0.0597982	0.3080795
0.6355744	0.7130527	0.2788803	0.4322343	0.6184716	0.3916056	0.0000000	0.0355723	0.5609881	0.0453656	0.0905710	0.6447759	0.6569289	0.6922088	0.0035956	0.6890293	0.7095228	0.8187265	0.7149344	0.6825851	0.3121182	0.0122744	0.7282667	0.0001987	0.6207155	0.5105968	0.2801294	0.4066434	0.6878343	0.7329086	0.6744266	0.0923389	0.0956810	0.2833028	0.5490374	0.1118927	0.6514247	0.0642903	0.6241901	0.6838310	0.6826156	0.6953728	0.5037958	0.5129159	0.0833786	0.1443574	0.4819478	0.8349705	0.6745781	0.3260835	0.4724138	0.7578077	0.6936116	0.0177524	0.3408315	0.4518154	0.5795256	0.5716718	0.7003719	0.4839930	0.0944986	0.0521003	0.6355267	0.7771742	0.6259873	0.0347381	0.3787864	0.0911906	0.2068282	0.4459377	0.0556079	0.5984032	0.6998787	0.6013555	0.1533480	0.2842565	0.6641095	0.7219586	0.0456159	0.3114822	0.0645329	0.6063886	0.5715643	0.5522246	0.0387137	0.7932504	0.6718116	0.0600207	0.7691320	0.6753620	0.6500821	0.3936659	0.5180373	0.6477601	0.2456376	0.2843235	0.4305975	0.1880648	0.4100025	0.3148329	0.1951297	0.0483814	0.7608946	0.3658476	0.0306786	0.0483152	0.4179105	0.0079392	0.2114291	0.7271722	0.2459188	0.6855451	0.3579840	0.7134440	0.6544334	0.0216861	0.5487202	0.7417668	0.1110403	0.0280122	0.3570211	0.0173489	0.6644572	0.7361139	0.1248034	0.3919598	0.0314227	0.7276084	0.5890095	0.4310794	0.0943677	0.5186345	0.0817768	0.2689806	0.1856179	0.5317706	0.1935434	0.6628888	0.6351146	0.7954067	0.2245170	0.8278562	0.3521318	0.0216187	0.2971767	0.0009594	0.3787918	0.0730019	0.6458368	0.7267867	0.3717418	0.6291830	0.7465645	0.2773671	0.2660059	0.4262094	0.7912283	0.4452400	0.7647583	0.1346628	0.1984510	0.2930793	0.3638524	0.5512151	0.3387022	0.3438870	0.0094073	0.7855763	0.3449777	0.2196027	0.2490584	0.6444353	0.5404421	0.7371877	0.0944556	0.6874869	0.6995441	0.0329110	0.2493468	0.1352820	0.5031718	0.1895917	0.2834681	0.5689028	0.1847284	0.6651561	0.0411434	0.4181106	0.0768879	0.1600440	0.6504858	0.0177853	0.1392587	0.0818834	0.6490273	0.6335347	0.2116944	0.3088703	0.0460312	0.3729872
0.5137640	0.7131938	0.2156968	0.5147469	0.7017171	0.3425491	0.3571623	0.0000000	0.6434536	0.0770435	0.0799649	0.6195757	0.6276724	0.6506437	0.0027604	0.5389012	0.6459413	0.7579758	0.5351307	0.6350018	0.6020354	0.0141047	0.0634992	0.0023764	0.6127525	0.4963921	0.3023323	0.4346348	0.7272476	0.6510350	0.7392646	0.0723814	0.0316078	0.3502653	0.4798697	0.1476614	0.7253769	0.0869685	0.6479306	0.6043201	0.5695386	0.6788053	0.4423467	0.5122526	0.1399541	0.1704686	0.6177645	0.7857897	0.6543445	0.3291385	0.5270577	0.6017369	0.6872268	0.0208120	0.4236823	0.3500913	0.6870336	0.6841303	0.6063848	0.6876920	0.0977007	0.0513950	0.6154232	0.7289923	0.7020135	0.0889420	0.3763186	0.0455799	0.3453725	0.4644980	0.0803545	0.6806964	0.7080953	0.6902308	0.1632521	0.2909406	0.5711213	0.7215596	0.0477659	0.3325712	0.0590455	0.6205002	0.5197846	0.6412733	0.0390645	0.6856432	0.7544345	0.0304515	0.6643637	0.6018983	0.5975393	0.3840676	0.4628331	0.6359350	0.0043606	0.1914080	0.3502115	0.0881287	0.3584321	0.3022937	0.1675643	0.0950388	0.6283849	0.4541259	0.0202651	0.0532562	0.4307023	0.0210765	0.1338892	0.6241363	0.2509234	0.6314591	0.4483584	0.7612217	0.6885919	0.0144105	0.6973187	0.7433735	0.0841366	0.0388954	0.3722558	0.0081812	0.8061320	0.8593557	0.1369479	0.3459392	0.0178326	0.7805222	0.6699258	0.3889778	0.0622124	0.5206547	0.0853232	0.4082200	0.2879265	0.6274927	0.1337348	0.6767781	0.6870690	0.7918706	0.1483229	0.6097541	0.2808581	0.0388414	0.2064300	0.0004136	0.2727871	0.0884146	0.6756431	0.6745398	0.5582949	0.6859922	0.8460089	0.3230795	0.3237537	0.3963665	0.6576625	0.5177531	0.6412816	0.1454069	0.1798601	0.2823795	0.3673139	0.5896420	0.4042882	0.3404297	0.0152269	0.7605766	0.3468372	0.2241217	0.2976445	0.7125286	0.4089460	0.7306399	0.1334702	0.6545746	0.7589776	0.0361521	0.1822880	0.1349392	0.5232419	0.1702185	0.3306282	0.7327523	0.2673422	0.6191802	0.0613803	0.4163632	0.0710514	0.2190606	0.7440231	0.0027124	0.2314953	0.0896548	0.8362008	0.4996396	0.3203741	0.3216510	0.0380873	0.3459260
0.6611378	0.6469330	0.3259299	0.3733298	0.6389962	0.3962081	0.3955427	0.0204670	0.0000000	0.0661667	0.1423972	0.5576645	0.7499851	0.6749416	0.0103535	0.6109764	0.7489576	0.7238002	0.5097785	0.7069729	0.4062562	0.0037693	0.6738338	0.0009023	0.6473549	0.4270565	0.1784703	0.2703375	0.7276755	0.7351153	0.6673670	0.1073294	0.0250019	0.2452119	0.5001307	0.1075600	0.6336668	0.0620342	0.5921732	0.6787674	0.7349966	0.6779701	0.4392021	0.5298168	0.0999101	0.2472757	0.4211419	0.6671526	0.6249197	0.2418126	0.6385747	0.5257230	0.6973238	0.0169619	0.4278978	0.5007963	0.7413440	0.7370053	0.8434531	0.6750332	0.0941117	0.1110648	0.6864274	0.5101100	0.5975630	0.1115015	0.3314189	0.1077610	0.2251877	0.5852936	0.0515216	0.6451539	0.7028868	0.6851109	0.1978294	0.3108433	0.6577425	0.6207274	0.0950245	0.4135580	0.0869098	0.5679850	0.5836632	0.6307536	0.0396049	0.6111808	0.7636865	0.0548153	0.7833670	0.6547940	0.7572669	0.4036467	0.4693588	0.6393228	0.0634158	0.3037076	0.4704844	0.1816327	0.3276607	0.4592923	0.1591751	0.0465223	0.7191507	0.3708948	0.0326929	0.0361518	0.3605129	0.0075812	0.1868231	0.7527984	0.2542732	0.6940732	0.5143947	0.7138448	0.6982172	0.0172472	0.6569015	0.6415565	0.0885425	0.0506774	0.3783808	0.0463958	0.6969219	0.6660240	0.1226788	0.3593590	0.0184917	0.6593285	0.6585337	0.4099178	0.0602489	0.4431737	0.0781359	0.2910757	0.2561100	0.4774786	0.1557589	0.5374127	0.6978902	0.7037653	0.1265817	0.6140940	0.3462989	0.0623534	0.3015520	0.0122925	0.3791450	0.1371945	0.7746587	0.8065117	0.5861931	0.6665082	0.7451123	0.2560918	0.3456963	0.3447465	0.5600167	0.5160715	0.6363010	0.2250123	0.2340182	0.2942653	0.3089286	0.5745530	0.3053924	0.3480847	0.0168597	0.8529814	0.3600559	0.1509202	0.2584535	0.5622771	0.5496579	0.7605341	0.1173485	0.7413547	0.7227971	0.0189966	0.2457062	0.1290681	0.6145246	0.1836669	0.3122449	0.5857006	0.2631611	0.7058878	0.0387515	0.3411795	0.1079468	0.1901737	0.7087774	0.0013231	0.2643933	0.0771767	0.6218408	0.7384542	0.4625868	0.2659431	0.0412956	0.4438500
0.5989988	0.6521924	0.2738825	0.4466722	0.6425248	0.5244831	0.4319553	0.0245722	0.5299129	0.0000000	0.0596359	0.6550464	0.7039169	0.7544512	0.0083469	0.7471518	0.6142198	0.7830580	0.5708588	0.7599943	0.3923050	0.0303987	0.7180024	0.0003707	0.6893434	0.5304730	0.2254963	0.3001732	0.7731520	0.7194022	0.8023134	0.1284830	0.1031175	0.3503518	0.5677618	0.1346713	0.8224114	0.0874903	0.6126766	0.6971360	0.7199923	0.8339398	0.4926513	0.4867337	0.1199058	0.2162911	0.5416215	0.6920929	0.6709968	0.3033612	0.5798998	0.6240855	0.6877586	0.0202232	0.3247151	0.4543617	0.5677429	0.6537299	0.6169851	0.7627972	0.1008482	0.1499396	0.6636584	0.6485008	0.7856327	0.0389607	0.3841603	0.1018725	0.2560427	0.4635656	0.0267611	0.6594773	0.7165866	0.6513159	0.1808658	0.1835923	0.6691719	0.6564834	0.1454133	0.3329185	0.0674546	0.6868062	0.5283708	0.6245715	0.0233114	0.6422902	0.6399496	0.0580376	0.6387453	0.6922373	0.6973833	0.4136747	0.5208171	0.5916864	0.1243156	0.3018546	0.4199706	0.1645824	0.2400039	0.4032933	0.2255488	0.0674289	0.6529489	0.3334728	0.0191987	0.0536373	0.3664672	0.0143990	0.2139983	0.6948495	0.3090657	0.7613135	0.4014677	0.6526331	0.7288811	0.0164870	0.6600449	0.6851826	0.0806236	0.0460319	0.4142315	0.0329844	0.5534350	0.6868536	0.0827222	0.4263100	0.0309247	0.6760897	0.8315066	0.4505659	0.0783736	0.4025325	0.1191121	0.3775069	0.3065946	0.5494280	0.1759756	0.6036960	0.7087310	0.8566690	0.1500027	0.6589025	0.3440966	0.0569633	0.2180172	0.0059629	0.3065552	0.0852917	0.7357910	0.6488988	0.4066099	0.6123789	0.6769269	0.2760606	0.3082385	0.5421095	0.7309724	0.6424519	0.6040222	0.1572469	0.2039244	0.2688450	0.2976299	0.5111508	0.4231623	0.2942851	0.0370200	0.5988387	0.3777303	0.1656991	0.1568977	0.6289520	0.5681137	0.6916607	0.0769827	0.6664707	0.7143762	0.0182770	0.2486400	0.1025796	0.5516153	0.1858517	0.3221072	0.5646644	0.2264735	0.7010933	0.0398823	0.3456126	0.1059067	0.2338702	0.7048537	0.0222202	0.2192176	0.0803946	0.6855470	0.5795318	0.2849261	0.3032023	0.0290650	0.3877654
