G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100	G101	G102	G103	G104	G105	G106	G107	G108	G109	G110	G111	G112	G113	G114	G115	G116	G117	G118	G119	G120	G121	G122	G123	G124	G125	G126	G127	G128	G129	G130	G131	G132	G133	G134	G135	G136	G137	G138	G139	G140	G141	G142	G143	G144	G145	G146	G147	G148	G149	G150	G151	G152	G153	G154	G155	G156	G157	G158	G159	G160	G161	G162	G163	G164	G165	G166	G167	G168	G169	G170	G171	G172	G173	G174	G175	G176	G177	G178	G179	G180	G181	G182	G183	G184	G185	G186	G187	G188	G189	G190	G191	G192	G193	G194	G195	G196	G197	G198	G199	G200
0.5239139	0.6116880	0.4247690	0.6275363	0.6206867	0.4105726	0.5490568	0.0000304	0.6186264	0.0000444	0.0003414	0.5753676	0.5545918	0.5651212	0.0005346	0.6114667	0.6489676	0.7584085	0.4330497	0.7027197	0.7079269	0.0002033	0.0008508	0.0004546	0.6828915	0.1884840	0.3769054	0.0997521	0.6248205	0.5117257	0.7200761	0.2798885	0.2050177	0.3195059	0.4426792	0.0997427	0.6701332	0.3136970	0.6926448	0.6706291	0.5925921	0.6517588	0.4772424	0.7220121	0.0956871	0.2146211	0.3367166	0.3025926	0.4322337	0.4632335	0.6044388	0.5608160	0.7210143	0.0246030	0.3136717	0.0589691	0.4089820	0.5585462	0.4977898	0.5760146	0.0854133	0.2918812	0.5053491	0.4952515	0.6891998	0.0062953	0.2843214	0.0716368	0.4642396	0.3907575	0.0384467	0.7402535	0.8560076	0.7701793	0.0890519	0.2046644	0.5552665	0.5640137	0.0799304	0.3571371	0.0000150	0.5679021	0.4648029	0.5208958	0.0634786	0.8057035	0.6154204	0.0020456	0.4540832	0.5285282	0.6562431	0.3080666	0.4806791	0.7196646	0.0248144	0.1429040	0.3648778	0.1917249	0.5930813	0.5685149	0.5987147	0.0608821	0.5608201	0.1374464	0.0286184	0.0535321	0.3219140	0.0133009	0.1525616	0.6537574	0.4323320	0.3195513	0.2599043	0.6660577	0.6247239	0.0122647	0.5223230	0.6731327	0.1581554	0.2351420	0.4662576	0.0075902	0.6773764	0.6364148	0.0754700	0.2473298	0.0178612	0.7792695	0.6868567	0.5543221	0.0529189	0.4299550	0.1050956	0.5705485	0.2138712	0.6589456	0.3364933	0.6756595	0.6817340	0.4944661	0.1430506	0.6148762	0.2457214	0.0312208	0.3014566	0.1740513	0.4231521	0.2020511	0.6393628	0.4699985	0.2772443	0.5051022	0.6924237	0.2007977	0.2931421	0.4195940	0.4972868	0.2929959	0.8024933	0.1407050	0.2747200	0.0000758	0.6217498	0.5598708	0.3509224	0.1679400	0.0010070	0.6843776	0.4748126	0.3339499	0.2313754	0.4749398	0.4023407	0.6063094	0.0341460	0.8034250	0.7429169	0.0060757	0.2569476	0.1395653	0.4249900	0.3113888	0.3047797	0.5406597	0.4649661	0.5191479	0.1167125	0.0620407	0.0723303	0.1901079	0.3723977	0.2185630	0.2206395	0.0193044	0.6538083	0.5106568	0.2227926	0.0058618	0.6467573	0.3104771
0.5402549	0.6237617	0.3525897	0.6524312	0.6293581	0.1347032	0.5989595	0.6139919	0.5057282	0.3861042	0.0005197	0.5997168	0.5213099	0.2394193	0.2603389	0.0093447	0.7003052	0.3753659	0.4663128	0.1832350	0.0859224	0.6842532	0.6797029	0.6211510	0.6706742	0.6705179	0.2261696	0.3411947	0.0011607	0.1932715	0.3494763	0.5307651	0.5413908	0.0161590	0.4867085	0.2586431	0.5028508	0.3946484	0.0742067	0.4018837	0.2399992	0.7141302	0.5721332	0.0834256	0.0528600	0.2068908	0.4856554	0.5294233	0.0281605	0.2053419	0.4104465	0.7586559	0.3276265	0.0317316	0.7698662	0.3682967	0.6727411	0.4507505	0.7499657	0.2493652	0.0671987	0.5766059	0.3243506	0.9226078	0.6428635	0.5493751	0.4013611	0.0664261	0.3034771	0.4085900	0.0463491	0.5623428	0.3114447	0.6146277	0.0454526	0.5740669	0.0386902	0.6673412	0.0629409	0.3357976	0.6218726	0.4863440	0.6518879	0.7876921	0.6788198	0.1378793	0.6369626	0.4423654	0.0044022	0.0258352	0.7335552	0.4431334	0.3531444	0.4343166	0.4462131	0.3432109	0.6753629	0.2262473	0.1612962	0.5094465	0.0013531	0.0454625	0.7830771	0.4336462	0.6020815	0.1349431	0.3758635	0.0045262	0.2632439	0.5417774	0.2803070	0.7333589	0.5783719	0.0166573	0.6979350	0.0235563	0.5477570	0.0159910	0.3850795	0.6673633	0.3683798	0.0257966	0.0698885	0.6907180	0.0753559	0.4815747	0.0482795	0.2881668	0.1629279	0.6182990	0.4683460	0.5120175	0.0987666	0.7044479	0.4026567	0.6167764	0.0721182	0.2621242	0.7081847	0.6999536	0.0155898	0.5431613	0.2930583	0.0133301	0.2160548	0.1680189	0.2174044	0.1009897	0.7339939	0.2707129	0.4451652	0.7833767	0.2796188	0.3555393	0.2863172	0.5407418	0.6008223	0.4709433	0.5860394	0.1567707	0.1805271	0.2403309	0.3441645	0.5367979	0.3654664	0.2422042	0.0005127	0.6410115	0.2875811	0.2501679	0.3360767	0.6249746	0.4537058	0.6953319	0.0106907	0.6305242	0.6830748	0.0249257	0.1770900	0.1338495	0.3935998	0.2939117	0.2872394	0.6917042	0.4244060	0.7122351	0.0277538	0.4736879	0.0966302	0.1202300	0.7913869	0.0858898	0.1283922	0.3870243	0.6612361	0.6279644	0.4596454	0.0310680	0.7157216	0.5200112
0.5517766	0.6207790	0.1799574	0.4541299	0.7718918	0.1750247	0.5689020	0.0020348	0.5325417	0.4848220	0.0033893	0.5402308	0.5829634	0.7896895	0.0000001	0.7776114	0.6558865	0.6905517	0.4810458	0.5539141	0.4873170	0.0852210	0.2287134	0.0004410	0.5668155	0.1274037	0.1659710	0.3341518	0.7069407	0.7312480	0.6392891	0.2069521	0.2427215	0.1271232	0.4353691	0.0374665	0.7058784	0.0214805	0.5258823	0.4573368	0.4908576	0.6025466	0.4437975	0.1892461	0.0884784	0.2842011	0.3843424	0.7785573	0.6962764	0.1867054	0.6330907	0.6101390	0.5519124	0.0110278	0.6144441	0.4752095	0.5332345	0.5000484	0.5744058	0.7620297	0.0697125	0.0046003	0.6701112	0.6513518	0.4845307	0.0023683	0.3707512	0.0478790	0.2527811	0.5257328	0.0548959	0.7849394	0.8694864	0.6034862	0.1603736	0.5741969	0.3757065	0.5443044	0.0368241	0.2479643	0.0146958	0.6944515	0.4759149	0.7668816	0.0027203	0.5612811	0.6274904	0.0220444	0.7434692	0.5368016	0.6694642	0.4688318	0.5144844	0.6938006	0.3159546	0.2455818	0.6466461	0.0863195	0.2098867	0.2040708	0.0214546	0.0173235	0.5774587	0.6013749	0.0163418	0.0316670	0.2796033	0.0024232	0.0959932	0.5121975	0.1259740	0.6994638	0.3034050	0.6813268	0.4628607	0.0241558	0.6114573	0.3584598	0.0000516	0.4122578	0.4505464	0.0210916	0.4697568	0.7122789	0.1588553	0.5680245	0.0795409	0.4519937	0.6620508	0.6405488	0.0547290	0.4502880	0.0662779	0.7016671	0.2032980	0.5452288	0.0930961	0.7349829	0.5667121	0.5966203	0.1107113	0.6486304	0.2577492	0.0639817	0.2642125	0.2257528	0.3840601	0.0628746	0.6690016	0.4936925	0.5723657	0.4411358	0.6611746	0.4842512	0.1898537	0.4477706	0.6649265	0.5214631	0.6641280	0.1449665	0.1211979	0.2981363	0.2875218	0.5100019	0.2490342	0.3603333	0.0280404	0.6373816	0.5542002	0.1562899	0.1557356	0.5650992	0.4498244	0.7663149	0.1120853	0.8117583	0.6820309	0.0019430	0.1710573	0.1702666	0.5614513	0.3077724	0.3929468	0.5831704	0.3420208	0.6518344	0.2331426	0.4973736	0.0860726	0.2375406	0.7065995	0.0655733	0.2790339	0.1670257	0.6232512	0.6330239	0.2716576	0.1622249	0.1027420	0.3854945
0.6640363	0.6388266	0.3621243	0.5968437	0.4657515	0.4436655	0.4277179	0.0323110	0.6407478	0.0109111	0.0608351	0.7228837	0.7565501	0.5825434	0.0000187	0.6255439	0.7089949	0.6535245	0.6724488	0.3763073	0.6746038	0.0013310	0.5486251	0.0332106	0.5850043	0.3707781	0.2575215	0.2064773	0.7641132	0.5587444	0.5421828	0.0066360	0.1967232	0.2793536	0.5757472	0.2008092	0.5820252	0.0010622	0.6145959	0.4711056	0.7251617	0.6459407	0.5787617	0.6025696	0.1490001	0.5232039	0.5439040	0.7515319	0.6611529	0.1502537	0.3451480	0.7358727	0.5943516	0.0063300	0.3462039	0.6267619	0.7328173	0.6177092	0.6218849	0.7107719	0.0645397	0.0221901	0.5790552	0.5312673	0.6800428	0.0000036	0.3632837	0.0586058	0.3502126	0.3928865	0.0494415	0.4549126	0.6683505	0.6474495	0.1268326	0.0491031	0.6377221	0.6790419	0.1447189	0.2366867	0.0030460	0.6069339	0.5224444	0.7405630	0.0813329	0.6213328	0.5610966	0.0022233	0.6420505	0.6126577	0.6585663	0.6522508	0.4107792	0.6706231	0.0796398	0.3790258	0.4337329	0.1598295	0.5732209	0.4691274	0.4909348	0.0905739	0.5517964	0.1380658	0.0001861	0.0825614	0.5745311	0.0016886	0.3966416	0.6562428	0.5597475	0.5953632	0.2509463	0.6695935	0.4153134	0.0215016	0.2441188	0.5136802	0.0083615	0.2411605	0.4469164	0.0397734	0.7438984	0.7233271	0.3108331	0.3620597	0.0170068	0.5885786	0.5979856	0.4261132	0.0497931	0.3842004	0.0887132	0.2815952	0.3308347	0.5573223	0.1029937	0.5613708	0.6234959	0.5382660	0.0218235	0.6364380	0.3267663	0.0236482	0.2752522	0.0358615	0.2534697	0.0679739	0.6024403	0.7555932	0.3485283	0.6764183	0.5543498	0.4494967	0.3079525	0.5331760	0.5542108	0.4500397	0.6744473	0.1087516	0.1961391	0.0410741	0.3194943	0.6334837	0.5779646	0.4333574	0.0177723	0.6122524	0.3648889	0.2115130	0.2965808	0.5733679	0.3966397	0.6190097	0.0524019	0.7941362	0.6506508	0.0005742	0.2552665	0.1407594	0.3837941	0.3428188	0.3656440	0.5548182	0.2762695	0.7096239	0.0590950	0.3709868	0.0869657	0.1298078	0.6863290	0.0152599	0.3005374	0.2940238	0.6120804	0.5293158	0.3140008	0.3209141	0.0006132	0.2910657
0.7488991	0.5320146	0.4621395	0.4175316	0.6575364	0.4048617	0.5985257	0.0022497	0.4753779	0.0003394	0.0707512	0.5468584	0.6514076	0.2685944	0.0000232	0.5352284	0.7820668	0.7701907	0.6172594	0.4119530	0.6195348	0.0000213	0.0270732	0.0009585	0.6339341	0.4833077	0.1588068	0.3922383	0.5250303	0.5464239	0.5052535	0.2944255	0.1568967	0.2831926	0.4938020	0.2731193	0.6385324	0.0818144	0.6939285	0.7190199	0.4918466	0.6939621	0.5952999	0.7066703	0.1353506	0.1764834	0.7479547	0.7767706	0.7248204	0.1956564	0.4833704	0.4514277	0.7503629	0.0094454	0.5647232	0.5744123	0.5876877	0.6565007	0.7365488	0.7087089	0.0736507	0.2516279	0.6905390	0.6308107	0.4683799	0.4713644	0.3420245	0.0636504	0.2000980	0.4792058	0.0437616	0.6668879	0.4809913	0.6242411	0.1351682	0.0019895	0.6838973	0.7047475	0.0654617	0.3770322	0.1968937	0.7331078	0.5933956	0.5599942	0.0000003	0.6864133	0.6751370	0.0162782	0.6425656	0.7015805	0.6675328	0.3734941	0.5147468	0.6761360	0.4545005	0.1985806	0.6003077	0.1414163	0.4143387	0.3897683	0.5328946	0.0937616	0.6151470	0.3867845	0.0000663	0.0572904	0.3254264	0.0203635	0.1657703	0.5694141	0.3442272	0.6226380	0.6780786	0.4222680	0.7105584	0.0157197	0.5617021	0.5251893	0.3195859	0.1787106	0.3595261	0.0292742	0.5596322	0.7580074	0.0610919	0.1997876	0.0002960	0.7287656	0.5892884	0.4148615	0.1040457	0.3976373	0.0582269	0.3954928	0.1845062	0.5869300	0.0847877	0.4916989	0.7277355	0.6231601	0.1848160	0.7854086	0.3589751	0.0281108	0.2472160	0.1517071	0.2067907	0.0800027	0.6351649	0.5499676	0.3915767	0.7794306	0.6584632	0.2215229	0.2974362	0.4999089	0.9718757	0.5542655	0.6674913	0.1355853	0.1783697	0.0022915	0.2867086	0.5137877	0.2437107	0.3477232	0.0130148	0.6402853	0.3260220	0.2832791	0.4027444	0.5117946	0.3851016	0.7709749	0.0426097	0.7166147	0.6659368	0.0011415	0.1593248	0.0344585	0.4072478	0.2185578	0.3233673	0.6249279	0.3063837	0.7025679	0.0290546	0.4845834	0.0402047	0.1817316	0.7336911	0.2957193	0.2964545	0.3420164	0.6562088	0.6653850	0.2109763	0.2754792	0.0160879	0.5082220
0.5695888	0.7555757	0.4978589	0.6973473	0.6285213	0.3809480	0.5028920	0.0022108	0.6040068	0.0019499	0.0413549	0.6086665	0.6970690	0.6695792	0.0020304	0.6997848	0.7261953	0.6457012	0.5790104	0.3838544	0.5570814	0.0287349	0.0059885	0.0000708	0.6321244	0.4641891	0.3705652	0.2262540	0.7228083	0.7490176	0.6681365	0.0182434	0.0006580	0.3148454	0.3961219	0.0474752	0.7138006	0.0137332	0.5612061	0.3420752	0.6503260	0.6479185	0.4783719	0.5163734	0.1052375	0.2975289	0.3761051	0.5541630	0.6292522	0.2441706	0.6331980	0.6201919	0.5039501	0.0222024	0.4153831	0.4506898	0.7495509	0.7468889	0.6748961	0.6703766	0.0607834	0.0203241	0.8404251	0.5613580	0.4852170	0.0329909	0.3332896	0.0396415	0.2993439	0.3513744	0.0368010	0.4980339	0.6643720	0.7115702	0.0010278	0.5435206	0.5705415	0.6415880	0.1582653	0.4024563	0.0207341	0.5145527	0.6891914	0.6289816	0.0008761	0.5444691	0.7753668	0.0451584	0.4652524	0.7726082	0.6820389	0.5469882	0.4995085	0.5786919	0.0001364	0.2994456	0.4831009	0.2273004	0.4268230	0.4700841	0.2375395	0.0675643	0.5034670	0.4086573	0.0921151	0.0101944	0.5599968	0.0025516	0.3192894	0.6149801	0.3408608	0.6600497	0.5063716	0.6924890	0.7091146	0.0156964	0.6525215	0.4316387	0.0604029	0.1815717	0.4578869	0.0124173	0.7417947	0.7330344	0.1041196	0.4452883	0.0201103	0.4187045	0.7247534	0.1701636	0.0222482	0.4276950	0.0718202	0.3661140	0.2561145	0.7238209	0.1062588	0.7440867	0.7351190	0.5955246	0.0897410	0.7041602	0.3581061	0.0411063	0.2685813	0.2766092	0.2813099	0.0525878	0.6592371	0.6274592	0.5362428	0.5428891	0.4999954	0.3273601	0.3451383	0.3609911	0.5627956	0.4995764	0.6808521	0.1615864	0.1573981	0.2500226	0.2513906	0.6388121	0.3988792	0.2817185	0.0064937	0.3315126	0.4171782	0.2350160	0.1315544	0.6528646	0.5477019	0.5189372	0.0872985	0.7298713	0.5703464	0.0018394	0.3247046	0.0540314	0.2374999	0.2630741	0.4368258	0.6542812	0.2247979	0.7567253	0.0562555	0.4396585	0.0814869	0.1695174	0.5158722	0.0057903	0.2530231	0.0291769	0.5784597	0.4946170	0.1311208	0.2565991	0.0046606	0.1749348
0.6792454	0.5705348	0.4270394	0.4900744	0.6241788	0.4828117	0.3737023	0.0000275	0.6586491	0.1278122	0.0955717	0.6771848	0.6230853	0.5867598	0.0002870	0.7627836	0.6644772	0.5007540	0.5409750	0.6773988	0.5630385	0.0002155	0.0001405	0.1576298	0.5684751	0.5316836	0.3572843	0.4742938	0.6358083	0.6282823	0.6969289	0.0560205	0.0816051	0.1019148	0.3530906	0.2175492	0.6653764	0.2690524	0.7143593	0.5952394	0.6712077	0.6360351	0.4170440	0.5510998	0.1022781	0.2578405	0.5240745	0.6802014	0.7163883	0.3138086	0.3850512	0.5015143	0.5908481	0.0223578	0.3704654	0.4032715	0.6456116	0.6582125	0.6027098	0.6921592	0.1270266	0.0001098	0.6570025	0.7539048	0.3953056	0.0000214	0.4065166	0.0642513	0.1758102	0.5190354	0.0781819	0.5006646	0.7380149	0.6942354	0.0910340	0.0006281	0.4549541	0.5900051	0.0967286	0.3239061	0.0000264	0.5338675	0.3061720	0.5236230	0.1573989	0.5654637	0.8147094	0.0004842	0.4435315	0.5991140	0.6914711	0.5650511	0.4437428	0.7944991	0.0002497	0.2452450	0.4111402	0.1286994	0.3012183	0.3660412	0.5497298	0.0497915	0.7120106	0.3384591	0.0001643	0.4033755	0.1599322	0.0057945	0.2467571	0.7585383	0.2883881	0.8199257	0.4917268	0.7274872	0.5364581	0.0004295	0.5791497	0.6996843	0.0069750	0.2190002	0.2955002	0.0256375	0.5039769	0.5075882	0.1278476	0.4755058	0.0001916	0.7297386	0.4372142	0.5135254	0.1656160	0.4821174	0.1220302	0.2738453	0.4954300	0.4765853	0.1218140	0.5787485	0.6141712	0.7741120	0.1698261	0.2877487	0.3121456	0.0452594	0.2444352	0.0578040	0.2994308	0.0789031	0.4554590	0.6160585	0.6569450	0.6341980	0.7831770	0.2934357	0.4115632	0.3523687	0.6497282	0.5875203	0.6565783	0.1641899	0.2087587	0.0657541	0.2560938	0.4952577	0.2459633	0.2307651	0.0036753	0.6120792	0.3262652	0.1896852	0.4565188	0.7920673	0.3482269	0.7726833	0.1328363	0.7991569	0.6050587	0.0295464	0.2422359	0.1606834	0.6023740	0.1888531	0.3651742	0.5346354	0.7067948	0.3445979	0.2979037	0.3580398	0.0551026	0.1693391	0.4614709	0.2363053	0.2771595	0.0153141	0.6130248	0.5788940	0.1752294	0.2731309	0.0536738	0.3461629
0.7306546	0.7149692	0.1825023	0.6119426	0.6645540	0.1777135	0.6682581	0.5626117	0.6537878	0.3614841	0.0531517	0.6486896	0.5099793	0.2798192	0.1687676	0.0037031	0.7737127	0.3680491	0.4921783	0.1149646	0.0001395	0.5868860	0.6839082	0.5516986	0.7266369	0.4511752	0.3621488	0.5590020	0.0056429	0.2213989	0.1466120	0.2295015	0.5931287	0.0157162	0.5433335	0.3626418	0.6746037	0.3727035	0.1864747	0.1686237	0.6588859	0.5363113	0.7015587	0.0319396	0.0693247	0.2877089	0.2452244	0.6069124	0.0256065	0.1850823	0.4885653	0.7339597	0.4105093	0.0000800	0.5892514	0.4448043	0.6944516	0.3932814	0.8024025	0.3290706	0.0782479	0.4359707	0.2065077	0.6772036	0.7917861	0.4016002	0.3934181	0.0340871	0.3155946	0.4271415	0.0055446	0.5209152	0.1347953	0.7063129	0.0339767	0.7559369	0.0287517	0.6691624	0.1537365	0.3099218	0.6598327	0.4798618	0.4711095	0.7490583	0.7249299	0.2118535	0.6436214	0.5538207	0.0173366	0.0322396	0.5833463	0.5279555	0.4814194	0.3700172	0.6362761	0.2495136	0.6539187	0.1883148	0.4243806	0.4589034	0.0000749	0.0173504	0.7241339	0.2071453	0.4975318	0.4564097	0.4732430	0.0270543	0.2507186	0.6358535	0.2784361	0.7196544	0.5984462	0.0935834	0.6944779	0.0014264	0.7738231	0.0349437	0.2904478	0.6759185	0.3380706	0.0136410	0.0428228	0.7518761	0.0885095	0.1808410	0.0228647	0.3597469	0.6418863	0.5636001	0.0664466	0.4488892	0.0496272	0.4492779	0.5717935	0.5050922	0.0961403	0.6174319	0.7301780	0.7245907	0.1526896	0.4300648	0.3351770	0.0788390	0.3197123	0.0547971	0.3724536	0.0425925	0.6681670	0.2047750	0.4436570	0.5269802	0.3045173	0.2108529	0.2624112	0.4638384	0.7087206	0.5314128	0.2586548	0.1661830	0.2012727	0.2172718	0.1485715	0.6727023	0.3876391	0.3114993	0.0024301	0.6729599	0.4423776	0.2657982	0.1069681	0.6787308	0.4780181	0.8044688	0.0339659	0.6866671	0.7545849	0.0019775	0.2538060	0.1427675	0.3595748	0.2149600	0.2458194	0.5235686	0.2915420	0.7024101	0.0423549	0.3848595	0.0342973	0.1982845	0.7681810	0.0009714	0.2201718	0.0874450	0.7311033	0.7390782	0.4569756	0.0119678	0.6154945	0.3664987
0.7416344	0.6400090	0.1123720	0.6801358	0.6002468	0.1341105	0.6194353	0.5999380	0.6328906	0.3874703	0.0000348	0.5301758	0.5955563	0.2745928	0.3635615	0.0133358	0.7351991	0.2177103	0.5947708	0.2926194	0.0493197	0.6723552	0.7283096	0.6521214	0.6283405	0.0890255	0.2092627	0.5096591	0.0103580	0.1731060	0.2487083	0.5346963	0.6031458	0.0239373	0.4339669	0.3768480	0.6530097	0.3630131	0.4123023	0.3472306	0.6580660	0.6371975	0.2156422	0.5409785	0.0880675	0.1906321	0.5715233	0.6433750	0.0222773	0.3154173	0.5030688	0.6428881	0.4380665	0.0003657	0.6021043	0.3794552	0.5254145	0.1606077	0.5706929	0.3342675	0.0911465	0.3999714	0.4467519	0.5678606	0.5626879	0.4556655	0.4618920	0.0581270	0.1592095	0.5809919	0.0238349	0.7109330	0.3476248	0.7775441	0.1727242	0.5861022	0.0394220	0.6489145	0.0297902	0.3432317	0.7199179	0.5558817	0.5599673	0.6494434	0.6503548	0.1944437	0.6920435	0.3602137	0.0202508	0.0373442	0.7518144	0.3338151	0.4891249	0.4225616	0.4871509	0.2581756	0.5813502	0.1088554	0.3342266	0.4822572	0.0001923	0.0287716	0.7168508	0.2427944	0.4522673	0.3439398	0.2573800	0.0150285	0.2224314	0.6539740	0.3893311	0.5000056	0.5529090	0.0593182	0.6238850	0.0004406	0.7201323	0.0032767	0.1596508	0.6456715	0.4817630	0.0170755	0.0433621	0.6190889	0.0979837	0.4410798	0.0148044	0.4527313	0.6858671	0.5052306	0.0571715	0.5906390	0.1189325	0.4500076	0.2485903	0.4946087	0.1815256	0.5830562	0.6672250	0.4571577	0.1061247	0.7020084	0.3837887	0.0002869	0.3107006	0.2541695	0.5995091	0.1154363	0.6217050	0.1548918	0.4860002	0.4740310	0.2615072	0.2331371	0.3963308	0.3588651	0.7478126	0.4453139	0.2237609	0.1181704	0.1619406	0.0823461	0.4912834	0.6159390	0.2601896	0.2177369	0.0242819	0.6907474	0.4088917	0.3387114	0.1095679	0.7343482	0.5343026	0.5973961	0.0947923	0.4922127	0.6387008	0.0003630	0.3360920	0.0088822	0.3809133	0.2134294	0.4002438	0.4689895	0.1648954	0.6018222	0.0488961	0.2976779	0.1675140	0.1757015	0.7524569	0.0028624	0.2239951	0.0370070	0.6490130	0.5426774	0.4193220	0.0092942	0.6945511	0.2933255
0.5969825	0.7132014	0.1050794	0.7430356	0.6514651	0.3934499	0.4661232	0.6094005	0.5233637	0.4319709	0.0788440	0.4394865	0.4769835	0.2752171	0.1775094	0.0086133	0.6283929	0.3438960	0.6649123	0.1151421	0.0376919	0.7126089	0.7354411	0.7300123	0.5966105	0.5965775	0.2122861	0.3423696	0.0012374	0.1771075	0.2603207	0.3263240	0.6824201	0.0085209	0.4160742	0.0868340	0.4588116	0.2837240	0.0547909	0.0127558	0.6934216	0.6354156	0.5170887	0.2739165	0.1065156	0.1606704	0.5418255	0.7284594	0.0406016	0.1615428	0.1405038	0.7592785	0.2659792	0.0004789	0.4703345	0.3842062	0.5339713	0.1373328	0.6406973	0.3400896	0.0639770	0.5630603	0.3343058	0.7126263	0.7446707	0.5493108	0.6105293	0.0928449	0.2459559	0.4132691	0.0238699	0.7243291	0.4107654	0.5807537	0.1804396	0.5969867	0.0748245	0.5596375	0.0352854	0.2676931	0.6522357	0.4963735	0.6866138	0.5876289	0.6173304	0.1959189	0.8579544	0.5290244	0.0000000	0.0037478	0.6859114	0.3857009	0.4663343	0.3178268	0.6272475	0.2238575	0.5990005	0.1013636	0.3436821	0.2903217	0.0014412	0.0516314	0.6193940	0.3983536	0.6736803	0.0482481	0.1850168	0.0000604	0.1448123	0.7454822	0.1911403	0.7543268	0.6274504	0.1075797	0.8355782	0.0014595	0.7192674	0.0046467	0.3944975	0.6395953	0.3633397	0.0154756	0.0162374	0.7223085	0.1076864	0.3246122	0.0060119	0.2455541	0.5371503	0.1917827	0.0717164	0.4953369	0.1265875	0.7902284	0.3393373	0.6520417	0.0896992	0.6347664	0.7237119	0.3230360	0.1558964	0.5237383	0.2542362	0.0000359	0.2925418	0.1785796	0.4038571	0.0448751	0.4247231	0.2524785	0.5582802	0.6387618	0.2022996	0.3198673	0.1835946	0.3380090	0.4541013	0.3396825	0.1473720	0.2180927	0.2542537	0.3164371	0.3028076	0.5134392	0.3952303	0.2840570	0.0070729	0.4518133	0.2993321	0.3223149	0.0135842	0.5342937	0.5450094	0.5638820	0.1129812	0.6495917	0.6290404	0.0007404	0.3393791	0.1565875	0.7079422	0.2439075	0.4025565	0.5128005	0.3407598	0.4678473	0.2172661	0.4396570	0.0891113	0.1472439	0.4772614	0.0025754	0.1772703	0.0360294	0.5152636	0.5155166	0.3888206	0.0111897	0.7265219	0.2740822
