"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100	G101	G102	G103	G104	G105	G106	G107	G108	G109	G110	G111	G112	G113	G114	G115	G116	G117	G118	G119	G120	G121	G122	G123	G124	G125	G126	G127	G128	G129	G130	G131	G132	G133	G134	G135	G136	G137	G138	G139	G140	G141	G142	G143	G144	G145	G146	G147	G148	G149	G150	G151	G152	G153	G154	G155	G156	G157	G158	G159	G160	G161	G162	G163	G164	G165	G166	G167	G168	G169	G170	G171	G172	G173	G174	G175	G176	G177	G178	G179	G180	G181	G182	G183	G184	G185	G186	G187	G188	G189	G190	G191	G192	G193	G194	G195	G196	G197	G198	G199	G200

0	0.5931352	0.7719247	0.3202533	0.4780572	0.7029154	0.3595784	0.4676624	0.0163993	0.5384736	0.0494953	0.0710720	0.6999336	0.7052867	0.6880568	0.0027171	0.5588861	0.6640787	0.6678220	0.5513914	0.7179528	0.4774440	0.0124476	0.6592695	0.0000588	0.7284606	0.4508258	0.1727614	0.4514460	0.6389774	0.6430573	0.8293666	0.1082481	0.0949338	0.3289050	0.4520128	0.1509612	0.6758528	0.0723310	0.7476362	0.6405559	0.5434621	0.6934548	0.4264525	0.6455792	0.0519329	0.1866814	0.3962700	0.7359866	0.7073490	0.3613789	0.4878090	0.6583474	0.5822757	0.0364824	0.3182516	0.3796266	0.6782885	0.6435858	0.6321268	0.7585271	0.0696669	0.0590739	0.7100266	0.6810227	0.8039065	0.0499521	0.3567917	0.0718275	0.2229672	0.5226033	0.0286263	0.8588235	0.7091072	0.6505084	0.1284335	0.1123110	0.7086397	0.7109425	0.0779314	0.4265204	0.0543981	0.4909294	0.6464497	0.7506384	0.0525194	0.7225579	0.6989960	0.0636123	0.6315869	0.6473918	0.6305161	0.2969896	0.4992282	0.6644648	0.1075199	0.2050521	0.5297451	0.1795433	0.2521383	0.2673646	0.2496795	0.0713846	0.7680770	0.5226668	0.0197670	0.0500465	0.3088804	0.0037690	0.1445004	0.6591634	0.3228115	0.7115363	0.4088696	0.6152255	0.6891606	0.0372790	0.6188056	0.7421711	0.0597520	0.0958524	0.4691717	0.0120050	0.7380990	0.7437033	0.0991577	0.4470810	0.0132179	0.5619308	0.7301241	0.4893983	0.1351265	0.3745655	0.0908804	0.3179075	0.1738147	0.5861047	0.1305495	0.6741865	0.7318440	0.7213813	0.1988399	0.7674719	0.3251359	0.0456259	0.2152172	0.0019476	0.3554272	0.1838658	0.7448226	0.6681883	0.5337290	0.6691275	0.6211868	0.3117098	0.2434303	0.4920051	0.6565722	0.4473077	0.7226053	0.1625385	0.2154738	0.3179705	0.2885426	0.6652430	0.3474089	0.3112074	0.0120987	0.6892106	0.3921767	0.2293861	0.2453773	0.5779067	0.4659782	0.5976806	0.0523004	0.7086691	0.6333670	0.0165488	0.1983615	0.1399046	0.5304136	0.1591480	0.3699282	0.5548860	0.2305936	0.6313548	0.0634709	0.4189299	0.0828103	0.2217422	0.6806240	0.0122227	0.1774920	0.0492309	0.6542360	0.6980025	0.2427883	0.3875159	0.0684292	0.3694861
50	0.5878026	0.7923984	0.3025158	0.4559356	0.6548208	0.4454863	0.4316916	0.0544855	0.6573600	0.0966472	0.0746663	0.6005798	0.6660954	0.6702028	0.0007584	0.5708719	0.5902016	0.5966143	0.5539107	0.6219890	0.2285671	0.0170491	0.4529111	0.0005462	0.7260067	0.4603615	0.2231922	0.2932111	0.4875653	0.2855561	0.6832580	0.0732394	0.1342432	0.2822284	0.4282434	0.0856326	0.6451219	0.0536225	0.6389316	0.5693621	0.6705409	0.7495680	0.5106252	0.4690109	0.0462946	0.5509586	0.4527077	0.6826670	0.5979083	0.2216728	0.5964152	0.6213263	0.8220000	0.0282654	0.6241327	0.3946937	0.5894690	0.7108834	0.5744768	0.7024145	0.0606957	0.0903078	0.6394194	0.5626437	0.5019301	0.2788222	0.3299258	0.0511864	0.2778082	0.5398824	0.0509454	0.7593344	0.5452008	0.7087110	0.1099782	0.3593824	0.2810566	0.6643837	0.0441371	0.2528346	0.0128459	0.5643573	0.5447008	0.6998793	0.0351267	0.6940655	0.6964117	0.2901049	0.3863622	0.6312092	0.6734232	0.2798482	0.4991072	0.1954588	0.1182478	0.1562668	0.5129001	0.0550763	0.3409991	0.3048891	0.1125948	0.0625185	0.6828108	0.4129067	0.0470268	0.0485037	0.3061261	0.0109980	0.1379283	0.6121100	0.2969904	0.7069384	0.5206749	0.4446941	0.6114046	0.0083185	0.4577707	0.5397668	0.1939519	0.2114707	0.3581784	0.0151985	0.6621721	0.8078794	0.0775575	0.4187762	0.0021431	0.4557302	0.4089810	0.5175941	0.0921056	0.4709464	0.0717157	0.4123021	0.5433321	0.6120973	0.0857567	0.6210659	0.6515507	0.6997736	0.0431871	0.7787256	0.3123644	0.0241913	0.2296662	0.0131174	0.1581972	0.0169912	0.7560389	0.6442065	0.6146055	0.7008581	0.6005120	0.1488985	0.2736890	0.4328821	0.6497798	0.4730789	0.6323775	0.1282371	0.1803006	0.3059705	0.3096656	0.6716737	0.3948429	0.1842968	0.0038661	0.7110956	0.3444021	0.1986707	0.2505559	0.5882347	0.4593220	0.6829766	0.0466961	0.4865011	0.6827107	0.0080279	0.0346365	0.1396166	0.6548292	0.1902607	0.3700062	0.5553910	0.1589749	0.6061447	0.1579621	0.3878635	0.0984363	0.1317584	0.5312878	0.0170893	0.0140215	0.0744454	0.6602763	0.6334100	0.2951036	0.1161028	0.0068405	0.3707953
100	0.5732000	0.7777564	0.2497025	0.6331061	0.6564352	0.2768619	0.4055804	0.0504375	0.6183079	0.0543630	0.0437544	0.4483854	0.5724004	0.6386731	0.0031097	0.3994087	0.6056567	0.6434100	0.5466378	0.6558795	0.1806495	0.0274530	0.6081235	0.0000000	0.5538801	0.5465112	0.2670525	0.3343080	0.4700595	0.2897900	0.6778825	0.0926409	0.1384619	0.3317869	0.5148518	0.0473074	0.6835586	0.0737899	0.5832171	0.6920162	0.7005454	0.6447025	0.4440976	0.5874499	0.0662301	0.5900560	0.3747065	0.7083794	0.7444872	0.3072597	0.4872090	0.6391452	0.7637974	0.0271335	0.5674943	0.3905442	0.6523754	0.7319602	0.7334104	0.7007187	0.0512904	0.0571293	0.5608655	0.5647908	0.5253411	0.4917228	0.4941880	0.0437992	0.3485536	0.4499382	0.0339743	0.6543934	0.7767713	0.6769529	0.1066376	0.4585565	0.1667375	0.6228533	0.0772542	0.1768517	0.0277783	0.5775438	0.4227954	0.6773786	0.0170462	0.6507424	0.7311596	0.4677007	0.4255497	0.7013861	0.7093142	0.1853586	0.6282438	0.1517536	0.1100579	0.3043162	0.6869830	0.0547790	0.3570254	0.3094462	0.0515223	0.0485246	0.5770648	0.2527889	0.0409183	0.0501948	0.2808030	0.0323771	0.1984060	0.6395470	0.5083418	0.5520892	0.6359867	0.4012781	0.6829282	0.0052238	0.5970154	0.7030428	0.3747674	0.3318260	0.5239238	0.0452656	0.4910477	0.7861212	0.0977479	0.3884492	0.0003405	0.4193898	0.4367208	0.5090204	0.1598371	0.5266230	0.0366860	0.5322692	0.5558555	0.6589124	0.0787841	0.5564603	0.5922014	0.6716406	0.0385571	0.5697187	0.3033972	0.0382939	0.2443000	0.0070018	0.0609699	0.0165968	0.6113510	0.6153851	0.6287603	0.6384936	0.6635708	0.1050812	0.3188928	0.3824828	0.7202063	0.4878586	0.6720598	0.1491844	0.1545299	0.2979571	0.2586502	0.5747016	0.3176627	0.1277683	0.0006575	0.7081021	0.2535802	0.2784537	0.2819126	0.7469382	0.5758816	0.6934016	0.0303631	0.4622371	0.7245737	0.0419507	0.0115654	0.2150395	0.8244227	0.2635697	0.3348584	0.4489468	0.2854316	0.6015665	0.1482452	0.5354082	0.2025220	0.1595174	0.6084142	0.0452010	0.0656352	0.0849267	0.6354299	0.6349131	0.3954808	0.1041594	0.0253025	0.3797904
150	0.5514184	0.5921679	0.2554304	0.3944757	0.6708476	0.3014470	0.4738384	0.0553849	0.5944008	0.0937248	0.0603028	0.5040414	0.6920920	0.5542331	0.0028490	0.2712331	0.6226023	0.5451591	0.6205059	0.6544424	0.1096376	0.0638674	0.8017310	0.0007529	0.6807516	0.5058182	0.2423662	0.2602621	0.3929245	0.2938708	0.7455578	0.0921515	0.1517567	0.2740125	0.5287184	0.0462160	0.7340608	0.0845698	0.5585908	0.7092603	0.7040826	0.6158649	0.4557476	0.5113004	0.0666324	0.6456624	0.4721009	0.7470959	0.8017950	0.3318615	0.5490655	0.6161437	0.7683854	0.0386499	0.7134165	0.4172195	0.6996731	0.7014785	0.7344567	0.6754553	0.0787637	0.0646856	0.7224986	0.4895220	0.5432643	0.5180546	0.3396446	0.0674813	0.3908943	0.5283972	0.0930462	0.7160317	0.6521315	0.6792509	0.1565710	0.5420670	0.0843995	0.7076868	0.0737426	0.1974083	0.0317053	0.6028588	0.6029079	0.6471866	0.0537006	0.6413060	0.7964322	0.4266704	0.2701880	0.7045749	0.7139005	0.2648883	0.5876986	0.1394769	0.1644726	0.2741937	0.7471464	0.0762854	0.2661212	0.2894921	0.0459841	0.0714800	0.7146026	0.1846786	0.0789303	0.0474685	0.3345716	0.0125083	0.1791741	0.7105745	0.5262688	0.6052141	0.7302116	0.4277282	0.6362742	0.0016520	0.5427993	0.6901052	0.3346389	0.2488841	0.3932374	0.0160207	0.6214642	0.6543474	0.0851253	0.3295185	0.0000427	0.5203113	0.4567173	0.4912220	0.1947755	0.4764212	0.0578820	0.6803709	0.4826820	0.6589372	0.1182961	0.5769396	0.7565767	0.7975678	0.0106098	0.5102560	0.2228458	0.0258454	0.2214147	0.0165603	0.0388891	0.0220800	0.6955680	0.6692176	0.5205541	0.8112001	0.6524106	0.1230554	0.3373127	0.5731655	0.7461150	0.4362352	0.5918574	0.1561447	0.1611327	0.2450917	0.3229153	0.6650112	0.3215429	0.0750760	0.0002471	0.5037885	0.3304035	0.2634097	0.2391675	0.5873419	0.5303726	0.6036766	0.0186066	0.5036438	0.6672414	0.0212860	0.0117356	0.1993069	0.6018870	0.2198282	0.4000911	0.4576910	0.3219879	0.8149895	0.1923733	0.5829127	0.2190185	0.1226290	0.5539194	0.0879308	0.0283845	0.1074713	0.6627442	0.6951505	0.3889745	0.0813595	0.1492513	0.4471108
200	0.5797487	0.7505459	0.3455258	0.4536727	0.5870253	0.2058200	0.4641125	0.0644022	0.6633855	0.0690207	0.0763126	0.5981140	0.7138339	0.4863997	0.0025920	0.4088026	0.7251349	0.5820953	0.5941348	0.5412030	0.0301349	0.1174021	0.5236241	0.0001475	0.7343804	0.4034376	0.2650085	0.3156662	0.3081401	0.2268845	0.7585880	0.1597020	0.1832991	0.2905893	0.4128593	0.1123272	0.7768366	0.1734341	0.6318776	0.7233920	0.5859466	0.6748265	0.4326616	0.2934670	0.0723493	0.6417874	0.5497786	0.6492861	0.6940515	0.2288120	0.4097390	0.6145121	0.6046887	0.0151144	0.6741276	0.4084343	0.7449116	0.5869342	0.6200065	0.7301883	0.0710548	0.0990017	0.6491724	0.5042711	0.6080351	0.5464569	0.3050005	0.0704066	0.4103051	0.5650243	0.0288588	0.6479159	0.6020840	0.7393420	0.2260817	0.6617700	0.0823638	0.8477849	0.0461187	0.1883399	0.0432849	0.6365798	0.5476129	0.7195744	0.0414449	0.6489177	0.5462131	0.4161755	0.2755086	0.4392959	0.7097663	0.2080280	0.6364854	0.0957701	0.1928399	0.2391152	0.6451626	0.0263630	0.3470850	0.2783724	0.0162904	0.1159127	0.7958041	0.1818611	0.0549033	0.0508939	0.3291577	0.0114670	0.0943887	0.6362404	0.6292251	0.7388872	0.7063747	0.4269315	0.6017983	0.0007098	0.6436429	0.6153999	0.2171438	0.3733502	0.4487103	0.0290826	0.4443813	0.7758415	0.0911399	0.3145056	0.0001378	0.3883769	0.3777551	0.4090254	0.2106804	0.4756973	0.0591781	0.4770667	0.5775264	0.6842361	0.0562687	0.6171010	0.8266940	0.6372520	0.0070615	0.5176279	0.3795114	0.0330651	0.2193781	0.0032426	0.0436845	0.0055873	0.5423757	0.6216065	0.6195113	0.6731795	0.7686807	0.1984283	0.2452555	0.5843817	0.6831802	0.4562610	0.6710077	0.1544813	0.1731834	0.4203138	0.3234200	0.5558318	0.3021835	0.0890017	0.0130404	0.7788119	0.3769883	0.3349410	0.2457045	0.6059692	0.5081117	0.6275017	0.0309373	0.3844355	0.5722608	0.0107536	0.0262879	0.1940760	0.7605559	0.2668752	0.3310664	0.3927751	0.3761240	0.7283268	0.1954705	0.4385439	0.2470295	0.2106036	0.5693915	0.0947261	0.0285418	0.0724924	0.7478162	0.6142824	0.3691221	0.0396678	0.1717557	0.4037108
250	0.6797659	0.7265800	0.2814249	0.5237931	0.6682342	0.1725373	0.4700180	0.0931957	0.6844283	0.0602907	0.0641349	0.5606991	0.6973174	0.6143954	0.0092700	0.3838209	0.6599943	0.6232192	0.5880039	0.6469460	0.0263615	0.0791206	0.7614932	0.0003142	0.7692890	0.5382537	0.4015657	0.2363226	0.3637492	0.2081113	0.7567164	0.1434994	0.1622438	0.2870351	0.4305787	0.0620805	0.6016135	0.0888293	0.4749499	0.5534900	0.6517720	0.6534584	0.4513621	0.2167110	0.0646324	0.6105237	0.5756229	0.6063775	0.6667954	0.2401424	0.5098378	0.7735547	0.7246354	0.0173094	0.5946913	0.4302234	0.5880005	0.5631070	0.7339388	0.5866041	0.0721904	0.0544722	0.8037703	0.6283325	0.5305256	0.6139094	0.4260650	0.0762376	0.5182038	0.5052711	0.0528244	0.7158094	0.5629621	0.7341470	0.1444870	0.6758567	0.0466478	0.7331202	0.0362432	0.2198617	0.1150270	0.5501617	0.5275083	0.8541854	0.0467495	0.7820663	0.6495445	0.3998658	0.4363978	0.4001054	0.6102146	0.1713912	0.5253533	0.0971302	0.1771345	0.3243003	0.6155493	0.0159996	0.4084448	0.2768486	0.0179664	0.0589216	0.7350272	0.1149610	0.0466180	0.0430235	0.3648367	0.0163187	0.1921046	0.6903704	0.5834701	0.7951355	0.7017920	0.4848224	0.6790690	0.0008293	0.6605243	0.5693678	0.2125455	0.3897631	0.3438205	0.0312375	0.3004300	0.7706370	0.0597181	0.4396996	0.0000000	0.3579213	0.3353994	0.4213589	0.2968833	0.5285332	0.0640199	0.5593703	0.4756152	0.6604909	0.0736778	0.6346116	0.6421071	0.6780466	0.0210093	0.5270370	0.3139748	0.0313607	0.2969790	0.0156653	0.0362873	0.0118315	0.6777500	0.7131441	0.5419570	0.7029155	0.6330133	0.0997832	0.3255871	0.5662766	0.6138053	0.3643867	0.6208398	0.2223308	0.2730738	0.2859979	0.3547791	0.5579855	0.3394766	0.1191187	0.0034154	0.6750527	0.3880978	0.2546998	0.2677061	0.7068853	0.4969417	0.6784286	0.0516639	0.4148341	0.5786477	0.0099409	0.0122147	0.1542275	0.6238153	0.1837301	0.3726146	0.4613247	0.2837233	0.6250619	0.2105180	0.4117802	0.2673912	0.1604035	0.5941052	0.0614507	0.0195953	0.0498097	0.6136746	0.6709315	0.4864976	0.0660381	0.2061849	0.2813736
300	0.5956193	0.6117811	0.2957604	0.4057794	0.7608848	0.2045838	0.3998408	0.0842667	0.7139338	0.1224368	0.0917825	0.6247656	0.5815198	0.5991354	0.0055928	0.4073337	0.6684324	0.6353587	0.5773639	0.6826484	0.0132197	0.2047697	0.6589229	0.0001607	0.6797838	0.4576621	0.3190818	0.2369481	0.3707791	0.2898886	0.6638470	0.1727832	0.2245161	0.3409828	0.4704187	0.1070935	0.6517587	0.1342128	0.4604161	0.5498164	0.6867058	0.7210587	0.4860762	0.2449506	0.0624459	0.5076179	0.4273057	0.6352225	0.7834815	0.2575644	0.4104298	0.4872804	0.6771180	0.0112281	0.6554801	0.4666174	0.5981467	0.5458643	0.6833671	0.5591888	0.0762772	0.1169199	0.7679452	0.5124616	0.5799900	0.5069268	0.3805046	0.0838171	0.5257514	0.5829280	0.0726162	0.6493367	0.5912316	0.7192424	0.1174696	0.5799095	0.0368631	0.6110911	0.0615471	0.2160234	0.0646477	0.6633526	0.5375942	0.7202084	0.0926947	0.7171503	0.6863046	0.4055358	0.3131236	0.3702156	0.6673663	0.2356801	0.5050751	0.1621704	0.2419696	0.2159311	0.6964464	0.0372919	0.3579738	0.2651560	0.0022803	0.0693604	0.8030004	0.1155912	0.0374531	0.0268093	0.2786310	0.0210124	0.1495846	0.6184360	0.6199387	0.7851727	0.7205836	0.4552770	0.6812990	0.0000925	0.5557223	0.5363982	0.2299741	0.4453197	0.2870154	0.0162057	0.2851592	0.7546696	0.0839745	0.3313694	0.0000659	0.3849425	0.3871250	0.5324339	0.2391746	0.4666571	0.0396954	0.5680019	0.4748223	0.5861314	0.1191456	0.5474982	0.6301414	0.7144634	0.0191000	0.6280859	0.3344905	0.0762798	0.3129644	0.0307342	0.0208866	0.0032718	0.8038952	0.6601657	0.6196224	0.7065146	0.6528649	0.0837653	0.2730201	0.5301964	0.5937015	0.4450902	0.5100996	0.1803598	0.1587031	0.2790201	0.3755621	0.5896715	0.4202641	0.0872375	0.0023824	0.6366691	0.3355256	0.2949409	0.2135675	0.7706259	0.6300031	0.7506695	0.0434893	0.4778011	0.5959865	0.0297296	0.0215401	0.1813852	0.8918933	0.1965681	0.3000262	0.3936290	0.3140688	0.6540984	0.1716515	0.3999426	0.2928752	0.2081897	0.6441023	0.0768015	0.0216317	0.0921808	0.5671722	0.7823724	0.4161996	0.0599713	0.2021514	0.3775276
350	0.5672904	0.7309018	0.3110155	0.4455667	0.6389384	0.2379786	0.4964672	0.1285733	0.6099101	0.1095253	0.1044839	0.4986796	0.6971137	0.6942529	0.0007250	0.3022867	0.6647818	0.5933423	0.6041371	0.5911512	0.0091036	0.4837188	0.6433080	0.0119318	0.7308586	0.5833879	0.3353475	0.2797042	0.2006386	0.2558854	0.7135037	0.1833570	0.3521855	0.2376801	0.4435298	0.1543348	0.7115334	0.1626733	0.3161510	0.4672561	0.7875172	0.8412060	0.4842865	0.2086437	0.0783094	0.6168478	0.5189462	0.7622388	0.6372903	0.2282692	0.4669791	0.6574749	0.6463498	0.0014381	0.6945784	0.4395432	0.6299714	0.4212265	0.7929010	0.6166160	0.0989665	0.1056725	0.6684997	0.5615903	0.7194847	0.5357317	0.3136727	0.1176412	0.3788473	0.5258122	0.0425437	0.6461493	0.5114318	0.6288493	0.1201006	0.6172787	0.0217658	0.5244566	0.0686323	0.1802586	0.2678428	0.6265213	0.5038770	0.5691843	0.1426901	0.6998001	0.6296914	0.3811457	0.3308044	0.1508256	0.5954834	0.2448716	0.6273553	0.0958537	0.2173550	0.2340866	0.5909352	0.0062224	0.2902385	0.3455947	0.0123395	0.0790182	0.5304562	0.1451096	0.0788170	0.0515759	0.2421772	0.0156779	0.1473962	0.6500656	0.5111111	0.6943773	0.6514817	0.3487727	0.6631953	0.0003898	0.6132264	0.2650193	0.2255273	0.4501846	0.3713708	0.0753101	0.2316531	0.6655813	0.1001057	0.3218587	0.0000000	0.3727666	0.3511379	0.6003533	0.2910745	0.4436900	0.0463104	0.5309045	0.5218976	0.7176174	0.1407774	0.5213940	0.5867457	0.6571611	0.0071917	0.6547856	0.3524266	0.0806413	0.2501469	0.1030119	0.0253852	0.0045134	0.6317295	0.5522900	0.6968029	0.7179599	0.7080700	0.1480877	0.2985621	0.4976546	0.5622202	0.4130629	0.6377406	0.1601750	0.1715901	0.2652557	0.3135493	0.4995915	0.4010457	0.1249438	0.0000000	0.8079531	0.3882694	0.2310428	0.2511029	0.6950377	0.5791834	0.7766656	0.0453663	0.3467496	0.5767627	0.0106435	0.0211828	0.1292393	0.6692072	0.2017099	0.2216010	0.4245878	0.3472230	0.6505072	0.2398232	0.5066156	0.3046154	0.1586329	0.6425911	0.1349272	0.0374554	0.0621011	0.7062927	0.6110261	0.3037910	0.0432296	0.2795420	0.3198106
400	0.5596868	0.7814659	0.2448355	0.4982496	0.6385459	0.2673759	0.5872589	0.1894864	0.6046203	0.1178894	0.0993481	0.4884280	0.5778287	0.5697819	0.0023621	0.3451235	0.7214243	0.6005308	0.5103980	0.5042500	0.0012913	0.4761893	0.6664906	0.1754221	0.6257806	0.6616816	0.2651705	0.2600464	0.2187925	0.0981315	0.5501196	0.2452719	0.3130539	0.0970703	0.5903938	0.3108749	0.7050650	0.2858537	0.2348708	0.2912033	0.6296259	0.6362219	0.4425204	0.1842095	0.0744655	0.6239615	0.5935063	0.6919691	0.5161527	0.2276773	0.3108786	0.7191728	0.6019683	0.0118744	0.6701624	0.3833043	0.6553424	0.4248041	0.6376162	0.6610455	0.0815647	0.1918215	0.6289451	0.4801146	0.6408598	0.5005982	0.3120435	0.1091907	0.3985585	0.5268283	0.0687513	0.6082657	0.4525786	0.7050036	0.1353407	0.7195941	0.0053403	0.7629367	0.0828726	0.1529472	0.4152941	0.5477149	0.7323754	0.6849866	0.1391312	0.6728429	0.6651626	0.5957357	0.1759761	0.0385567	0.7417041	0.2993853	0.6298301	0.1157661	0.2579709	0.2243052	0.6475377	0.0626421	0.3931433	0.2739809	0.0012085	0.0631954	0.6925036	0.1199545	0.3242836	0.0285289	0.3483296	0.0309880	0.1776151	0.7566269	0.6049925	0.6090458	0.7946489	0.2199255	0.6505340	0.0000000	0.4945598	0.1383184	0.3166615	0.6069587	0.3880779	0.0222129	0.1216474	0.6432932	0.0832749	0.4119237	0.0000614	0.2882982	0.4394654	0.5452062	0.2894548	0.4395676	0.0409843	0.6241023	0.4648080	0.6925099	0.0857318	0.5188936	0.8096324	0.6059427	0.0056252	0.5237471	0.2767045	0.0557701	0.2673565	0.1944755	0.0356550	0.0060246	0.6473376	0.5255420	0.6912288	0.7871510	0.6839867	0.1427399	0.2391458	0.6573334	0.7133368	0.4020233	0.5049814	0.1284975	0.1430679	0.2840154	0.2692614	0.5717672	0.3204982	0.0901803	0.0000456	0.7293528	0.3721746	0.2596916	0.2761884	0.6412662	0.5489499	0.7824127	0.0455854	0.4112226	0.6674788	0.0031020	0.0182531	0.1281769	0.6520261	0.1981013	0.3076565	0.4916623	0.3554279	0.6680243	0.1896471	0.5564072	0.3019383	0.1634010	0.5753459	0.1218025	0.0270006	0.0771918	0.6341359	0.6739574	0.3803775	0.0233384	0.2610080	0.3504359
