"G_i"	"G_j"
107	160
107	264
55	101
13	107
55	264
101	107
2	55
2	101
13	55
55	107
160	264
13	264
101	160
101	264
107	242
55	81
55	242
2	107
13	101
13	242
55	160
2	13
2	264
81	101
81	242
101	242
160	242
264	325
13	160
68	107
68	160
68	264
81	107
81	264
160	161
242	264
2	242
13	325
55	325
81	160
2	160
55	161
55	367
107	325
160	325
2	81
13	45
13	68
13	81
13	161
101	161
2	68
2	325
45	101
45	242
55	68
68	101
68	325
101	325
107	161
45	107
54	161
68	81
68	161
68	242
81	161
101	367
161	264
161	325
2	45
2	161
23	55
23	101
23	161
23	242
45	55
45	160
60	107
81	325
107	293
160	293
161	242
242	325
318	344
2	8
2	53
8	13
8	53
8	55
8	81
8	101
8	161
8	242
13	53
51	101
51	107
51	189
53	55
53	81
53	101
53	161
53	242
81	367
160	374
161	367
2	23
2	60
2	335
8	23
8	45
8	68
8	107
8	160
8	264
8	325
13	23
13	51
13	60
13	326
23	45
23	53
23	54
23	81
23	367
43	367
45	53
45	60
45	81
45	161
45	323
51	160
53	68
53	107
53	160
53	264
53	325
54	55
54	101
54	367
55	60
55	318
55	335
60	242
101	323
101	335
107	323
110	318
160	323
161	374
242	374
264	318
264	335
318	325
325	335
2	51
2	110
2	293
2	318
13	43
13	291
13	293
13	318
23	68
23	107
23	160
23	183
23	264
23	325
43	81
43	101
45	51
45	68
45	264
45	293
45	325
45	374
51	55
51	242
51	293
51	335
51	367
54	160
54	374
55	110
55	171
55	326
55	369
55	374
60	101
81	369
101	110
101	293
101	318
101	369
107	110
107	189
107	326
107	335
110	264
110	325
110	326
110	335
110	344
160	394
161	369
171	367
183	222
183	242
242	344
264	326
291	318
291	344
291	361
318	326
318	335
318	394
325	326
326	344
344	374
344	394
367	369
367	374
374	394
