G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50
0.7222084	0.4799255	0.5522195	0.6900946	0.6350164	0.4361617	0.1704736	0.1088789	0.4754180	0.1424120	0.0170334	0.4310055	0.0000000	0.4382169	0.4886641	0.0346048	0.7587853	0.7381630	0.0767489	0.4770601	0.0000000	0.0065465	0.7299236	0.0493204	0.0216249	0.3121114	0.8526897	0.7006498	0.7121125	0.0118377	0.0276837	0.3657189	0.7120018	0.4951755	0.7362395	0.5928360	0.7778256	0.6284924	0.8268147	0.0297214	0.2815859	0.6626579	0.5749428	0.4320893	0.4924435	0.0026607	0.5629919	0.3583277	0.3629318	0.2066014
0.6942346	0.5686256	0.3727226	0.8188570	0.6349590	0.3431086	0.1500769	0.0969589	0.6767651	0.0688198	0.2856781	0.5353658	0.0000000	0.4512547	0.4619540	0.0844159	0.7185885	0.8417658	0.0415310	0.7789076	0.7054648	0.4212767	0.7650410	0.0228772	0.0221548	0.8768149	0.6599521	0.7966405	0.6797786	0.0220865	0.0405571	0.4077916	0.1005788	0.6228859	0.0000000	0.7115980	0.0424801	0.0042583	0.8538658	0.4369232	0.3102064	0.6515341	0.0087256	0.0317017	0.0095250	0.8638091	0.0197226	0.4176731	0.6847917	0.7723446
0.6865699	0.4905487	0.4206556	0.7027276	0.6833078	0.3354116	0.1942644	0.0806985	0.7054049	0.0667637	0.2144110	0.5932528	0.7137956	0.5021085	0.5326018	0.0375790	0.7320438	0.6546442	0.0730436	0.6941582	0.0000000	0.3881344	0.7539744	0.0172279	0.0072220	0.4198674	0.5904044	0.1840383	0.6026009	0.0041802	0.0343824	0.4025244	0.7426614	0.4982314	0.0000000	0.6835011	0.0868353	0.0237824	0.8412633	0.3427329	0.0128744	0.7463079	0.0090261	0.0235065	0.0145602	0.6958142	0.0072455	0.4652610	0.7859588	0.7503934
0.6687171	0.5737858	0.0544457	0.0000000	0.6833530	0.0266040	0.7197199	0.0445100	0.5849693	0.1033670	0.7932988	0.6817058	0.7060424	0.4405088	0.5218691	0.0696789	0.6461863	0.6523591	0.6823392	0.5814318	0.6682241	0.6923061	0.7338587	0.0672274	0.0232116	0.3755101	0.6650781	0.1771897	0.5982875	0.0369756	0.0371287	0.3879766	0.0771432	0.6135725	0.0000000	0.7616817	0.0757572	0.0396066	0.7669222	0.5521130	0.3310726	0.7709056	0.0074673	0.0125115	0.0029655	0.7298409	0.0112844	0.3990314	0.6028720	0.8518971
0.7164747	0.1780882	0.4317688	0.7052034	0.0000000	0.3520377	0.1624127	0.8307141	0.6288790	0.6909871	0.6582844	0.2922643	0.5746766	0.0961700	0.5268582	0.0315421	0.8007672	0.0078540	0.7237071	0.5415696	0.7435608	0.6220326	0.7582412	0.8189626	0.0188686	0.3401802	0.1300208	0.1456504	0.6340632	0.7843103	0.4547698	0.5833398	0.0609772	0.4119798	0.0000000	0.6686023	0.0525710	0.0279986	0.7687103	0.4874012	0.2208064	0.7946427	0.0103272	0.0049824	0.0195087	0.6631938	0.0029320	0.8152685	0.7424451	0.7638291
0.7205729	0.3985099	0.6851699	0.6520724	0.7749265	0.3184750	0.2073090	0.0739213	0.7552913	0.0910490	0.3935726	0.3857301	0.6132215	0.5239109	0.6213387	0.6414797	0.0000000	0.7982933	0.7920147	0.3569250	0.7359695	0.6965330	0.0000000	0.0281512	0.1988968	0.0897033	0.6895810	0.2602701	0.7280400	0.0305306	0.0656901	0.3760409	0.1062304	0.4376950	0.6690373	0.4940605	0.6442964	0.6674144	0.6226632	0.2481015	0.3545820	0.6368546	0.7768410	0.4278346	0.4678056	0.0195595	0.8454260	0.3125170	0.3820097	0.1807580
0.8508263	0.6383888	0.3909897	0.8336149	0.6620830	0.3894949	0.1023733	0.0735803	0.8041307	0.1825632	0.7161381	0.4798809	0.7943868	0.3431033	0.5199670	0.0394639	0.0000000	0.7012967	0.7158277	0.5890575	0.6965932	0.7829260	0.8264031	0.0393312	0.0115991	0.4618202	0.6272799	0.1910750	0.6737048	0.0108575	0.0177926	0.4040030	0.0810060	0.6291911	0.0000000	0.7344530	0.0206428	0.0185101	0.7041891	0.6568542	0.3168670	0.6993039	0.0025733	0.0058153	0.0101565	0.6442581	0.0021884	0.3171870	0.6435182	0.7816563
0.6870622	0.5044478	0.4602347	0.6877163	0.8324840	0.3799742	0.1504802	0.0565772	0.5692301	0.0894560	0.6233416	0.6637821	0.7237364	0.5418800	0.4610935	0.0242607	0.6102940	0.6448806	0.7063126	0.5428895	0.6967369	0.7254371	0.0000000	0.0420815	0.0250874	0.3905440	0.5759239	0.1799134	0.6454126	0.0116571	0.0414916	0.5398607	0.0490759	0.6905839	0.0000000	0.6918606	0.0884055	0.0095644	0.7622494	0.5578199	0.0016900	0.7092307	0.0062074	0.0123318	0.0028759	0.6716707	0.0033745	0.3221477	0.7480361	0.6640388
0.0000000	0.1128207	0.0425874	0.0000000	0.7553672	0.0074508	0.7122898	0.0938155	0.1943835	0.0662181	0.3291240	0.3537068	0.5666408	0.4754533	0.0140995	0.7477916	0.7888242	0.8236987	0.6527698	0.3758305	0.6986972	0.7662035	0.5827768	0.0269292	0.1887940	0.0930749	0.6668476	0.1437946	0.0059960	0.0211672	0.0389636	0.4395050	0.0814597	0.3988369	0.6819664	0.5318549	0.6864165	0.6317094	0.7864702	0.2459421	0.5085232	0.7109150	0.7246205	0.4963627	0.2834810	0.0075443	0.6889731	0.4284490	0.4157748	0.2074304
0.0000000	0.1603727	0.4944868	0.6445059	0.0000000	0.3763687	0.0959349	0.7871295	0.5634505	0.7572180	0.2827798	0.1356322	0.7293490	0.0282029	0.0130654	0.7114635	0.6999483	0.0060021	0.7362796	0.3077195	0.6666301	0.7181021	0.6876573	0.7686512	0.1675424	0.1027546	0.1394133	0.1784154	0.0111207	0.3783886	0.2923567	0.6618924	0.1172258	0.0548867	0.7385922	0.5222233	0.6494964	0.8975341	0.7820305	0.1840239	0.5165401	0.7122243	0.7423185	0.4932154	0.4025140	0.0109380	0.7147180	0.8596885	0.3581379	0.1516458
0.0000000	0.2163426	0.3806562	0.7599687	0.6498451	0.3928062	0.1709937	0.0618056	0.8473968	0.0699923	0.7467537	0.5684163	0.6535276	0.3278945	0.0029630	0.0333601	0.8107496	0.8493832	0.7283952	0.4451683	0.7248198	0.6385095	0.8057347	0.0522403	0.0091799	0.4703404	0.7061601	0.1673045	0.0076817	0.0188812	0.0468728	0.3361601	0.1027912	0.6018747	0.0000000	0.7934760	0.0174407	0.0350525	0.6899694	0.5041329	0.2887928	0.7128267	0.0037612	0.0385072	0.0209252	0.6832876	0.0124328	0.4345228	0.7941237	0.7665134
