G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50
0.0000000	0.2729331	0.4494649	0.6750059	0.8024761	0.4393044	0.1600940	0.0437286	0.5279284	0.1509382	0.3861455	0.3392723	0.7836436	0.5535422	0.0112437	0.5634241	0.7536814	0.7252049	0.6459643	0.2982999	0.8690065	0.6362786	0.7279671	0.0365637	0.2207235	0.0987940	0.6089884	0.1480281	0.0120149	0.0303170	0.0432671	0.4151368	0.1023609	0.3097051	0.7238984	0.4211408	0.7307068	0.7384582	0.7785874	0.1888162	0.4644007	0.7837700	0.6961406	0.4748037	0.4402523	0.0069045	0.6138352	0.4165260	0.4160998	0.1416883
0.7531414	0.0000000	0.6233293	0.7140869	0.6939685	0.4304104	0.2276416	0.0646108	0.5004641	0.0617691	0.3481405	0.2653098	0.7153643	0.4711547	0.4405669	0.7110456	0.7688279	0.6251369	0.6490840	0.3612898	0.7146935	0.6926166	0.6933222	0.0258077	0.2168278	0.1413880	0.7334583	0.1918769	0.6777409	0.0216688	0.0292443	0.4091700	0.0810875	0.4583844	0.6173627	0.5713798	0.6259900	0.6573736	0.6950666	0.2287106	0.5215978	0.7377481	0.8122012	0.4829063	0.3535082	0.0079668	0.7975400	0.3928186	0.4599087	0.2443924
0.6711290	0.4609294	0.0000000	0.5993304	0.7103011	0.4196981	0.1454029	0.0422053	0.5121398	0.0901953	0.3508920	0.3143287	0.6576498	0.3317508	0.5893923	0.6686822	0.6504668	0.8496967	0.5944228	0.3248701	0.7815300	0.6011562	0.7653285	0.0281440	0.1467478	0.0695640	0.5623448	0.2159922	0.7183806	0.0372603	0.0324065	0.4799588	0.0467192	0.3277990	0.7292493	0.5302182	0.7966503	0.7349356	0.7765768	0.1810563	0.5416503	0.7825898	0.6739299	0.5512251	0.5197828	0.0030543	0.7497181	0.3603206	0.4257965	0.2336046
0.6749885	0.3764857	0.4711502	0.0000000	0.6873417	0.0139011	0.6805659	0.0526754	0.2193661	0.0964430	0.4499007	0.3305487	0.7626726	0.4514110	0.6252293	0.9038114	0.8388629	0.8147439	0.7088881	0.3602770	0.7817877	0.8368230	0.6618854	0.0598228	0.2323451	0.0882032	0.6768122	0.2351893	0.5460667	0.0156803	0.0211769	0.4079373	0.0681279	0.3921301	0.7739174	0.5571313	0.6522440	0.7732447	0.6506005	0.2005476	0.5895937	0.6997311	0.6980824	0.4816922	0.3987812	0.0060422	0.8190250	0.3633933	0.3213403	0.1858786
0.8269441	0.2410951	0.3728712	0.7535804	0.0000000	0.4577542	0.1276822	0.7574965	0.4894441	0.5952967	0.2554805	0.1486331	0.5749918	0.0178526	0.4692877	0.7049335	0.6360364	0.0050424	0.6884639	0.3135571	0.7321033	0.5685125	0.8560933	0.7360838	0.1568554	0.0713055	0.1240854	0.1422950	0.6804769	0.3312685	0.4290193	0.5713365	0.0723587	0.0307050	0.7783389	0.6409182	0.6993619	0.6024950	0.7693684	0.1875989	0.5871819	0.7609746	0.7454512	0.4152330	0.5756734	0.0081756	0.7101464	0.7424715	0.3656338	0.1512055
0.6857770	0.5177407	0.5847824	0.5939454	0.6737357	0.0000000	0.1748714	0.0415559	0.5657999	0.0728506	0.3952034	0.3579099	0.6890469	0.3942649	0.5103023	0.6546429	0.6699547	0.7869603	0.6495849	0.3637713	0.6337561	0.6003311	0.7829131	0.0253310	0.1908939	0.0845399	0.6709800	0.1967471	0.6469749	0.0225444	0.0415792	0.3671944	0.0969693	0.3831676	0.7071615	0.4387671	0.7524739	0.6987362	0.6603549	0.2206273	0.5492770	0.6119230	0.6354894	0.4874873	0.3793315	0.0090174	0.6994204	0.3391831	0.4149613	0.2042934
0.7850871	0.4621925	0.7215783	0.8167956	0.5905910	0.2971941	0.0000000	0.0714696	0.4205398	0.0715500	0.3395077	0.4509613	0.7135892	0.3825508	0.5695442	0.7188293	0.7014516	0.8186851	0.7305393	0.3397863	0.9129850	0.6123195	0.6320932	0.0244240	0.1388317	0.2159311	0.6842122	0.1743846	0.5845982	0.0317986	0.0425464	0.4198785	0.0722356	0.3124881	0.6656314	0.4481396	0.7886013	0.6773067	0.5927266	0.1916158	0.5938201	0.7694479	0.6025980	0.4183958	0.4919510	0.0101266	0.5877982	0.3961984	0.4690916	0.1722960
0.6470528	0.5467747	0.5244753	0.6149642	0.6790359	0.4122995	0.1746268	0.0000000	0.4618357	0.1925860	0.3301021	0.3242099	0.8037104	0.3915134	0.5632593	0.6849610	0.7429880	0.6543401	0.7209302	0.3322080	0.6459222	0.6403542	0.6935653	0.0278297	0.1903734	0.1392998	0.7382020	0.1827283	0.5795287	0.0108357	0.0241187	0.4187029	0.0733929	0.4667100	0.7035877	0.5041697	0.7139184	0.8058952	0.7383711	0.1798676	0.5726664	0.7794656	0.6385079	0.4150509	0.4356734	0.0184744	0.6846267	0.4116819	0.4666485	0.2248960
0.8588225	0.4865008	0.6292703	0.6543387	0.6989437	0.4535685	0.0866186	0.0835690	0.0000000	0.1114619	0.3470355	0.3367145	0.7318080	0.3862081	0.5264989	0.6872161	0.7207651	0.6051614	0.5890505	0.2500907	0.7554606	0.5847922	0.7659619	0.0361364	0.1832949	0.0909720	0.6305063	0.1799381	0.6270749	0.0135500	0.0168357	0.4133599	0.0835515	0.3251468	0.6929316	0.4499962	0.7283705	0.6903314	0.6355468	0.2471254	0.5482534	0.6984843	0.6326131	0.5817560	0.4353788	0.0147723	0.6929476	0.4398972	0.3122902	0.1895145
0.6776426	0.4156443	0.6580518	0.7248333	0.5383474	0.3910743	0.2664693	0.1002394	0.5639392	0.0000000	0.4035067	0.2992990	0.7698452	0.6102127	0.4422223	0.8523728	0.7553314	0.6889912	0.7018981	0.3984659	0.7389055	0.7004599	0.7489607	0.0429356	0.1925126	0.1470369	0.6979706	0.1900442	0.6110074	0.0195001	0.0210369	0.3890983	0.0836676	0.4370243	0.6860167	0.6269164	0.6641200	0.6659548	0.5485641	0.1743539	0.5830256	0.6202218	0.6576611	0.5943398	0.4718929	0.0043046	0.8890243	0.3889924	0.4254627	0.1849414
