G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50
0.4400982	0.4356648	0.5600693	0.8563060	0.7111681	0.5410773	0.1218180	0.0530464	0.2507857	0.0849445	0.3947905	0.3745968	0.7312263	0.6922887	0.3257015	0.6905983	0.6134246	0.6507594	0.8763200	0.4129954	0.4989980	0.5319045	0.5470050	0.0687796	0.2934417	0.1248525	0.3042626	0.1542359	0.5806310	0.1468612	0.1326046	0.4337217	0.1872382	0.1379448	0.7686523	0.5318594	0.7338517	0.6211251	0.6830767	0.0084411	0.2963601	0.6603554	0.7035709	0.7079135	0.4001347	0.0229426	0.7358811	0.3540297	0.3746343	0.1767201
0.4577353	0.5051068	0.6611340	0.7321472	0.7131599	0.3393525	0.1249441	0.0552942	0.3785810	0.0688221	0.2936955	0.2290586	0.6404177	0.6020577	0.4974121	0.5485261	0.7450406	0.7393291	0.6903173	0.2905606	0.4051510	0.6917165	0.8259878	0.0392613	0.3020347	0.1098751	0.5130519	0.1097442	0.7120453	0.0026578	0.0117119	0.4244466	0.1553863	0.3583878	0.6857923	0.2480862	0.7564854	0.7790298	0.7466036	0.0091837	0.4265624	0.3932773	0.7260618	0.4898199	0.5866841	0.0188614	0.7637239	0.4252179	0.3749727	0.2775929
0.5248505	0.4452417	0.7043441	0.5402987	0.8178925	0.4085467	0.0905626	0.0509250	0.4164095	0.1312938	0.2600745	0.5573303	0.7416811	0.3642810	0.4791817	0.5979691	0.5794508	0.7461717	0.8404449	0.3494265	0.7404945	0.8189155	0.5832119	0.0018673	0.2637265	0.1032095	0.6132820	0.2251827	0.7483105	0.0002359	0.0003242	0.1277068	0.0044698	0.5800495	0.6323634	0.5188548	0.7224230	0.7410084	0.4311743	0.1354114	0.2104162	0.6443205	0.6815185	0.4683598	0.3498817	0.0000307	0.6918066	0.4222711	0.4155310	0.1379517
0.7092659	0.4771091	0.6563716	0.6171919	0.7172080	0.4034803	0.1550569	0.0412188	0.4792129	0.0660352	0.3733299	0.2429947	0.7015998	0.4866931	0.4759261	0.7515952	0.6411858	0.8080716	0.7100101	0.2985083	0.6231458	0.6931816	0.6957653	0.0002631	0.2554320	0.0934540	0.7931308	0.1055851	0.7406310	0.0735322	0.2069533	0.4317175	0.0225094	0.6818619	0.8080794	0.5115109	0.6954181	0.6905127	0.6863386	0.2308638	0.3354244	0.6867939	0.6264984	0.5874260	0.4874753	0.0001012	0.6279271	0.3876594	0.2629738	0.2153237
0.7203942	0.4703332	0.7212313	0.5552425	0.7740237	0.4088922	0.1856211	0.0569579	0.4693226	0.0604503	0.1501627	0.3591543	0.6409322	0.4222742	0.3811729	0.5717851	0.6477535	0.6113697	0.6518912	0.3303023	0.6769471	0.7195477	0.3823805	0.0619138	0.1977799	0.0756637	0.6110804	0.2981775	0.6986720	0.0074995	0.0107248	0.3978890	0.0091276	0.6867183	0.7166271	0.4584781	0.7500424	0.7136797	0.8316721	0.1948277	0.5600381	0.7445513	0.6689016	0.4415323	0.3654450	0.0000001	0.7384715	0.4707209	0.4565891	0.0753796
0.6075996	0.3015142	0.6483324	0.6616662	0.7771883	0.5369741	0.1250785	0.0458697	0.5743813	0.1005215	0.3757944	0.3450949	0.8237897	0.3515025	0.4882897	0.6831870	0.6671018	0.7109497	0.4938054	0.3446317	0.7360328	0.6407304	0.3869201	0.0419744	0.3954195	0.1311252	0.7435539	0.1367035	0.7439022	0.0300528	0.0098486	0.3799285	0.1141992	0.2351481	0.6896943	0.4031797	0.5962471	0.7262251	0.6508425	0.1098743	0.4574989	0.6863250	0.7738737	0.5676618	0.4181759	0.0005540	0.7416448	0.3994983	0.3541955	0.1510092
0.7383438	0.4632122	0.4457215	0.6134091	0.6832841	0.3273729	0.2819282	0.0349556	0.5591257	0.0792089	0.3498356	0.5254992	0.6605908	0.5034340	0.5717754	0.6135886	0.5388936	0.7380271	0.6383776	0.4296890	0.3431003	0.5256961	0.7245419	0.0030565	0.2897397	0.1165567	0.6328982	0.2165853	0.6446808	0.4723488	0.0000362	0.5399076	0.0881488	0.2226812	0.4174533	0.3130093	0.6504436	0.7944769	0.4978801	0.2115165	0.5830571	0.5450047	0.7319301	0.3042403	0.3368642	0.0000959	0.6706675	0.3271549	0.5542448	0.3098446
0.7362292	0.2770521	0.7215070	0.5828216	0.6693442	0.4110990	0.1435535	0.0650888	0.6008262	0.1394078	0.4577524	0.5341989	0.7781423	0.4403431	0.4864883	0.7298193	0.8070348	0.7268987	0.5571153	0.4106398	0.5680652	0.7466170	0.6356585	0.0012976	0.1797208	0.0154832	0.6912441	0.1659823	0.6434790	0.0594155	0.0008114	0.1798791	0.1188801	0.1836676	0.4185818	0.4606834	0.5935471	0.7754780	0.7804170	0.5462289	0.3941955	0.6528674	0.6778076	0.2622146	0.4336983	0.0072846	0.7432500	0.3472781	0.5037975	0.2872821
0.7729699	0.2148637	0.7439503	0.6250063	0.4330038	0.4056310	0.1266210	0.1611132	0.7028246	0.4853691	0.0945249	0.2309600	0.7467480	0.2739565	0.5486244	0.7081318	0.7214123	0.6615206	0.4127557	0.3962330	0.1838697	0.4041211	0.6510965	0.0107331	0.4344398	0.0818933	0.5916611	0.2167719	0.8724770	0.0000318	0.0015237	0.2920496	0.4140731	0.1086351	0.5605430	0.3762869	0.7902561	0.6772980	0.5729686	0.0673311	0.1210496	0.4471983	0.5606646	0.4995410	0.5448800	0.0000007	0.8276792	0.4663678	0.3419514	0.1939319
0.8174626	0.5592451	0.6288422	0.6994073	0.5455997	0.3821404	0.1089429	0.0864902	0.3896462	0.4325715	0.3750050	0.3970431	0.3690536	0.2556060	0.5694377	0.5907023	0.6623565	0.6640194	0.6302555	0.3790305	0.4334451	0.6733310	0.6961500	0.0992913	0.2242051	0.1335231	0.6754982	0.2905886	0.5714735	0.1730904	0.0071772	0.4975182	0.1099333	0.3347263	0.5364402	0.5100513	0.6904933	0.6719552	0.7973263	0.0920301	0.3365483	0.7900672	0.6353621	0.2582579	0.3484492	0.0017701	0.7520025	0.5088582	0.4543158	0.2140740
0.6344558	0.3367474	0.6020889	0.5327509	0.7046507	0.3540975	0.0607466	0.1255472	0.5068012	0.1012475	0.0845446	0.4326420	0.6871421	0.4554923	0.5548058	0.5667852	0.4878382	0.7340968	0.6059853	0.3624666	0.5560150	0.7372493	0.7969630	0.0034822	0.3194189	0.0476115	0.4337786	0.1785215	0.7493868	0.0000379	0.0010985	0.4186991	0.0438609	0.6231376	0.6975728	0.5063578	0.9159716	0.8512892	0.4525459	0.4555950	0.4348202	0.6696816	0.6371956	0.5160053	0.4889556	0.0383921	0.6739437	0.3574459	0.3471444	0.1851502
0.6008244	0.5980832	0.7026719	0.5930741	0.8102821	0.4873748	0.1415620	0.0352099	0.4377843	0.0480770	0.3765926	0.2439851	0.7259779	0.5372978	0.4717295	0.6938618	0.8166074	0.7815285	0.7540860	0.1364468	0.7200418	0.7007098	0.7034103	0.0308294	0.1506445	0.1186306	0.5086729	0.1985394	0.6129814	0.0092647	0.1157081	0.3494469	0.0902505	0.6186713	0.6551074	0.4402893	0.5647302	0.6099745	0.6049474	0.1708675	0.7188293	0.6150757	0.8168840	0.5101554	0.4224729	0.0004797	0.7630970	0.3734833	0.3619101	0.2950756
