"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50

0	0.8322117	0.4134976	0.5991097	0.7734256	0.7215408	0.4739646	0.2178819	0.0547537	0.6277059	0.1520297	0.3694387	0.4122501	0.7547625	0.3892431	0.5129813	0.8566321	0.7105264	0.6460822	0.7206326	0.3058703	0.7173447	0.7216105	0.6311374	0.0366336	0.1867405	0.1465388	0.6440417	0.2304148	0.5389523	0.0056653	0.0325498	0.4728645	0.1115062	0.3742232	0.5922257	0.5280858	0.6525703	0.8099302	0.7837090	0.1809085	0.5995503	0.7698317	0.6991392	0.5733043	0.3899941	0.0124491	0.6230932	0.3229410	0.3469518	0.1565292
50	0.7101500	0.5718330	0.6197478	0.2998093	0.3046039	0.4088202	0.1510837	0.0999407	0.5837228	0.1861814	0.0797891	0.3474340	0.1754330	0.3406268	0.4064930	0.8284511	0.6862769	0.7475687	0.5806486	0.2987127	0.7562765	0.5920786	0.5590348	0.0284601	0.2434649	0.1027698	0.6742406	0.2235605	0.7087606	0.4052737	0.0623720	0.4274980	0.0845930	0.4091115	0.8932016	0.3175272	0.7222102	0.7074865	0.6848175	0.2367217	0.5457899	0.1181611	0.6397309	0.4969076	0.4764874	0.0103358	0.7333604	0.3370594	0.3717618	0.2493560
100	0.5835241	0.7869863	0.6456931	0.2399109	0.2505217	0.3144381	0.3383069	0.1348597	0.5496508	0.4966810	0.0168631	0.2038767	0.1004928	0.2682612	0.5487848	0.8687542	0.7052665	0.7442652	0.6901160	0.3163629	0.5512784	0.7219016	0.9117142	0.0105487	0.1533769	0.1671575	0.7788953	0.3485010	0.5763344	0.5539344	0.0401325	0.4360585	0.0564871	0.2658608	0.6498271	0.1532796	0.6563386	0.6555281	0.7857673	0.2099603	0.5671178	0.0519081	0.5882816	0.5077908	0.5913708	0.0064933	0.7219564	0.4035832	0.2868288	0.4946206
150	0.6921548	0.6663806	0.7406598	0.2128139	0.2871744	0.2176703	0.4114565	0.1660478	0.4499054	0.5473786	0.0058728	0.3050207	0.0467718	0.2197656	0.3946395	0.6848244	0.7268056	0.7809260	0.8833098	0.5220465	0.5917335	0.5550310	0.6624393	0.0103878	0.1364715	0.2014546	0.5987736	0.4184503	0.6383151	0.5995046	0.0209935	0.4995529	0.0673121	0.1459055	0.7423044	0.1353276	0.6776175	0.7114734	0.7372914	0.2146762	0.5317342	0.0205543	0.5814956	0.5167362	0.5169999	0.0111013	0.7547884	0.4304687	0.3628575	0.6062190
200	0.6453680	0.7079473	0.7799358	0.1612324	0.2409447	0.1405861	0.4731518	0.2472838	0.4972856	0.5048802	0.0057664	0.2590708	0.0762104	0.1194046	0.4506906	0.5103431	0.7887984	0.8079066	0.7316607	0.3696589	0.6454370	0.6995083	0.7391987	0.0412805	0.1172071	0.2023449	0.6111039	0.6744684	0.5782923	0.6927755	0.0286918	0.5009720	0.1196758	0.1495378	0.5897196	0.1234737	0.7931895	0.7419256	0.7066420	0.1826916	0.5827649	0.0092075	0.7261955	0.5062011	0.5179264	0.0040379	0.6678042	0.5627865	0.2797103	0.7032112
250	0.7546846	0.6058598	0.7154512	0.1958355	0.2883647	0.1363523	0.5430255	0.3462325	0.4748307	0.5649413	0.0028013	0.2173303	0.0647209	0.1458905	0.5951475	0.3368477	0.7339887	0.6780165	0.7295480	0.5027755	0.6081555	0.5858255	0.7610291	0.0482775	0.0984075	0.1681285	0.6786692	0.7118776	0.5711990	0.6220036	0.0354267	0.5489305	0.0902826	0.2563511	0.7540700	0.1211017	0.7202604	0.6852277	0.7327798	0.1831171	0.5673971	0.0019098	0.6757756	0.3930945	0.5480481	0.0071166	0.7915438	0.4701141	0.2465366	0.7516175
300	0.7748138	0.5142218	0.5832747	0.1269367	0.1965944	0.0758679	0.5321523	0.2089909	0.4412510	0.7025466	0.0009441	0.2459182	0.0851391	0.1188497	0.4482001	0.4385676	0.7318126	0.7960131	0.7202437	0.4195755	0.6371320	0.4958335	0.7033392	0.0481965	0.0714671	0.3044708	0.7532854	0.7450830	0.6168200	0.7652527	0.0446308	0.5312135	0.0834261	0.1252717	0.7456615	0.0983000	0.7648599	0.6503251	0.7128106	0.1725091	0.5984369	0.0086686	0.7517138	0.4846361	0.4079395	0.0234027	0.8416199	0.5484110	0.3028170	0.8092349
350	0.6989003	0.6183577	0.5348691	0.1203437	0.2847516	0.1684412	0.5993212	0.1929584	0.5274498	0.5308670	0.0051311	0.1354234	0.0369657	0.1362761	0.5002989	0.4896589	0.6898760	0.5847486	0.6540158	0.4307874	0.7420506	0.6443138	0.8904887	0.0659309	0.1107794	0.2283445	0.6097687	0.5681082	0.5190865	0.8192193	0.0703526	0.5526255	0.0463403	0.2173488	0.7527407	0.1299260	0.7719664	0.6991681	0.7624950	0.2274242	0.5853258	0.0033877	0.4738607	0.4780933	0.4497287	0.0145248	0.7059545	0.5540001	0.2565495	0.7025898
400	0.7400510	0.6191948	0.7309556	0.1656082	0.2166018	0.1841630	0.6037556	0.2418357	0.5618665	0.6516295	0.0033116	0.1595761	0.0397374	0.1176866	0.4660596	0.3545148	0.6287168	0.6663106	0.6993460	0.4624833	0.5811793	0.5516484	0.7729668	0.0298614	0.0620006	0.2607953	0.4421274	0.6239982	0.6498598	0.5743806	0.0552455	0.6399326	0.0657370	0.1978853	0.7210846	0.0947445	0.7701795	0.7127347	0.7080064	0.1958815	0.5878874	0.0125858	0.7196362	0.4940230	0.5823021	0.0094003	0.7302607	0.5608760	0.3232966	0.7769296
450	0.7003288	0.4312760	0.7371693	0.1103646	0.1802204	0.1132585	0.4990615	0.2596904	0.5243240	0.6699613	0.0012274	0.1879404	0.0754228	0.1452845	0.4817670	0.4590939	0.6504433	0.6379117	0.7564377	0.3892723	0.6448441	0.6221027	0.6447137	0.0426433	0.1375459	0.2680585	0.4143327	0.6514159	0.6275722	0.7076669	0.0256741	0.6339729	0.1388273	0.1188604	0.7643688	0.0860054	0.7442696	0.7365805	0.6528709	0.1754767	0.5698469	0.0335872	0.5556312	0.4628117	0.5570205	0.0062179	0.6463991	0.3869185	0.2038451	0.6126283
500	0.7946875	0.5355370	0.7248932	0.1623300	0.1924357	0.1286600	0.6599232	0.2343583	0.4265917	0.5804259	0.0023648	0.2205670	0.0553309	0.1259358	0.5762335	0.3697667	0.6879401	0.8775493	0.8146245	0.3859025	0.6486205	0.5465913	0.6817398	0.0474772	0.0564998	0.3246681	0.4028231	0.7594958	0.6561602	0.7031739	0.0286422	0.6213086	0.0784207	0.1439849	0.6626249	0.0977489	0.6891656	0.6504695	0.6452413	0.1909311	0.6343049	0.0077307	0.5911644	0.5169085	0.5469474	0.0026191	0.7230490	0.4420970	0.2606815	0.6031744
550	0.6226200	0.4630021	0.5323145	0.5272156	0.6156754	0.2002648	0.5696733	0.1934753	0.6391602	0.6554148	0.2236838	0.2146300	0.5233710	0.0840846	0.5673624	0.4281050	0.7095355	0.5967335	0.5485771	0.3137088	0.7352997	0.6899649	0.6796615	0.0615186	0.1283259	0.2022727	0.3679233	0.5080320	0.7342471	0.2485180	0.0257639	0.4907128	0.0765877	0.1957014	0.8144950	0.1415044	0.6785151	0.7385410	0.7067702	0.1697985	0.5416263	0.4958504	0.6654823	0.5068880	0.4530382	0.0089819	0.6113773	0.4947154	0.2949326	0.6707258
600	0.6242066	0.4082210	0.6557518	0.5723868	0.5692685	0.2532321	0.2968798	0.1352695	0.5025982	0.4606883	0.3207387	0.2160241	0.7110408	0.2697945	0.5263605	0.6675041	0.8352462	0.6743066	0.6443497	0.3551041	0.5972275	0.8035332	0.5544019	0.0569628	0.1711128	0.2409814	0.4664419	0.3760076	0.6160351	0.1591368	0.0340108	0.3501781	0.0962129	0.2490549	0.6726774	0.2955730	0.7667327	0.5725360	0.7343035	0.1669361	0.4907480	0.7771382	0.5424140	0.4679402	0.5209985	0.0016913	0.6124893	0.3881999	0.3377866	0.4416676
650	0.8785591	0.4244557	0.6253285	0.7104682	0.6248307	0.2954762	0.2245037	0.1292689	0.5266597	0.2415506	0.4674598	0.2641430	0.6562038	0.4048575	0.5007090	0.7059335	0.6625495	0.6816013	0.6864377	0.3986648	0.7492132	0.5768603	0.7186820	0.0392133	0.1691821	0.1224338	0.5967943	0.3263724	0.6098879	0.0823887	0.0315581	0.5560928	0.1121338	0.2759514	0.7231800	0.4571691	0.6651302	0.5960260	0.6640622	0.1846158	0.5372577	0.6201917	0.5659915	0.4139967	0.4335236	0.0103911	0.6299571	0.2845018	0.3241498	0.3056065
